,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2021-01-31,"$1,329","$1,087",$755,-,$312,"$3,483",$866,$165,"$4,405",$755,"$6,191","$9,674","$1,687","$2,185",$609,"$3,183","$4,870",$3,$4,$-469,-,"$4,804","$9,674"
2020-10-31,"$1,441","$1,038",$720,-,$216,"$3,415",$845,$158,"$4,433",$776,"$6,212","$9,627","$1,467","$2,284",$614,"$3,287","$4,754",$3,$81,$-522,-,"$4,873","$9,627"
2020-07-31,"$1,358",$930,$746,-,$211,"$3,245",$846,$148,"$4,482",$825,"$6,301","$9,546","$1,314","$2,283",$613,"$3,251","$4,565",$3,$130,$-476,-,"$4,981","$9,546"
2020-04-30,"$1,324",$886,$750,-,$211,"$3,171",$836,$141,"$4,503",$804,"$6,284","$9,455","$1,945","$1,788",$614,"$2,742","$4,687",$3,$15,$-538,-,"$4,768","$9,455"
2020-01-31,"$1,226",$966,$706,-,$204,"$3,102",$844,$118,"$4,648",$789,"$6,399","$9,501","$1,892","$1,787",$620,"$2,761","$4,653",$3,$73,$-521,-,"$4,848","$9,501"
2019-10-31,"$1,382",$930,$679,-,$198,"$3,189",$850,$102,"$4,700",$611,"$6,263","$9,452","$2,080","$1,791",$473,"$2,624","$4,704",$3,$-18,$-514,-,"$4,748","$9,452"
2019-07-31,"$1,765",$856,$660,-,$176,"$3,457",$839,$99,"$3,618",$612,"$5,168","$8,625","$1,622","$1,294",$737,"$2,256","$3,878",$3,$-122,$-404,-,"$4,747","$8,625"
2019-04-30,"$2,155",$819,$657,-,$181,"$3,812",$827,$96,"$3,650",$637,"$5,210","$9,022","$1,118","$1,798",$752,"$2,779","$3,897",$3,$178,$-398,-,"$5,125","$9,022"
2019-01-31,"$2,057",$833,$653,-,$169,"$3,712",$829,$77,"$3,699",$635,"$5,240","$8,952","$1,095","$1,798",$785,"$2,821","$3,916",$3,$90,$-381,-,"$5,036","$8,952"
2018-10-31,"$2,247",$776,$638,-,$187,"$3,848",$822,$68,"$3,464",$339,"$4,693","$8,541","$1,171","$1,799",$761,"$2,799","$3,970",$3,$-336,$-408,-,"$4,571","$8,541"
2018-07-31,"$2,131",$733,$623,-,$180,"$3,667",$801,$70,"$3,448",$363,"$4,682","$8,349","$1,014","$1,799",$750,"$2,767","$3,781",$3,$-416,$-335,-,"$4,568","$8,349"
2018-04-30,"$3,011",$754,$594,-,$166,"$4,525",$798,$139,"$2,932",$390,"$4,259","$8,784","$1,365","$1,800",$776,"$2,802","$4,167",$3,$-412,$-310,-,"$4,617","$8,784"
2018-01-31,"$2,887",$751,$608,-,$151,"$4,397",$792,$140,"$2,974",$395,"$4,301","$8,698","$1,361","$1,800",$770,"$2,811","$4,172",$3,$-529,$-269,-,"$4,526","$8,698"
2017-10-31,"$2,678",$724,$575,-,$192,"$4,169",$757,$138,"$2,968",$394,"$4,257","$8,426","$1,263","$1,801",$293,"$2,328","$3,591",$3,$-126,$-346,-,"$4,835","$8,426"
2017-07-31,"$2,563",$678,$566,-,$189,"$3,996",$716,$137,"$2,987",$425,"$4,265","$8,261","$1,241","$1,801",$285,"$2,409","$3,650",$3,$-260,$-417,-,"$4,611","$8,261"
2017-04-30,"$2,389",$677,$548,-,$186,"$3,800",$675,$134,"$2,941",$466,"$4,216","$8,016","$1,187","$1,802",$335,"$2,454","$3,641",$3,$-393,$-477,-,"$4,375","$8,016"
2017-01-31,"$2,241",$653,$551,-,$190,"$3,635",$653,$133,"$2,974",$477,"$4,237","$7,872","$1,089","$1,802",$331,"$2,483","$3,572",$3,$-453,$-489,-,"$4,300","$7,872"
2016-10-31,"$2,289",$631,$533,-,$182,"$3,635",$639,$135,"$2,933",$452,"$4,159","$7,794",$945,"$1,904",$339,"$2,603","$3,548",$6,"$6,089",$-503,-,"$4,246","$7,794"
2016-07-31,"$2,199",$590,$543,-,$198,"$3,530",$623,$155,"$2,967",$459,"$4,204","$7,734","$1,151","$1,652",$356,"$2,237","$3,388",$6,"$6,000",$-345,-,"$4,346","$7,734"
2016-04-30,"$2,139",$602,$555,-,$192,"$3,488",$610,$157,"$3,046",$339,"$4,152","$7,640","$1,133","$1,654",$446,"$2,342","$3,475",$6,"$5,720",$-299,-,"$4,165","$7,640"
2016-01-31,"$1,931",$617,$554,-,$297,"$3,399",$594,$76,"$2,991",$242,"$3,903","$7,302",$947,"$1,653",$412,"$2,307","$3,254",$6,"$5,666",$-438,-,"$4,048","$7,302"
