,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$7,473","$1,342","$1,614",$666,-,"$11,095","$31,699",-,"$6,120","$1,816","$50,913","$62,008","$16,569","$29,796","$8,664","$52,306","$68,875",$6,"$-6,664","$-7,103",-,"$-6,867","$62,008"
2020-09-30,"$8,792","$1,135","$1,633",$780,-,"$12,340","$32,256",-,"$6,130","$1,643","$50,433","$62,773","$16,584","$30,076","$8,648","$51,717","$68,301",$5,"$-4,487","$-6,476",-,"$-5,528","$62,773"
2020-06-30,"$10,352",$879,"$1,653",$905,-,"$13,789","$33,351",-,"$6,140","$1,216","$50,755","$64,544","$18,000","$28,698","$8,024","$49,713","$67,713",$5,"$-2,088","$-6,463",-,"$-3,169","$64,544"
2020-03-31,"$3,733","$1,020","$1,772",$650,-,"$7,175","$34,206",-,"$6,150","$1,193","$51,405","$58,580","$19,213","$21,564","$7,093","$42,003","$61,216",$4,$-21,"$-6,480",-,"$-2,636","$58,580"
2019-12-31,"$3,984","$1,750","$1,851",$621,-,"$8,206","$34,995",-,"$6,175","$1,237","$51,789","$59,995","$18,311","$21,454","$6,875","$41,802","$60,113",$4,"$2,264","$-6,331",-,$-118,"$59,995"
2019-09-30,"$5,326","$1,850","$1,800",$596,-,"$9,572","$34,619",-,"$6,186","$1,290","$51,603","$61,175","$19,560","$21,625","$6,686","$41,455","$61,015",$4,"$1,894","$-5,946",-,$160,"$61,175"
2019-06-30,"$5,564","$1,943","$1,708",$635,-,"$9,850","$34,702",-,"$6,196","$1,325","$52,117","$61,967","$20,123","$21,791","$6,616","$41,866","$61,989",$5,"$1,514","$-5,927",-,$-22,"$61,967"
2019-03-31,"$4,505","$1,876","$1,666",$607,-,"$8,654","$34,410",-,"$6,206","$1,386","$52,133","$60,787","$19,849","$20,660","$6,610","$41,574","$61,423",$5,$897,"$-5,909",-,$-636,"$60,787"
2018-12-31,"$4,914","$1,706","$1,522",$495,-,"$8,637","$34,098",-,"$6,228","$1,321","$51,943","$60,580","$18,096","$21,179","$6,665","$42,653","$60,749",$5,$758,"$-5,896",-,$-169,"$60,580"
2018-09-30,"$5,009","$2,170","$1,576",$743,-,"$9,498","$34,223",-,"$6,238","$1,383","$43,137","$52,635","$16,348","$22,274","$7,683","$36,855","$53,203",$5,$-316,"$-5,203",-,$-568,"$52,635"
2018-06-30,"$4,857","$1,941","$1,522",$856,-,"$9,176","$34,424",-,"$6,248","$1,375","$43,446","$52,622","$16,669","$21,863","$7,841","$36,822","$53,491",$5,$-610,"$-5,187",-,$-869,"$52,622"
2018-03-31,"$5,585","$1,809","$1,455",$824,-,"$9,673","$34,333",-,"$6,284","$1,409","$43,607","$53,280","$17,008","$21,946","$8,085","$37,290","$54,298",$5,"$-1,130","$-5,172",-,"$-1,018","$53,280"
2017-12-31,"$5,384","$1,752","$1,359",$651,-,"$9,146","$34,156",-,"$6,294","$1,373","$43,639","$52,785","$15,358","$22,511","$8,199","$38,207","$53,565",$5,"$-1,345","$-5,154",-,$-780,"$52,785"
2017-09-30,"$6,161","$1,700","$1,315",$826,-,"$10,002","$33,311",-,"$6,305","$2,245","$42,399","$52,401","$15,307","$22,217","$3,462","$33,146","$48,453",$5,"$3,152","$-5,127",-,"$3,948","$52,401"
2017-06-30,"$7,440","$1,543","$1,206",$827,-,"$11,016","$32,993",-,"$6,315","$2,107","$42,320","$53,336","$16,112","$22,525","$3,484","$33,509","$49,621",$5,"$2,577","$-5,112",-,"$3,715","$53,336"
2017-03-31,"$7,219","$1,397","$1,154",$856,-,"$10,626","$32,291",-,"$6,327","$2,004","$42,001","$52,627","$15,286","$22,829","$2,753","$33,884","$49,170",$5,"$1,823","$-5,097",-,"$3,457","$52,627"
2016-12-31,"$6,997","$1,594","$1,094",$639,-,"$10,324","$31,159",-,"$6,264","$2,029","$40,950","$51,274","$13,872","$22,489","$3,286","$33,617","$47,489",$5,"$1,640","$-5,083",-,"$3,785","$51,274"
2016-09-30,"$7,390","$1,703","$1,100",$855,-,"$11,048","$30,304",-,"$6,280","$1,952","$40,060","$51,108","$14,533","$21,545","$2,698","$32,184","$46,717",$5,"$1,403","$-4,778",-,"$4,391","$51,108"
2016-06-30,"$7,758","$1,593",$999,$834,-,"$11,184","$29,611",-,"$6,304","$1,987","$39,867","$51,051","$14,917","$21,131","$2,675","$31,822","$46,739",$5,$719,"$-4,763",-,"$4,312","$51,051"
2016-03-31,"$7,621","$1,450",$886,$845,-,"$10,802","$28,633",-,"$6,327","$2,075","$39,107","$49,909","$15,277","$19,134","$2,723","$29,922","$45,199",$6,$-591,"$-4,749",-,"$4,710","$49,909"
2015-12-31,"$6,949","$1,425",$863,$748,-,"$9,985","$27,510",-,"$6,340","$2,103","$38,430","$48,415","$13,605","$18,330","$2,728","$29,175","$42,780",$6,"$-1,230","$-4,732",-,"$5,635","$48,415"
2015-09-30,"$9,583","$1,828","$1,010","$1,285",-,"$13,706","$26,292",-,"$6,352","$2,365","$35,009","$48,715","$14,161","$18,849","$3,624","$30,792","$44,953",$6,"$-4,445","$-4,651",-,"$3,762","$48,715"
2015-06-30,"$9,666","$1,892","$1,069","$1,482",-,"$14,109","$25,288",-,"$6,365","$2,106","$33,759","$47,868","$15,045","$17,152","$3,604","$29,187","$44,232",$7,"$-6,070","$-4,620",-,"$3,636","$47,868"
2015-03-31,"$9,930","$1,826",$995,"$1,378",-,"$14,129","$24,042",-,"$6,372","$2,211","$32,625","$46,754","$14,233","$17,638","$3,539","$29,757","$43,990",$7,"$-7,702","$-4,590",-,"$2,764","$46,754"
2014-12-31,"$8,077","$1,771","$1,004",$898,-,"$11,750","$23,084",-,"$6,331","$2,060","$31,475","$43,225","$13,404","$16,043","$3,366","$27,800","$41,204",$7,"$-8,562","$-4,559",-,"$2,021","$43,225"
2014-09-30,"$8,774","$1,961","$1,182","$1,533",-,"$13,450","$22,163",-,"$6,394","$2,166","$30,723","$44,173","$13,888","$15,651","$3,589","$25,314","$39,202",$7,"$-9,086","$-1,893",-,"$4,971","$44,173"
2014-06-30,"$10,341","$1,981","$1,093","$1,551",-,"$14,966","$21,236",-,"$6,419","$2,190","$29,845","$44,811","$15,088","$15,205","$3,408","$25,637","$40,725",$7,"$-9,953","$-1,846",-,"$4,086","$44,811"
2014-03-31,"$10,611","$2,008","$1,052","$1,522",-,"$15,193","$19,944",-,"$6,408","$2,192","$28,544","$43,737","$15,079","$15,244","$3,241","$27,563","$42,642",$6,"$-10,816","$-2,135",-,"$1,095","$43,737"
2013-12-31,"$10,286","$1,560","$1,012","$1,465",-,"$14,323","$19,259",-,"$6,397","$2,299","$27,955","$42,278","$13,806","$15,353","$3,159","$31,203","$45,009",$5,"$-11,296","$-2,032",-,"$-2,731","$42,278"
2013-09-30,"$7,698","$1,340",$681,-,$522,"$10,241","$13,472",-,$853,"$2,214","$16,539","$26,780","$10,098","$9,208","$8,755","$24,604","$34,702",$342,"$-9,295","$-3,090",-,"$-7,922","$26,780"
2013-06-30,"$7,073","$1,376",$589,-,$597,"$9,635","$13,550",-,$859,"$2,172","$16,581","$26,216","$10,669","$8,354","$8,707","$23,763","$34,432",$341,"$-9,584","$-3,090",-,"$-8,216","$26,216"
