,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$6,$596,$557,-,$431,"$1,590","$25,541",-,$411,$993,"$28,927","$30,517","$2,105","$10,172","$5,647","$19,781","$21,886",$2,"$2,769",$-15,-,"$8,631","$30,517"
2020-06-30,$8,$562,$514,-,$536,"$1,620","$25,081",-,$411,$917,"$28,396","$30,016","$2,000","$10,171","$5,572","$19,647","$21,647",$2,"$2,525",$-16,-,"$8,369","$30,016"
2020-03-31,$42,$521,$471,-,$430,"$1,464","$24,678",-,$411,$885,"$27,808","$29,272","$2,367","$9,378","$5,473","$18,678","$21,045",$2,"$2,404",$-16,-,"$8,227","$29,272"
2019-12-31,$16,$456,$494,-,$465,"$1,431","$24,376",-,$411,$876,"$27,502","$28,933","$2,505","$8,915","$5,525","$18,227","$20,732",$2,"$2,380",$-17,-,"$8,201","$28,933"
2019-09-30,$20,$534,$488,-,$453,"$1,495","$23,894",-,$411,$780,"$27,051","$28,546","$2,285","$8,651","$5,516","$18,057","$20,342",$2,"$2,408",$-21,-,"$8,204","$28,546"
2019-06-30,$6,$552,$433,-,$523,"$1,514","$23,479",-,$411,$741,"$26,589","$28,103","$2,752","$8,222","$5,435","$17,418","$20,170",$2,"$2,161",$-21,-,"$7,933","$28,103"
2019-03-31,$8,$591,$402,-,$421,"$1,422","$23,044",-,$411,$744,"$26,087","$27,509","$2,392","$8,221","$5,361","$17,270","$19,662",$2,"$2,099",$-21,-,"$7,847","$27,509"
2018-12-31,$16,$542,$483,-,$492,"$1,533","$22,810",-,$411,$650,"$25,682","$27,215","$2,687","$7,859","$5,264","$16,755","$19,442",$2,"$2,024",$-22,-,"$7,773","$27,215"
2018-09-30,$11,$689,$525,-,$415,"$1,640","$22,379",-,$411,$647,"$25,319","$26,959","$2,580","$7,614","$5,292","$16,581","$19,161",$2,"$2,073",$-17,-,"$7,798","$26,959"
2018-06-30,$29,$634,$475,-,$547,"$1,685","$21,998",-,$411,$626,"$24,954","$26,639","$2,711","$7,613","$5,181","$16,400","$19,111",$2,"$1,827",$-19,-,"$7,528","$26,639"
2018-03-31,$30,$612,$453,-,$472,"$1,567","$21,666",-,$411,$532,"$24,512","$26,079","$3,345","$6,766","$4,999","$15,362","$18,707",$2,"$1,699",$-17,-,"$7,372","$26,079"
2017-12-31,$10,$515,$522,-,$565,"$1,612","$21,466",-,$411,$522,"$24,333","$25,945","$2,940","$7,094","$5,025","$15,679","$18,619",$2,"$1,660",$-18,-,"$7,326","$25,945"
2017-09-30,$9,$592,$547,-,$433,"$1,581","$20,906",-,$411,$538,"$24,036","$25,617","$2,581","$6,922","$2,676","$15,549","$18,130",$2,"$1,830",$-21,-,"$7,487","$25,617"
2017-06-30,$10,$523,$512,-,$526,"$1,571","$20,589",-,$411,$526,"$23,683","$25,254","$2,765","$6,821","$2,637","$15,189","$17,954",$2,"$1,649",$-21,-,"$7,300","$25,254"
2017-03-31,$8,$524,$467,-,$451,"$1,450","$20,298",-,$411,$532,"$23,361","$24,811","$2,762","$6,597","$2,623","$14,843","$17,605",$2,"$1,563",$-23,-,"$7,206","$24,811"
2016-12-31,$9,$500,$527,-,$557,"$1,593","$20,113",-,$411,$538,"$23,106","$24,699","$2,674","$6,595","$2,620","$14,780","$17,454",$2,"$1,568",$-23,-,"$7,245","$24,699"
