,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,228.6","$11,396.3",-,-,-,"$13,624.9",$493.3,"$15,809.1","$4,442","$2,707.1","$31,025","$44,649.9","$33,895.3","$2,252.9","$2,546.9","$4,799.8","$38,695.1",$0.6,"$3,548.7",$709.8,-,"$5,954.8","$44,649.9"
2020-09-30,"$2,203","$11,372.9",-,-,-,"$13,575.9",$468.4,"$15,338.9","$4,247.4","$2,546.5","$30,006.7","$43,582.6","$33,266.7","$2,008.6","$2,367.3","$4,375.9","$37,642.6",$1.6,"$6,126",$658.2,-,"$5,940","$43,582.6"
2020-06-30,"$2,137.5","$11,057.3",-,-,-,"$13,194.8",$450.1,"$16,460","$4,563.4","$2,561.7","$31,038.4","$44,233.2","$32,299.5","$2,208","$3,741.2","$5,949.2","$38,248.7",$1.6,"$6,194.4",$568.9,-,"$5,984.5","$44,233.2"
2020-03-31,"$1,999.9","$11,175.5",-,-,-,"$13,175.4",$438.1,"$15,708.7","$4,610.5","$2,288.7","$30,247.9","$43,423.3","$32,247.6","$2,207.5","$3,582","$5,789.5","$38,037.1",$1.6,"$6,061.1",$88.4,-,"$5,386.2","$43,423.3"
2019-12-31,"$1,867.1","$11,286.2",-,-,-,"$13,153.3",$433.7,"$16,718.5","$4,887.9","$2,429.8","$31,137.9","$44,291.2","$32,756.1","$2,006.9","$3,846.1","$5,853","$38,609.1",$1.6,"$5,966.4",$411.5,-,"$5,682.1","$44,291.2"
2019-09-30,"$1,749.3","$11,277.7",-,-,-,"$13,027",$418.8,"$16,756.2","$5,141.1","$2,247.2","$30,724.5","$43,751.5","$32,313.4","$2,006.3","$3,741.4","$5,747.7","$38,061.1",$1.6,"$5,882.9",$405.2,-,"$5,690.4","$43,751.5"
2019-06-30,"$1,490.4","$10,908.3",-,-,-,"$12,398.7",$419.2,"$16,643.3","$5,456.8","$2,453.9","$30,740.8","$43,139.5","$31,470.8","$2,007.3","$3,901.1","$5,908.4","$37,379.2",$1.6,"$5,980.9",$328.7,-,"$5,760.3","$43,139.5"
2019-03-31,"$1,274.2","$10,757.1",-,-,-,"$12,031.3",$409.8,"$16,172.2","$5,795.8","$2,456.4","$30,205.7","$42,237","$30,817","$2,006.6","$3,941.7","$5,948.3","$36,765.3",$1.6,"$5,879.7",$103.4,-,"$5,471.7","$42,237"
2018-12-31,"$1,254","$10,809.5",-,-,-,"$12,063.5",$392.5,"$15,214.8","$6,102","$2,213.5","$29,025.8","$41,089.3","$30,612.6","$2,006","$3,336.8","$5,342.8","$35,955.4",$1.6,"$5,759.7",$-155.4,-,"$5,133.9","$41,089.3"
2018-09-30,"$1,306.6","$12,857.8",-,-,-,"$14,164.4",$381.7,"$15,231.4","$6,860.8","$2,534.7","$29,278.7","$43,443.1","$32,558.5","$2,005.4","$3,639.5","$5,644.9","$38,203.4",$1.6,"$5,777.1",$-97.7,-,"$5,239.7","$43,443.1"
2018-06-30,"$1,253.7","$12,491",-,-,-,"$13,744.7",$370.6,"$14,830.5","$6,996.5","$2,536.3","$28,616.6","$42,361.3","$31,637","$2,004.8","$3,386.6","$5,391.4","$37,028.4",$1.6,"$5,846.3",$-137.9,-,"$5,332.9","$42,361.3"
2018-03-31,"$2,342","$10,526.9",-,-,-,"$12,868.9",$355.2,"$12,113.6","$1,221.5","$2,222.4","$19,559","$32,427.9","$22,991.5","$2,004.4","$2,931","$4,935.4","$27,926.9",$1.5,"$5,815",$51.7,-,"$4,501","$32,427.9"
2017-12-31,$996.8,"$11,027.5",-,-,-,"$12,024.3",$347.6,"$12,405.4","$1,230.7","$2,350.5","$19,818.7","$31,843","$23,774.9","$1,068.2","$2,718.4","$3,786.6","$27,561.5",$1.5,"$5,697.3",$234,-,"$4,281.5","$31,843"
2017-09-30,$992.8,"$11,864.7",-,-,-,"$12,857.5",$358.4,"$11,790.7","$1,248.9","$2,667.1","$19,547.7","$32,405.2","$25,107.6","$1,067.9","$2,091.5","$3,159.4","$28,267",$1.5,"$5,414.6",$256.4,-,"$4,138.2","$32,405.2"
2017-06-30,$848.2,"$10,289.5",-,-,-,"$11,137.7",$355.5,"$11,745.5","$1,250.2","$2,243.4","$18,921.2","$30,058.9","$22,595.1","$1,136.6","$2,102.6","$3,239.2","$25,834.3",$1.5,"$5,500.7",$236.9,-,"$4,224.6","$30,058.9"
2017-03-31,$874.5,"$10,112.8",-,-,-,"$10,987.3",$348.8,"$11,565","$1,254.6","$2,122","$18,580.4","$29,567.7","$22,268.5","$1,067.3","$2,073.1","$3,140.4","$25,408.9",$1.5,"$5,410.8",$148.3,-,"$4,158.8","$29,567.7"
2016-12-31,"$1,032","$10,301.2",-,-,-,"$11,333.2",$343.6,"$11,589.1","$1,103.3","$2,072.5","$18,375.9","$29,709.1","$22,507.8","$1,067","$2,036.2","$3,103.2","$25,611",$1.5,"$5,296.7",$94.6,-,"$4,098.1","$29,709.1"
2016-09-30,"$1,116.623","$10,372.69",-,-,-,"$11,489.31",$337.1,"$12,149.91","$1,137.315","$2,136.109","$18,794.53","$30,283.84","$22,392.01","$1,165.557","$2,164.275","$3,386.915","$25,778.92",$1.503,"$5,295.671",$328.106,-,"$4,504.914","$30,283.84"
2016-06-30,"$1,232.674","$9,945.642",-,-,-,"$11,178.32",$327.861,"$12,073.48","$1,121.22","$2,101.731","$18,625.9","$29,804.21","$21,690.4","$1,165.255","$2,259.186","$3,505.743","$25,196.14",$1.502,"$5,181.375",$327.254,-,"$4,608.071","$29,804.21"
2016-03-31,"$2,060.815","$10,021.35",-,-,-,"$12,082.17",$312.324,"$11,539.68","$1,152.847","$2,120.565","$18,205.03","$30,287.2","$21,664.78","$1,414.704","$2,384.976","$4,057.767","$25,722.55",$1.5,"$5,044.544",$225.24,-,"$4,564.645","$30,287.2"
2015-12-31,"$1,288.305","$8,731.12",-,-,-,"$10,019.42",$298.414,"$13,124.52","$1,151.829","$2,291.285","$20,016.98","$30,036.4","$22,362.93","$1,164.656","$1,984.848","$3,149.504","$25,512.44",$1.497,"$4,856.674",$118.549,-,"$4,523.967","$30,036.4"
2015-09-30,"$1,543.936","$8,554.288",-,-,-,"$10,098.22",$286.751,"$13,636.56","$1,185.899","$2,252.354","$20,487.87","$30,586.09","$22,740.98","$1,222.339","$1,939.169","$3,161.508","$25,902.49",$1.497,"$4,824.192",$246.038,-,"$4,683.599","$30,586.09"
2015-06-30,"$1,297.436","$8,803.226",-,-,-,"$10,100.66",$289.416,"$13,838.88","$1,216.156","$2,318.734","$20,741.42","$30,842.08","$22,611.1","$1,266.518","$2,109.558","$3,403.021","$26,014.12",$1.496,"$4,851.67",$348.419,-,"$4,827.96","$30,842.08"
2015-03-31,"$1,065.165","$8,779.269",-,-,-,"$9,844.434",$286.186,"$14,317.12","$1,203.359","$2,321.848","$20,955.92","$30,800.36","$22,258.2","$1,264.394","$2,118.363","$3,413.95","$25,672.14",$1.493,"$4,840.497",$548.997,-,"$5,128.212","$30,800.36"
2014-12-31,"$1,318.656","$8,700.215",-,-,-,"$10,018.87",$277.645,"$14,270.32","$1,268.661","$2,769.229","$21,543.59","$31,562.47","$23,031.88","$1,267.065","$2,082.215","$3,349.28","$26,381.16",$1.49,"$4,809.287",$555.767,-,"$5,181.307","$31,562.47"
2014-09-30,"$1,411.266","$7,489.908",-,-,-,"$8,901.174",$274.419,"$14,759.92","$1,233.331","$2,226.473","$21,771.96","$30,673.13","$21,676.76","$1,266.978","$2,039.16","$3,653.805","$25,330.57",$1.49,"$4,778.645",$659.746,-,"$5,342.563","$30,673.13"
