,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,999.4","$1,409.3",$775.7,$648.6,-,"$5,833","$1,238.8",-,"$8,102.5",$506.2,"$12,270","$18,103","$1,624.7","$2,419.6",$598.2,"$4,827.1","$6,451.8",-,"$5,243.2",$-124.6,-,"$11,651.2","$18,103"
2020-09-30,"$2,296.9","$1,437.1",$729,$604.8,-,"$5,067.8","$1,214.5",-,"$8,157.3",$618.2,"$12,480.6","$17,548.4","$1,331","$2,453.3",$695.2,"$5,142.5","$6,473.5",-,"$4,707.4",$-119.2,-,"$11,074.9","$17,548.4"
2020-06-30,"$2,851.8","$1,372.2",$577.7,$566.2,-,"$5,367.9","$1,196.4",-,"$7,134.9",$461.7,"$11,335.3","$16,703.2","$1,120.1","$2,311.6",$664.5,"$5,092.3","$6,212.4",-,"$4,129.3",$-110.9,-,"$10,490.8","$16,703.2"
2020-03-31,"$2,362.8","$1,345.2",$586.8,$575.4,-,"$4,870.2","$1,159.9",-,"$9,259.7",$432,"$13,278.3","$18,148.5","$1,119.9","$2,343.3",$661.4,"$5,280.8","$6,400.7",-,"$5,197.4",$-101.5,-,"$11,747.8","$18,148.5"
2019-12-31,"$2,749.5","$1,243.2",$627.6,$456.1,-,"$5,076.4","$1,163.3",-,"$8,381.7",$429,"$12,468.2","$17,544.6","$1,194.3","$2,375",$458,"$5,078.5","$6,272.8",-,"$4,639.8",$-66.8,-,"$11,271.8","$17,544.6"
2019-09-30,"$2,215.7","$1,116.3",$576.7,$432.5,-,"$4,341.2","$1,148",-,"$8,447.5",$671.4,"$10,473.8","$14,815","$1,091.2","$2,406.7",$468.4,"$3,356.6","$4,447.8",-,"$3,750.8",$-48.2,-,"$10,367.2","$14,815"
2019-06-30,"$2,089.6","$1,123.6",$494.6,$460.7,-,"$4,168.5","$1,123.5",-,"$8,525",$541.2,"$10,399.2","$14,567.7","$1,031.5","$2,438.3",$427.7,"$3,372.7","$4,404.2",-,"$3,283.2",$-57.9,-,"$10,163.5","$14,567.7"
2019-03-31,"$1,655.1","$1,016.3",$482.2,$497,-,"$3,650.6","$1,095.7",-,"$8,598.2",$462.3,"$10,349","$13,999.6",$943.8,"$2,470",$422.3,"$3,349.2","$4,293",-,"$2,823.4",$-20.5,-,"$9,706.6","$13,999.6"
2018-12-31,"$1,563.8",$922.3,$472.5,$426.4,-,"$3,385","$1,471.5",-,"$8,678.7",$294.9,"$10,546.9","$13,931.9","$1,174","$2,862.7",$338.8,"$3,592.6","$4,766.6",-,"$2,325.8",$-9.7,-,"$9,165.3","$13,931.9"
2018-09-30,"$1,535.1",$910.2,$432.7,$370.4,-,"$3,248.4","$1,443.4",-,"$8,751",$400.8,"$10,595.2","$13,843.6","$1,027.4","$2,894.5",$309.2,"$3,646.5","$4,673.9",-,"$2,370.9",$6.9,-,"$9,169.7","$13,843.6"
2018-06-30,"$1,177",$853.7,$463.2,$342.2,-,"$2,836.1","$1,422.6",-,"$8,831.2",$400.5,"$10,654.3","$13,490.4","$1,044.4","$2,926.3",$288.3,"$3,678.6","$4,723",-,"$2,040",$-2.9,-,"$8,767.4","$13,490.4"
2018-03-31,"$1,590.9",$776.7,$456.5,$327.9,-,"$3,152","$1,379.3",-,"$8,911.5",$387.4,"$10,678.2","$13,830.2",$942,"$3,029",$303.8,"$3,775.5","$4,717.5",-,"$2,497.4",$-45.7,-,"$9,112.7","$13,830.2"
2017-12-31,"$1,474.1",$726.5,$460.4,$292.9,-,"$2,953.9","$1,325.4",-,"$8,991.8",$312.2,"$10,629.4","$13,583.3",$952.5,"$3,063.6",$309.1,"$3,737.7","$4,690.2",-,"$2,242.1",$-34.4,-,"$8,893.1","$13,583.3"
2017-09-30,"$1,529",$705,$441,$207,-,"$2,882","$1,354",-,"$9,069",$338,"$10,761","$13,643",$972,"$3,096",$278,"$3,727","$4,699",-,"$2,212",$-37,-,"$8,944","$13,643"
2017-06-30,"$1,444",$710,$410,$225,-,"$2,789","$1,233",-,"$9,149",$318,"$10,700","$13,489",$856,"$3,081",$290,"$3,758","$4,614",-,"$2,134",$-14,-,"$8,875","$13,489"
2017-03-31,"$1,462",$660,$396,$215,-,"$2,733","$1,138",-,"$9,260",$304,"$10,702","$13,435",$837,"$3,116",$242,"$3,742","$4,579",-,"$1,969",$36,-,"$8,856","$13,435"
2016-12-31,"$1,293.4",$649.6,$374.7,$260.5,-,"$2,578.2","$1,035.6",-,"$9,340.5",$299,"$10,675.1","$13,253.3",$822.9,"$3,121.5",$219.6,"$3,736.6","$4,559.5",-,"$1,817.6",$60.5,-,"$8,693.8","$13,253.3"
2016-09-30,"$1,312.871",$676.837,$363.058,$241.768,-,"$2,594.534",$931.06,-,"$9,505.17",$262.698,"$10,698.93","$13,293.46","$1,034.341","$3,153.826",$257.398,"$3,755.018","$4,789.359",$0.023,"$1,724.809",$-16.617,-,"$8,504.103","$13,293.46"
2016-06-30,"$1,180.051",$609.297,$329.847,$242.014,-,"$2,361.209",$825.301,-,"$9,585.206",$257.631,"$10,668.14","$13,029.35",$658.462,"$3,367.531",$233.941,"$4,171.546","$4,830.008",$0.023,"$1,387.504",$0.694,-,"$8,199.339","$13,029.35"
2016-03-31,"$1,027.552",$586.249,$293.962,$219.746,-,"$2,127.509",$749.295,-,"$9,677.138",$248.503,"$10,674.94","$12,802.45",$603.613,"$3,385.742",$214.903,"$4,136.555","$4,740.168",$0.023,"$1,272.561",$3.815,-,"$8,062.277","$12,802.45"
2015-12-31,"$1,385",$533,$290,$208,-,"$2,416",$697,-,"$9,756",$228,"$10,681","$13,097",$709,"$3,405",$195,"$4,129","$4,838",-,"$1,181",$62,-,"$8,259","$13,097"
2015-09-30,"$1,458.492",$512.253,$236.542,$272.932,-,"$2,480.219",$618.733,-,"$9,803.42",$250.643,"$10,672.8","$13,153.01",$766.86,"$3,474.604",$241.363,"$4,133.286","$4,900.146",$0.023,"$1,113.791",$54.428,-,"$8,252.869","$13,153.01"
2015-06-30,"$1,494.352",$535.824,$234.347,$268.715,-,"$2,533.238",$555.388,-,"$9,831.662",$247.431,"$10,634.48","$13,167.72",$769.169,"$3,498.31",$347.369,"$3,845.679","$4,614.848",$0.023,"$1,297.548",$62.516,-,"$8,552.871","$13,167.72"
2015-03-31,"$1,925.092",$479.883,$174.498,$273.514,-,"$2,852.987",$440.487,-,$841.108,$280.343,"$1,561.938","$4,414.925",$580.439,$114.912,$202.672,$317.584,$898.023,$0.02,"$1,127.333",$119.489,-,"$3,516.902","$4,414.925"
2014-12-31,"$1,961.566",$432.888,$176.441,$225.134,-,"$2,796.029",$392.248,-,$841.119,$172.566,"$1,405.933","$4,201.962",$606.74,$116.599,$169.559,$293.204,$899.944,$0.02,"$1,036.01",$56.785,-,"$3,302.018","$4,201.962"
2014-09-30,"$1,781.707",$436.467,$140.044,$147.279,-,"$2,559.878",$328.476,-,$851.333,$101.58,"$1,331.009","$3,890.887",$502.537,$108.53,$151.81,$265.311,$767.848,$0.02,$882.678,$48.5,-,"$3,123.039","$3,890.887"
2014-06-30,"$1,594.362",$440.699,$144.859,$111.105,-,"$2,341.306",$273.326,-,$853.859,$77.902,"$1,212.504","$3,553.81",$417.701,$93.015,$161.416,$254.527,$672.228,$0.02,$704.947,$-32.45,-,"$2,881.582","$3,553.81"
2014-03-31,"$1,557.478",$429.021,$126.154,$87.356,-,"$2,245.88",$218.086,-,$857.094,$55.24,"$1,133.786","$3,379.666",$396.822,$83.917,$151.963,$281.866,$678.688,$0.02,$538.452,$-26.435,-,"$2,700.978","$3,379.666"
2013-12-31,"$1,514.851",$421.752,$102.602,$106.22,-,"$2,186.857",$201.109,-,$863.792,$62.544,"$1,130.839","$3,317.696",$582.429,$97.23,$154.717,$353.188,$935.617,$0.02,$379.098,$-22.857,-,"$2,382.079","$3,317.696"
2013-09-30,"$1,302.755",$404.956,$105.196,$78.775,-,"$1,915.502",$178.842,-,$900.211,$45.497,"$1,134.293","$3,049.795",$395.456,$89.251,$196.715,$299.573,$695.029,$0.02,$398.09,$-12.223,-,"$2,354.766","$3,049.795"
2013-06-30,"$1,119.39",$355.284,$112.627,$71.44,-,"$1,678.633",$173.721,-,$897.325,$55.825,"$1,136.605","$2,815.238",$302.978,$95.854,$184.111,$300.72,$603.698,$0.02,$304.305,$19.526,-,"$2,211.54","$2,815.238"
2013-03-31,"$1,022.96",$323.907,$101.856,$81.323,-,"$1,550.041",$164.966,-,$899.038,$59.856,"$1,135.84","$2,685.881",$295.747,$101,$177.961,$300.081,$595.828,$0.02,$208.42,$30.962,-,"$2,090.053","$2,685.881"
2012-12-31,$989.501,$295.598,$94.521,$89.894,-,"$1,495.6",$165.629,-,$900.323,$38.054,"$1,117.96","$2,613.56",$360.089,$101,$161.794,$282.621,$642.71,$0.02,$126.203,$6.635,-,"$1,970.85","$2,613.56"
2012-09-30,$905.526,$311.369,$90.049,$84.27,-,"$1,410.391",$165.047,-,$902.145,$13.516,"$1,095.217","$2,505.608",$361.942,$113,$158.231,$271.231,$633.173,$0.019,$45.23,$2.345,-,"$1,872.435","$2,505.608"
2012-06-30,$806.21,$282.722,$94.108,$73.994,-,"$1,276.161",$164.568,-,$931.201,$19.25,"$1,181.449","$2,457.61",$375.162,$180,$152.754,$332.754,$707.916,$0.019,$-46.948,$16.542,-,"$1,749.694","$2,457.61"
2012-03-31,$359.388,$267.397,$92.906,$73.195,-,$811.934,$165.763,-,$941.318,$17.896,"$1,205.53","$2,017.464",$353.677,$247,$147.997,$450.507,$804.184,$0.019,$-83.206,$7.556,-,"$1,213.28","$2,017.464"
2011-12-31,$540.865,$244.288,$81.386,$55.599,-,$941.27,$165.852,-,$171.243,$12.518,$453.481,"$1,394.751",$227.785,-,$32.471,$32.474,$260.259,$0.019,$-128.619,$4.179,-,"$1,134.492","$1,394.751"
2011-09-30,$445.188,$221.293,$78.302,$52.578,-,$817.356,$164.153,-,$172.844,$11.23,$487.686,"$1,305.042",$211.244,$0.286,$27.78,$38.07,$249.314,$0.019,$-176.789,$-3.104,-,"$1,055.728","$1,305.042"
2011-06-30,$368.009,$212.72,$75.222,$23.581,-,$700.395,$163.763,-,$174.052,$5.847,$479.18,"$1,179.575",$187.78,$0.378,$27.956,$38.293,$226.073,$0.018,$-242.359,$-19.627,-,$953.502,"$1,179.575"
2011-03-31,$348.784,$200.729,$74.398,$24.865,-,$669.246,$160.625,-,$174.413,$5.401,$485.283,"$1,154.529",$217.182,$0.462,$25.261,$35.982,$253.164,$0.006,$-277.104,$-14.275,-,$901.365,"$1,154.529"
2010-12-31,$361.605,$168.732,$62.165,$34.411,-,$646.556,$162.24,-,$44.1,$4.572,$365.481,"$1,012.037",$138.515,$4.462,$9.324,$13.786,$152.301,$0.018,$-303.934,$-7.14,-,$859.736,"$1,012.037"
2010-09-30,$298.554,$154.088,$60.412,$25.469,-,$558.237,$162.111,-,$45.193,$12.27,$384.02,$942.257,$117.663,$4.024,$8.537,$12.778,$130.441,$0.005,$-330.384,$-4.599,-,$811.816,$942.257
2010-06-30,$248.825,$127.023,$57.747,$41.374,-,$491.785,$161.871,-,$46.253,$8.59,$397.809,$889.594,$89.229,$4.099,$3.847,$8.151,$97.38,$0.005,$-358.257,$21.383,-,$792.214,$889.594
2010-03-31,$204.704,$126.66,$55.552,$26.453,-,$430.081,$162.966,-,$47.368,$7.42,$405.682,$835.763,$81.435,$9.356,$2.303,$11.853,$93.288,$0.005,$-380.031,$10.628,-,$742.475,$835.763
2009-12-31,$176.22,$113.731,$40.885,$25.894,-,$373.456,$164.691,-,$48.543,$5.403,$412.945,$786.401,$85.262,$10.421,$2.158,$12.783,$98.045,$0.005,$-400.964,$-1.942,-,$688.356,$786.401
2009-09-30,$165.782,$109.455,$40.999,$14.926,-,$332.144,$162.221,-,$49.201,$3.428,$219.862,$552.006,$107.945,$10.414,$5.485,$16.823,$124.768,$0.005,$-638.092,$-10.637,-,$427.238,$552.006
2009-06-30,$145.803,$94.954,$45.495,$12.999,-,$300.23,$155.419,-,$50.202,$4.156,$214.755,$514.985,$112.198,$9.962,$5.455,$16.34,$128.538,$0.005,$-664.823,$-5.408,-,$386.447,$514.985
2009-03-31,$139.039,$79.991,$49.36,$17.007,-,$286.366,$144.833,-,$51.054,$5.242,$205.276,$491.642,$70.084,$141.347,$4.594,$146.847,$216.931,$0.005,$-681.625,$3.436,-,$274.711,$491.642
2008-12-31,$138.012,$74.476,$49.821,$13.82,-,$277.101,$139.885,-,$52.279,$4.889,$200.45,$477.551,$84.418,$141.425,$3.801,$146.132,$230.55,$0.005,$-696.13,$2.947,-,$247.001,$477.551
2008-09-30,$125.85,$70.715,$49.724,$24.131,-,$270.42,$128.45,-,$29.946,$1.527,$159.923,$430.343,$61.387,$194.28,$0.916,$195.196,$256.583,$0.008,$-711.466,$4.967,-,$173.76,$430.343
