,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,290","$2,076","$1,399",$378,-,"$6,143",$641,$63,$289,$373,"$2,819","$8,962","$2,417",$330,$177,$708,"$3,125",$12,"$-4,605",$17,-,"$5,837","$8,962"
2020-09-30,"$1,771","$2,138","$1,292",$299,-,"$5,500",$595,$60,$289,$364,"$1,523","$7,023","$2,417",$373,$161,$739,"$3,156",$12,"$-6,386",$5,-,"$3,867","$7,023"
2020-06-30,"$1,775","$1,799","$1,324",$211,-,"$5,109",$585,$59,$289,$326,"$1,474","$6,583","$2,434",$490,$150,$844,"$3,278",$12,"$-6,776",$-4,-,"$3,305","$6,583"
2020-03-31,"$1,385","$1,691","$1,056",$258,-,"$4,390",$540,$58,$289,$366,"$1,474","$5,864","$1,985",$488,$143,$842,"$2,827",$12,"$-6,933",$-14,-,"$3,037","$5,864"
2019-12-31,"$1,503","$1,879",$982,$233,-,"$4,597",$500,$58,$289,$357,"$1,431","$6,028","$2,359",$486,$157,$842,"$3,201",$12,"$-7,095",-,-,"$2,827","$6,028"
2019-09-30,"$1,209","$1,393","$1,040",$270,-,"$3,912",$453,$59,$289,$335,"$1,341","$5,253","$1,864",$872,$140,"$1,213","$3,077",$11,"$-7,265",$-7,-,"$2,176","$5,253"
2019-06-30,"$1,128","$1,333","$1,015",$278,-,"$3,754",$458,$58,$289,$331,"$1,348","$5,102","$1,804","$1,031",$155,"$1,397","$3,201",$11,"$-7,385",-,-,"$1,901","$5,102"
2019-03-31,"$1,194","$1,241",$955,$115,$172,"$3,677",$377,$57,$289,$317,"$1,254","$4,931","$1,764","$1,024",$142,"$1,379","$3,143",$11,"$-7,420",$-1,-,"$1,788","$4,931"
2018-12-31,"$1,156","$1,235",$845,$304,-,"$3,540",$348,$58,$289,$321,"$1,016","$4,556","$1,984","$1,114",$192,"$1,306","$3,290",$10,"$-7,436",$-8,-,"$1,266","$4,556"
2018-09-30,"$1,056","$1,207",$738,$113,$200,"$3,314",$318,$58,$289,$368,"$1,033","$4,347","$1,878","$1,167",$177,"$1,344","$3,222",$10,"$-7,474",$-10,-,"$1,125","$4,347"
2018-06-30,$983,"$1,118",$750,$93,$155,"$3,099",$295,$57,$289,$363,"$1,004","$4,103","$1,868","$1,170",$186,"$1,356","$3,224",$10,"$-7,576",$-10,-,$879,"$4,103"
2018-03-31,"$1,045",$738,$715,$85,$168,"$2,751",$290,$57,$289,$376,"$1,012","$3,763","$1,697","$1,165",$186,"$1,351","$3,048",$10,"$-7,692",$3,-,$715,"$3,763"
2017-12-31,"$1,185",$454,$694,$110,$191,"$2,634",$261,$58,$289,$310,$918,"$3,552","$1,513","$1,325",$118,"$1,443","$2,956",$9,"$-7,775",$6,-,$596,"$3,552"
2017-09-30,$879,$771,$794,$98,$157,"$2,699",$236,$57,$289,$305,$887,"$3,586","$1,591","$1,356",$119,"$1,475","$3,066",$10,"$-7,821",$2,-,$520,"$3,586"
2017-06-30,$844,$614,$833,$78,$142,"$2,511",$200,$58,$289,$312,$859,"$3,370","$1,449","$1,375",$129,"$1,504","$2,953",$9,"$-7,892",-,-,$417,"$3,370"
2017-03-31,$943,$494,$839,$104,$118,"$2,498",$180,$58,$289,$274,$801,"$3,299","$1,372","$1,408",$110,"$1,518","$2,890",$9,"$-7,876",$-4,-,$409,"$3,299"
2016-12-31,"$1,264",$311,$751,$95,$109,"$2,530",$164,$59,$289,$279,$791,"$3,321","$1,346","$1,435",$124,"$1,559","$2,905",$9,"$-7,803",$-5,-,$416,"$3,321"
2016-09-30,"$1,258",$640,$772,$76,$78,"$2,824",$161,$60,$289,$282,$792,"$3,616","$1,473","$1,632",$126,"$1,758","$3,231",$9,"$-7,752",$-3,-,$385,"$3,616"
2016-06-30,$957,$671,$743,$80,$55,"$2,506",$169,$62,$289,$290,$810,"$3,316","$1,581","$2,012",$136,"$2,148","$3,729",$8,"$-7,346",$-3,-,$-413,"$3,316"
2016-03-31,$716,$508,$675,$75,$252,"$2,226",$176,-,$278,$301,$755,"$2,981","$1,328","$2,006",$150,"$2,156","$3,484",$8,"$-7,415",$-6,-,$-503,"$2,981"
2015-12-31,$785,$533,$678,$76,$248,"$2,320",$188,-,$278,$298,$764,"$3,084","$1,403","$2,007",$86,"$2,093","$3,496",$8,"$-7,306",$-8,-,$-412,"$3,084"
2015-09-30,$755,$648,$761,$83,$219,"$2,466",$194,-,$283,$286,$763,"$3,229","$1,449","$2,030",$86,"$2,116","$3,565",$8,"$-7,204",$-15,-,$-336,"$3,229"
2015-06-30,$829,$687,$799,$136,-,"$2,451",$289,-,$320,$321,$930,"$3,381","$1,399","$2,034",$89,"$2,123","$3,522",$8,"$-7,007",$-5,-,$-141,"$3,381"
2015-03-31,$906,$771,$688,$132,-,"$2,497",$297,-,$320,$314,$931,"$3,428","$1,292","$2,033",$86,"$2,119","$3,411",$8,"$-6,826",$-12,-,$17,"$3,428"
2014-12-31,"$1,040",$818,$685,$145,$48,"$2,736",$302,-,$385,$344,"$1,031","$3,767","$1,440","$2,035",$105,"$2,140","$3,580",$8,"$-6,646",$-5,-,$187,"$3,767"
2014-09-30,$938,$973,$897,$212,-,"$3,020",$328,-,$622,$355,"$1,305","$4,325","$1,566","$2,106",$118,"$2,224","$3,790",$8,"$-6,282",$-1,-,$535,"$4,325"
2014-06-30,$948,$872,$960,$152,-,"$2,932",$329,-,$625,$360,"$1,314","$4,246","$1,505","$2,109",$131,"$2,240","$3,745",$8,"$-6,299",$1,-,$501,"$4,246"
2014-03-31,$902,$840,$869,$79,-,"$2,690",$337,$80,$628,$373,"$1,418","$4,108","$1,384","$2,078",$135,"$2,213","$3,597",$8,"$-6,263",$-3,-,$511,"$4,108"
2013-12-31,"$1,097",$832,$884,$71,-,"$2,884",$346,$90,$631,$386,"$1,453","$4,337","$1,618","$1,998",$177,"$2,175","$3,793",$7,"$-6,243",$-2,-,$544,"$4,337"
2013-09-30,"$1,060",$873,$922,$84,-,"$2,939",$358,$121,$635,$264,"$1,378","$4,317","$1,762","$2,044",$77,"$2,121","$3,883",$7,"$-6,332",$-2,-,$434,"$4,317"
2013-06-30,$968,$670,$711,$109,-,"$2,458",$402,$149,$640,$248,"$1,439","$3,897","$1,451","$2,042",$45,"$2,087","$3,538",$7,"$-6,380",$-6,-,$359,"$3,897"
2013-03-31,"$1,003",$645,$613,$77,-,"$2,338",$411,$180,$645,$223,"$1,459","$3,797","$1,321","$2,039",$22,"$2,061","$3,382",$7,"$-6,306",$-4,-,$415,"$3,797"
2012-12-31,"$1,002",$630,$562,$71,-,"$2,265",$658,$181,$649,$247,"$1,735","$4,000","$1,397","$2,037",$28,"$2,065","$3,462",$7,"$-6,160",$-3,-,$538,"$4,000"
2012-09-30,"$1,300",$683,$744,$88,-,"$2,815",$685,$180,$653,$279,"$1,797","$4,612","$1,555","$2,035",$33,"$2,068","$3,623",$7,"$-5,687",$-2,-,$989,"$4,612"
2012-06-30,"$1,579",$744,$833,$77,-,"$3,233",$707,$180,$658,$263,"$1,808","$5,041","$2,352","$1,532",$40,"$1,572","$3,924",$7,"$-5,530",$-4,-,"$1,117","$5,041"
2012-03-31,"$1,544",$962,$585,$104,-,"$3,195",$715,$169,$662,$247,"$1,793","$4,988","$2,347","$1,529",$60,"$1,589","$3,936",$7,"$-5,567",$-3,-,"$1,052","$4,988"
2011-12-31,"$1,765",$919,$476,$69,-,"$3,229",$726,$427,$331,$241,"$1,725","$4,954","$1,774","$1,527",$63,"$1,590","$3,364",$7,"$-4,977",$-5,-,"$1,590","$4,954"
2011-09-30,"$1,807",$908,$540,$157,-,"$3,412",$697,$536,$334,$257,"$1,824","$5,236","$1,855","$1,571",$66,"$1,637","$3,492",$7,"$-4,800",$-8,-,"$1,744","$5,236"
2011-06-30,"$1,861",$759,$642,$176,-,"$3,438",$686,$486,$342,$272,"$1,786","$5,224","$1,312","$2,195",$76,"$2,271","$3,583",$7,"$-4,897",-,-,"$1,641","$5,224"
2011-03-31,"$1,745",$797,$648,$221,-,"$3,411",$676,$486,$351,$285,"$1,798","$5,209","$1,375","$2,192",$84,"$2,276","$3,651",$7,"$-4,958",$2,-,"$1,558","$5,209"
2010-12-31,"$1,789",$968,$632,$205,-,"$3,594",$700,-,$323,$347,"$1,370","$4,964","$1,674","$2,188",$89,"$2,277","$3,951",$7,"$-5,468",$1,-,"$1,013","$4,964"
2010-09-30,"$1,726",$765,$622,$99,-,"$3,212",$723,-,$371,$289,"$1,383","$4,595","$1,665","$2,185",$131,"$2,316","$3,981",$7,"$-5,843",$12,-,$614,"$4,595"
2010-06-30,"$1,896",$725,$581,$111,-,"$3,313",$755,$148,$387,$352,"$1,642","$4,955","$1,630","$2,418",$154,"$2,573","$4,203",$7,"$-5,725",$7,-,$752,"$4,955"
2010-03-31,"$1,932",$675,$577,$147,-,"$3,331",$789,$270,$404,$438,"$1,901","$5,232","$1,645","$2,601",$189,"$2,791","$4,436",$7,"$-5,682",$22,-,$796,"$5,232"
2009-12-31,"$2,676",$745,$567,$287,-,"$4,275","$3,809",-,$421,$573,"$4,803","$9,078","$2,210","$4,252",$892,"$6,220","$8,430",$7,"$-5,939",$154,-,$648,"$9,078"
2009-09-30,"$2,511",$572,$515,$279,-,"$3,918","$3,895",-,$439,$495,"$4,829","$8,747","$2,076","$5,275",$645,"$7,240","$9,316",$7,"$-7,125",$137,-,$-569,"$8,747"
2009-06-30,"$2,514",$366,$493,$302,-,"$3,713","$4,042",-,$456,$472,"$4,970","$8,683","$2,022","$5,243",$577,"$7,126","$9,148",$7,"$-6,997",$127,-,$-465,"$8,683"
2009-03-31,"$2,719",$414,$539,$254,-,"$3,971","$4,137",-,$473,$471,"$5,081","$9,052","$2,079","$5,282",$546,"$7,136","$9,215",$7,"$-6,667",$117,-,$-163,"$9,052"
2008-12-31,"$1,096",$320,$656,$279,-,"$2,379","$4,296",-,$491,$506,"$5,293","$7,672","$2,226","$4,490",$569,"$5,319","$7,545",$6,"$-6,244",$108,-,$127,"$7,672"
2008-09-30,"$1,341",$620,$844,$240,-,"$3,297","$4,440",-,"$1,169",$535,"$6,144","$9,441","$2,392","$4,874",$657,"$5,710","$8,102",$6,"$-4,774",$126,-,"$1,339","$9,441"
2008-06-30,"$1,567",$437,$791,$244,-,"$3,431","$4,599",-,"$1,198",$556,"$6,353","$9,784","$2,468","$4,955",$695,"$5,842","$8,310",$6,"$-4,647",$153,-,"$1,474","$9,784"
2008-03-31,"$1,753",$538,$785,$332,-,"$3,513","$4,765",-,"$2,444",$486,"$7,695","$11,208","$2,738","$5,025",$615,"$5,833","$8,571",$6,"$-3,458",$148,-,"$2,637","$11,208"
2007-12-31,"$1,889",$640,$810,$401,-,"$4,563","$4,716",-,"$1,751",$520,"$6,987","$11,550","$2,625","$5,031",$633,"$5,935","$8,560",$6,"$-3,100",$163,-,"$2,990","$11,550"
2007-09-30,"$1,528",$682,$839,$432,-,"$3,543","$4,725",-,"$4,159",$507,"$9,391","$12,934","$2,702","$5,117",$650,"$6,107","$8,809",$6,"$-1,328",$167,-,"$4,125","$12,934"
2007-06-30,"$1,594",$665,$892,$393,-,"$3,598","$4,575",$326,"$4,245",$478,"$9,626","$13,224","$2,476","$5,318",$610,"$6,276","$8,752",$6,$-932,$161,-,"$4,472","$13,224"
2007-03-31,"$1,167",$680,$938,$331,-,"$3,187","$4,405",$345,"$4,322",$448,"$9,525","$12,712","$2,911","$3,659",$591,"$4,596","$7,507",$6,$-332,$159,-,"$5,205","$12,712"
2006-12-31,"$1,541","$1,140",$814,$443,-,"$3,963","$3,987",$371,"$4,424",$402,"$9,184","$13,147","$2,905","$3,672",$517,"$4,457","$7,362",$5,$308,$156,-,"$5,785","$13,147"
2006-09-30,"$2,356.903",$709.216,$465.716,$305.045,-,"$3,911.861","$3,403.879",$671.249,-,$386.839,"$4,467.383","$8,379.244","$1,892.211",$644.357,$482.204,"$1,474.538","$3,366.749",$4.871,$881.632,$167.313,-,"$5,012.495","$8,379.244"
2006-06-30,"$2,530.062",$592.264,$405.285,$287.598,-,"$3,905.532","$3,163.181",$686.984,-,$299.535,"$4,156.363","$8,061.895","$1,754.489",$647.109,$450.289,"$1,454.816","$3,209.305",$4.856,$747.16,$178.79,-,"$4,852.59","$8,061.895"
2006-03-31,"$2,632.663",$858.823,$337.216,$283.171,-,"$4,216.853","$2,874.887",$700.329,-,$252.066,"$3,835.192","$8,052.045","$1,948.524",$615.874,$428.074,"$1,393.6","$3,342.124",$4.832,$658.262,$177.207,-,"$4,709.921","$8,052.045"
2005-12-31,"$1,795",$948,$389,$334,-,"$3,559","$2,701",$721,-,$304,"$3,729","$7,288","$1,822","$1,327",$459,"$2,114","$3,936",$4,$474,$164,-,"$3,352","$7,288"
2005-09-30,"$1,342.167",$870.363,$931.763,$263.878,-,"$3,462.403","$4,321.384",-,-,$376.169,"$4,697.553","$8,159.956","$2,212.355","$1,708.872",$436.802,"$2,973.356","$5,185.711",$4.02,$378.067,$153.654,-,"$2,974.245","$8,159.956"
2005-06-30,"$1,220.064",$735.687,$911.163,$309.491,-,"$3,248.061","$4,145.483",-,-,$379.018,"$4,524.501","$7,772.562","$1,997.684","$1,591.584",$462.314,"$2,928.269","$4,925.953",$3.963,$302.208,$170.099,-,"$2,846.609","$7,772.562"
2005-03-31,"$1,084.809",$698.308,$846.152,$421.706,-,"$3,127.474","$4,316.548",-,-,$377.752,"$4,694.3","$7,821.774","$1,903.474","$1,622.046",$488.035,"$2,983.603","$4,887.077",$3.947,$290.917,$287.701,-,"$2,934.697","$7,821.774"
