,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,212.822",$597.472,$559.171,-,$153.005,"$2,522.47",$526.53,$292.625,"$6,848.625",-,"$7,835.013","$10,357.48","$1,075.915","$2,281.441",$517.303,"$3,332.222","$4,408.137",$2.676,"$7,094.656",$-504.468,-,"$5,949.346","$10,357.48"
2020-09-30,"$1,304.838",$614.773,$584.753,-,$138.654,"$2,643.018",$508.645,$281.837,"$6,833.158",-,"$7,790.368","$10,433.39","$1,403.494","$2,295.81",$488.374,"$3,325.7","$4,729.194",$2.671,"$6,914.976",$-533.645,-,"$5,704.192","$10,433.39"
2020-06-30,"$1,130.975",$620.16,$621.518,-,$144.482,"$2,517.135",$516.575,$289.794,"$6,823.452",-,"$7,794.037","$10,311.17","$1,017.453","$2,753.254",$497.607,"$3,807.279","$4,824.732",$2.668,"$6,751.686",$-558.777,-,"$5,486.44","$10,311.17"
2020-03-31,"$1,253.382",$712.195,$654.298,-,$154.616,"$2,774.491",$534.786,$280.289,"$6,843.837",-,"$7,827.455","$10,601.95","$1,477.671","$2,741.798",$502.816,"$3,798.272","$5,275.943",$2.664,"$6,626.703",$-575.738,-,"$5,326.003","$10,601.95"
2019-12-31,$393.03,$744.76,$624.567,-,$263.414,"$2,025.771",$548.908,$279.79,"$6,810.411",-,"$7,818.789","$9,844.559","$1,425.858","$2,271.292",$495.777,"$3,303.209","$4,729.067",$2.662,"$6,387.612",$-533.139,-,"$5,115.492","$9,844.559"
2019-09-30,$735.376,$761.961,$623.675,-,$151.172,"$2,272.184",$537.157,$257.333,"$5,978.597",-,"$6,947.525","$9,219.709","$1,110.519","$2,229.252",$464.795,"$3,243.225","$4,353.744",$2.657,"$6,198.836",$-558.473,-,"$4,865.965","$9,219.709"
2019-06-30,$567.912,$757.522,$634.138,-,$167.581,"$2,127.153",$538.256,$269.598,"$5,951.693",-,"$6,942.449","$9,069.602",$978.558,"$2,368.69",$511.355,"$3,424.263","$4,402.821",$2.654,"$6,009.968",$-535.826,-,"$4,666.781","$9,069.602"
2019-03-31,$368.065,$763.156,$640.58,-,$152.843,"$1,924.644",$542.679,$262.162,"$5,979.816",-,"$6,966.839","$8,891.483","$1,007.228","$2,368.197",$513.575,"$3,427.634","$4,434.862",$2.647,"$5,826.313",$-540.075,-,"$4,456.621","$8,891.483"
2018-12-31,$353.975,$732.839,$624.744,-,$124.586,"$1,836.144",$554.13,$256.21,"$6,015.804",-,"$6,826.144","$8,662.288","$1,258.704","$2,273.837",$359.489,"$3,161.662","$4,420.366",$2.64,"$5,653.811",$-551.088,-,"$4,241.922","$8,662.288"
2018-09-30,$518.721,$714.929,$620.149,-,$144.816,"$1,998.615",$487.425,$256.786,"$5,365.217",-,"$6,109.428","$8,108.043",$969.901,"$1,832.547",$239.642,"$2,626.233","$3,596.134",$2.64,"$5,474.07",$-456.204,-,"$4,511.909","$8,108.043"
2018-06-30,$557.693,$710.956,$614.39,-,$135.087,"$2,018.126",$490.126,$244.846,"$5,399.354",-,"$6,134.326","$8,152.452","$1,182.517","$1,838.224",$235.911,"$2,631.839","$3,814.356",$2.637,"$5,315.232",$-454.08,-,"$4,338.096","$8,152.452"
2018-03-31,$556.776,$684.617,$596.312,-,$122.5,"$1,960.205",$492.35,$240.541,"$5,365.265",-,"$6,098.156","$8,058.361","$1,159.923","$1,897.633",$254.534,"$2,694.041","$3,853.964",$2.634,"$5,153.722",$-414.758,-,"$4,204.397","$8,058.361"
