,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$84,396","$24,542","$23,795",-,-,"$132,733","$113,114",-,"$15,017","$22,778","$188,462","$321,195","$126,385","$31,816","$17,017","$101,406","$227,791",$5,"$52,551",$-180,-,"$93,404","$321,195"
2020-09-30,"$68,402","$20,832","$23,735",-,-,"$112,969","$99,981",-,"$14,960","$20,150","$169,210","$282,179","$101,912","$32,929","$15,974","$97,492","$199,404",$5,"$45,329","$-1,029",-,"$82,775","$282,179"
2020-06-30,"$71,391","$19,918","$19,599",-,-,"$110,908","$86,517",-,"$14,751","$17,601","$147,406","$258,314","$93,896","$33,128","$14,764","$90,690","$184,586",$5,"$38,998","$-1,455",-,"$73,728","$258,314"
2020-03-31,"$49,292","$17,836","$18,857",-,-,"$85,985","$77,779",-,"$14,739","$16,456","$135,253","$221,238","$79,711","$23,437","$12,518","$76,255","$155,966",$5,"$33,755","$-2,063",-,"$65,272","$221,238"
2019-12-31,"$55,021","$20,816","$20,497",-,-,"$96,334","$72,705",-,"$14,754","$16,314","$128,914","$225,248","$87,812","$23,414","$12,171","$75,376","$163,188",$5,"$31,220",$-986,-,"$62,060","$225,248"
2019-09-30,"$43,401","$16,887","$18,766",-,-,"$79,054","$67,662",-,"$14,734","$14,535","$120,045","$199,099","$72,136","$22,472","$10,925","$70,455","$142,591",$5,"$27,952","$-1,429",-,"$56,508","$199,099"
2019-06-30,"$41,463","$16,747","$18,580",-,-,"$76,790","$64,723",-,"$14,727","$13,462","$114,561","$191,351","$69,678","$23,329","$10,149","$68,612","$138,290",$5,"$25,818",$-960,-,"$53,061","$191,351"
2019-03-31,"$37,020","$15,979","$16,432",-,-,"$69,431","$61,048",-,"$14,708","$12,783","$108,671","$178,102","$63,695","$23,322","$9,400","$65,997","$129,692",$5,"$23,193","$-1,010",-,"$48,410","$178,102"
2018-12-31,"$41,250","$16,677","$17,174",-,-,"$75,101","$61,797",-,"$14,548","$11,202","$87,547","$162,648","$68,391","$23,495","$17,563","$50,708","$119,099",$5,"$19,625","$-1,035",-,"$43,549","$162,648"
2018-09-30,"$29,765","$14,258","$15,862",-,-,"$59,885","$58,019",-,"$14,553","$11,238","$83,810","$143,695","$55,324","$24,684","$24,562","$49,246","$104,570",$5,"$16,616","$-1,034",-,"$39,125","$143,695"
2018-06-30,"$27,050","$12,607","$14,824",-,-,"$54,481","$54,768",-,"$13,944","$10,907","$79,619","$134,100","$50,801","$24,638","$23,666","$48,304","$99,105",$5,"$13,733",$-934,-,"$34,995","$134,100"
2018-03-31,"$24,963","$12,026","$13,840",-,-,"$50,829","$52,331",-,"$13,388","$9,814","$75,533","$126,362","$48,045","$24,640","$22,214","$46,854","$94,899",$5,"$11,199",$-467,-,"$31,463","$126,362"
2017-12-31,"$30,986","$13,164","$16,047",-,-,"$60,197","$48,866",-,"$13,350","$8,897","$71,113","$131,310","$57,883","$24,743","$20,975","$45,718","$103,601",$5,"$8,636",$-484,-,"$27,709","$131,310"
2017-09-30,"$24,310","$10,557","$13,711",-,-,"$48,578","$45,335",-,"$13,271","$8,083","$66,689","$115,267","$47,072","$24,710","$18,827","$43,537","$90,609",$5,"$6,779",$-501,-,"$24,658","$115,267"
2017-06-30,"$21,451","$8,046","$11,510",-,-,"$41,007","$37,083",-,"$4,254","$5,437","$46,774","$87,781","$40,520","$7,683","$16,364","$24,047","$64,567",$5,"$6,524",$-607,-,"$23,214","$87,781"
2017-03-31,"$21,531","$7,329","$10,600",-,-,"$39,460","$32,632",-,"$3,823","$5,054","$41,509","$80,969","$37,399","$7,691","$14,205","$21,896","$59,295",$5,"$6,327",$-797,-,"$21,674","$80,969"
2016-12-31,"$25,981","$8,339","$11,461",-,-,"$45,781","$29,114",-,"$3,784","$4,723","$37,621","$83,402","$43,816","$7,694","$12,607","$20,301","$64,117",$5,"$4,916",$-985,-,"$19,285","$83,402"
2016-09-30,"$18,347","$6,566","$10,696",-,-,"$35,609","$27,177",-,"$3,815","$4,296","$35,288","$70,897","$33,498","$8,205","$11,412","$19,617","$53,115",$5,"$4,167",$-521,-,"$17,782","$70,897"
2016-06-30,"$16,540","$6,092","$9,588",-,-,"$32,220","$25,190",-,"$3,774","$3,892","$32,856","$65,076","$29,587","$8,212","$10,739","$18,951","$48,538",$5,"$3,915",$-571,-,"$16,538","$65,076"
2016-03-31,"$15,859","$5,072","$9,582",-,-,"$30,513","$23,308",-,"$3,785","$3,522","$30,615","$61,128","$28,187","$8,219","$9,966","$18,185","$46,372",$5,"$3,058",$-614,-,"$14,756","$61,128"
2015-12-31,"$19,808","$5,654","$10,243",-,-,"$35,705","$21,838",-,"$3,759","$3,445","$29,042","$64,747","$33,887","$8,227","$9,249","$17,476","$51,363",$5,"$2,545",$-723,-,"$13,384","$64,747"
2015-09-30,"$14,428","$5,440","$8,981",-,-,"$28,849","$20,636",-,"$3,529","$3,216","$27,381","$56,230","$26,657","$8,243","$8,900","$17,143","$43,800",$5,"$2,063",$-675,-,"$12,430","$56,230"
2015-06-30,"$14,001","$4,920","$7,470",-,-,"$26,391","$19,479",-,"$3,523","$3,047","$26,049","$52,440","$23,912","$8,250","$8,510","$16,760","$40,672",$5,"$1,984",$-617,-,"$11,768","$52,440"
2015-03-31,"$13,781","$4,772","$7,369",-,-,"$25,922","$17,736",-,"$3,491","$2,926","$24,153","$50,075","$23,177","$8,257","$7,768","$16,025","$39,202",$5,"$1,892",$-752,-,"$10,873","$50,075"
