,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$30,733","$10,958",-,-,"$4,060","$45,751","$3,483","$4,847","$31,096","$1,438","$40,864","$86,615","$29,453","$19,335","$1,815","$23,963","$53,416",$3,"$23,802",$150,-,"$33,199","$86,615"
2020-09-30,"$29,766","$11,537",-,-,"$4,147","$45,450","$3,363","$4,728","$31,184","$1,849","$41,124","$86,574","$28,561","$19,094","$1,839","$24,092","$52,653",$3,"$24,678",$-112,-,"$33,921","$86,574"
2020-06-30,"$31,516","$10,988",-,-,"$4,260","$46,764","$3,427","$4,617","$31,218","$1,950","$41,212","$87,976","$28,522","$19,873","$1,853","$24,999","$53,521",$3,"$25,346",$-254,-,"$34,455","$87,976"
2020-03-31,"$25,796","$11,325",-,-,"$4,135","$41,256","$3,350","$4,686","$31,274","$1,833","$41,143","$82,399","$27,039","$19,005","$1,695","$23,667","$50,706",$3,"$23,360","$-1,008",-,"$31,693","$82,399"
2019-12-31,"$25,622","$10,391",-,-,"$3,020","$39,033","$3,133","$4,763","$29,174","$1,350","$38,420","$77,453","$23,532","$17,787","$1,420","$22,193","$45,725",$3,"$22,573",$-296,-,"$31,728","$77,453"
2019-09-30,"$26,925","$10,298",-,-,"$2,281","$39,504","$2,921","$4,461","$29,256","$1,667","$38,305","$77,809","$23,234","$18,820","$1,622","$23,243","$46,477",$3,"$22,104",$-299,-,"$31,332","$77,809"
2019-06-30,"$25,272","$10,214",-,-,"$2,319","$37,805","$2,837","$4,261","$29,340","$1,608","$38,046","$75,851","$23,090","$17,436","$1,666","$21,968","$45,058",$3,"$21,679",$-383,-,"$30,793","$75,851"
2019-03-31,"$24,099","$10,179",-,-,"$2,333","$36,611","$2,799","$4,235","$29,425","$1,453","$37,912","$74,523","$22,682","$17,396","$1,612","$21,843","$44,525",$3,"$21,136",$-623,-,"$29,998","$74,523"
2018-12-31,"$22,744","$9,311",-,-,"$2,266","$34,321","$2,735","$4,246","$29,511",$758,"$37,250","$71,571","$21,965","$17,217","$1,182","$21,065","$43,030",$3,"$19,988",$-986,-,"$28,541","$71,571"
2018-09-30,"$24,684","$9,386",-,-,"$3,038","$37,108","$2,592","$4,102","$29,569","$1,074","$37,337","$74,445","$24,174","$17,300","$1,145","$21,177","$45,351",$3,"$20,182",$-811,-,"$29,094","$74,445"
2018-06-30,"$24,847.3","$9,255.4",-,-,"$3,267.7","$37,370.4","$2,392.2","$4,015.6","$29,638.8",$950.4,"$36,997","$74,367.4","$24,505.7","$17,515.4","$1,074.4","$21,136.7","$45,642.4",$2.6,"$19,757.3",$-782.8,-,"$28,725","$74,367.4"
2018-03-31,"$24,700.5","$8,561.1",-,-,"$3,712.5","$36,974.1","$2,237.6","$3,995.2","$29,261.5",$832,"$36,326.3","$73,300.4","$24,755.9","$18,110.1",$942.3,"$21,532.1","$46,288",$2.6,"$19,241.1",$-720.6,-,"$27,012.4","$73,300.4"
2017-12-31,"$25,057","$8,794",-,-,"$2,412","$36,263","$2,175","$3,938","$27,599",$565,"$34,277","$70,540","$23,356","$17,382",$925,"$20,681","$44,037",$3,"$18,054",$-101,-,"$26,503","$70,540"
2017-09-30,"$27,171.2","$7,822.2",-,-,"$1,980.3","$36,973.7","$2,049.2","$3,007.7","$25,428.4",$850.9,"$31,336.2","$68,309.9","$24,412.5","$13,777.3",$944,"$17,949.1","$42,361.6",$2.6,"$17,306.6",$-126,-,"$25,948.3","$68,309.9"
2017-06-30,"$26,566.8","$8,631.1",-,-,"$1,932.8","$37,130.7","$1,975.7","$2,909.2","$25,443.6",$778.4,"$31,106.9","$68,237.6","$22,567.9","$15,088",$898.3,"$19,238","$41,805.9",$2.6,"$17,667",$-134.9,-,"$26,431.7","$68,237.6"
2017-03-31,"$27,789.9","$8,218.6",-,-,"$1,973.3","$37,981.8","$1,957.6","$2,879.4","$25,484.2",$640.5,"$30,961.7","$68,943.5","$23,174.2","$15,449.9",$889.9,"$19,677.4","$42,851.6",$2.6,"$17,357.7",$-161.8,-,"$26,091.9","$68,943.5"
2016-12-31,"$23,802.5","$8,566.1",-,-,"$1,946.3","$34,314.9","$1,977.9","$2,796.3","$25,526.1",$467.9,"$30,768.2","$65,083.1","$21,294.4","$14,358.5",$883.8,"$18,688.3","$39,982.7",$2.6,"$16,560.6",$-267.9,-,"$25,100.4","$65,083.1"
2016-09-30,"$23,619.1","$7,229",-,-,"$2,076.2","$32,924.3","$2,006.6","$2,726","$25,574.5","$1,168.5","$31,475.6","$64,399.9","$21,036.9","$14,242.3","$1,040.7","$18,618.8","$39,655.7",$2.6,"$16,364.1",$-363.9,-,"$24,744.2","$64,399.9"
2016-06-30,"$23,310.6","$7,395.1",-,-,"$2,252","$32,957.7","$1,989.8","$2,631","$25,621.9",$862.2,"$31,104.9","$64,062.6","$20,816.8","$14,202.4","$1,479.8","$19,012.2","$39,829",$2.6,"$15,918.4",$-364.9,-,"$24,233.6","$64,062.6"
2016-03-31,"$23,099.8","$7,199.3",-,-,"$2,665.9","$32,965","$1,998.3","$2,615.8","$25,669.8",$609.8,"$30,893.7","$63,858.7","$20,810.3","$14,864.5","$1,319.9","$19,501.3","$40,311.6",$2.6,"$15,310.4",$-382.4,-,"$23,547.1","$63,858.7"
2015-12-31,"$21,794.8","$7,340.8",-,-,"$1,726.5","$30,862.1","$2,019.8","$2,630.3","$25,720.2",$485.4,"$30,855.7","$61,717.8","$19,092.6","$15,324.5",$994.3,"$19,581.1","$38,673.7",$2.6,"$14,778.5",$-292.6,-,"$23,044.1","$61,717.8"
2015-09-30,"$22,497.3","$6,558.8",-,-,"$2,054.8","$31,539.4","$1,930.8","$2,438","$25,766.1",$661.3,"$30,796.2","$62,335.6","$18,365.8","$15,719.6","$1,228.7","$20,733.7","$39,099.5",$2.6,"$14,761.8",$-216.2,-,"$23,236.1","$62,335.6"
2015-06-30,"$23,236.6","$7,322.6",-,-,"$2,347.4","$33,202.2","$1,931.4","$2,448.7","$25,817.2",$864.3,"$31,061.6","$64,263.8","$20,673.2","$15,468.4","$1,225.8","$20,528","$41,201.2",$2.6,"$14,352.2",$0.4,-,"$23,062.6","$64,263.8"
2015-03-31,"$24,354.1","$7,514.3",-,-,"$2,707.9","$34,740.4","$1,915.9","$2,279.2","$25,864.5",$746,"$30,805.6","$65,546","$21,305.4","$14,764.4","$1,099.4","$19,906.3","$41,211.7",$2.6,"$14,150.1",$237.9,-,"$24,334.3","$65,546"
