,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$689.6,$585,$300.1,-,$43.3,"$1,618",$541.3,-,$870.7,$89.1,"$1,542.7","$3,160.7",$886.3,$106.4,$271.7,$426.1,"$1,312.4",$295.4,"$2,509.6",$-321.2,-,"$1,848.3","$3,160.7"
2020-09-30,$509,$572.9,$302.6,-,$45.8,"$1,430.3",$537.1,-,$870.6,$90.9,"$1,540.8","$2,971.1",$805.9,$107.1,$266,$418.1,"$1,224",$295.4,"$2,431.8",$-336.5,-,"$1,747.1","$2,971.1"
2020-06-30,$568.7,$515.9,$306,-,$53.8,"$1,444.4",$533.8,-,$873.5,$87.3,"$1,539.8","$2,984.2",$735.4,$274.3,$265.1,$590.7,"$1,326.1",$295.4,"$2,365.1",$-355.8,-,"$1,658.1","$2,984.2"
2020-03-31,$551.7,$524,$312.3,-,$54.5,"$1,442.5",$537.3,-,$875.7,$82.6,"$1,540.5","$2,983",$699.1,$335.6,$273.9,$667.6,"$1,366.7",$295.4,"$2,336.1",$-362.4,-,"$1,616.3","$2,983"
2019-12-31,$551.4,$589.5,$303,-,$56.5,"$1,500.4",$545.4,-,$884.4,$80.9,"$1,557.6","$3,058",$766.5,$277.2,$281,$624.7,"$1,391.2",$295.4,"$2,323.4",$-348.3,-,"$1,666.8","$3,058"
2019-09-30,$513.8,$614.1,$310,-,$66.5,"$1,504.4",$543.6,-,$886.9,$84.7,"$1,563.5","$3,067.9",$730.4,$312.4,$292.8,$681.3,"$1,411.7",$295.4,"$2,271.5",$-361.6,-,"$1,656.2","$3,067.9"
2019-06-30,$577.8,$634.8,$323.1,-,$60.9,"$1,596.6",$553.9,-,$891.6,$85.1,"$1,579","$3,175.6",$730.6,$351.8,$291.2,$719.9,"$1,450.5",$295.4,"$2,220.2",$-338.4,-,"$1,725.1","$3,175.6"
2019-03-31,$633.3,$658.8,$319.7,-,$46.3,"$1,658.1",$549.9,-,$803.8,$82,"$1,485.4","$3,143.5",$737.2,$277.6,$295.1,$657.1,"$1,394.3",$295.5,"$2,155",$-332.1,-,"$1,749.2","$3,143.5"
2018-12-31,$645,$647.3,$304.7,-,$41.5,"$1,638.5",$540,-,$806.1,$86.9,"$1,433","$3,071.5",$785.3,$221.4,$298.4,$569.2,"$1,354.5",$295.5,"$2,102.8",$-350.8,-,"$1,717","$3,071.5"
2018-09-30,$617.8,$606.6,$307.7,-,$66.6,"$1,598.7",$526.3,-,$812.6,$87.6,"$1,426.5","$3,025.2",$738.9,$193.3,$312,$530.1,"$1,269",$295.5,"$2,014",$-318.2,-,"$1,756.2","$3,025.2"
2018-06-30,$658.4,$644,$289,-,$61.9,"$1,653.3",$532.8,-,$815.5,$83.7,"$1,432","$3,085.3",$768.7,$245.4,$306.6,$586.3,"$1,355",$295.5,"$1,940.1",$-304.4,-,"$1,730.3","$3,085.3"
2018-03-31,$679.7,$638.8,$287.1,-,$63.5,"$1,669.1",$538.1,-,$820.4,$79.3,"$1,437.8","$3,106.9",$766.9,$285.8,$304.6,$631.6,"$1,398.5",$295.5,"$1,856.5",$-275.7,-,"$1,708.4","$3,106.9"
2017-12-31,$820,$592.7,$297,-,$57.2,"$1,766.9",$528.9,-,$825.4,$76.2,"$1,430.5","$3,197.4",$793.8,$402.9,$307.7,$758.7,"$1,552.5",$295.7,"$1,788.7",$-299.5,-,"$1,644.9","$3,197.4"
2017-09-30,$767.9,$587.1,$292.1,-,$51,"$1,698.1",$501.7,-,$828.6,$76.2,"$1,406.5","$3,104.6",$731.7,$442.2,$198.8,$707,"$1,438.7",$295.7,"$1,794",$-322.4,-,"$1,665.9","$3,104.6"
2017-06-30,$740.9,$566.8,$287,-,$45.6,"$1,640.3",$475.8,-,$795.4,$72.5,"$1,343.7","$2,984",$705.8,$367.7,$194,$664.5,"$1,370.3",$295.7,"$1,724.5",$-340.7,-,"$1,613.7","$2,984"
2017-03-31,$722.3,$584.1,$257.1,-,$42,"$1,605.5",$467.6,-,$796.9,$70.2,"$1,334.7","$2,940.2",$720.5,$362.2,$188.7,$653.3,"$1,373.8",$295.8,"$1,656.4",$-352.2,-,"$1,566.4","$2,940.2"
2016-12-31,$754.6,$518.7,$251.1,-,$37.6,"$1,562",$461.9,-,$799.8,$67.3,"$1,329","$2,891",$765.6,$316.4,$184.7,$610.1,"$1,375.7",$296,"$1,593",$-363.2,-,"$1,515.3","$2,891"
2016-09-30,$678.8,$517.3,$258.6,-,$52.9,"$1,507.6",$458.4,-,$803.6,$54.8,"$1,316.8","$2,824.4",$682.1,$328.9,$192.6,$616.7,"$1,298.8",$296.2,"$1,531.2",$-324.8,-,"$1,525.6","$2,824.4"
2016-06-30,$667.2,$493.9,$237.8,-,$50.1,"$1,449",$451.7,-,$708.8,$62.7,"$1,223.2","$2,672.2",$615.6,$274.6,$170.1,$575.9,"$1,191.5",$148.1,"$1,469.1",$-323.5,-,"$1,480.7","$2,672.2"
2016-03-31,$640.8,$506.9,$230.2,-,$48,"$1,425.9",$450.6,-,$711.9,$62.2,"$1,224.7","$2,650.6",$602,$274.1,$167.6,$570.1,"$1,172.1",$148.1,"$1,403",$-304.3,-,"$1,478.5","$2,650.6"
2015-12-31,$645.2,$501.4,$222.9,-,$33.8,"$1,403.3",$442.7,-,$711.9,$71.3,"$1,225.9","$2,629.2",$653.2,$236.1,$163.4,$533.7,"$1,186.9",$296.2,"$1,350.7",$-313.4,-,"$1,442.3","$2,629.2"
2015-09-30,$606.4,$479,$239,-,$46.3,"$1,413.8",$438.8,-,$717.6,$30,"$1,186.4","$2,600.2",$624.1,$247.7,$187.8,$553.7,"$1,177.8",$148.2,"$1,287.7",$-290.5,-,"$1,422.4","$2,600.2"
2015-06-30,$552.4,$528.5,$233.4,-,$44.1,"$1,400",$433.4,-,$725.3,$31.1,"$1,189.8","$2,589.8",$579.1,$266.2,$185.1,$574.2,"$1,153.3",$148.2,"$1,231",$-276,-,"$1,436.5","$2,589.8"
2015-03-31,$574.9,$495.9,$218.8,-,$47.3,"$1,376.3",$430.4,-,$727.9,$30.7,"$1,189","$2,565.3",$595.8,$255.3,$180.2,$564.4,"$1,160.2",$148.2,"$1,176.9",$-277.6,-,"$1,405.1","$2,565.3"
2014-12-31,$541.9,$475.4,$208.3,-,$52.9,"$1,319",$427.7,-,$737.3,$31.3,"$1,196.3","$2,515.3",$605.2,$210.1,$154.6,$528.8,"$1,134",$148.2,"$1,135.5",$-272,-,"$1,381.3","$2,515.3"
2014-09-30,$523.7,$474.3,$218.5,-,$38.2,"$1,294.8",$421,-,$743.6,$27.4,"$1,192","$2,486.8",$587.3,$240.7,$176.1,$524.3,"$1,111.6",$148.3,"$1,095.8",$-254.5,-,"$1,375.2","$2,486.8"
2014-06-30,$496.6,$457,$206.8,-,$32.9,"$1,233.9",$416.5,-,$750.9,$29.4,"$1,196.8","$2,430.7",$550,$236.2,$178,$524,"$1,074",$148.3,"$1,058.8",$-258.9,-,"$1,356.7","$2,430.7"
