,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$32,965",-,-,-,-,"$147,042","$5,015","$21,631",-,"$17,679","$44,325","$191,367","$98,197","$42,952","$27,234","$70,186","$168,383",$161,"$13,837","$-2,895",-,"$22,984","$191,367"
2020-09-30,"$33,030",-,-,-,-,"$140,481","$4,835","$22,443",-,"$19,500","$46,778","$187,259","$95,409","$44,777","$25,204","$69,981","$165,390",$161,"$12,762","$-2,872",-,"$21,869","$187,259"
2020-06-30,"$41,497",-,-,-,-,"$147,091","$4,829","$19,942",-,"$16,746","$41,517","$188,608","$94,103","$48,797","$24,646","$73,443","$167,546",$161,"$12,052","$-2,911",-,"$21,062","$188,608"
2020-03-31,"$36,095",-,-,-,-,"$157,782","$4,798","$5,032",-,"$18,448","$28,278","$186,060","$89,436","$52,588","$23,030","$75,618","$165,054",$161,"$12,161","$-2,996",-,"$21,006","$186,060"
2019-12-31,"$24,446",-,-,-,-,"$170,864","$4,834","$8,406",-,"$14,217","$27,457","$198,321","$92,467","$57,835","$24,948","$82,783","$175,250",$163,"$13,871","$-2,737",-,"$23,071","$198,321"
2019-09-30,"$24,266",-,-,-,-,"$168,885","$4,715","$8,445",-,"$12,139","$25,299","$194,184","$90,846","$58,474","$21,839","$80,313","$171,159",$165,"$13,652","$-2,661",-,"$23,025","$194,184"
2019-06-30,"$26,869",-,-,-,-,"$173,255","$4,658","$8,542",-,"$11,148","$24,348","$197,603","$93,949","$57,736","$22,826","$80,562","$174,511",$167,"$13,551","$-2,606",-,"$23,092","$197,603"
2019-03-31,"$33,177",-,-,-,-,"$175,371","$4,479","$6,457",-,"$10,886","$21,822","$197,193","$93,270","$58,418","$23,287","$81,705","$174,975",$168,"$12,686","$-2,599",-,"$22,218","$197,193"
2018-12-31,"$27,445",-,-,-,-,"$166,161","$4,416","$4,647",-,"$13,378","$22,441","$188,602","$85,315","$58,423","$22,574","$80,997","$166,312",$170,"$12,499","$-2,597",-,"$22,290","$188,602"
2018-09-30,"$30,231",-,-,-,-,"$167,460","$4,295","$6,071",-,"$11,266","$21,632","$189,092","$89,268","$55,300","$23,064","$78,364","$167,632",$171,"$11,521","$-2,504",-,"$21,460","$189,092"
