,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,058.088","$1,168.712",$23.027,$401.16,-,"$2,650.987","$1,804.083",$510.22,"$1,243.769",$198.152,"$4,870.109","$7,521.096","$1,168.626","$1,336.069",$157.799,"$1,869.903","$3,038.529",$3.732,"$6,475.551",$-120.804,-,"$4,482.567","$7,521.096"
2020-09-30,$892.477,"$1,219.227",$15.768,$397.487,-,"$2,524.959","$1,867.6",$423.315,"$1,237.942",$205.688,"$4,835.853","$7,360.812","$1,101.576","$1,336.018",$125.141,"$1,852.949","$2,954.525",$3.723,"$6,402.22",$-138.015,-,"$4,406.287","$7,360.812"
2020-06-30,$441.018,"$1,183.988",$18.525,$410.016,-,"$2,053.547","$1,870.779",$388.675,"$1,258.341",$212.3,"$4,825.794","$6,879.341","$1,006.802","$1,338.467",$134.13,"$1,854.523","$2,861.325",$3.712,"$6,101.402",$-149.671,-,"$4,018.016","$6,879.341"
2020-03-31,$398.775,"$1,151.028",$23.457,$390.346,-,"$1,963.606","$1,835.138",$411.793,"$1,231.279",$212.318,"$4,772.824","$6,736.43","$1,018.486","$1,338.417",$137.918,"$1,854.865","$2,873.351",$3.702,"$6,022.256",$-159.363,-,"$3,863.079","$6,736.43"
2019-12-31,$541.774,"$1,139.595",$23.182,$392.073,-,"$2,096.624","$1,858.772",$419.419,"$1,247.597",$209.196,"$4,797.998","$6,894.622","$1,027.448","$1,038.382",$133.807,"$1,549.846","$2,577.294",$3.676,"$5,934.909",$-118.66,-,"$4,317.328","$6,894.622"
2019-09-30,$632.696,"$1,154.98",$23.155,$402.247,-,"$2,213.078","$1,865.924",$403.435,"$1,192.302",$205.775,"$4,724.352","$6,937.43","$1,001.596","$1,038.567",$132.289,"$1,524.567","$2,526.163",$3.662,"$5,836.984",$-128.55,-,"$4,411.267","$6,937.43"
2019-06-30,$953.519,"$1,228.985",$23.163,$396.803,-,"$2,602.47","$1,866.142",$320.616,"$1,214.01",$208.934,"$4,673.839","$7,276.309","$1,031.366","$1,038.53",$141.486,"$1,527.674","$2,559.04",$3.647,"$5,812.031",$-112.848,-,"$4,717.269","$7,276.309"
2019-03-31,$903.67,"$1,159.215",$24.104,$336.817,-,"$2,423.806","$1,790.116",$283.596,"$1,231.868",$219.84,"$4,574.706","$6,998.512",$940.624,$438.823,$146.128,$928.739,"$1,869.363",$3.629,"$5,742.744",$-100.594,-,"$5,129.149","$6,998.512"
2018-12-31,$775.411,"$1,183.494",$25.029,$334.87,-,"$2,318.804","$1,743.575",$300.046,"$1,252.849",$198.85,"$4,389.832","$6,708.636",$962.69,$438.802,$42.376,$817.557,"$1,780.247",$3.622,"$5,576.525",$-103.552,-,"$4,928.389","$6,708.636"
2018-09-30,$813.546,"$1,210.616",$24.744,$337.904,-,"$2,386.81","$1,697.249",$338.233,"$1,268.779",$212.072,"$4,398.59","$6,785.4",$907.025,$438.781,-,$812.645,"$1,719.67",$3.619,"$5,445.205",$-101.009,-,"$5,065.73","$6,785.4"
