,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$11,740","$11,466",-,-,"$3,535","$26,741","$51,995","$8,267","$165,423","$21,443","$247,128","$273,869","$28,796","$105,782","$18,222","$153,335","$182,131",$54,"$56,438","$1,884",-,"$91,738","$273,869"
2020-09-30,"$13,707","$10,310",-,-,"$3,352","$27,369","$50,466","$7,131","$162,748","$21,226","$241,571","$268,940","$29,511","$105,162","$17,537","$151,858","$181,369",$54,"$54,254",$212,-,"$87,571","$268,940"
2020-06-30,"$13,935","$10,227",-,-,"$3,323","$27,485","$48,985","$7,378","$160,905","$21,225","$238,493","$265,978","$28,445","$105,931","$17,608","$152,742","$181,187",$54,"$53,420","$-1,279",-,"$84,791","$265,978"
2020-03-31,"$8,516","$10,800",-,-,"$4,768","$24,084","$48,442","$7,080","$161,255","$21,560","$238,337","$262,421","$27,600","$105,770","$17,144","$152,038","$179,638",$54,"$51,516","$-1,144",-,"$82,783","$262,421"
2019-12-31,"$5,500","$11,292",-,-,"$8,600","$25,392","$48,322","$7,683","$164,218","$17,799","$238,022","$263,414","$30,292","$102,931","$16,765","$149,248","$179,540",$54,"$50,695","$1,047",-,"$83,874","$263,414"
2019-09-30,"$3,507","$10,684",-,-,"$8,132","$22,323","$46,790","$8,289","$161,442","$17,530","$234,051","$256,374","$25,989","$105,012","$16,853","$151,225","$177,214",$54,"$48,570","$-1,159",-,"$79,160","$256,374"
2019-06-30,"$3,919","$10,835",-,-,"$6,607","$21,361","$46,047","$8,438","$163,386","$17,323","$235,194","$256,555","$31,008","$101,248","$17,144","$147,717","$178,725",$54,"$46,425",$-62,-,"$77,830","$256,555"
2019-03-31,"$3,498","$10,736",-,-,"$6,039","$20,273","$45,721","$9,159","$164,340","$16,696","$235,916","$256,189","$27,917","$104,464","$18,811","$152,410","$180,327",$54,"$44,379",$422,-,"$75,862","$256,189"
2018-12-31,"$3,814","$11,104",-,-,"$6,930","$21,848","$44,437","$7,883","$163,877","$13,639","$229,836","$251,684","$27,603","$107,345","$15,329","$151,579","$179,182",$54,"$41,983",$-368,-,"$72,502","$251,684"
2018-09-30,"$10,616","$8,983",-,-,"$3,607","$23,206","$39,855","$7,724","$114,717","$15,133","$177,429","$200,635","$19,627","$69,711","$12,468","$108,663","$128,290",$54,"$41,218",$374,-,"$72,345","$200,635"
2018-06-30,"$5,726","$8,847",-,-,"$3,642","$18,215","$39,355","$7,438","$115,085","$11,155","$173,033","$191,248","$19,007","$61,946","$12,069","$100,498","$119,505",$54,"$40,269",$461,-,"$71,743","$191,248"
2018-03-31,"$6,030","$8,759",-,-,"$3,964","$18,753","$39,068","$7,095","$114,851","$11,109","$172,123","$190,876","$19,179","$63,678","$11,253","$100,987","$120,166",$55,"$38,961",$608,-,"$70,710","$190,876"
2017-12-31,"$3,428","$8,834",-,-,"$4,081","$16,343","$38,470","$6,931","$114,277","$11,441","$171,119","$187,462","$21,993","$59,422","$10,972","$96,010","$118,003",$55,"$38,202",$379,-,"$69,459","$187,462"
2017-09-30,"$4,114","$7,915",-,-,"$3,931","$15,960","$37,856","$6,695","$114,849","$9,941","$169,341","$185,301","$21,449","$59,720","$10,914","$107,589","$129,038",$55,"$24,979",$381,-,"$56,263","$185,301"
2017-06-30,"$2,693","$7,849",-,-,"$4,290","$14,832","$37,171","$6,521","$115,013","$9,494","$168,199","$183,031","$22,276","$57,210","$10,837","$104,907","$127,183",$56,"$24,560",$428,-,"$55,848","$183,031"
2017-03-31,"$4,022","$7,525",-,-,"$3,698","$15,245","$36,626","$5,938","$114,970","$9,700","$167,234","$182,479","$19,074","$58,276","$10,677","$105,757","$124,831",$56,"$24,063",$342,-,"$57,648","$182,479"
2016-12-31,"$3,301","$7,955",-,-,"$5,105","$16,361","$36,253","$5,247","$112,618","$10,021","$164,139","$180,500","$21,535","$55,566","$10,925","$102,791","$124,326",$56,"$23,076",$98,-,"$56,174","$180,500"
2016-09-30,"$2,807","$7,533",-,-,"$4,888","$15,228","$35,656","$3,857","$113,372","$9,811","$162,696","$177,924","$18,038","$57,095","$11,119","$104,063","$122,101",$28,"$22,510",$34,-,"$55,823","$177,924"
2016-06-30,"$4,665","$6,708",-,-,"$3,404","$14,777","$34,896","$3,679","$110,360","$8,273","$157,208","$171,985","$17,601","$52,629","$10,719","$99,108","$116,709",$28,"$22,117",$1,-,"$55,276","$171,985"
2016-03-31,"$5,628","$6,375",-,-,"$3,177","$15,180","$34,122","$3,638","$109,654","$8,005","$155,419","$170,599","$19,084","$51,515","$10,431","$97,003","$116,087",$29,"$21,750",$-84,-,"$54,512","$170,599"
2015-12-31,"$2,295","$6,896",-,-,"$3,112","$12,303","$33,665","$3,224","$109,255","$8,127","$154,271","$166,574","$18,178","$48,994","$10,637","$94,418","$112,596",$29,"$21,413",$-174,-,"$53,978","$166,574"
2015-09-30,"$2,030","$6,527",-,-,"$2,944","$11,501","$32,170","$3,323","$103,752","$8,212","$147,457","$158,958","$17,359","$44,605","$10,694","$89,634","$106,993",$29,"$20,883",$-195,-,"$51,965","$158,958"
2015-06-30,"$3,630","$7,016",-,-,"$2,673","$13,319","$31,572","$2,999","$103,588","$8,196","$146,355","$159,674","$17,565","$44,636","$10,438","$89,380","$106,945",$29,"$21,313",$-166,-,"$52,729","$159,674"
2015-03-31,"$4,095","$6,144",-,-,"$2,682","$12,921","$31,127","$3,235","$103,518","$7,956","$145,836","$158,757","$18,502","$42,953","$10,837","$87,744","$106,246",$30,"$21,186",$-188,-,"$52,511","$158,757"
2014-12-31,"$4,512","$6,321",-,-,"$2,698","$13,531","$30,953","$3,135","$103,660","$7,907","$145,655","$159,186","$17,410","$43,864","$10,819","$88,708","$106,118",$30,"$21,539",$-146,-,"$53,068","$159,186"
2014-09-30,"$5,078","$6,172",-,-,"$2,686","$13,936","$30,362","$3,129","$103,776","$8,034","$145,301","$159,237","$17,084","$44,827","$10,388","$88,500","$105,584",$30,"$21,805",$3,-,"$53,653","$159,237"
2014-06-30,"$3,854","$6,232",-,-,"$2,686","$12,772","$29,970","$3,072","$103,920","$7,725","$144,687","$157,459","$17,375","$43,602","$11,241","$87,752","$105,127",$30,"$20,432",$-14,-,"$52,332","$157,459"
2014-03-31,"$5,443","$6,151",-,-,"$2,449","$14,043","$29,588","$3,090","$103,612","$7,440","$143,730","$157,773","$17,803","$44,581","$11,109","$88,338","$106,141",$30,"$19,737",$33,-,"$51,632","$157,773"
2013-12-31,"$5,291","$6,376",-,-,"$2,408","$14,075","$29,840","$3,770","$103,791","$7,337","$144,738","$158,813","$18,912","$44,567","$11,384","$88,843","$107,755",$30,"$19,235",$56,-,"$51,058","$158,813"
2013-09-30,"$5,735","$5,501",-,-,"$2,171","$13,407","$28,806","$3,672","$103,777","$6,933","$143,188","$156,595","$18,666","$44,188","$11,493","$87,795","$106,461",$30,"$18,324",$-110,-,"$50,134","$156,595"
2013-06-30,"$5,154","$5,507",-,-,"$2,074","$12,735","$28,255","$5,299","$103,879","$6,651","$144,084","$156,819","$18,602","$44,114","$12,461","$88,731","$107,333",$31,"$17,509",$77,-,"$49,486","$156,819"
