,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,"$13,695","$11,670",-,-,"$1,910","$27,275","$2,669","$9,859","$26,094","$2,467","$41,089","$68,364","$21,795","$16,737","$3,953","$20,726","$42,521",-,"$6,804",$293,-,"$25,843","$68,364"
2020-06-30,"$14,356","$10,339",-,-,"$2,127","$26,822","$2,544","$10,231","$26,136","$2,614","$41,525","$68,347","$21,918","$16,708","$4,516","$21,257","$43,175",-,"$6,236",$245,-,"$25,172","$68,347"
2020-03-31,"$10,694","$11,304",-,-,"$2,698","$24,696","$2,439","$10,521","$26,315","$2,460","$41,735","$66,431","$21,651","$17,150","$3,938","$21,124","$42,775",-,"$5,030",$-5,-,"$23,656","$66,431"
2019-12-31,"$12,986","$6,247",-,-,"$1,090","$20,323","$2,121","$7,717","$8,926","$1,907","$20,671","$40,994","$12,932","$13,638","$1,543","$15,403","$28,335",-,"$4,984",$134,-,"$12,659","$40,994"
2019-09-30,"$7,019","$5,606",-,-,$832,"$13,457","$1,993","$7,915","$8,958",$655,"$20,795","$34,252","$13,280","$6,975","$1,561","$8,567","$21,847",-,"$4,775",$145,-,"$12,405","$34,252"
2019-06-30,"$7,640","$5,194",-,-,$762,"$13,596","$1,878","$7,632","$9,289","$1,973","$20,772","$34,368","$12,653","$7,047","$2,398","$9,467","$22,120",-,"$4,680",$119,-,"$12,248","$34,368"
2019-03-31,"$7,042","$5,819",-,-,$755,"$13,616","$1,800","$7,186","$9,189","$1,778","$19,953","$33,569","$13,143","$6,775","$2,007","$8,792","$21,935",-,"$4,185",$38,-,"$11,634","$33,569"
2018-12-31,"$6,064","$5,150",-,-,$784,"$11,998","$1,706","$6,861","$9,254","$1,082","$18,903","$30,901","$11,971","$6,648","$1,259","$7,917","$19,888",-,"$3,663",$-56,-,"$11,013","$30,901"
2018-09-30,"$7,441","$4,647",-,-,"$1,000","$13,088","$1,584","$6,272","$9,226",$987,"$18,069","$31,157","$12,741","$6,379","$1,276","$7,666","$20,407",-,"$3,422",$-79,-,"$10,750","$31,157"
2018-06-30,"$7,309","$4,067",-,-,"$1,001","$12,377","$1,327","$5,746","$7,350","$1,943","$16,366","$28,743","$9,862","$6,275","$1,898","$8,184","$18,046",-,"$3,403",$-67,-,"$10,697","$28,743"
2018-03-31,"$6,175","$3,648",-,-,"$1,153","$10,976","$1,250","$5,535","$6,814",$595,"$14,194","$25,170","$10,890","$5,172","$1,520","$6,700","$17,590",-,"$3,104",$-54,-,"$7,580","$25,170"
2017-12-31,"$4,603","$3,413",-,-,$687,"$8,703","$1,104","$5,312","$6,147",$589,"$13,152","$21,855","$9,332","$4,695",$952,"$5,659","$14,991",-,"$2,748",$-3,-,"$6,864","$21,855"
2017-09-30,"$4,876","$3,955",-,-,$829,"$9,660","$1,003","$4,927","$6,140",$270,"$12,340","$22,000","$9,709","$4,717",$901,"$5,638","$15,347",-,"$2,518",$9,-,"$6,653","$22,000"
2017-06-30,"$5,011","$3,901",-,-,$736,"$9,648",$912,"$4,816","$6,178",$286,"$12,192","$21,840","$8,966","$4,716","$1,630","$6,482","$15,448",-,"$2,313",$1,-,"$6,392","$21,840"
2017-03-31,"$5,564","$3,121",-,-,$723,"$9,408",$841,"$4,636","$6,216",$261,"$11,954","$21,362","$9,202","$4,643","$1,295","$6,076","$15,278",-,"$2,059",$-21,-,"$6,084","$21,362"
