,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,"$1,021",$833,$534,$113,$284,"$2,785","$21,735",$749,"$4,697",$589,"$29,920","$32,705","$3,830","$11,946","$4,966","$20,487","$24,317",$5,$-796,$-82,-,"$8,388","$32,705"
2020-06-30,$921,$735,$462,$108,$275,"$2,501","$21,348",$855,"$4,697",$598,"$29,647","$32,148","$4,309","$10,937","$5,019","$19,447","$23,756",$5,$-771,$-84,-,"$8,392","$32,148"
2020-03-31,$898,$804,$375,$120,"$1,967","$4,164","$20,978",$850,"$4,697",$586,"$29,231","$33,395","$4,042","$13,830","$4,991","$22,383","$26,425",$5,$-761,$-100,-,"$6,970","$33,395"
2019-12-31,"$1,063",$808,$472,$123,"$1,471","$3,937","$20,624","$2,408","$4,882","$1,561","$31,592","$35,529","$3,978","$14,244","$5,020","$23,192","$27,170",$5,$632,$-98,-,"$8,359","$35,529"
2019-09-30,"$1,005","$1,160",$572,$156,$523,"$3,416","$20,328","$2,469","$5,535",$700,"$31,226","$34,642","$3,434","$14,014","$4,997","$22,862","$26,296",$5,$636,$-107,-,"$8,346","$34,642"
2019-06-30,$958,"$1,242",$479,$181,$466,"$3,326","$19,932","$2,470","$5,549",$680,"$30,863","$34,189","$2,996","$14,121","$5,010","$22,936","$25,932",$5,$552,$-105,-,"$8,257","$34,189"
2019-03-31,$878,"$1,415",$371,$241,$514,"$3,419","$19,512","$2,471","$5,589",$682,"$30,483","$33,902","$3,139","$13,759","$4,964","$22,547","$25,686",$5,$518,$-107,-,"$8,216","$33,902"
2018-12-31,"$4,771","$1,190",$394,$192,$478,"$7,025","$14,044","$2,482",$932,$559,"$19,984","$27,009","$3,302","$8,682","$3,728","$15,649","$18,951",$5,$349,$-108,-,"$8,058","$27,009"
2018-09-30,$920,$956,$405,$157,$288,"$2,726","$13,653","$2,457",$867,$591,"$19,502","$22,228","$2,581","$7,252","$3,667","$14,139","$16,720",$4,$551,$-58,-,"$5,508","$22,228"
2018-06-30,$912,$997,$344,$167,$281,"$2,701","$13,397","$2,451",$867,$625,"$19,407","$22,108","$2,842","$7,760","$3,668","$14,596","$17,438",$4,$513,$-62,-,"$4,670","$22,108"
2018-03-31,"$1,163","$1,081",$257,$189,$359,"$3,049","$13,205","$2,467",$867,$609,"$19,361","$22,410","$2,616","$8,176","$3,601","$14,937","$17,553",$4,$708,$-63,-,"$4,857","$22,410"
2017-12-31,"$1,220","$1,000",$397,$241,$537,"$3,395","$13,057","$2,472",$867,$598,"$19,341","$22,736","$3,069","$8,195","$3,610","$14,979","$18,048",$4,$543,$-68,-,"$4,688","$22,736"
2017-09-30,"$1,258",$783,$442,$175,$277,"$2,935","$12,700","$2,481",$867,$613,"$19,200","$22,135","$3,221","$7,531","$2,307","$15,296","$18,517",$4,$-518,$-72,-,"$3,618","$22,135"
2017-06-30,"$1,268",$762,$410,$167,$258,"$2,865","$12,644","$2,487",$867,$616,"$19,180","$22,045","$3,038","$7,587","$2,493","$15,444","$18,482",$4,$-571,$-70,-,"$3,563","$22,045"
2017-03-31,"$1,251",$854,$316,$184,$291,"$2,896","$12,452","$2,502",$867,$613,"$19,035","$21,931","$2,642","$7,892","$2,509","$15,752","$18,394",$4,$-591,$-71,-,"$3,537","$21,931"
2016-12-31,"$1,294",$770,$312,$161,$386,"$2,923","$12,307","$2,505",$862,$555,"$18,906","$21,829","$3,080","$7,532","$2,494","$15,289","$18,369",$4,$-668,$-71,-,"$3,460","$21,829"
2016-09-30,"$1,084",$705,$351,$154,$235,"$2,529","$12,083","$2,535",$862,$521,"$18,757","$21,286","$2,398","$7,736","$2,474","$15,416","$17,814",$4,$-658,$-64,-,"$3,472","$21,286"
2016-06-30,"$1,008",$621,$283,$135,$225,"$2,272","$11,898","$2,536",$861,$532,"$18,740","$21,012","$2,241","$7,780","$2,473","$15,374","$17,615",$4,$-726,$-67,-,"$3,397","$21,012"
2016-03-31,"$1,112",$580,$234,$127,$282,"$2,335","$11,718","$2,580",$840,$500,"$18,669","$21,004","$2,534","$7,354","$2,494","$14,964","$17,498",$4,$-613,$-65,-,"$3,506","$21,004"
2015-12-31,"$1,069",$765,$347,$140,$368,"$2,689","$11,537","$2,594",$840,$138,"$18,601","$21,290","$2,458","$7,866","$2,458","$15,371","$17,829",$4,$-657,$-66,-,"$3,461","$21,290"
2015-09-30,"$1,053",$636,$342,$111,$258,"$2,400","$11,185","$3,604",$840,$187,"$19,378","$21,778","$3,191","$7,662","$2,422","$14,529","$17,720",$4,$-41,$-81,-,"$4,058","$21,778"
2015-06-30,"$1,205",$678,$274,$105,$247,"$2,509","$10,911","$4,471",$840,$184,"$20,093","$22,602","$3,125","$7,614","$2,450","$14,927","$18,052",$4,$456,$-82,-,"$4,550","$22,602"
2015-03-31,"$1,147",$897,$198,$132,$317,"$2,691","$10,670","$4,501",$840,$179,"$19,979","$22,670","$3,187","$7,767","$2,426","$14,909","$18,096",$4,$486,$-84,-,"$4,574","$22,670"
2014-12-31,"$1,228","$1,027",$379,$178,$456,"$3,268","$10,502","$4,521",$840,$179,"$19,932","$23,200","$2,792","$8,009","$2,411","$15,860","$18,652",$4,$461,$-86,-,"$4,548","$23,200"
2014-09-30,"$1,070",$712,$409,$177,$208,"$2,576","$10,205","$4,525",$840,$167,"$19,472","$22,048","$3,008","$7,797","$2,164","$14,567","$17,575",$4,$387,$-85,-,"$4,473","$22,048"
2014-06-30,"$1,015",$834,$295,$173,$212,"$2,529","$9,979","$4,517",$840,$173,"$19,391","$21,920","$3,026","$7,755","$2,206","$14,469","$17,495",$4,$346,$-87,-,"$4,425","$21,920"
2014-03-31,"$1,116","$1,142",$172,$158,$367,"$2,955","$9,763","$4,540",$840,$168,"$19,309","$22,264","$3,059","$8,056","$2,207","$14,791","$17,850",$4,$341,$-89,-,"$4,414","$22,264"
2013-12-31,$975,$851,$285,$125,$422,"$2,658","$9,593","$4,518",$840,$172,"$19,212","$21,870","$3,019","$7,817","$2,163","$14,522","$17,541",$4,$258,$-90,-,"$4,329","$21,870"
2013-09-30,$908,$729,$374,$112,$196,"$2,319","$9,386","$4,525",$840,$150,"$19,256","$21,575","$2,595","$7,758","$2,457","$14,719","$17,314",$4,$233,$-127,-,"$4,261","$21,575"
2013-06-30,"$1,132",$750,$276,$116,$206,"$2,480","$9,184","$4,485",$840,$194,"$19,178","$21,658","$2,675","$7,919","$2,465","$14,792","$17,467",$4,$171,$-130,-,"$4,191","$21,658"
2013-03-31,$859,$870,$203,$137,$294,"$2,363","$13,708",$400,"$1,468",$202,"$20,007","$22,370","$3,126","$8,130","$2,532","$14,873","$17,999",$4,$360,$-132,-,"$4,371","$22,370"
2012-12-31,"$1,186",$775,$322,$216,$375,"$2,874","$13,597",$405,"$1,468",$203,"$19,997","$22,871","$3,575","$8,357","$2,485","$14,995","$18,570",$4,$302,$-135,-,"$4,301","$22,871"
