,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,131",$912,$302,-,$96,"$4,441","$32,444",-,-,"$2,436","$35,352","$39,793","$2,019","$16,304",$737,"$24,664","$26,683",$763,"$12,527",$-598,-,"$13,110","$39,793"
2020-09-30,"$2,899",$980,$253,-,$96,"$4,228","$32,381","$1,012",-,"$1,322","$35,215","$39,443","$2,294","$16,121",$739,"$24,422","$26,716",$765,"$12,166",$-618,-,"$12,727","$39,443"
2020-06-30,"$2,594",$860,$246,-,$91,"$3,791","$32,261","$1,001",-,"$1,339","$35,113","$38,904","$2,347","$16,128",$757,"$24,394","$26,741",$765,"$11,676",$-652,-,"$12,163","$38,904"
2020-03-31,"$2,482","$1,008",$257,-,$74,"$3,821","$32,188",$993,-,"$1,309","$35,013","$38,834","$2,211","$16,477",$778,"$24,735","$26,946",$765,"$11,412",$-672,-,"$11,888","$38,834"
2019-12-31,"$1,954",$986,$261,-,$77,"$3,278","$32,168",-,-,"$2,279","$34,979","$38,257","$2,151","$15,993",$796,"$24,243","$26,394",$773,"$11,404",$-675,-,"$11,863","$38,257"
2019-09-30,"$2,558","$1,101",$235,-,$66,"$3,960","$32,078",$969,-,"$1,249","$34,835","$38,795","$2,805","$15,992",$743,"$24,111","$26,916",$782,"$11,416",$-648,-,"$11,879","$38,795"
2019-06-30,"$1,731","$1,111",$222,-,$122,"$3,186","$32,019",$959,-,"$1,210","$34,738","$37,924","$2,053","$15,522",$767,"$23,581","$25,634",$798,"$11,843",$-655,-,"$12,290","$37,924"
2019-03-31,"$2,010","$1,106",$241,-,$122,"$3,479","$31,988",$948,-,"$1,189","$34,675","$38,154","$1,926","$15,748",$790,"$23,783","$25,709",$809,"$12,011",$-659,-,"$12,445","$38,154"
2018-12-31,"$1,111","$1,010",$263,-,$181,"$2,565","$31,998",$943,-,"$1,223","$34,164","$36,729","$1,915","$14,739",$805,"$22,234","$24,149",$818,"$12,157",$-661,-,"$12,580","$36,729"
2018-09-30,"$1,278","$1,090",$283,-,$133,"$2,784","$31,871",$941,-,"$1,265","$34,077","$36,861","$1,944","$13,754",$844,"$21,182","$23,126",$844,"$13,320",$-574,-,"$13,735","$36,861"
2018-06-30,"$1,403","$1,036",$326,-,$116,"$2,881","$31,847",$931,-,"$1,265","$34,043","$36,924","$1,732","$13,769",$868,"$21,169","$22,901",$859,"$13,604",$-581,-,"$14,023","$36,924"
2018-03-31,"$1,990","$1,045",$369,-,$138,"$3,542","$31,748",$918,-,"$1,231","$33,897","$37,439","$1,891","$13,768",$904,"$21,157","$23,048",$875,"$13,873",$-585,-,"$14,391","$37,439"
2017-12-31,$419,$970,$372,-,$154,"$1,915","$31,764",$907,-,"$1,153","$33,824","$35,739","$1,894","$11,790",$916,"$19,124","$21,018",$890,"$14,084",$-486,-,"$14,721","$35,739"
2017-09-30,$704,$981,$392,-,$95,"$2,172","$31,579",$864,-,$958,"$33,401","$35,573","$2,075","$11,788","$1,019","$22,596","$24,671",$894,"$10,327",$-561,-,"$10,902","$35,573"
2017-06-30,"$1,097","$1,015",$428,-,$90,"$2,630","$31,427",$856,-,$948,"$33,231","$35,861","$1,672","$11,806","$1,045","$22,588","$24,260",$913,"$11,033",$-569,-,"$11,601","$35,861"
2017-03-31,"$1,217",$943,$415,-,$85,"$2,660","$31,259",$847,-,$946,"$33,052","$35,712","$2,277","$10,963","$1,155","$21,766","$24,043",$923,"$11,197",$-634,-,"$11,669","$35,712"
2016-12-31,"$1,020",$938,$407,-,$122,"$2,487","$31,150",$840,-,$937,"$32,927","$35,414","$2,040","$10,962","$1,122","$21,680","$23,720",$928,"$11,253",$-640,-,"$11,694","$35,414"
2016-09-30,$755,$925,$397,-,$86,"$2,163","$30,782",$830,-,$906,"$32,518","$34,681","$2,263","$9,888","$1,355","$20,748","$23,011",$937,"$11,233",$-639,-,"$11,670","$34,681"
2016-06-30,$828,$912,$399,-,$89,"$2,228","$30,607",$818,-,$897,"$32,322","$34,550","$2,282","$9,905","$1,383","$20,643","$22,925",$946,"$11,199",$-649,-,"$11,625","$34,550"
2016-03-31,"$1,106",$917,$370,-,$83,"$2,608","$30,293",$811,-,$898,"$32,002","$34,610","$1,692","$10,516","$1,400","$21,312","$23,004",$956,"$11,183",$-658,-,"$11,606","$34,610"
2015-12-31,"$1,438",$982,$350,-,$70,"$2,840","$30,174",$803,-,$928,"$31,905","$34,745","$1,952","$10,515","$1,431","$21,125","$23,077",$966,"$11,238",$-665,-,"$11,668","$34,745"
2015-09-30,$966,"$1,003",$309,-,$87,"$2,502","$29,637",$793,-,"$1,083","$31,513","$34,015","$1,922","$10,088","$1,388","$20,433","$22,355",$975,"$11,195",$-645,-,"$11,660","$34,015"
2015-06-30,"$1,118","$1,022",$295,-,$102,"$2,669","$29,250",$787,-,"$1,071","$31,108","$33,777","$1,778","$10,107","$1,418","$20,422","$22,200",$984,"$11,117",$-656,-,"$11,577","$33,777"
2015-03-31,$818,"$1,103",$291,-,$99,"$2,457","$28,872",$778,-,"$1,054","$30,704","$33,161","$2,038","$9,513","$1,386","$19,785","$21,823",$988,"$10,895",$-668,-,"$11,338","$33,161"
2014-12-31,$961,"$1,129",$273,-,$68,"$2,572","$28,584",$779,-,"$1,118","$30,481","$33,053","$2,107","$9,514","$1,398","$19,770","$21,877",$992,"$10,734",$-666,-,"$11,176","$33,053"
2014-09-30,"$1,054","$1,123",$276,-,$95,"$2,676","$27,994",$775,-,"$1,178","$29,947","$32,623","$2,231","$9,387","$1,121","$19,250","$21,481",$995,"$10,527",$-483,-,"$11,142","$32,623"
2014-06-30,$789,"$1,062",$275,-,$123,"$2,372","$27,685",$768,-,"$1,150","$29,603","$31,975","$2,797","$8,410","$1,136","$18,274","$21,071","$1,000","$10,304",$-492,-,"$10,904","$31,975"
2014-03-31,$723,"$1,073",$259,-,$91,"$2,289","$27,494",$756,-,"$1,141","$29,391","$31,680","$2,212","$9,021","$1,144","$18,823","$21,035","$1,004","$10,062",$-507,-,"$10,645","$31,680"
2013-12-31,"$1,079","$1,052",$252,-,$64,"$2,602","$27,291",$752,-,"$1,137","$29,180","$31,782","$2,424","$9,022","$1,170","$18,854","$21,278","$1,009","$9,936",$-523,-,"$10,504","$31,782"
2013-09-30,$719,$981,$267,-,$85,"$2,200","$26,946",$715,-,"$1,082","$28,743","$30,943","$2,251","$8,787","$1,650","$18,824","$21,075","$1,014","$9,670",$-886,-,"$9,868","$30,943"
2013-06-30,"$1,017",$946,$264,-,$118,"$2,489","$26,599",$709,-,"$1,084","$28,392","$30,881","$2,418","$8,811","$1,677","$18,801","$21,219","$1,019","$9,482",$-902,-,"$9,662","$30,881"
2013-03-31,"$1,072",$976,$283,-,$103,"$2,567","$26,288",$703,-,"$1,028","$28,019","$30,586","$2,474","$8,846","$1,716","$18,764","$21,238","$1,022","$9,191",$-919,-,"$9,348","$30,586"
2012-12-31,"$1,371","$1,114",$274,-,$75,"$2,953","$26,050",$695,-,"$1,025","$27,770","$30,723","$2,645","$9,052","$1,794","$18,942","$21,587","$1,020","$9,010",$-936,-,"$9,136","$30,723"
2012-09-30,$728,"$1,163",$264,-,$104,"$2,393","$25,932",$693,-,$912,"$27,537","$29,930","$3,021","$8,257","$1,603","$17,878","$20,899","$1,031","$8,798",$-833,-,"$9,031","$29,930"
2012-06-30,$683,"$1,136",$256,-,$125,"$2,372","$25,632",$687,-,$898,"$27,217","$29,589","$2,575","$8,581","$1,642","$18,119","$20,694","$1,040","$8,679",$-849,-,"$8,895","$29,589"
2012-03-31,$766,"$1,161",$251,-,$112,"$2,468","$25,141",$683,-,$894,"$26,718","$29,186","$2,593","$8,623","$1,667","$18,089","$20,682","$1,039","$8,313",$-866,-,"$8,504","$29,186"
2011-12-31,"$1,306","$1,000",$240,-,$78,"$2,806","$24,974",$678,-,$886,"$26,538","$29,344","$2,558","$8,734","$1,983","$18,318","$20,876","$1,049","$8,275",$-875,-,"$8,468","$29,344"
2011-09-30,$641,"$1,148",$236,-,$112,"$2,301","$24,418",$687,-,$842,"$25,947","$28,248","$2,568","$8,160","$1,717","$17,412","$19,980","$1,050","$7,944",$-738,-,"$8,268","$28,248"
2011-06-30,"$1,295","$1,112",$251,-,$123,"$2,967","$24,202",$681,-,$855,"$25,738","$28,705","$2,485","$8,186","$1,753","$17,279","$19,764","$1,095","$8,582",$-747,-,"$8,941","$28,705"
2011-03-31,$590,"$1,068",$237,-,$102,"$2,171","$23,915",$676,-,$815,"$25,406","$27,577","$2,222","$7,637","$1,780","$16,599","$18,821",$368,"$9,134",$-760,-,"$8,756","$27,577"
2010-12-31,"$1,346",$993,$218,-,$106,"$2,855","$23,799",$673,-,$814,"$25,286","$28,141","$2,537","$8,051","$1,800","$16,904","$19,441",$370,"$9,087",$-771,-,"$8,700","$28,141"
2010-09-30,$676,"$1,001",$225,-,$97,"$2,205","$23,334",$660,-,$830,"$24,824","$27,029","$2,540","$7,297","$1,822","$15,851","$18,391",$374,"$9,022",$-771,-,"$8,638","$27,029"
2010-06-30,$689,$938,$223,-,$108,"$2,143","$23,173",$658,-,$770,"$24,601","$26,744","$2,354","$7,320","$1,843","$15,813","$18,167",$380,"$8,968",$-787,-,"$8,577","$26,744"
2010-03-31,"$1,050",$971,$218,-,$78,"$2,501","$23,290",$654,-,$748,"$24,692","$27,193","$2,388","$7,372","$1,880","$15,920","$18,308",$389,"$9,279",$-798,-,"$8,885","$27,193"
2009-12-31,"$1,090",$995,$203,-,$124,"$2,570","$23,064",$650,-,$603,"$24,317","$26,887","$1,865","$7,895","$1,831","$16,254","$18,119",$393,"$9,090",$-809,-,"$8,768","$26,887"
2009-09-30,"$1,321",$928,$239,-,$111,"$2,770","$23,040",$626,-,$584,"$24,250","$27,020","$2,076","$7,906","$1,798","$16,255","$18,331",$393,"$8,963",$-728,-,"$8,689","$27,020"
2009-06-30,"$1,178",$885,$254,-,$160,"$2,636","$22,887",$622,-,$590,"$24,099","$26,735","$1,961","$7,933","$1,968","$16,318","$18,279",$392,"$8,757",$-735,-,"$8,456","$26,735"
2009-03-31,"$1,129",$958,$250,-,$112,"$2,600","$22,762",$617,-,$588,"$23,967","$26,567","$2,070","$7,995","$2,031","$16,292","$18,362",$392,"$8,534",$-742,-,"$8,205","$26,567"
2008-12-31,$745,"$1,107",$217,-,$119,"$2,391","$22,688",$609,-,$600,"$23,897","$26,288","$2,404","$7,512","$2,069","$15,816","$18,220",$391,"$8,398",$-741,-,"$8,068","$26,288"
2008-09-30,$971,"$1,249",$251,-,$75,"$2,751","$22,587",$647,-,$652,"$23,886","$26,637","$2,829","$7,367","$1,485","$15,235","$18,064",$394,"$8,499",$-320,-,"$8,573","$26,637"
2008-06-30,"$1,477","$1,218",$247,-,$113,"$3,289","$22,198",$650,-,$651,"$23,499","$26,788","$2,490","$7,396","$1,566","$15,225","$17,715",$408,"$8,973",$-321,-,"$9,073","$26,788"
2008-03-31,"$1,639","$1,170",$247,-,$109,"$3,414","$21,970",$645,-,$632,"$23,247","$26,661","$2,704","$7,440","$1,596","$15,215","$17,919",$405,"$8,660",$-323,-,"$8,742","$26,661"
2007-12-31,$714,"$1,174",$240,-,$109,"$2,491","$21,780",$639,-,$624,"$23,043","$25,534","$2,671","$6,470","$1,612","$14,178","$16,849",$408,"$8,565",$-325,-,"$8,685","$25,534"
2007-09-30,"$1,236","$1,173",$244,-,$98,"$2,980","$21,428",$624,-,$573,"$22,625","$25,605","$2,168","$6,678","$2,051","$14,660","$16,828",$420,"$8,262",$-376,-,"$8,777","$25,605"
2007-06-30,$830,"$1,171",$238,-,$99,"$2,571","$21,262",$617,-,$621,"$22,500","$25,071","$2,190","$5,751","$2,058","$13,641","$15,831",$439,"$7,919",$-384,-,"$9,240","$25,071"
2007-03-31,$937,"$1,112",$217,-,$103,"$2,608","$21,093",$613,-,$611,"$22,317","$24,925","$2,655","$5,182","$2,142","$13,152","$15,807",$437,"$7,648",$-390,-,"$9,118","$24,925"
2006-12-31,$900,"$1,174",$204,-,$143,"$2,672","$20,923",$607,-,$927,"$22,457","$25,129","$2,522","$5,362","$2,193","$13,665","$16,187",$438,"$7,427",$-392,-,"$8,942","$25,129"
2006-09-30,$660,"$1,275",$197,-,$153,"$2,538","$20,646",$612,-,"$1,076","$22,334","$24,872","$3,013","$4,937","$2,140","$13,216","$16,229",$435,"$7,125",$-308,-,"$8,643","$24,872"
2006-06-30,$682,"$1,204",$202,-,$66,"$2,395","$20,557",$609,-,"$1,037","$22,203","$24,598","$3,260","$4,567","$2,089","$12,735","$15,995",$222,"$6,841",$-308,-,"$8,603","$24,598"
2006-03-31,$713,"$1,202",$208,-,$107,"$2,447","$20,285",$607,-,"$1,080","$21,972","$24,419","$2,954","$5,045","$2,064","$13,190","$16,144",$222,"$6,479",$-297,-,"$8,275","$24,419"
2005-12-31,$602,"$1,202",$199,-,$144,"$2,372","$20,163",$603,-,"$1,094","$21,860","$24,232","$2,979","$5,093","$2,124","$13,299","$16,278",$436,"$6,262",$-277,-,"$7,954","$24,232"
2005-09-30,$590,"$1,274",$203,-,$239,"$2,447","$19,975",$603,-,$996,"$21,574","$24,021","$3,140","$5,058","$2,050","$13,119","$16,259",$217,"$6,053",$-206,-,"$7,762","$24,021"
2005-06-30,$513,"$1,123",$196,-,$252,"$2,204","$19,881",$583,-,"$1,082","$21,546","$23,750","$2,509","$5,399","$2,219","$13,624","$16,133",$217,"$5,912",$-190,-,"$7,617","$23,750"
2005-03-31,"$1,823","$1,163",$190,-,$288,"$3,579","$19,882",$577,-,"$1,054","$21,513","$25,092","$3,062","$6,208","$2,254","$14,542","$17,604",$217,"$5,768",$-154,-,"$7,488","$25,092"
