,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,724","$3,087",-,-,"$1,040","$6,851","$1,251",$440,"$6,077",$846,"$10,072","$16,923","$3,540",$663,$796,"$2,547","$6,087",$5,"$10,689",$110,-,"$10,836","$16,923"
2020-09-30,"$4,575","$3,118",-,-,$926,"$8,619","$1,313",$441,"$6,018",$829,"$10,168","$18,787","$3,296","$2,412",$777,"$4,351","$7,647",$5,"$11,142",$-40,-,"$11,140","$18,787"
2020-06-30,"$4,582","$3,208",-,-,$741,"$8,531","$1,345",$429,"$5,417",$823,"$9,685","$18,216","$3,212","$2,421",$735,"$4,032","$7,244",$5,"$11,072",$-188,-,"$10,972","$18,216"
2020-03-31,"$4,282","$3,220",-,-,$823,"$8,325","$1,322",$433,"$5,019",$809,"$9,104","$17,429","$2,872","$2,430",$707,"$3,944","$6,816",$5,"$10,831",$-264,-,"$10,613","$17,429"
2019-12-31,"$3,424","$3,256",-,-,$931,"$7,611","$1,309",$17,"$5,020",$736,"$8,593","$16,204","$2,983",$700,$696,"$2,199","$5,182",$5,"$11,022",$-38,-,"$11,022","$16,204"
2019-09-30,"$3,077","$3,438",-,-,$876,"$7,391","$1,318",$79,"$4,886",$773,"$8,453","$15,844","$2,919",$709,$652,"$2,223","$5,142",$6,"$10,820",$-159,-,"$10,702","$15,844"
2019-06-30,"$3,003","$3,386",-,-,$817,"$7,206","$1,337",$80,"$4,812",$767,"$8,311","$15,517","$2,824",$718,$632,"$2,136","$4,960",$6,"$10,583",$-70,-,"$10,557","$15,517"
2019-03-31,"$3,668","$3,377",-,-,$838,"$7,883","$1,314",$79,"$4,823",$724,"$8,213","$16,096","$2,720",$727,$621,"$2,240","$4,960",$6,"$11,140",$-74,-,"$11,136","$16,096"
2018-12-31,"$4,511","$3,190",-,-,$909,"$8,610","$1,394",$80,"$4,631",$689,"$7,236","$15,846","$2,710",$736,$731,"$1,712","$4,422",$6,"$11,485",$-114,-,"$11,424","$15,846"
2018-09-30,"$4,763","$3,187",-,-,$777,"$8,727","$1,362",$93,"$4,058",$643,"$6,547","$15,274","$2,693",$624,$750,"$1,603","$4,296",$6,"$11,041",$-188,-,"$10,978","$15,274"
2018-06-30,"$4,247","$3,204",-,-,$852,"$8,303","$1,345",$80,"$4,096",$615,"$6,503","$14,806","$2,537",$649,$750,"$1,621","$4,158",$6,"$10,681",$-94,-,"$10,648","$14,806"
2018-03-31,"$4,989","$3,145",-,-,$856,"$8,990","$1,333",$83,"$3,668",$577,"$6,055","$15,045","$2,469",$673,$732,"$1,588","$4,057",$6,"$10,856",$63,-,"$10,988","$15,045"
2017-12-31,"$5,056","$3,222",-,-,$833,"$9,111","$1,324",$235,"$3,685",$448,"$6,110","$15,221","$2,839",$698,$765,"$1,713","$4,552",$6,"$10,544",$70,-,"$10,669","$15,221"
2017-09-30,"$4,713","$3,292",-,-,$552,"$8,557","$1,304",$262,"$3,565",$428,"$6,023","$14,580","$2,600",$723,$159,"$1,001","$3,601",$6,"$10,721",$44,-,"$10,979","$14,580"
2017-06-30,"$4,378","$3,089",-,-,$632,"$8,099","$1,284",$198,"$3,470",$430,"$5,839","$13,938","$2,415",$747,$155,"$1,040","$3,455",$6,"$10,316",$33,-,"$10,483","$13,938"
2017-03-31,"$4,274","$3,039",-,-,$529,"$7,842","$1,306",$110,"$3,486",$427,"$5,787","$13,629","$2,585",$772,$155,"$1,061","$3,646",$6,"$9,935",$-17,-,"$9,983","$13,629"
2016-12-31,"$5,169","$2,905",-,-,$526,"$8,600","$1,311",$62,"$3,505",$359,"$5,662","$14,262","$2,418",$797,$162,"$1,116","$3,534",$6,"$10,478",$-114,-,"$10,728","$14,262"
2016-09-30,"$4,858.6","$2,915.7",-,-,$425.5,"$8,199.8","$1,323.3",$60.6,"$3,418.9",$328.8,"$5,516.899","$13,716.7","$2,300.7",$821.6,$140.1,"$1,123.7","$3,424.4",$6.1,"$10,063.2",$-56.2,-,"$10,292.3","$13,716.7"
2016-06-30,"$4,481.2","$2,878.5",-,-,$399.2,"$7,758.9","$1,287.4",$59.6,"$3,419.3",$286.2,"$5,381.2","$13,140.1","$2,120",$840,$138.6,"$1,157.2","$3,277.2",$6.1,"$9,618.8",$-95.7,-,"$9,862.9","$13,140.1"
2016-03-31,"$4,451.7","$2,751.3",-,-,$367.9,"$7,570.9","$1,270",-,"$3,324.1",$275.9,"$5,165","$12,735.9","$2,050.4",$858.4,$138.1,"$1,073.2","$3,123.6",$6.1,"$9,366.4",$-61.6,-,"$9,612.3","$12,735.9"
2015-12-31,"$4,949","$2,622",-,-,$338,"$7,909","$1,271",-,"$3,269",$264,"$5,152","$13,061","$2,714",$877,$140,"$1,069","$3,783",$6,"$8,925",$-106,-,"$9,278","$13,061"
2015-09-30,"$4,050.7","$2,556.6",-,-,$264.7,"$7,237.9","$1,278.9",-,"$3,285",$262.1,"$5,029.7","$12,267.6","$2,128.4",$900,$129.2,"$1,312.2","$3,440.6",$6.1,"$8,501.8",$-113.3,-,"$8,827","$12,267.6"
2015-06-30,"$3,566.5","$2,548.7",-,-,$322.7,"$6,771.4","$1,277.3",-,"$3,311.4",$277.7,"$5,026.2","$11,797.6","$1,956.5",$912.5,$103.9,"$1,300.3","$3,256.8",$6.1,"$8,104.6",$-90.5,-,"$8,540.8","$11,797.6"
2015-03-31,"$3,349.8","$2,448.1",-,-,$336.9,"$6,406.5","$1,268",-,"$3,332",$223.6,"$4,976.9","$11,383.4","$1,884.1",$925,$111.2,"$1,320.8","$3,204.9",$6.1,"$7,684.5",$-119.3,-,"$8,178.5","$11,383.4"
2014-12-31,"$3,774.7","$2,293.3",-,-,$352.6,"$6,420.6","$1,247.2",-,"$3,367.3",$209.7,"$5,058.4","$11,479","$2,592.1",$937.5,$116.4,"$1,146.7","$3,738.8",$6.1,"$7,301.6",$-123.1,-,"$7,740.2","$11,479"
2014-09-30,"$4,618.479","$2,147.131",-,-,$234.942,"$7,260.026","$1,101.468",-,$547.468,$175.348,"$1,967.017","$9,227.043","$1,741.464",-,$85.828,$103.869,"$1,845.333",$6.089,"$6,938.777",$-123.658,-,"$7,381.71","$9,227.043"
