,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$172,"$2,507","$1,550",$309,"$2,348","$6,886","$57,848","$3,338","$8,146","$1,950","$89,019","$95,905","$10,843","$33,957","$16,985","$58,601","$69,444","$21,258","$4,189","$-1,717",-,"$26,461","$95,905"
2020-09-30,$413,"$2,176","$1,565",$632,"$15,043","$19,829","$56,788",$533,"$7,395","$4,184","$84,706","$104,535","$17,560","$33,145","$19,952","$58,909","$76,469","$21,930","$4,035","$-2,016",-,"$28,066","$104,535"
2020-06-30,$675,"$2,273","$1,735",$589,$852,"$6,124","$67,980",$966,"$8,946","$4,256","$97,604","$103,728","$9,537","$37,146","$20,240","$63,307","$72,844","$23,984","$4,480","$-1,980",-,"$30,884","$103,728"
2020-03-31,"$1,192","$2,425","$1,677",-,"$1,242","$6,536","$67,396","$2,262","$8,946","$4,109","$97,590","$104,126","$10,448","$34,615","$20,153","$60,926","$71,374","$23,902","$6,455","$-2,018",-,"$32,752","$104,126"
2019-12-31,$135,"$2,425","$1,616",$296,"$1,624","$6,096","$57,200","$1,713","$8,080","$15,183","$97,727","$103,823","$9,940","$28,998","$22,211","$59,850","$69,790","$23,824","$7,576","$-1,793",-,"$34,033","$103,823"
2019-09-30,$378,"$2,335","$1,800",$338,"$1,418","$6,269","$67,978","$1,897","$9,759",$862,"$95,635","$102,359","$12,191","$33,635","$17,413","$60,211","$72,402","$22,131","$7,336","$-1,777",-,"$29,957","$102,359"
2019-06-30,$382,"$2,096","$1,724",-,"$1,525","$5,727","$67,141","$1,829","$9,863",$903,"$94,627","$100,822","$9,503","$36,648","$17,089","$62,938","$72,441","$20,660","$7,124","$-1,683",-,"$28,381","$100,822"
2019-03-31,$422,"$2,439","$1,657",-,"$1,457","$5,975","$66,567","$1,790","$9,847","$2,234","$93,593","$100,054","$9,776","$36,861","$19,292","$62,679","$72,455","$20,834","$7,806","$-1,731",-,"$27,599","$100,054"
2018-12-31,$268,"$2,080","$1,418",$265,"$1,130","$5,161","$54,560","$1,622","$7,080",$598,"$72,753","$77,914","$7,647","$31,144","$9,631","$48,219","$55,866","$12,588","$9,219","$-1,700",-,"$22,048","$77,914"
2018-09-30,$310,"$1,671","$1,455",-,"$2,266","$5,702","$54,185","$2,203","$6,410","$2,842","$73,380","$79,082","$9,212","$32,188","$12,177","$49,444","$58,656","$10,862","$9,128","$-1,520",-,"$20,426","$79,082"
2018-06-30,$190,"$1,643","$1,429",-,"$1,348","$4,610","$54,604","$2,049","$6,405","$2,853","$73,465","$78,075","$8,918","$32,115","$12,162","$49,121","$58,039","$10,782","$8,820","$-1,538",-,"$20,036","$78,075"
2018-03-31,$189,"$1,751","$1,367",-,$974,"$4,281","$54,129","$1,972","$6,405","$2,809","$73,073","$77,354","$9,339","$31,120","$12,134","$47,973","$57,312","$10,316","$8,924","$-1,551",-,"$20,042","$77,354"
2017-12-31,$120,"$1,786","$1,477",$260,$691,"$4,334","$53,758","$1,871","$7,090",$581,"$72,251","$76,585","$9,636","$30,948","$9,948","$47,579","$57,215","$9,865","$7,936",$-659,-,"$19,370","$76,585"
2017-09-30,$227,"$1,504","$1,527",-,$736,"$3,994","$52,811","$2,215","$6,405","$2,582","$71,397","$75,391","$8,559","$30,886","$8,065","$48,330","$56,889","$9,789","$7,119",$-628,-,"$18,502","$75,391"
2017-06-30,$260,"$1,395","$1,469",-,$787,"$3,911","$51,748","$2,123","$6,399","$2,499","$69,991","$73,902","$9,502","$30,155","$7,941","$47,195","$56,697","$8,717","$6,938",$-682,-,"$17,205","$73,902"
2017-03-31,$486,"$1,570","$1,453",-,$776,"$4,285","$50,716","$2,019","$6,399","$2,339","$68,567","$72,852","$7,842","$31,096","$7,836","$47,829","$55,671","$8,629","$7,023",$-735,-,"$17,181","$72,852"
2016-12-31,$261,"$1,706","$1,524",$194,$563,"$4,248","$49,964","$1,859","$7,017",$487,"$67,362","$71,610","$8,115","$30,231","$5,710","$46,655","$54,770","$8,550","$6,854",$-799,-,"$16,840","$71,610"
2016-09-30,$251,"$1,392","$1,516",$147,$493,"$3,799","$48,888","$1,797","$6,405","$1,045","$65,800","$69,599","$9,027","$28,707","$6,998","$44,380","$53,407","$8,592","$6,837",$-471,-,"$16,192","$69,599"
2016-06-30,$893,"$1,279","$1,351",$143,$477,"$4,143","$43,682","$1,649","$3,294","$1,103","$57,226","$61,369","$7,266","$24,787","$6,198","$38,651","$45,917","$8,160","$6,585",$-493,-,"$15,452","$61,369"
2016-03-31,$218,"$1,328","$1,304",$157,$704,"$3,711","$42,623","$1,614","$3,294","$1,069","$55,794","$59,505","$7,518","$24,186","$6,250","$37,972","$45,490","$6,778","$6,565",$-463,-,"$14,015","$59,505"
2015-12-31,$607,"$1,369","$1,348",$198,$667,"$4,189","$41,554","$1,591","$3,864",$459,"$54,459","$58,648","$8,119","$23,468","$4,846","$36,927","$45,046","$6,680","$6,458",$-474,-,"$13,602","$58,648"
2015-09-30,$238,"$1,433","$1,310",$142,$712,"$4,123","$39,781","$1,591","$3,294","$1,159","$52,476","$56,599","$6,746","$23,245","$5,781","$36,577","$43,323","$6,606","$6,487",$-501,-,"$13,276","$56,599"
2015-06-30,$271,"$1,440","$1,260",$120,$844,"$4,452","$38,668","$1,377","$3,294","$1,316","$51,490","$55,942","$6,736","$23,054","$5,724","$36,351","$43,087","$6,530","$6,278",$-386,-,"$12,855","$55,942"
2015-03-31,$275,"$1,702","$1,227",$163,"$1,013","$5,053","$37,226","$1,373","$3,294","$1,322","$50,103","$55,156","$8,021","$21,353","$5,789","$34,719","$42,740","$6,170","$6,250",$-409,-,"$12,416","$55,156"
2014-12-31,$318,"$1,633","$1,410",$167,"$1,287","$5,615","$36,270","$1,365","$3,614",$669,"$48,712","$54,327","$7,198","$21,805","$4,627","$35,172","$42,370","$5,876","$6,095",$-416,-,"$11,957","$54,327"
2014-09-30,$218,"$1,464","$1,385",$176,"$2,203","$5,446","$34,884","$1,352","$3,044","$2,191","$46,833","$52,279","$7,579","$20,666","$5,101","$33,127","$40,706","$5,788","$6,202",$-417,-,"$11,573","$52,279"
2014-06-30,$419,"$1,637","$1,261",$224,"$2,020","$5,561","$33,887","$1,355","$3,044","$2,174","$45,938","$51,499","$7,243","$20,473","$4,845","$32,689","$39,932","$5,861","$6,023",$-317,-,"$11,567","$51,499"
2014-03-31,$228,"$1,972","$1,013",$216,"$2,049","$5,478","$33,127","$1,348","$3,046","$2,127","$45,108","$50,586","$6,351","$20,458","$4,651","$32,536","$38,887","$5,785","$6,213",$-299,-,"$11,699","$50,586"
2013-12-31,$316,"$1,836","$1,176",$192,"$1,642","$5,940","$32,628","$1,199","$3,646",$610,"$44,156","$50,096","$6,994","$19,330","$4,278","$31,460","$38,454","$5,783","$6,183",$-324,-,"$11,642","$50,096"
2013-09-30,$287,"$1,602","$1,210",-,"$2,111","$5,210","$31,861","$1,203","$3,087","$1,976","$43,278","$48,488","$6,453","$18,548","$3,959","$30,793","$37,246","$5,699","$6,079",$-536,-,"$11,242","$48,488"
2013-06-30,$190,"$1,647","$1,154",-,"$2,872","$5,863","$31,554",$836,"$3,125","$2,024","$42,563","$48,426","$7,377","$18,043","$3,865","$29,989","$37,366","$5,650","$5,836",$-483,-,"$11,060","$48,426"
2013-03-31,$35,"$1,831","$1,039",-,"$2,243","$5,148","$30,909",$853,"$3,128","$1,835","$41,968","$47,116","$6,972","$17,277","$3,778","$29,216","$36,188","$5,571","$5,961",$-820,-,"$10,928","$47,116"
2012-12-31,$248,"$1,717","$1,259",$326,"$1,017","$5,140","$30,773",$861,"$3,666",$649,"$41,698","$46,838","$7,763","$16,851","$3,711","$28,450","$36,213","$5,493","$5,790",$-877,-,"$10,625","$46,838"
2012-09-30,$81,"$1,679","$1,257",-,"$1,636","$4,653","$31,523",$807,"$3,141","$2,134","$42,233","$46,886","$6,562","$17,144","$4,708","$28,446","$35,008","$5,420","$6,753",$-507,-,"$11,878","$46,886"
2012-06-30,$162,"$1,678","$1,251",-,"$1,621","$4,712","$30,921",$842,"$3,141","$2,286","$41,704","$46,416","$6,806","$17,003","$4,371","$27,657","$34,463","$5,351","$6,847",$-455,-,"$11,953","$46,416"
2012-03-31,$133,"$1,712","$1,249",-,"$1,925","$5,019","$30,288",$848,"$3,141","$2,247","$41,074","$46,093","$6,654","$17,079","$4,415","$27,470","$34,124","$5,256","$6,891",$-411,-,"$11,969","$46,093"
2011-12-31,$102,"$2,035","$1,348",$262,"$1,674","$5,430","$29,670",$845,"$3,778",$829,"$40,184","$45,614","$6,962","$17,394","$3,320","$27,149","$34,111","$5,180","$6,697",$-610,-,"$11,503","$45,614"
2011-09-30,$212,"$1,874","$1,326",-,"$1,855","$5,267","$28,411",$849,"$3,141","$2,153","$38,763","$44,030","$5,496","$17,153","$4,362","$26,902","$32,398","$5,171","$6,778",$-499,-,"$11,632","$44,030"
2011-06-30,$80,"$1,998","$1,194",-,"$1,690","$4,962","$27,651",$853,"$3,141","$2,291","$38,449","$43,411","$5,514","$16,500","$4,379","$26,217","$31,731","$5,150","$6,665",$-329,-,"$11,680","$43,411"
2011-03-31,$188,"$1,953","$1,044",-,"$1,747","$4,932","$27,082",$855,"$3,141","$2,307","$37,845","$42,777","$4,501","$16,798","$4,368","$26,333","$30,834","$5,464","$6,612",$-327,-,"$11,943","$42,777"
2010-12-31,$62,"$2,246","$1,163",$277,"$1,652","$5,400","$26,713",$854,"$3,783","$1,012","$37,417","$42,817","$5,773","$15,758","$3,559","$25,047","$30,820","$5,715","$6,418",$-330,-,"$11,997","$42,817"
2010-09-30,$446,"$1,825","$1,222",$132,"$2,370","$5,995","$26,056",$866,"$3,141","$2,105","$36,234","$42,229","$4,927","$16,023","$3,402","$25,207","$30,134","$5,702","$6,386",$-186,-,"$12,095","$42,229"
2010-06-30,$411,"$1,874","$1,107",$107,"$2,876","$6,375","$25,458",$856,"$3,141","$2,129","$35,413","$41,788","$5,671","$15,349","$3,220","$23,971","$29,642","$6,079","$6,077",$-200,-,"$12,146","$41,788"
2010-03-31,$85,"$2,060",$984,$147,"$2,757","$6,033","$26,038",$877,"$3,275","$1,965","$36,130","$42,163","$6,492","$15,364","$3,363","$24,620","$31,112","$6,369","$4,585",$-41,-,"$11,051","$42,163"
2009-12-31,$48,"$2,180","$1,185",$405,"$2,999","$6,817","$25,592",$867,"$4,047",$514,"$35,737","$42,554","$6,833","$15,481","$3,294","$24,536","$31,369","$6,525","$4,686",$-211,-,"$11,185","$42,554"
2009-09-30,$50,"$1,865","$1,178",$115,"$3,643","$6,851","$24,683",$871,"$3,503","$2,042","$35,236","$42,087","$5,448","$16,223","$3,152","$25,312","$30,760","$6,443","$4,956",$-254,-,"$11,327","$42,087"
2009-06-30,$64,"$2,014","$1,077",$117,"$3,839","$7,111","$23,874",$974,"$3,503","$2,154","$34,386","$41,497","$5,974","$15,707","$3,171","$24,513","$30,487","$6,370","$4,623",$-165,-,"$11,010","$41,497"
2009-03-31,$141,"$2,450",$888,-,"$3,813","$7,292","$23,353","$1,016","$3,503","$2,221","$34,395","$41,687","$7,006","$14,899","$3,324","$23,972","$30,978","$6,204","$4,417",$-94,-,"$10,709","$41,687"
2008-12-31,$66,"$2,559","$1,166",$163,"$3,707","$7,661","$23,274","$1,011","$4,215",$906,"$34,392","$42,053","$7,794","$14,956","$3,307","$24,182","$31,976","$5,994","$4,170",$-269,-,"$10,077","$42,053"
2008-09-30,$88,"$2,234","$1,231",-,"$3,780","$7,333","$22,596",$943,"$3,503","$1,373","$34,046","$41,379","$7,971","$14,117","$4,079","$22,943","$30,914","$5,922","$4,307",$49,-,"$10,465","$41,379"
2008-06-30,$88,"$2,190","$1,038",$588,"$4,235","$8,495","$22,317",$837,"$3,496","$1,375","$33,546","$42,041","$9,356","$14,204","$5,121","$23,810","$33,166","$5,857","$4,029","$-1,195",-,"$8,875","$42,041"
