,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$5,104","$7,390","$5,701",-,$889,"$19,084","$20,239","$4,102","$12,260",-,"$42,386","$61,470","$11,108","$16,491","$7,292","$37,357","$48,465",$8,"$16,361","$-10,855",-,"$13,005","$61,470"
2020-09-30,"$4,549","$7,072","$5,609",-,$559,"$17,789","$20,413","$3,464","$12,296",-,"$42,156","$59,945","$10,207","$16,698","$8,524","$36,806","$47,013",$8,"$15,472","$-9,941",-,"$12,932","$59,945"
2020-06-30,"$3,726","$6,881","$5,784",-,$606,"$16,997","$20,618","$3,482","$12,333",-,"$42,279","$59,276","$9,786","$16,288","$8,442","$36,393","$46,179",$8,"$16,017","$-10,225",-,"$13,097","$59,276"
2020-03-31,"$3,634","$7,611","$6,324",-,$569,"$18,138","$20,806","$3,371","$12,416",-,"$42,548","$60,686","$11,121","$16,313","$7,985","$36,104","$47,225",$8,"$16,763","$-10,529",-,"$13,461","$60,686"
2019-12-31,"$2,367","$7,555","$6,214",-,$679,"$16,815","$20,996","$3,992","$12,555",-,"$43,709","$60,524","$10,679","$15,975","$7,607","$35,751","$46,430",$8,"$17,045","$-10,246",-,"$14,094","$60,524"
2019-09-30,"$2,834","$8,808","$6,416",-,$891,"$18,949","$21,003","$5,744","$13,644",-,"$45,988","$64,937","$11,201","$17,213","$7,975","$35,750","$46,951",$7,"$19,873","$-9,219",-,"$17,986","$64,937"
2019-06-30,"$2,466","$8,569","$6,841",-,$761,"$18,637","$21,250","$5,526","$13,848",-,"$46,252","$64,889","$11,605","$17,155","$6,676","$34,784","$46,389",$7,"$20,110","$-8,988",-,"$18,500","$64,889"
2019-03-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-09-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018-06-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017-12-31,"$6,192","$12,049","$8,376",-,$627,"$27,244","$60,426","$6,252","$19,487",$594,"$89,310","$79,940","$14,377","$19,765","$18,025","$38,554","$52,931",-,"$28,050",-,"$-7,594","$27,009","$79,940"
2016-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
