,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$386.274,$244.56,$66.683,$24.169,$147.698,$869.384,$297.364,$13.251,$15.061,$60.63,$697.784,"$1,567.168",$470.819,"$4,116.018",$72.369,"$4,396.754","$4,867.573",$0.389,"$-3,303.492",$-2.424,-,"$-3,300.405","$1,567.168"
2020-09-30,$491.049,$229.403,$65.499,$26.288,$144.282,$956.521,$262.264,-,$15.061,$72.787,$664.427,"$1,620.948",$488.525,"$4,062.175",$79.798,"$4,343.954","$4,832.479",$0.394,"$-3,242.627",$-3.422,-,"$-3,211.531","$1,620.948"
2020-06-30,$486.185,$232.114,$66.85,$28.873,$113.087,$927.109,$257.384,-,$15.061,$69.517,$654.579,"$1,581.688",$459.868,"$4,128.576",$77.282,"$4,404.727","$4,864.594",$0.393,"$-3,311.015",$-4.535,-,"$-3,282.906","$1,581.688"
2020-03-31,$390.171,$219.199,$49.01,$26.025,$109.969,$794.374,$240.717,-,$15.061,$27.539,$595.502,"$1,389.876",$452.169,"$4,061.198",$69.395,"$4,329.897","$4,782.066",$0.39,"$-3,398.986",$-6.068,-,"$-3,392.19","$1,389.876"
2019-12-31,$399.884,$210.26,$52.955,$19.129,$105.389,$787.617,$242.881,$11.982,$15.093,$12.521,$594.475,"$1,382.092",$453.831,"$4,071.055",$70.234,"$4,344.02","$4,797.851",$0.389,"$-3,412.649",$-3.742,-,"$-3,415.759","$1,382.092"
2019-09-30,$243.998,$185.403,$51.01,$15.438,$109.49,$605.339,$216.21,-,$13.542,$22.743,$554.933,"$1,160.272",$421.245,"$3,407.101",$65.447,"$3,674.676","$4,095.921",$0.409,"$-2,932.195",$-3.938,-,"$-2,935.649","$1,160.272"
2019-06-30,$260.972,$182.904,$44.281,$37.578,$117.712,$643.447,$214.135,-,$13.542,$21.965,$533.72,"$1,177.167",$412.906,"$3,414.988",$65.254,"$3,668.547","$4,081.453",$0.412,"$-2,911.278",$-4.208,-,"$-2,904.286","$1,177.167"
2019-03-31,$233.169,$194.064,$45.668,$19.544,$98.098,$590.543,$227.867,-,$14.919,$22.728,$557.732,"$1,148.275",$412.013,"$3,447.819",$65.1,"$3,711.427","$4,123.44",$0.411,"$-2,976.848",$-4.192,-,"$-2,975.165","$1,148.275"
2018-12-31,$192.431,$190.091,$45.975,$25.71,$112.744,$566.951,$234.939,$8.718,$14.919,$12.523,$340.434,$907.385,$379.743,"$3,495.691",$71.872,"$3,567.563","$3,947.306",$0.41,"$-3,036.471",$-4.429,-,"$-3,039.921",$907.385
2018-09-30,$252.77,$170.244,$41.42,$22.382,$118.833,$605.649,$206.999,-,$14.919,$21.793,$306.465,$912.114,$376.431,"$3,437.632",$71.809,"$3,509.441","$3,885.872",$0.416,"$-2,972.565",$-3.523,-,"$-2,973.758",$912.114
