,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$308,"$3,039","$3,190",-,"$2,142","$8,679","$105,760",$924,"$19,303","$3,539","$151,153","$161,409","$16,693","$56,049","$29,231","$97,421","$114,114",$1,"$3,260",$-263,-,"$47,295","$161,409"
2020-06-30,$341,"$2,802","$3,289",-,"$2,805","$9,237","$104,325",$861,"$19,303","$3,458","$149,232","$160,049","$16,690","$56,143","$28,655","$96,748","$113,438",$1,"$2,707",$-183,-,"$46,611","$160,049"
2020-03-31,"$1,450","$2,637","$3,324",-,"$2,770","$10,181","$103,108","$2,067","$19,303","$3,315","$148,258","$160,072","$15,170","$56,311","$28,195","$96,819","$111,989",$1,"$4,221",$-193,-,"$48,083","$160,072"
2019-12-31,$311,"$3,060","$3,232",-,"$2,560","$9,163","$102,127","$1,936","$19,303","$3,289","$148,017","$158,838","$14,752","$54,985","$29,282","$96,135","$110,887",$1,"$4,108",$-130,-,"$47,951","$158,838"
2019-09-30,$379,"$3,077","$3,107",-,"$3,056","$9,619","$98,912","$1,864","$19,303","$2,905","$144,595","$155,917","$13,390","$54,818","$28,591","$95,120","$108,510",$1,"$4,139",$-153,-,"$47,407","$155,917"
2019-06-30,$336,"$2,799","$3,189",-,"$3,185","$9,509","$97,198","$1,715","$19,303","$2,975","$142,205","$153,449","$13,447","$54,342","$28,766","$94,670","$108,117",$1,"$3,502",$-148,-,"$45,332","$153,449"
2019-03-31,$377,"$2,756","$3,102",-,"$2,933","$9,168","$95,721","$1,602","$19,303","$2,969","$140,270","$151,136","$12,282","$53,681","$29,055","$93,809","$106,091",$1,"$3,360",$-128,-,"$45,045","$151,136"
2018-12-31,$442,"$3,134","$3,084",-,"$3,054","$9,714","$91,694","$1,409","$19,303","$2,935","$135,678","$145,392","$15,041","$51,123","$26,032","$86,517","$101,558",$1,"$3,113",$-92,-,"$43,834","$145,392"
2018-09-30,$303,"$3,079","$3,140",-,"$2,998","$9,520","$89,865","$1,328","$19,303","$3,112","$133,645","$143,165","$13,922","$50,507","$26,418","$86,230","$100,152",$1,"$3,313",$-66,-,"$43,013","$143,165"
2018-06-30,$304,"$2,817","$3,177",-,"$2,178","$8,476","$88,495","$1,168","$19,396","$3,087","$131,783","$140,259","$12,791","$49,863","$26,565","$84,953","$97,744",$1,"$2,894",$-70,-,"$42,515","$140,259"
