,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,436","$2,005",$356,$271,"$1,233","$5,301","$46,555","$1,816","$1,906",-,"$56,757","$62,895","$7,354","$20,382","$6,364","$36,476","$43,830",$36,"$11,178",$-25,$-112,"$19,065","$62,895"
2020-09-30,$314,"$1,747",$353,$777,"$1,013","$4,204","$45,564","$2,124","$1,931",-,"$54,547","$59,595","$7,160","$19,206","$6,207","$33,724","$40,884",$35,"$11,391",$-12,$-110,"$18,711","$59,595"
2020-06-30,"$1,345","$1,703",$336,$291,$889,"$4,564","$44,897","$2,080","$1,956",-,"$53,664","$59,081","$6,705","$19,149","$6,187","$33,935","$40,640",$35,"$11,154",$-14,$-110,"$18,441","$59,081"
2020-03-31,"$1,574","$1,527",$326,$739,$860,"$5,026","$44,435","$2,011","$1,978",-,"$53,285","$59,159","$6,311","$19,423","$6,212","$34,381","$40,692",$35,"$11,220",$-14,$-110,"$18,467","$59,159"
2019-12-31,"$1,217","$1,440",$352,$260,"$1,003","$4,272","$43,889","$2,065","$2,003",-,"$52,950","$58,079","$6,287","$18,527","$6,221","$33,579","$39,866",$35,"$11,100",$-19,$-110,"$18,213","$58,079"
2019-09-30,$253,"$1,433",$358,$707,$830,"$3,581","$43,234","$1,983","$2,026",-,"$51,525","$55,940","$6,219","$17,537","$6,003","$31,587","$37,806",$35,"$11,051",$-10,$-110,"$18,134","$55,940"
2019-06-30,$970,"$1,404",$344,$222,$767,"$3,707","$42,745","$1,899","$2,045",-,"$51,053","$55,602","$5,969","$17,496","$6,075","$31,768","$37,737",$35,"$10,825",$-11,$-110,"$17,865","$55,602"
2019-03-31,$474,"$1,625",$327,$635,$720,"$3,781","$42,152","$1,832","$2,070",-,"$50,433","$55,066","$6,348","$16,933","$6,002","$31,217","$37,565",$34,"$10,915",$-12,$-107,"$17,501","$55,066"
2018-12-31,"$1,006","$1,601",$358,$187,$712,"$3,864","$41,749","$1,766","$2,094",-,"$50,056","$53,920","$6,207","$17,495","$6,032","$30,874","$37,081",$34,"$10,728",$-16,$-99,"$16,839","$53,920"
2018-09-30,$245,"$1,642",$338,$665,$466,"$3,356","$39,383","$2,131",$571,-,"$46,188","$49,544","$5,401","$15,480","$5,835","$28,245","$33,646",$34,"$10,619",$-18,$-85,"$15,898","$49,544"
