,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$178.333,-,-,-,-,$178.333,"$19,574.27",-,-,$369.19,"$19,943.46","$20,623.98",$224.28,"$8,396.729",$625.212,"$9,315.647","$9,869.61",$3.722,"$1,371.938",$-61.478,-,"$10,754.37","$20,623.98"
2020-06-30,$187.416,-,-,-,-,$187.416,"$19,626.68",-,-,$395.775,"$20,022.46","$20,714.95",$177.365,"$8,421.859",$611.421,"$9,369.976","$9,877.475",$3.722,"$1,505.694",$-67.355,-,"$10,837.48","$20,714.95"
2020-03-31,$82.335,-,-,-,-,$82.335,"$19,988.67",-,-,$340.347,"$20,329.02","$20,919.32",$231.621,"$8,632.704",$600.252,"$9,586.298","$10,148.63",$3.721,"$1,469.821",$-72.896,-,"$10,770.69","$20,919.32"
2019-12-31,$45.753,-,-,-,-,$45.753,"$20,256.82",-,-,$357.421,"$20,614.24","$21,172.77",$161.202,"$9,036.956",$635.351,"$10,135.71","$10,628.24",$3.717,"$1,386.495",$-77.563,-,"$10,544.53","$21,172.77"
2019-09-30,$28.777,-,-,-,-,$28.777,"$20,185.95",-,-,$358.284,"$20,544.23","$21,054.06",$225.427,"$8,991.936",$601.383,"$10,088.32","$10,647.06",$3.713,"$1,308.423",$-84.092,-,"$10,407","$21,054.06"
2019-06-30,$251.273,-,-,-,-,$251.273,"$19,969.15",-,-,$338.532,"$20,307.68","$20,990.71",$172.732,"$9,130.421",$590.352,"$10,156.81","$10,611.16",$3.708,"$1,252.809",$-89.849,-,"$10,379.55","$20,990.71"
2019-03-31,$29.391,-,-,-,-,$29.391,"$19,936.64",-,-,$368.097,"$20,304.74","$20,768.81",$226.859,"$8,952.67",$607.978,"$9,993.211","$10,502.31",$3.705,"$1,155.032",$-75.013,-,"$10,266.5","$20,768.81"
2018-12-31,$47.442,-,-,-,-,$47.442,"$19,814.74",-,-,$532.026,"$20,346.77","$20,394.21",$165.093,"$8,817.938",$632.422,"$9,829.467","$9,994.56",$3.694,"$1,261.763",$-64.986,-,"$10,399.65","$20,394.21"
2018-09-30,$32.995,-,-,-,-,$32.995,"$19,930.73",-,-,$578.425,"$20,509.16","$20,542.15",$251.578,"$8,823.793",$618.449,"$9,823.481","$10,075.06",$3.684,"$1,344.825",$-50.689,-,"$10,467.09","$20,542.15"
2018-06-30,$34.507,-,-,-,-,$34.507,"$19,826.55",-,-,$545.521,"$20,372.08","$20,406.58",$209.756,"$8,772.769",$617.788,"$9,757.04","$9,966.79",$3.683,"$1,329.6",$-67.31,-,"$10,439.79","$20,406.58"
