,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$729.993,"$1,113.495",$214.3,$243.781,$918.844,"$3,220.413","$29,092.98",$903.177,"$4,403.666","$1,003.943","$40,286.93","$43,507.34","$3,634.07","$14,736.31","$5,877.477","$25,893.26","$29,527.33","$1,789.092","$4,535.86",$-60.397,-,"$13,980.02","$43,507.34"
2020-06-30,$64.89,$996.29,$176.138,$191.57,$976.525,"$2,405.413","$28,610.78",$884.273,"$4,427.266",$981.459,"$39,633.3","$42,038.72","$3,326.058","$13,697.76","$5,863.81","$24,907.4","$28,233.46","$1,789.092","$4,384.093",$-62.558,-,"$13,805.26","$42,038.72"
2020-03-31,$47.425,"$1,018.941",$286.498,$269.457,$940.349,"$2,562.67","$28,041.4",$876.328,"$4,427.266",$963.045,"$39,086.36","$41,648.98","$3,395.628","$13,898.58","$5,840.379","$25,043.4","$28,439.02","$1,759.092","$4,322.825",$-63.111,-,"$13,209.96","$41,648.98"
2019-12-31,$15.432,$989.383,$235.471,$342.135,$832.118,"$2,414.539","$27,585.47",$871.633,"$4,427.266",$961.368,"$38,709.38","$41,123.91","$3,605.563","$13,770.83","$5,835.938","$24,888.36","$28,493.92","$1,729.292","$4,177.048",$-65.059,-,"$12,629.99","$41,123.91"
2019-09-30,$22.688,$993.396,$204.012,$312.253,$688.556,"$2,220.905","$26,911.88",$861.687,"$4,427.266","$1,011.099","$37,504.49","$39,725.39","$3,748.91","$13,440.17","$5,833.172","$23,854.87","$27,603.78","$1,699.292","$4,100.22",$-52.017,-,"$12,121.61","$39,725.39"
2019-06-30,$20.578,$964.314,$174.124,$302.496,$670.185,"$2,131.697","$26,304.45",$748.705,"$4,427.266",$979.616,"$36,864.21","$38,995.91","$3,512.121","$13,039.18","$5,829.428","$23,529.19","$27,041.31","$1,699.292","$3,954.492",$-53.641,-,"$11,954.59","$38,995.91"
2019-03-31,$35.145,"$1,140.348",$277.104,$181.724,$666.543,"$2,300.864","$26,032.78",$711.476,"$4,427.266",$879.193,"$36,640.14","$38,941.01","$4,559.362","$12,284.33","$5,821.473","$22,744.21","$27,303.57","$1,669.392","$4,092.895",$-57.804,-,"$11,637.43","$38,941.01"
2018-12-31,$108.068,$994.055,$238.042,$260.995,$691.064,"$2,292.224","$25,610.43",$464.286,"$4,427.266",$815.915,"$35,949.03","$38,241.26","$4,112.882","$12,248.74","$5,768.704","$22,641.55","$26,754.44","$1,669.392","$3,953.974",$-60,-,"$11,486.82","$38,241.26"
2018-09-30,$59.092,"$1,091.589",$192.508,$203.434,$606.748,"$2,153.371","$24,967.7",-,"$4,427.266","$1,250.699","$35,362.3","$37,515.67","$3,630.272","$12,151.54","$5,770.007","$22,476.62","$26,106.89","$1,669.392","$3,882.695",$-59.582,-,"$11,408.78","$37,515.67"
2018-06-30,$64.154,"$1,123.826",$171.601,$107.379,$810.63,"$2,277.59","$24,476.89",-,"$4,427.266","$1,257.158","$34,966.75","$37,244.34","$3,529.555","$12,009.26","$5,758.465","$22,441.56","$25,971.12","$1,669.392","$3,753.343",$-60.988,-,"$11,273.22","$37,244.34"
2018-03-31,$303.81,"$1,086.282",$264.171,$210.534,$906.639,"$2,771.436","$23,958.69",-,"$4,427.266","$1,227.072","$34,268.54","$37,039.98","$4,096.018","$12,015.99","$5,172.902","$21,760.25","$25,856.27","$1,669.392","$3,670.603",$-63.13,-,"$11,183.71","$37,039.98"
2017-12-31,$38.165,$925.083,$223.063,$138.009,"$1,162.779","$2,487.099","$23,617.46",-,"$4,427.266","$1,191.111","$33,733.29","$36,220.39","$3,589.045","$11,775.89","$5,088.031","$21,545.1","$25,134.14","$1,669.392","$3,561.084",$-66.403,-,"$11,086.24","$36,220.39"
2017-09-30,$125.761,$919.959,$305.035,$159.939,$892.776,"$2,403.47","$22,537.3",$570.255,"$3,519.401",$627.289,"$30,760.15","$33,163.62","$2,620.431","$10,468.19","$1,973.173","$19,545.15","$22,165.58","$1,669.392","$3,474.185",$-63.615,-,"$10,998.04","$33,163.62"
2017-06-30,$24.638,$833.945,$286.296,$157.359,"$1,028.576","$2,330.814","$22,071.5",-,"$3,519.401","$1,156.148","$30,328.03","$32,658.84","$3,785.709","$8,899.021","$1,959.457","$17,987.61","$21,773.32","$1,669.392","$3,364.336",$-62.935,-,"$10,885.52","$32,658.84"
2017-03-31,$45.763,$879.451,$361.779,$182.659,"$1,041.747","$2,511.399","$21,641.9",-,"$3,519.401","$1,117.778","$29,843.78","$32,355.18","$3,333.765","$9,267.891","$1,957.56","$18,217.21","$21,550.98","$1,669.392","$3,284.108",$-62.141,-,"$10,804.2","$32,355.18"
2016-12-31,$30.251,$847.301,$328.721,$215.284,"$1,056.115","$2,477.672","$21,350.5",-,"$3,519.401","$1,066.902","$29,575.49","$32,053.17","$3,638.605","$8,829.354","$1,969.191","$17,702.83","$21,341.44","$1,669.392","$3,175.171",$-65.282,-,"$10,711.73","$32,053.17"
2016-09-30,$40.056,$967.806,$311.051,$155.612,$940.127,"$2,414.652","$20,807.94",$525.809,"$3,519.401",$344.653,"$28,667.68","$31,082.34","$2,642.028","$9,235.128","$1,853.133","$17,802.93","$20,444.95","$1,669.392","$3,087.006",$-65.617,-,"$10,637.38","$31,082.34"
2016-06-30,$38.726,$910.266,$292.547,$106.561,"$1,067.184","$2,415.284","$20,448.47",-,"$3,519.401",$837.925,"$28,467.38","$30,882.66","$2,303.769","$9,435.924","$1,784.52","$18,069.49","$20,373.26","$1,669.392","$2,962.843",$-65.364,-,"$10,509.41","$30,882.66"
2016-03-31,$50.966,$935.148,$359.225,$133.813,"$1,111.395","$2,590.547","$20,096.69",-,"$3,519.401",$802.348,"$28,121.93","$30,712.47","$2,593.914","$9,144.687","$1,740.13","$17,680.06","$20,273.98","$1,669.392","$2,900.351",$-65.175,-,"$10,438.5","$30,712.47"
2015-12-31,$23.947,"$1,080.839",$336.476,$129.034,"$1,048.49","$2,618.786","$19,892.44",-,"$3,519.401",$811.721,"$27,961.52","$30,580.31","$2,989.79","$8,805.574","$1,722.196","$17,238.3","$20,228.09","$1,669.313","$2,797.355",$-66.844,-,"$10,352.21","$30,580.31"
2015-09-30,$155.483,$940.311,$302.225,$117.857,$851.812,"$2,367.688","$19,406.03",-,"$3,519.401",$801.16,"$27,678.34","$30,046.03","$2,971.693","$8,757.498","$1,755.663","$16,779.9","$19,751.6","$1,669.313","$2,747.977",$-73.546,-,"$10,294.43","$30,046.03"
2015-06-30,$161.299,"$1,021.37",$289.561,$62.884,$914.815,"$2,449.929","$19,079.19",-,"$3,519.401",$814.736,"$27,430.01","$29,879.94","$2,838.985","$8,689.647","$1,767.758","$16,700.33","$19,539.32","$1,669.167","$2,644.485",$-72.033,-,"$10,340.62","$29,879.94"
2015-03-31,$71.027,"$1,231.114",$281.492,$231.949,$977.109,"$2,792.691","$18,810.71",-,"$3,519.401",$847.458,"$27,159.07","$29,951.77","$3,111.782","$8,602.067","$1,791.974","$16,574.01","$19,685.79","$1,668.039","$2,569.482",$-72.414,-,"$10,265.97","$29,951.77"
2014-12-31,$38.703,"$1,193.653",$349.664,$226.194,$884.251,"$2,692.465","$18,647.04",-,"$3,519.401",$827.394,"$27,047.92","$29,740.39","$3,134.381","$8,568.429","$1,799.163","$16,629.19","$19,763.57","$1,666.796","$2,448.661",$-74.009,-,"$9,976.815","$29,740.39"
2014-09-30,$156.428,$848.51,$333.869,$135.497,$627.246,"$2,101.55","$18,254.6",-,"$3,519.401",$865.628,"$25,880.75","$27,982.31","$2,929.676","$8,166.985","$1,793.984","$15,162.08","$18,091.76","$1,666.767","$2,351.421",$-40.172,-,"$9,890.552","$27,982.31"
2014-06-30,$150.083,$807.51,$281.721,$168.022,$661.139,"$2,068.475","$17,978.7",-,"$3,519.401",$884.42,"$25,721.98","$27,790.45","$2,802.808","$8,147.129","$1,836.082","$15,233.83","$18,036.64","$1,666.637","$2,241.025",$-41.507,-,"$9,753.807","$27,790.45"
2014-03-31,$89.15,$980.033,$228.192,$292.539,$775.895,"$2,365.809","$17,713.03",-,"$3,519.401","$1,011.988","$25,731.06","$28,096.87","$2,790.144","$8,318.332","$2,008.905","$15,582.79","$18,372.94","$1,666.58","$2,237.71",$-44.321,-,"$9,723.933","$28,096.87"
2013-12-31,$43.364,$782.02,$303.233,$197.659,$760.773,"$2,087.049","$17,576.19",-,"$3,519.401",$854.207,"$25,708.49","$27,795.54","$3,275.651","$7,776.833","$2,050.087","$14,752.79","$18,028.44","$1,665.351","$2,125.98",$-46.031,-,"$9,767.096","$27,795.54"
2013-09-30,$57.941,$784.498,$304.698,$222.7,$648.295,"$2,018.132","$17,187.9",-,"$3,519.401",$836.508,"$26,426.19","$28,444.32","$3,378.43","$7,444.192","$2,185.533","$15,392.87","$18,771.3","$1,665.098","$2,064.401",$-67.387,-,"$9,673.021","$28,444.32"
2013-06-30,$36.055,$789.41,$280.6,$174.484,$770.544,"$2,051.093","$16,931.45",-,"$3,519.401",$877.645,"$26,145.8","$28,196.89","$3,081.51","$7,651.396","$2,199.936","$15,553.2","$18,634.71","$1,664.833","$1,969.755",$-69.469,-,"$9,562.18","$28,196.89"
2013-03-31,$159.932,$832.989,$239.226,$104.452,$821.412,"$2,158.011","$16,737.55",-,"$3,519.401",$898.592,"$26,170.65","$28,328.66","$3,839.637","$7,011.561","$2,264.836","$14,988.23","$18,827.86","$1,664.76","$1,914.371",$-70.898,-,"$9,500.799","$28,328.66"
2012-12-31,$45.748,$792.822,$267.713,$199.947,$921.065,"$2,227.295","$16,605.01",-,"$3,519.401",$818.707,"$26,075.53","$28,302.82","$3,643.69","$7,200.156","$2,472.516","$15,266.52","$18,910.21","$1,662.547","$1,802.714",$-72.854,-,"$9,392.618","$28,302.82"
2012-09-30,$155.067,$773.415,$267.281,$112.965,$830.258,"$2,138.986","$16,303.8",-,"$3,518.454",$788.283,"$25,618.58","$27,757.56","$3,800.723","$6,732.536","$2,446.682","$14,624.41","$18,425.13","$1,662.358","$1,735.69",$-64.209,-,"$9,332.434","$27,757.56"
2012-06-30,$107.714,$661.91,$262.562,$95.16,$826.659,"$1,954.005","$16,054.91",-,"$3,518.454",$777.774,"$25,552.29","$27,506.3","$3,490.467","$6,936.473","$2,542.761","$14,792.63","$18,283.09","$1,662.251","$1,635.709",$-66.387,-,"$9,223.207","$27,506.3"
2012-03-31,$346.079,$485.77,$219.091,$94.737,$377.789,"$1,523.466","$10,613.2",-,$287.591,$339.89,"$14,454.89","$15,978.35","$1,967.681","$4,977.131","$1,680.983","$9,822.813","$11,790.49",$981.592,"$1,698.553",$-68.822,-,"$4,187.86","$15,978.35"
2011-12-31,$77.529,$488.002,$248.958,$112.632,$430.351,"$1,357.472","$10,403.07",-,$287.591,$331.228,"$14,289.6","$15,647.07","$1,947.682","$4,614.913","$1,758.292","$9,567.559","$11,515.24",$980.264,"$1,651.875",$-70.686,-,"$4,131.826","$15,647.07"
2011-09-30,$91.246,$494.755,$237.794,$130.01,$373.57,"$1,327.375","$10,096.06",-,$287.591,$311.635,"$13,401.34","$14,728.72","$1,535.307","$4,614.697","$1,986.894","$9,118.56","$10,653.87",$980.054,"$1,587.528",$-55.214,-,"$4,074.85","$14,728.72"
2011-06-30,$89.787,$520.051,$230.754,$100.763,$396.507,"$1,337.862","$9,863.789",-,$287.591,$297.011,"$13,104.48","$14,442.35","$1,476.027","$4,356.052","$2,001.484","$8,933.166","$10,409.19",$979.884,"$1,546.493",$-45.791,-,"$4,033.153","$14,442.35"
2011-03-31,$94.696,$626.822,$202.561,$95.352,$387.534,"$1,406.965","$9,716.414",-,$287.591,$323.774,"$13,011.57","$14,418.53","$1,207.187","$4,630.724","$2,058.312","$9,208.313","$10,415.5",$979.876,"$1,518.099",$-41.267,-,"$4,003.032","$14,418.53"
2010-12-31,$101.701,$613.282,$244.043,$100.441,$447.533,"$1,507","$9,567.726",-,$287.591,$230.462,"$12,965.6","$14,472.6","$1,345.147","$4,632.866","$1,878.391","$9,198.621","$10,543.77",$978.909,"$1,452.777",$-43.37,-,"$3,928.833","$14,472.6"
2010-09-30,$121.148,$526.28,$247.254,$178.739,$162.574,"$1,235.995","$9,318.017",-,$287.591,$370.966,"$13,061.59","$14,297.59","$1,057.148","$4,635.96","$2,458.664","$9,516.343","$10,573.49",$978.677,"$1,368.956",$-40.979,-,"$3,724.098","$14,297.59"
2010-06-30,$161.459,$495.64,$226.2,$121.835,$207.725,"$1,212.859","$9,142.32",-,$287.591,$402.971,"$13,016.86","$14,229.72",$965.624,"$4,635.851","$2,575.034","$9,604.051","$10,569.67",$978.429,"$1,313.848",$-41.805,-,"$3,660.049","$14,229.72"
2010-03-31,$111.972,$570.87,$229.837,$151.641,$179.251,"$1,243.571","$8,957.713",-,$287.591,$408.6,"$12,861.87","$14,105.45",$919.241,"$4,588.862","$2,597.353","$9,561.007","$10,480.25",$978.381,"$1,287.271",$-42.74,-,"$3,625.198","$14,105.45"
2009-12-31,$93.188,$540.37,$277.085,$96.1,$261.111,"$1,267.854","$8,839.965",-,$287.591,$417.338,"$12,789.82","$14,057.68",$979.412,"$4,492.935","$2,729.656","$9,384.165","$10,363.58",$977.276,"$1,246.543",$-43.467,-,"$3,694.102","$14,057.68"
2009-09-30,$312.864,$591.469,$281.409,$110.121,$183.742,"$1,479.605","$8,623.061",-,$287.591,$445.511,"$12,526.73","$14,006.33","$1,194.59","$4,345.028","$2,317.256","$9,278.326","$10,472.92",$977.003,"$1,203.603",$-37.767,-,"$3,533.418","$14,006.33"
2009-06-30,$542.985,$557.587,$258.731,$77.378,$189.118,"$1,625.799","$8,469.393",-,$287.591,$482.398,"$12,501.85","$14,127.65","$1,319.489","$4,343.264","$2,366.131","$9,306.316","$10,625.8",$976.734,"$1,180.706",$-38.956,-,"$3,501.843","$14,127.65"
2009-03-31,$493.617,$695.599,$235.717,$115.392,$206.843,"$1,747.168","$8,313.536",-,$287.591,$487.295,"$12,526.42","$14,273.59","$1,381.246","$4,353.18","$2,519.326","$9,436.269","$10,817.51",$976.721,"$1,138.969",$-37.096,-,"$3,456.072","$14,273.59"
2008-12-31,$168.268,$698.755,$300.049,$88.679,$249.813,"$1,505.564","$8,207.876",-,$287.591,$484.843,"$12,482.92","$13,988.48","$1,703.462","$4,103.162","$3,796.512","$9,148.506","$10,851.97",$881.061,"$1,078.594",$-37.265,-,"$3,136.512","$13,988.48"
2008-09-30,$163.441,$624.936,$270.375,$77.756,$237.739,"$1,374.247","$7,941.027",-,$287.591,$466.187,"$11,289.49","$12,663.73","$1,335.902","$4,031.432","$2,601.777","$8,311.851","$9,647.752",$880.899,"$1,039.984",$2.877,-,"$3,015.981","$12,663.73"
2008-06-30,$94.616,$660.068,$228.767,$37.028,$373.207,"$1,393.686","$7,721.748",-,$287.591,$637.245,"$11,315.57","$12,709.25","$1,112.539","$4,090.288","$2,937.302","$8,657.257","$9,769.796",$880.804,$967.329,$4.819,-,"$2,939.456","$12,709.25"
2008-03-31,$379.521,$504.329,$155.687,$47.8,$213.847,"$1,301.184","$7,452.579",-,$287.591,$522.937,"$11,042.59","$12,343.78","$1,420.739","$3,494.162","$2,875.734","$7,996.263","$9,417.002",$880.644,$973.971,$-8.847,-,"$2,926.776","$12,343.78"
2007-12-31,$394.102,$415.133,$210.85,$58.794,$207.377,"$1,286.256","$7,229.945",-,$287.591,$518.435,"$10,295.57","$11,581.82","$1,206.15","$3,483.599","$2,361.288","$7,345.637","$8,551.787",$879.623,$946.792,$9.359,-,"$3,030.035","$11,581.82"
