,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$569.075,-,-,-,-,$644.507,"$12,501.97",-,-,$181.655,"$12,683.63","$13,401.04",$205.52,"$6,610.184",$212.293,"$6,853.196","$7,133.56",$0.007,$-821.841,$-16.8,-,"$6,267.482","$13,401.04"
2020-06-30,$256.475,-,-,-,-,$301.223,"$12,595.19",-,-,$207.327,"$12,802.52","$13,177.41",$164.34,"$6,319.412",$231.911,"$6,584.564","$6,824.529",$0.007,$-760.028,$-18.71,-,"$6,352.881","$13,177.41"
2020-03-31,$282.347,-,-,-,-,$317.214,"$12,861.12",-,-,$198.079,"$13,059.2","$13,450.84",$193.564,"$6,495.652",$234.628,"$6,762.923","$7,032.892",$0.007,$-708.697,$-22.668,-,"$6,417.949","$13,450.84"
2019-12-31,$81.094,-,-,-,-,$215.459,"$12,230.07",-,-,$185.128,"$12,415.2","$12,705.41",$158.017,"$5,808.873",$220.861,"$6,067.144","$6,301.906",$0.007,$-887.619,$-13.888,-,"$6,403.504","$12,705.41"
2019-09-30,$91.726,-,-,-,-,$308.267,"$12,355.72",-,-,$258.43,"$12,614.15","$12,997.89",$193.341,"$6,048.141",$224.834,"$6,312.052","$6,582.888",$0.007,$-887.521,$-19.028,-,"$6,415.004","$12,997.89"
2019-06-30,$54.971,-,-,-,-,$129.387,"$12,204.59",-,-,$260.967,"$12,465.55","$12,671.14",$140.188,"$5,841.251",$229.534,"$6,107.615","$6,326.029",$0.007,$-857.994,$-18.992,-,"$6,345.116","$12,671.14"
2019-03-31,$124.126,-,-,-,-,$195.28,"$12,047.81",-,-,$257.913,"$12,305.72","$12,578",$180.571,"$5,735.801",$228.255,"$6,001.225","$6,260.806",$0.007,$-822.087,$-14.817,-,"$6,317.195","$12,578"
2018-12-31,$151.395,-,-,-,-,$223.29,"$11,911.32",-,-,$248.984,"$12,160.31","$12,383.6",$127.086,"$5,605.942",$221.249,"$5,862.666","$5,989.756",$0.007,$-812.796,$-13.217,-,"$6,393.844","$12,383.6"
2018-09-30,$174.626,-,-,-,-,$243.792,"$12,012.83",-,-,$261.52,"$12,274.35","$12,518.14",$185.426,"$5,633.672",$226.352,"$5,896.689","$6,082.115",$0.007,$-808.085,$-8.548,-,"$6,436.028","$12,518.14"
2018-06-30,$177.576,-,-,-,-,$245.962,"$12,046.16",-,-,$263.529,"$12,309.69","$12,555.65",$132.796,"$5,691.093",$220.825,"$5,948.175","$6,080.967",$0.007,$-766.193,$-11.438,-,"$6,474.683","$12,555.65"
