,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$61,954","$11,335",-,"$2,381",-,"$75,670","$45,633","$6,234","$19,673","$2,758","$83,646","$159,316","$14,981",-,"$6,414","$16,045","$31,026",-,"$77,345",$927,-,"$128,290","$159,316"
2020-09-30,"$55,620","$8,024",-,"$2,155",-,"$65,799","$42,291","$6,164","$19,775","$2,969","$80,638","$146,437","$11,944",-,"$7,121","$16,762","$28,706",-,"$68,513",$308,-,"$117,731","$146,437"
2020-06-30,"$58,240","$7,483",-,"$2,407",-,"$68,130","$39,006",-,"$19,888","$3,238","$71,561","$139,691","$11,308",-,"$8,303","$17,936","$29,244",-,"$62,784",$-142,-,"$110,447","$139,691"
2020-03-31,"$60,289","$7,289",-,"$1,771",-,"$69,349","$37,127",-,"$19,649","$2,887","$69,022","$138,371","$15,069",-,"$8,489","$17,998","$33,067",-,"$59,160",$-544,-,"$105,304","$138,371"
2019-12-31,"$54,855","$9,518",-,"$1,852",-,"$66,225","$35,323",$86,"$19,609","$2,673","$67,151","$133,376","$15,053",-,"$7,745","$17,269","$32,322",-,"$55,692",$-489,-,"$101,054","$133,376"
2019-09-30,"$52,269","$7,673",-,"$2,137",-,"$62,079","$32,284",-,"$19,191","$2,461","$62,339","$124,418","$13,328",-,"$8,735","$17,091","$30,419",-,"$49,789",$-849,-,"$93,999","$124,418"
2019-06-30,"$48,596","$7,513",-,"$1,852",-,"$57,961","$29,999",-,"$19,328","$2,446","$59,045","$117,006","$12,979",-,"$8,143","$15,265","$28,244",-,"$44,968",$-483,-,"$88,762","$117,006"
2019-03-31,"$45,243","$6,475",-,"$1,582",-,"$53,300","$27,345",-,"$19,483","$2,602","$56,177","$109,477","$9,908","$6,565","$6,488","$13,053","$22,961",-,"$43,764",$-781,-,"$86,516","$109,477"
2018-12-31,"$41,114","$7,587",-,"$1,779",-,"$50,480","$24,683",-,"$19,595","$2,576","$46,854","$97,334","$7,017",-,"$6,190","$6,190","$13,207",-,"$41,981",$-760,-,"$84,127","$97,334"
2018-09-30,"$41,206","$6,058",-,"$1,883",-,"$49,147","$21,112",-,"$19,755","$2,438","$43,305","$92,452","$5,462",-,"$6,648","$6,648","$12,110",-,"$38,767",$-777,-,"$80,342","$92,452"
2018-06-30,"$42,309","$5,590",-,"$1,934",-,"$49,833","$18,357",-,"$19,836","$2,265","$40,458","$90,291","$4,670",-,"$6,239","$6,239","$10,909",-,"$38,237",$-687,-,"$79,382","$90,291"
2018-03-31,"$43,956","$5,115",-,"$1,341",-,"$50,412","$16,211",-,"$20,003","$2,319","$38,533","$88,945","$5,086",-,"$6,239","$6,239","$11,325",-,"$36,780",$-294,-,"$77,620","$88,945"
