,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$906,"$2,482",-,"$1,310",-,"$16,219","$1,628","$2,756","$51,680","$1,644","$58,400","$74,619","$15,637","$20,300",$964,"$25,912","$41,549",$8,"$13,441",$-387,-,"$33,070","$74,619"
2020-09-30,$937,"$2,323",-,"$1,362",-,"$14,025","$1,630","$2,772","$51,557","$1,741","$58,347","$72,372","$13,263","$20,894",$994,"$26,680","$39,943",$8,"$13,141",$-831,-,"$32,429","$72,372"
2020-06-30,$869,"$2,512",-,"$1,114",-,"$17,482","$1,688","$2,763","$52,724","$1,830","$59,611","$77,093","$16,760","$21,515","$1,051","$27,305","$44,065",$8,"$12,877",$-644,-,"$33,028","$77,093"
2020-03-31,$896,"$2,582",-,"$1,055",-,"$12,933","$1,708","$2,814","$52,699","$1,878","$59,665","$72,598","$12,119","$21,630","$1,076","$27,192","$39,311",$8,"$12,875",$-811,-,"$33,287","$72,598"
2019-12-31,$893,"$2,782",-,"$1,503",-,"$17,046","$1,606","$2,720","$53,680","$1,954","$60,493","$77,539","$15,727","$21,612","$1,096","$27,217","$42,944",$8,"$12,528",$-180,-,"$34,595","$77,539"
2019-09-30,"$1,028","$15,633",-,"$1,330",-,"$17,991","$1,639","$2,618","$53,254","$1,881","$59,873","$77,864","$16,661","$22,123","$1,118","$27,443","$44,104",$8,"$12,281",$-379,-,"$33,760","$77,864"
2019-06-30,"$8,441",$989,-,$779,-,"$10,209",$418,-,"$7,804",$764,"$9,431","$19,640","$2,054","$13,747",$580,"$15,040","$17,094",$8,"$12,083",$-193,-,"$2,546","$19,640"
2019-03-31,$452,"$1,044",-,$779,-,"$2,275",$409,-,"$7,820",$737,"$9,401","$11,676","$2,120","$5,868",$549,"$7,162","$9,282",$8,"$11,860",$-85,-,"$2,394","$11,676"
2018-12-31,$415,"$1,535",-,$274,-,"$2,224",$398,$65,"$7,845",$311,"$9,038","$11,262","$2,010","$5,955",$259,"$6,959","$8,969",$8,"$11,635",$-67,-,"$2,293","$11,262"
2018-09-30,$673,$949,-,$716,-,"$2,338",$385,-,"$7,252",$363,"$8,410","$10,748","$2,320","$4,823",$229,"$5,767","$8,087",$8,"$11,349",$-79,-,"$2,661","$10,748"
2018-06-30,$348,$932,-,$524,-,"$1,804",$374,-,"$7,289",$353,"$8,414","$10,218","$1,655","$4,805",$216,"$5,713","$7,368",$8,"$11,122",$-66,-,"$2,850","$10,218"
2018-03-31,$382,$878,-,$508,-,"$1,768",$375,-,"$7,309",$314,"$8,399","$10,167","$1,683","$4,603",$217,"$5,513","$7,196",$8,"$10,871",$-56,-,"$2,971","$10,167"
2017-12-31,$325,$997,-,$603,-,"$1,975",$390,-,"$7,472",$368,"$8,314","$10,289","$1,938","$4,897",$171,"$5,620","$7,558",$8,"$10,240",$-54,-,"$2,731","$10,289"
2017-09-30,$325,$898,-,$647,-,"$1,870",$385,-,"$7,500",$444,"$8,329","$10,199","$1,850","$5,018",$166,"$5,999","$7,849",$4,"$9,694",$-55,-,"$2,350","$10,199"
2017-06-30,$299,$845,-,$488,-,"$1,632",$396,-,"$7,242",$415,"$8,053","$9,685","$1,707","$4,646",$168,"$5,587","$7,294",$4,"$9,462",$-59,-,"$2,391","$9,685"
2017-03-31,$308,$861,-,$446,-,"$1,615",$400,-,"$7,270",$411,"$8,081","$9,696","$1,790","$4,547",$168,"$5,482","$7,272",$4,"$9,241",$-67,-,"$2,424","$9,696"
2016-12-31,$300,$902,-,$526,-,"$1,728",$405,-,"$7,206",$404,"$8,015","$9,743","$1,820","$4,467",$153,"$5,382","$7,202",$4,"$8,994",$-76,-,"$2,541","$9,743"
2016-09-30,$303,$830,-,$467,-,"$1,600",$403,-,"$7,243",$391,"$8,037","$9,637","$1,548","$4,624",$154,"$5,520","$7,068",$4,"$8,779",$-69,-,"$2,569","$9,637"
2016-06-30,$263,$812,-,$411,-,"$1,486",$394,-,"$7,273",$377,"$8,044","$9,530","$1,452","$4,548",$154,"$5,436","$6,888",$4,"$8,565",$-74,-,"$2,642","$9,530"
2016-03-31,$283,$805,-,$388,-,"$1,476",$401,-,"$7,289",$386,"$8,076","$9,552","$1,542","$4,445",$160,"$5,326","$6,868",$4,"$8,353",$-69,-,"$2,684","$9,552"
