,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$37,106",-,-,-,-,"$148,176","$2,088","$37,837","$5,053","$11,526","$56,504","$204,680","$163,187","$14,973","$3,409","$18,382","$181,569","$2,051","$18,384","$2,601",-,"$23,111","$204,680"
2020-09-30,"$34,985",-,-,-,-,"$145,465","$2,090","$37,717","$5,078","$11,646","$56,531","$201,996","$160,630","$15,123","$3,292","$18,415","$179,045","$2,051","$18,010","$2,831",-,"$22,951","$201,996"
2020-06-30,"$31,990",-,-,-,-,"$145,259","$2,053","$38,888","$5,108","$11,598","$57,647","$202,906","$161,075","$16,327","$3,169","$19,496","$180,571","$2,051","$17,643","$2,951",-,"$22,335","$202,906"
2020-03-31,"$10,034",-,-,-,-,"$127,353","$2,009","$39,121","$5,130","$11,778","$58,038","$185,391","$143,660","$16,282","$3,576","$19,858","$163,518","$2,051","$17,677","$2,477",-,"$21,873","$185,391"
2019-12-31,"$5,525",-,-,-,-,"$115,281","$1,995","$36,609","$5,446","$10,038","$54,088","$169,369","$130,774","$14,970","$2,422","$17,392","$148,166","$2,051","$18,315","$1,192",-,"$21,203","$169,369"
2019-09-30,"$6,793",-,-,-,-,"$116,282","$2,053","$37,655","$5,401","$9,688","$54,797","$171,079","$132,776","$14,474","$2,425","$16,899","$149,675","$2,051","$17,786","$1,635",-,"$21,404","$171,079"
2019-06-30,"$6,443",-,-,-,-,"$115,816","$2,074","$36,259","$5,538","$9,115","$52,986","$168,802","$128,925","$15,784","$3,422","$19,206","$148,131","$2,051","$17,431","$1,178",-,"$20,671","$168,802"
2019-03-31,"$6,630",-,-,-,-,"$116,049","$2,092","$35,495","$5,680","$8,537","$51,804","$167,853","$129,865","$15,483","$2,661","$18,144","$148,009","$2,051","$17,184",$409,-,"$19,844","$167,853"
2018-12-31,"$4,793",-,-,-,-,"$99,562","$1,861","$33,300","$3,456","$7,890","$46,507","$146,069","$112,895","$14,426","$2,498","$16,924","$129,819","$2,051","$16,578",$-112,-,"$16,250","$146,069"
2018-09-30,"$3,798",-,-,-,-,"$96,813","$1,896","$32,326","$3,500","$7,150","$44,872","$141,685","$108,927","$14,460","$2,448","$16,908","$125,835","$2,051","$16,440",$-775,-,"$15,850","$141,685"
2018-06-30,"$3,968",-,-,-,-,"$95,606","$1,915","$32,455","$3,451","$7,268","$45,089","$140,695","$107,697","$14,321","$2,425","$16,746","$124,443","$2,051","$16,143",$-552,-,"$16,252","$140,695"
2018-03-31,"$4,356",-,-,-,-,"$95,905","$1,966","$32,260","$3,418","$7,951","$45,595","$141,500","$108,078","$14,800","$2,418","$17,218","$125,296","$2,051","$15,707",$-389,-,"$16,204","$141,500"
2017-12-31,"$5,759",-,-,-,-,"$97,025","$2,003","$32,214","$3,330","$7,509","$45,056","$142,081","$108,813","$14,904","$2,144","$17,048","$125,861","$2,051","$14,957",$73,-,"$16,220","$142,081"
2017-09-30,"$6,353",-,-,-,-,"$97,742","$2,018","$31,505","$3,289","$7,710","$44,522","$142,264","$109,329","$14,039","$2,516","$16,555","$125,884","$2,051","$14,748",$185,-,"$16,380","$142,264"
2017-06-30,"$5,208",-,-,-,-,"$96,194","$2,041","$31,849","$3,290","$7,693","$44,873","$141,067","$109,003","$13,456","$2,162","$15,618","$124,621","$2,051","$13,862",$163,-,"$16,446","$141,067"
2017-03-31,"$4,538",-,-,-,-,"$95,544","$2,052","$31,557","$3,206","$7,841","$44,656","$140,200","$107,981","$13,658","$2,104","$15,762","$123,743","$2,051","$13,625",$68,-,"$16,457","$140,200"
2016-12-31,"$5,556",-,-,-,-,"$97,152","$2,065","$31,209","$3,169","$8,582","$45,025","$142,177","$109,288","$14,388","$2,269","$16,657","$125,945","$2,051","$13,441",$59,-,"$16,232","$142,177"
2016-09-30,"$5,590",-,-,-,-,"$98,529","$2,084","$30,745","$3,045","$8,876","$44,750","$143,279","$107,069","$16,890","$2,516","$19,406","$126,475","$2,051","$13,180",$755,-,"$16,804","$143,279"
2016-06-30,"$4,578",-,-,-,-,"$98,065","$2,144","$31,517","$3,047","$8,852","$45,560","$143,625","$108,145","$16,231","$2,495","$18,726","$126,871","$2,051","$12,778",$889,-,"$16,754","$143,625"
2016-03-31,"$4,481",-,-,-,-,"$97,594","$2,185","$29,955","$3,112","$9,584","$44,836","$142,430","$108,143","$15,305","$2,627","$17,932","$126,075","$2,051","$12,570",$684,-,"$16,355","$142,430"
2015-12-31,"$5,597",-,-,-,-,"$97,810","$2,239","$29,114","$3,213","$8,672","$43,238","$141,048","$107,027","$15,810","$2,341","$18,151","$125,178","$2,051","$12,358",$197,-,"$15,870","$141,048"
2015-09-30,"$4,823",-,-,-,-,"$98,130","$2,264","$28,956","$3,186","$9,382","$43,788","$141,918","$107,919","$15,527","$2,614","$18,141","$126,060","$2,051","$11,826",$522,-,"$15,858","$141,918"
2015-06-30,"$6,606",-,-,-,-,"$99,011","$2,298","$28,144","$3,283","$8,922","$42,647","$141,658","$109,143","$13,521","$3,356","$16,877","$126,020","$2,051","$11,564",$291,-,"$15,638","$141,658"
2015-03-31,"$8,231",-,-,-,-,"$98,899","$2,433","$26,586","$3,219","$9,333","$41,571","$140,470","$107,007","$14,055","$3,504","$17,559","$124,566","$2,051","$11,380",$588,-,"$15,904","$140,470"
2014-12-31,"$11,365",-,-,-,-,"$101,388","$2,465","$22,595","$3,289","$8,969","$37,318","$138,706","$105,432","$14,967","$2,642","$17,609","$123,041","$2,051","$11,141",$429,-,"$15,665","$138,706"
2014-09-30,"$7,151",-,-,-,-,"$97,002","$2,467","$23,103","$3,367","$8,249","$37,186","$134,188","$101,876","$14,336","$2,533","$16,869","$118,745","$2,051","$10,886",$301,-,"$15,443","$134,188"
2014-06-30,"$6,059",-,-,-,-,"$95,767","$2,491","$23,008","$3,364","$7,932","$36,795","$132,562","$101,075","$13,961","$2,018","$15,979","$117,054","$2,051","$10,666",$382,-,"$15,508","$132,562"
2014-03-31,"$5,702",-,-,-,-,"$94,704","$2,528","$20,944","$3,409","$8,069","$34,950","$129,654","$101,528","$11,233","$2,029","$13,262","$114,790","$2,051","$10,363",$196,-,"$14,864","$129,654"
2013-12-31,"$8,637",-,-,-,-,"$96,613","$2,531","$18,805","$3,406","$9,088","$33,830","$130,443","$102,697","$9,633","$3,487","$13,120","$115,817","$2,051","$10,156",$82,-,"$14,626","$130,443"
2013-09-30,"$5,755",-,-,-,-,"$92,639","$2,528","$18,345","$3,356","$8,805","$33,034","$125,673","$99,530","$8,098","$3,365","$11,463","$110,993","$2,051","$9,876",$218,-,"$14,680","$125,673"
2013-06-30,"$3,718",-,-,-,-,"$91,163","$2,540","$16,461","$3,338","$9,858","$32,197","$123,360","$97,821","$6,940","$4,322","$11,262","$109,083","$2,051","$9,561",$149,-,"$14,277","$123,360"
2013-03-31,"$4,690",-,-,-,-,"$91,274","$2,540","$15,546","$3,213","$8,809","$30,108","$121,382","$96,048","$8,320","$3,094","$11,414","$107,462","$2,051","$9,084",$333,-,"$13,920","$121,382"
2012-12-31,"$5,069",-,-,-,-,"$91,936","$2,542","$15,491","$3,140","$8,785","$29,958","$121,894","$98,406","$7,085","$2,639","$9,724","$108,130","$2,051","$8,768",$375,-,"$13,764","$121,894"
2012-09-30,"$3,981",-,-,-,-,"$86,917","$2,520","$15,689","$3,126","$9,231","$30,566","$117,483","$92,465","$8,127","$3,122","$11,249","$103,714","$2,051","$8,466",$468,-,"$13,769","$117,483"
2012-06-30,"$4,557",-,-,-,-,"$86,763","$2,506","$15,857","$3,186","$9,231","$30,780","$117,543","$91,018","$9,685","$3,016","$12,701","$103,719","$2,051","$8,201",$454,-,"$13,824","$117,543"
2012-03-31,"$4,058",-,-,-,-,"$85,629","$2,485","$16,414","$3,220","$8,999","$31,118","$116,747","$90,423","$9,648","$3,066","$12,714","$103,137","$2,051","$7,902",$468,-,"$13,610","$116,747"
2011-12-31,"$4,621",-,-,-,-,"$86,338","$2,447","$15,684","$3,138","$9,360","$30,629","$116,967","$90,764","$9,682","$3,270","$12,952","$103,716","$2,051","$7,554",$470,-,"$13,251","$116,967"
2011-09-30,"$4,565",-,-,-,-,"$83,182","$2,410","$16,564","$3,124","$9,625","$31,723","$114,905","$88,675","$9,800","$3,372","$13,172","$101,847","$2,051","$7,323",$542,-,"$13,058","$114,905"
2011-06-30,"$3,967",-,-,-,-,"$80,505","$2,395","$15,846","$3,313","$8,746","$30,300","$110,805","$84,770","$10,152","$3,282","$13,434","$98,204","$2,051","$7,024",$396,-,"$12,601","$110,805"
2011-03-31,"$4,818",-,-,-,-,"$80,769","$2,389","$15,481","$3,366","$8,480","$29,716","$110,485","$84,790","$10,555","$2,948","$13,503","$98,293","$2,051","$6,752",$263,-,"$12,192","$110,485"
2010-12-31,"$3,968",-,-,-,-,"$80,671","$2,389","$15,767","$3,301","$8,879","$30,336","$111,007","$84,390","$9,558","$2,979","$12,537","$96,927","$1,779","$6,719",$314,-,"$14,080","$111,007"
2010-09-30,"$5,806",-,-,-,-,"$81,354","$2,377","$16,329","$3,088","$9,174","$30,968","$112,322","$84,374","$10,953","$3,082","$14,035","$98,409","$1,779","$6,456",$432,-,"$13,913","$112,322"
2010-06-30,"$6,808",-,-,-,-,"$81,497","$2,374","$16,375","$3,146","$8,633","$30,528","$112,025","$84,632","$10,989","$2,703","$13,692","$98,324","$1,779","$6,289",$440,-,"$13,701","$112,025"
2010-03-31,"$6,342",-,-,-,-,"$81,570","$2,384","$17,290","$3,236","$8,171","$31,081","$112,651","$85,837","$10,947","$2,459","$13,406","$99,243","$1,779","$6,169",$288,-,"$13,408","$112,651"
2009-12-31,"$6,042",-,-,-,-,"$81,139","$2,400","$18,568","$3,223","$8,050","$32,241","$113,380","$86,675","$10,507","$2,701","$13,208","$99,883","$1,779","$6,326",$241,-,"$13,497","$113,380"
2009-09-30,"$4,335",-,-,-,-,"$81,136","$2,426","$16,038","$3,162","$7,978","$29,604","$110,740","$84,343","$10,162","$2,547","$12,709","$97,052","$1,779","$6,496",$285,-,"$13,688","$110,740"
2009-06-30,"$4,766",-,-,-,-,"$86,051","$2,440","$16,418","$3,145","$7,930","$29,933","$115,984","$89,016","$10,102","$3,166","$13,268","$102,284","$1,779","$6,663",$152,-,"$13,700","$115,984"
