,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,837.3",$720,$139.8,$43.3,-,"$2,740.4",$448,$118.3,$124.6,$63.2,"$1,304.1","$4,044.5","$1,829.5",-,$56.2,"$1,359","$3,188.5",$0.2,$-352.1,$0.7,-,$856,"$4,044.5"
2020-09-30,"$1,656.7",$546.6,$134.5,$46.8,-,"$2,384.6",$419.4,$117.9,$93.5,$59.6,"$1,201.6","$3,586.2","$1,645.6",-,$56.1,"$1,227.4","$2,873",$0.2,$-466.9,$1.4,-,$713.2,"$3,586.2"
2020-06-30,"$1,526.9",$498.7,$126,$57.1,-,"$2,208.7",$392.6,$100.4,$90.6,$55.9,"$1,121.9","$3,330.6","$1,611.9",-,$50.5,"$1,174.8","$2,786.7",$0.2,$-613.1,$2.5,-,$543.9,"$3,330.6"
2020-03-31,"$1,401.3",$474.7,$105,$54.3,-,"$2,035.3",$374.2,$172,$94.3,$55.2,"$1,170.9","$3,206.2","$1,543",-,$49,"$1,126.9","$2,669.9",$0.2,$-589.2,$-3.1,-,$536.3,"$3,206.2"
2019-12-31,"$2,065.6",$544.3,$117.9,$41.2,-,"$2,769",$344.3,$144.3,$98.3,$60,"$1,110.2","$3,879.2","$1,455.8",-,$44.9,"$1,081","$2,536.8",$0.2,$160.8,$1.1,-,"$1,342.4","$3,879.2"
2019-09-30,"$1,940.3",$384.1,$99.2,$42.6,-,"$2,466.2",$305.5,$204.2,$52.2,$56.4,"$1,079.4","$3,545.6","$1,341.9",-,$38.2,"$1,003.3","$2,345.2",$0.2,$46.5,$1.1,-,"$1,200.4","$3,545.6"
2019-06-30,"$1,830.2",$403.1,$85.7,$41.7,-,"$2,360.7",$284.7,$149.5,$54.4,$57.2,"$1,008.7","$3,369.4","$1,293.7",-,$36.1,$953.4,"$2,247.1",$0.2,$-9,$0.9,-,"$1,122.3","$3,369.4"
2019-03-31,"$1,801.8",$381,$88.4,$42.1,-,"$2,313.3",$272,$50.2,$57.3,$59.7,$892.4,"$3,205.7","$1,254.3",-,$37.9,$893.3,"$2,147.6",$0.2,$-50,$-0.2,-,"$1,058.1","$3,205.7"
2018-12-31,"$1,649.6",$444.5,$90,$36.8,-,"$2,220.9",$271.4,$67,$60.3,$20.8,$857.1,"$3,078","$1,256.4",-,$13,$811.4,"$2,067.8",$0.2,$-57.5,$-0.8,-,"$1,010.2","$3,078"
2018-09-30,"$1,634.2",$324.4,$80.8,$38.7,-,"$2,078.1",$265.4,$38.6,$43.8,$20.2,$685.4,"$2,763.5","$1,111.9",-,$11.1,$760,"$1,871.9",$0.2,$-156,$-1,-,$891.6,"$2,763.5"
