,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,563","$3,071","$2,349",-,"$1,492","$9,475","$4,325",-,"$2,804","$1,124","$10,419","$20,680","$4,421","$9,132",$824,"$11,276","$15,697","$2,666","$8,691",$-362,-,"$4,983","$20,680"
2020-09-30,"$2,115","$3,145","$2,580",-,"$1,183","$9,023","$5,033",-,"$2,804","$1,197","$11,090","$20,874","$3,923","$9,632",$832,"$11,748","$15,671","$2,666","$8,987",$-340,-,"$5,203","$20,874"
2020-06-30,"$1,811","$3,345","$2,745",-,"$1,198","$9,099","$5,156",-,"$2,801","$1,264","$11,255","$21,104","$4,094","$9,638",$886,"$11,814","$15,908","$2,666","$9,098",$-342,-,"$5,196","$21,104"
2020-03-31,"$1,385","$4,850","$3,220",-,"$1,200","$10,655","$6,223",-,"$2,812","$1,440","$12,070","$23,622","$5,053","$9,633",$813,"$11,726","$16,779","$2,669","$10,814",$-351,-,"$6,843","$23,622"
2019-12-31,"$2,268","$4,577","$3,139",-,"$1,228","$11,212","$7,310",-,"$2,812","$1,429","$13,234","$25,377","$4,878","$10,316",$808,"$12,474","$17,352","$2,669","$11,989",$-362,-,"$8,025","$25,377"
2019-09-30,"$1,571","$5,290","$3,380",-,$979,"$11,220","$8,721",-,"$2,832","$1,687","$14,584","$26,789","$4,692","$10,313",$784,"$12,335","$17,027","$2,670","$13,800",$-353,-,"$9,762","$26,789"
2019-06-30,"$1,176","$5,700","$3,347",-,$997,"$11,220","$8,778",-,"$2,825","$1,671","$14,682","$26,880","$4,955","$10,307",$864,"$12,401","$17,356","$2,670","$13,652",$-352,-,"$9,524","$26,880"
2019-03-31,"$1,380","$5,622","$3,264",-,$922,"$11,188","$8,853",-,"$2,824","$1,757","$14,782","$26,989","$5,047","$10,307",$798,"$12,317","$17,364","$2,671","$13,734",$-354,-,"$9,625","$26,989"
2018-12-31,"$2,008","$5,234","$3,028",-,$881,"$11,151","$8,873",-,"$2,825","$1,749","$14,831","$25,982","$4,802","$10,312",$841,"$11,636","$16,438","$2,671","$13,739",$-355,-,"$9,544","$25,982"
2018-09-30,"$2,057","$5,526","$2,887",-,$966,"$11,436","$8,821",-,"$2,800","$1,566","$14,315","$25,751","$4,953","$10,424",$763,"$11,781","$16,734","$2,672","$13,216",$-463,-,"$9,017","$25,751"
2018-06-30,"$2,472","$5,403","$2,637",-,$924,"$11,436","$8,825",-,"$2,824","$1,563","$14,329","$25,765","$5,107","$10,427",$803,"$11,815","$16,922","$2,672","$12,939",$-470,-,"$8,843","$25,765"
2018-03-31,"$2,332","$5,255","$2,458",-,$990,"$11,035","$8,596",-,"$2,707","$1,626","$14,156","$25,191","$4,969","$10,428",$815,"$11,831","$16,800","$2,672","$12,586",$-471,-,"$8,391","$25,191"
2017-12-31,"$2,337","$5,036","$2,396",-,"$1,008","$10,777","$8,521",-,"$2,693","$1,864","$14,308","$25,085","$4,862","$10,430",$835,"$11,874","$16,736","$2,673","$12,668",$-469,-,"$8,349","$25,085"
2017-09-30,"$1,898","$4,852","$2,444",$53,$897,"$10,144","$8,432",-,"$2,685","$2,338","$15,646","$25,790","$4,601","$10,423",$949,"$11,943","$16,544","$2,673","$13,649",$-448,-,"$9,246","$25,790"
2017-06-30,"$2,139","$4,385","$2,283",$557,$896,"$10,260","$8,374",-,"$2,407","$2,052","$15,065","$25,325","$4,068","$10,816",$938,"$12,304","$16,372","$2,673","$13,441",$-450,-,"$8,953","$25,325"
2017-03-31,"$2,107","$4,008","$2,295",$555,$863,"$9,828","$8,415",-,"$2,419","$2,082","$15,057","$24,885","$3,842","$10,812",$703,"$12,054","$15,896","$2,674","$13,569",$-452,-,"$8,989","$24,885"
2016-12-31,"$4,009","$3,922","$2,275",$585,$886,"$11,677","$8,532",-,"$2,414","$2,417","$15,323","$27,000","$4,023","$12,214",$741,"$13,529","$17,552","$2,674","$14,141",$-454,-,"$9,448","$27,000"
2016-09-30,"$3,289","$4,360","$2,475",$703,$933,"$11,760","$8,741",-,"$2,383","$1,927","$14,995","$26,755","$3,631","$12,163",$786,"$13,398","$17,029","$2,675","$14,445",$-360,-,"$9,726","$26,755"
2016-06-30,"$3,108","$4,725","$2,650","$1,099",$998,"$12,580","$8,961",-,"$2,383","$1,957","$15,157","$27,737","$4,478","$12,158",$875,"$13,482","$17,960","$2,675","$14,595",$-361,-,"$9,777","$27,737"
2016-03-31,"$9,593","$4,983","$2,893","$1,198",$438,"$19,105","$9,252",-,"$2,383","$3,192","$14,827","$33,932","$7,412","$12,207",$806,"$13,460","$20,872","$2,676","$17,958",$-364,-,"$13,060","$33,932"
2015-12-31,"$10,077","$5,317","$2,993",$527,"$1,156","$20,070","$12,117",-,"$2,385","$1,818","$16,872","$36,942","$5,337","$14,687",$944,"$16,110","$21,447","$2,677","$20,524",$-363,-,"$15,495","$36,942"
2015-09-30,"$2,249","$5,791","$2,692",-,"$4,187","$14,919","$11,018",-,"$2,124","$2,187","$15,329","$30,248","$5,703","$7,243","$1,246","$9,065","$14,768","$2,677","$20,706",$-451,-,"$15,480","$30,248"
2015-06-30,"$2,760","$5,633","$2,831",-,"$4,000","$15,224","$11,153",-,"$1,983","$2,246","$15,382","$30,606","$5,005","$7,838","$1,453","$9,886","$14,891","$2,677","$20,914",$-298,-,"$15,715","$30,606"
2015-03-31,"$2,294","$6,419","$3,467",-,"$1,645","$13,825","$12,299",-,"$2,332","$2,131","$16,762","$30,587","$5,018","$7,841","$1,462","$9,946","$14,964","$2,678","$21,013",$-402,-,"$15,623","$30,587"
2014-12-31,"$2,291","$7,564","$3,571",$658,$563,"$14,647","$12,475",-,"$2,330","$2,713","$17,518","$32,165","$5,866","$7,765","$1,545","$10,001","$15,867","$2,679","$21,809",$-399,-,"$16,298","$32,165"
2014-09-30,"$2,029","$7,555","$3,650",-,"$1,613","$14,847","$12,050",-,"$2,312","$2,374","$16,736","$31,583","$5,889","$7,816","$1,780","$10,176","$16,065","$2,679","$21,060",$-307,-,"$15,518","$31,583"
2014-06-30,"$2,360","$6,781","$3,529",-,"$1,495","$14,165","$11,677",-,"$2,267","$2,375","$16,319","$30,484","$5,369","$7,816","$2,129","$10,528","$15,897","$2,679","$19,984",$-303,-,"$14,587","$30,484"
2014-03-31,"$2,123","$6,314","$3,415",-,"$1,634","$13,486","$11,463",-,"$2,193","$2,114","$15,770","$29,256","$4,932","$7,816","$2,186","$10,572","$15,504","$2,680","$19,337",$-303,-,"$13,752","$29,256"
2013-12-31,"$2,356","$6,181","$3,305",$737,$737,"$13,704","$11,322",-,"$2,168","$2,029","$15,519","$29,223","$5,026","$7,816","$2,182","$10,582","$15,608","$2,680","$18,842",$-307,-,"$13,615","$29,223"
2013-09-30,"$1,491","$6,626","$3,399",-,"$1,374","$12,890","$10,949",-,"$2,125","$1,984","$15,058","$27,948","$4,762","$7,816","$1,977","$10,368","$15,130","$2,681","$18,177",$-300,-,"$12,818","$27,948"
2013-06-30,"$1,412","$6,359","$3,341",-,"$1,509","$12,621","$10,753",-,"$2,116","$1,928","$14,797","$27,418","$4,777","$4,820","$1,891","$7,276","$12,053","$2,681","$17,577",$-302,-,"$15,365","$27,418"
2013-03-31,"$2,029","$6,210","$3,257",-,"$1,656","$13,152","$10,509",-,"$2,119","$1,904","$14,532","$27,684","$4,666","$4,820","$1,895","$7,281","$11,947","$2,681","$17,048",$-303,-,"$15,737","$27,684"
2012-12-31,"$2,484","$5,787","$3,186",$608,$670,"$13,086","$10,257",-,"$2,135","$1,932","$14,324","$27,410","$4,752","$4,820","$1,441","$6,868","$11,620","$2,682","$17,182",$-309,-,"$15,790","$27,410"
2012-09-30,"$2,032","$5,870","$3,539",-,"$1,325","$12,766","$9,678",-,"$2,075","$1,793","$13,546","$26,312","$4,598","$4,820","$1,179","$6,523","$11,121","$2,682","$16,596",$-262,-,"$15,191","$26,312"
2012-06-30,"$2,172","$5,674","$3,297",-,"$1,391","$12,534","$9,363",-,"$1,986","$1,688","$13,037","$25,571","$4,440","$4,820","$1,238","$6,570","$11,010","$2,683","$16,077",$-261,-,"$14,561","$25,571"
2012-03-31,"$2,655","$5,336","$2,916",-,$794,"$12,018","$8,897",-,"$1,966","$1,787","$12,650","$24,668","$4,310","$4,820","$1,165","$6,494","$10,804","$2,683","$15,424",$-266,-,"$13,864","$24,668"
2011-12-31,"$2,698","$5,084","$2,570",-,$904,"$11,577","$8,492",-,"$1,776","$1,832","$12,100","$23,677","$4,121","$4,820",$986,"$6,340","$10,461","$2,683","$14,880",$-273,-,"$13,216","$23,677"
2011-09-30,"$2,175","$4,769","$2,412",-,$712,"$10,306","$7,993",-,"$1,373","$1,532","$10,898","$21,204","$3,656","$3,824",$871,"$5,172","$8,828","$2,682","$14,057",$-240,-,"$12,376","$21,204"
2011-06-30,"$1,889","$4,448","$2,235",-,$710,"$9,540","$7,626",-,"$1,369","$1,421","$10,416","$19,956","$3,166","$3,824",$825,"$5,132","$8,298","$2,680","$13,456",$-237,-,"$11,658","$19,956"
2011-03-31,"$1,882","$4,132","$2,099",-,$675,"$9,028","$7,248",-,"$1,323","$1,391","$9,962","$18,990","$2,919","$3,824",$828,"$5,131","$8,050","$2,678","$12,800",$-238,-,"$10,940","$18,990"
