,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$6,774",-,-,-,-,"$87,843",$757,"$25,764","$2,418","$6,256","$35,195","$123,038","$99,131","$8,352","$2,562","$10,914","$110,045",$10,"$1,878",$192,-,"$12,993","$123,038"
2020-09-30,"$6,438",-,-,-,-,"$87,101",$752,"$23,785","$2,409","$6,069","$33,015","$120,116","$95,376","$9,174","$2,649","$11,823","$107,199",$10,"$1,752",$257,-,"$12,917","$120,116"
2020-06-30,"$6,420",-,-,-,-,"$86,022",$751,"$23,151","$2,401","$6,100","$32,403","$118,425","$93,837","$9,753","$2,521","$12,274","$106,111",$10,"$1,633",$290,-,"$12,314","$118,425"
2020-03-31,"$1,940",-,-,-,-,"$79,468",$743,"$25,303","$2,407","$5,976","$34,429","$113,897","$89,656","$9,796","$2,676","$12,472","$102,128",$10,"$1,657",$227,-,"$11,769","$113,897"
2019-12-31,"$1,371",-,-,-,-,"$76,869",$763,"$23,660","$2,465","$5,245","$32,133","$109,002","$84,953","$9,849","$2,405","$12,254","$97,207",$10,"$2,088",$-256,-,"$11,795","$109,002"
2019-09-30,"$1,876",-,-,-,-,"$77,049",$775,"$23,171","$2,445","$5,295","$31,686","$108,735","$84,568","$9,874","$2,384","$12,258","$96,826",$10,"$1,946",$-175,-,"$11,909","$108,735"
2019-06-30,"$1,923",-,-,-,-,"$76,960",$774,"$22,839","$2,471","$5,203","$31,287","$108,247","$85,043","$8,973","$2,563","$11,536","$96,579",$10,"$1,750",$-273,-,"$11,668","$108,247"
2019-03-31,"$1,649",-,-,-,-,"$76,657",$784,"$23,215","$2,503","$5,044","$31,546","$108,203","$85,017","$9,400","$2,354","$11,754","$96,771",$11,"$1,551",$-455,-,"$11,432","$108,203"
2018-12-31,"$2,830",-,-,-,-,"$77,762",$790,"$22,910","$2,524","$4,795","$31,019","$108,781","$86,791","$8,625","$2,263","$10,888","$97,679",$11,"$1,361",$-609,-,"$11,102","$108,781"
2018-09-30,"$1,425",-,-,-,-,"$77,024",$827,"$22,757","$2,550","$2,494","$28,628","$105,652","$85,333","$9,385",-,"$9,385","$94,718",$11,"$1,196",$-790,-,"$10,934","$105,652"
2018-06-30,"$1,508",-,-,-,-,"$76,121",$840,"$23,349","$2,560","$2,488","$29,237","$105,358","$84,160","$9,726",-,"$9,726","$93,886",$11,$990,$-730,-,"$11,472","$105,358"
2018-03-31,"$1,200",-,-,-,-,"$74,349",$847,"$23,998","$2,572","$2,480","$29,897","$104,246","$84,320","$8,618",-,"$8,618","$92,938",$11,$780,$-677,-,"$11,308","$104,246"
2017-12-31,"$1,653",-,-,-,-,"$71,567",$864,"$24,560","$2,577","$4,617","$32,618","$104,185","$84,165","$9,206",-,"$9,206","$93,371",$11,$588,$-528,-,"$10,814","$104,185"
2017-09-30,"$1,332.316",-,-,-,-,"$71,951.13",$853.29,"$24,141.46","$2,582.439","$2,459.807","$30,037","$101,988.1","$82,088.56","$9,200.707",-,"$9,200.707","$91,289.27",$10.844,$201.215,$-369.963,-,"$10,698.85","$101,988.1"
2017-06-30,"$1,687.391",-,-,-,-,"$71,843.27",$855.347,"$23,667.88","$2,591.366","$2,448.913","$29,563.51","$101,406.8","$82,216.13","$8,536.471",-,"$8,536.471","$90,752.59",$10.932,$33.557,$-350.357,-,"$10,654.18","$101,406.8"
2017-03-31,"$1,469.653",-,-,-,-,"$70,431.63",$852.582,"$23,707.12","$2,608.63","$2,445.545","$29,613.88","$100,045.5","$80,329.22","$9,279.14",-,"$9,279.14","$89,608.36",$10.9,$-126.244,$-390.86,-,"$10,437.15","$100,045.5"
2016-12-31,"$1,576",-,-,-,-,"$70,475",$816,"$23,370","$2,621","$2,432","$29,239","$99,714","$81,097","$8,309",-,"$8,309","$89,406",$11,$-227,$-401,-,"$10,308","$99,714"
2016-09-30,"$1,749.123",-,-,-,-,"$73,128.47",$828.44,"$21,771.76","$2,614.06","$2,422.692","$27,636.95","$100,765.4","$81,380.07","$8,998.571",-,"$8,998.571","$90,378.65",$10.877,$-359.38,$-172.175,-,"$10,386.76","$100,765.4"
2016-06-30,$947.365,-,-,-,-,"$55,384.14",$596.642,"$15,311.6",$884.002,"$1,777.628","$18,569.88","$73,954.02","$58,516.89","$7,929.82",-,"$7,929.82","$66,446.71",$8.015,$-390.838,$-134.042,-,"$7,507.304","$73,954.02"
2016-03-31,$928.84,-,-,-,-,"$54,104.42",$611.603,"$15,265.53",$896.783,"$1,766.637","$18,540.55","$72,644.97","$57,551.89","$7,935.412",-,"$7,935.412","$65,487.3",$7.988,$-487.717,$-167.286,-,"$7,157.67","$72,644.97"
2015-12-31,$935.991,-,-,-,-,"$52,783.98",$620.54,"$14,935.03",$921.084,"$1,757.668","$18,234.32","$71,018.3","$57,382.33","$7,041.364",-,"$7,041.364","$64,423.7",$7.97,$-594.067,$-226.158,-,"$6,594.606","$71,018.3"
2015-09-30,"$1,128.772",-,-,-,-,"$52,853.12",$620.515,"$14,252.56",$735.662,"$1,748.328","$17,357.06","$70,210.18","$57,268.1","$6,359.445",-,"$6,359.445","$63,627.54",$7.987,$-708.341,$-139.739,-,"$6,582.637","$70,210.18"
2015-06-30,"$1,510.524",-,-,-,-,"$52,194.48",$615.436,"$13,559.03",$741.074,"$1,735.627","$16,651.17","$68,845.65","$56,494.81","$5,854.584",-,"$5,854.584","$62,349.39",$8.05,$-804.884,$-185.65,-,"$6,496.258","$68,845.65"
2015-03-31,"$1,021.532",-,-,-,-,"$51,659.91",$607.263,"$13,259.06",$751.034,"$1,725.388","$16,342.75","$68,002.66","$56,381.87","$5,158.836",-,"$5,158.836","$61,540.71",$8.102,$-943.525,$-160.832,-,"$6,461.954","$68,002.66"
2014-12-31,"$1,327.315",-,-,-,-,"$50,601.38",$616.407,"$12,764.58",$597.212,"$1,718.436","$15,696.63","$66,298.01","$55,633.88","$4,335.962",-,"$4,335.962","$59,969.84",$8.131,"$-1,052.324",$-222.292,-,"$6,328.17","$66,298.01"
2014-09-30,"$1,019.22",-,-,-,-,"$49,187.56",$613.214,"$12,218.3",$607.865,"$1,703.692","$15,143.07","$64,330.63","$52,821.83","$5,224.588",-,"$5,224.588","$58,046.42",$8.161,"$-1,159.168",$-182.016,-,"$6,284.21","$64,330.63"
2014-06-30,"$1,338.628",-,-,-,-,"$48,780.9",$622.289,"$12,113.03",$586.908,"$1,693.991","$15,016.22","$63,797.11","$51,086.97","$6,469.352",-,"$6,469.352","$57,556.32",$8.182,"$-1,264.129",$-159.727,-,"$6,240.791","$63,797.11"
2014-03-31,"$1,084.934",-,-,-,-,"$46,749.17",$628.966,"$11,489.51",$596.205,"$1,681.898","$14,396.58","$61,145.75","$51,812.87","$3,156.652",-,"$3,156.652","$54,969.52",$8.29,"$-1,379.832",$-201.747,-,"$6,176.234","$61,145.75"
2013-12-31,"$1,093.748",-,-,-,-,"$45,502.46",$634.657,"$11,145.42",$537.461,"$1,647.17","$13,964.71","$59,467.18","$50,918.75","$2,458.272",-,"$2,458.272","$53,377.02",$8.322,"$-1,479.324",$-214.009,-,"$6,090.153","$59,467.18"
2013-09-30,"$1,244.925",-,-,-,-,"$45,144.79",$639.632,"$8,682.803",$547.78,"$1,633.247","$11,503.46","$56,648.25","$48,337.05","$2,349.618",-,"$2,349.618","$50,686.67",$8.315,"$-1,578.401",$-230.767,-,"$5,961.579","$56,648.25"
