,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$512,$568,$137,$45,"$1,182","$2,444","$2,978",-,"$2,129",$281,"$5,713","$8,157","$2,226","$1,686",$826,"$4,030","$6,256",$1,"$3,533","$-1,547",-,"$1,901","$8,157"
2020-09-30,$744,$655,$152,$42,"$1,288","$2,881","$2,907",-,"$2,104",$269,"$5,564","$8,445","$2,233","$2,278",$799,"$4,332","$6,565",$1,"$3,330","$-1,357",-,"$1,880","$8,445"
2020-06-30,$631,$598,$160,$43,"$1,307","$2,739","$2,879",-,"$2,118",$245,"$5,494","$8,233","$2,114","$2,276",$760,"$4,441","$6,555",$1,"$3,150","$-1,376",-,"$1,678","$8,233"
2020-03-31,$28,$526,$154,$40,"$1,389","$2,137","$2,848",-,"$2,129",$231,"$5,478","$7,615","$2,080","$1,667",$753,"$3,892","$5,972",$1,"$3,139","$-1,394",-,"$1,643","$7,615"
2019-12-31,$75,$466,$136,$24,"$1,084","$1,785","$2,832",-,"$1,865",$240,"$5,246","$7,031","$1,890","$1,286",$748,"$3,553","$5,443",$1,"$3,009","$-1,409",-,"$1,588","$7,031"
2019-09-30,$32,$489,$139,$147,"$1,218","$2,025","$2,700",-,"$1,908",$241,"$5,159","$7,184","$1,950","$1,549",$714,"$3,529","$5,479",$1,"$2,902","$-1,232",-,"$1,705","$7,184"
2019-06-30,$29,$564,$126,$145,"$1,259","$2,123","$2,626",-,"$1,921",$224,"$5,107","$7,230","$1,902","$1,698",$714,"$3,700","$5,602",$1,"$2,783","$-1,251",-,"$1,628","$7,230"
2019-03-31,$51,$375,$127,$119,"$1,250","$1,922","$2,569",-,"$1,932",$217,"$5,078","$7,000","$1,960","$1,496",$684,"$3,477","$5,437",$1,"$2,691","$-1,269",-,"$1,563","$7,000"
2018-12-31,$240,$346,$128,$27,"$1,004","$1,745","$2,517",-,"$1,755",$203,"$4,638","$6,383","$1,829","$1,283",$643,"$3,038","$4,867",$1,"$2,609","$-1,288",-,"$1,516","$6,383"
2018-09-30,$68,$472,$180,$100,"$1,039","$1,859","$2,332",-,"$1,697",$213,"$4,340","$6,199","$1,631","$1,282",$612,"$2,743","$4,374",$1,"$2,434","$-1,070",-,"$1,825","$6,199"
2018-06-30,$398,$364,$174,$138,"$1,078","$2,152","$2,258",-,"$1,707",$166,"$4,223","$6,375","$1,509","$1,281",$636,"$3,167","$4,676",$1,"$2,236","$-1,085",-,"$1,699","$6,375"
2018-03-31,$528,$343,$188,$87,"$1,064","$2,210","$2,219",-,"$1,716",$129,"$4,166","$6,376","$1,463","$1,280",$614,"$3,195","$4,658",$1,"$2,029","$-1,098",-,"$1,718","$6,376"
2017-12-31,$701,$429,$183,$123,$759,"$2,195","$2,215",-,"$1,725",$125,"$4,179","$6,374","$1,391","$1,279",$610,"$3,225","$4,616",$1,"$1,687",$-900,-,"$1,758","$6,374"
2017-09-30,$499,"$1,200",$183,$57,-,"$1,939","$2,093",-,"$1,735",$117,"$4,233","$6,172","$1,275","$1,282",$547,"$3,185","$4,460",$1,"$1,656",$-949,-,"$1,712","$6,172"
2017-06-30,$553,"$1,201",$204,$75,-,"$2,033","$2,034",-,"$1,746",$110,"$4,157","$6,190","$1,247","$1,281",$538,"$3,293","$4,540",$1,"$1,534",$-919,-,"$1,650","$6,190"
2017-03-31,$608,"$1,178",$230,$47,-,"$2,063","$1,986",-,"$1,771",$122,"$4,171","$6,234","$1,273","$1,280",$532,"$3,323","$4,596",$1,"$1,414",$-935,-,"$1,638","$6,234"
2016-12-31,$720,"$1,164",$210,$48,-,"$2,142","$1,986",-,"$1,782",$128,"$4,210","$6,352","$1,343","$1,278",$531,"$3,356","$4,699",$1,"$1,323",$-951,-,"$1,653","$6,352"
2016-09-30,$957,"$1,046",$268,$73,-,"$2,344","$1,841",-,"$1,435",$135,"$3,664","$6,008","$1,228","$1,277",$561,"$3,128","$4,356",$1,"$1,154",$-808,-,"$1,652","$6,008"
2016-06-30,$852,"$1,022",$280,$43,-,"$2,197","$1,813",-,"$1,440",$127,"$3,662","$5,859","$1,141","$1,276",$550,"$3,106","$4,247",$1,"$1,069",$-821,-,"$1,612","$5,859"
2016-03-31,$793,"$1,086",$283,$41,-,"$2,203","$1,809",-,"$1,446",$125,"$3,693","$5,896","$1,155","$1,275",$562,"$3,220","$4,375",$1,$960,$-833,-,"$1,521","$5,896"
2015-12-31,$894,"$1,074",$285,$31,-,"$2,284","$1,827",-,"$1,451",$126,"$3,740","$6,024","$1,274","$1,273",$563,"$3,260","$4,534",$1,$848,$-845,-,"$1,490","$6,024"
2015-09-30,$671,"$1,278",$308,$36,-,"$2,419","$1,750",-,"$1,501",$156,"$3,623","$6,042","$1,294","$1,305",$561,"$3,258","$4,552",$1,$821,$-826,-,"$1,490","$6,042"
2015-06-30,$960,"$1,244",$319,$39,-,"$2,694","$1,757",-,"$1,507",$125,"$3,618","$6,312","$1,589","$1,305",$556,"$3,238","$4,827",$1,$729,$-836,-,"$1,485","$6,312"
2015-03-31,$904,"$1,219",$336,$37,-,"$2,628","$1,768",-,"$1,572",$127,"$3,691","$6,319","$1,332","$1,592",$557,"$3,607","$4,939",$1,$593,$-849,-,"$1,380","$6,319"
2014-12-31,$990,"$1,038",$339,$50,-,"$2,417","$1,792",-,"$1,573",$99,"$3,822","$6,239","$1,312","$1,562",$554,"$3,562","$4,874",$1,$525,$-862,-,"$1,365","$6,239"
2014-09-30,$769,"$1,144",$272,$28,-,"$2,380","$1,852",-,"$1,637",$127,"$3,745","$6,125","$1,234","$1,650",$523,"$3,229","$4,463",$1,$492,$-506,-,"$1,662","$6,125"
2014-06-30,$592,"$1,216",$294,$46,-,"$2,327","$1,850",-,"$1,646",$130,"$3,753","$6,080","$1,267","$1,679",$534,"$3,244","$4,511",$1,$406,$-509,-,"$1,569","$6,080"
2014-03-31,$742,"$1,299",$315,$25,-,"$2,544","$1,856",-,"$1,450",$131,"$3,563","$6,107","$1,240","$1,700",$528,"$3,306","$4,546",$1,$316,$-515,-,"$1,561","$6,107"
2013-12-31,"$1,043","$1,123",$311,$29,-,"$2,676","$1,897",-,"$1,409",$119,"$3,549","$6,225","$1,392","$1,700",$523,"$3,312","$4,704",$1,$236,$-521,-,"$1,521","$6,225"
2013-09-30,$895,"$1,055",$340,$23,-,"$2,531","$1,964",-,"$1,413",$123,"$3,748","$6,279","$1,402","$1,743",$461,"$3,942","$5,344",$1,$155,"$-1,078",-,$935,"$6,279"
2013-06-30,$623,"$1,101",$321,$45,-,"$2,269","$1,990",-,"$1,418",$117,"$3,778","$6,047","$1,220","$1,765",$470,"$3,954","$5,174",$1,$91,"$-1,096",-,$873,"$6,047"
2013-03-31,$652,"$1,199",$310,$21,-,"$2,391","$2,004",-,"$1,423",$116,"$3,860","$6,251","$1,177","$1,779",$465,"$4,367","$5,544",$1,$39,"$-1,224",-,$707,"$6,251"
2012-12-31,"$1,057",$905,$288,$21,-,"$2,484","$2,034",-,"$1,429",$116,"$3,908","$6,392","$1,384","$1,779",$462,"$4,341","$5,725",-,-,"$-1,226",-,$667,"$6,392"
2012-09-30,$766,$883,$332,$31,-,"$2,226","$1,988",-,"$1,396",$122,"$3,637","$5,863","$1,239","$1,794",$436,"$3,586","$4,825",-,$-45,$-804,-,"$1,038","$5,863"
2012-06-30,$669,$878,$357,$41,-,"$2,167","$1,992",-,"$1,401",$96,"$3,645","$5,812","$1,217","$1,808",$413,"$3,601","$4,818",-,$-58,$-821,-,$994,"$5,812"
2012-03-31,$551,$954,$384,$32,-,"$2,156","$2,005",-,"$1,406",$94,"$3,668","$5,824","$1,252","$1,822",$413,"$3,654","$4,906",-,$-108,$-834,-,$918,"$5,824"
2011-12-31,$915,$711,$380,$30,-,"$2,268","$2,033",-,"$1,448",$97,"$3,801","$6,069","$1,372","$1,830",$410,"$3,838","$5,210",-,$-146,$-862,-,$859,"$6,069"
2011-09-30,$536,$781,$463,$34,-,"$2,082","$1,979",-,"$1,406",$105,"$3,633","$5,715","$1,207","$1,837",$404,"$3,353","$4,560",-,$-210,$-483,-,"$1,155","$5,715"
2011-06-30,$381,$898,$389,$40,-,"$1,994","$1,985",-,"$1,711",$103,"$3,943","$5,937","$1,184","$1,844",$405,"$3,342","$4,526",-,$38,$-491,-,"$1,411","$5,937"
2011-03-31,$225,$896,$372,$46,-,"$1,832","$2,006",-,"$1,716",$107,"$3,973","$5,805","$1,124","$1,851",$402,"$3,319","$4,443",-,$-2,$-498,-,"$1,362","$5,805"
2010-12-31,-,$728,$293,$8,-,"$1,313","$1,997",-,"$1,721",$41,"$3,890","$5,203","$2,226",$105,$407,"$1,559","$3,785",-,-,$-515,"$1,933","$1,418","$5,203"
