,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2021-01-31,"$4,160","$5,273","$6,668",-,"$4,337","$20,438","$2,546",-,"$6,404","$5,349","$14,299","$34,737","$27,880","$4,939","$5,153","$10,092","$37,972",$13,"$-2,759","$-1,473",-,"$-3,235","$34,737"
2020-10-31,"$4,864","$5,381","$5,963",-,"$4,440","$20,648","$2,627",-,"$6,380","$5,026","$14,033","$34,681","$26,220","$5,543","$5,146","$10,689","$36,909",$13,"$-1,961","$-1,243",-,"$-2,228","$34,681"
2020-07-31,"$4,679","$5,269","$5,896",-,"$4,425","$20,269","$2,658",-,"$6,386","$4,931","$13,975","$34,244","$25,026","$5,981","$5,223","$11,204","$36,230",$14,"$-1,353","$-1,605",-,"$-1,986","$34,244"
2020-04-30,"$4,054","$5,146","$6,354",-,"$4,106","$19,660","$2,714",-,"$6,370","$5,029","$14,113","$33,773","$25,276","$3,941","$5,299","$9,240","$34,516",$14,$-633,"$-1,050",-,$-743,"$33,773"
2020-01-31,"$4,205","$4,857","$4,946",-,"$3,469","$17,477","$2,756",-,"$6,387","$5,036","$14,179","$31,656","$23,867","$3,932","$5,491","$9,423","$33,290",$14,"$-1,306","$-1,208",-,"$-1,634","$31,656"
2019-10-31,"$4,537","$6,031","$5,734",-,"$3,875","$20,177","$2,794",-,"$6,372","$4,124","$13,290","$33,467","$25,293","$4,780","$4,587","$9,367","$34,660",$15,$-818,"$-1,225",-,"$-1,193","$33,467"
2019-07-31,"$4,919","$5,295","$5,716",-,"$3,753","$19,683","$2,462",-,"$6,330","$3,930","$12,722","$32,405","$24,579","$4,730","$4,227","$8,957","$33,536",$15,"$-1,068",$-863,-,"$-1,131","$32,405"
2019-04-30,"$3,556","$5,414","$5,394",-,"$3,921","$18,285","$2,412",-,"$6,349","$4,900","$13,661","$31,946","$23,203","$4,749","$5,481","$10,230","$33,433",$15,"$-1,325",$-900,-,"$-1,487","$31,946"
2019-01-31,"$3,367","$5,113","$5,649",-,"$4,807","$18,936","$2,312",-,"$6,343","$4,899","$13,554","$32,490","$24,199","$4,706","$5,422","$10,128","$34,327",$15,"$-1,431","$-1,087",-,"$-1,837","$32,490"
2018-10-31,"$5,166","$5,113","$6,062",-,"$5,046","$21,387","$2,198",-,"$5,968","$5,069","$13,235","$34,622","$25,131","$4,524","$5,606","$10,130","$35,261",$16,$-473,$-845,-,$-639,"$34,622"
2018-07-31,"$6,195","$4,615","$6,091",-,"$4,875","$21,776","$2,112",-,"$5,930","$4,436","$12,478","$34,254","$25,506","$4,503","$6,012","$10,515","$36,021",$16,"$-1,039","$-1,330",-,"$-1,767","$34,254"
2018-04-30,"$4,247","$4,605","$5,557",-,"$5,024","$19,433","$2,061",-,"$5,941","$4,652","$12,654","$32,087","$23,127","$4,494","$6,329","$10,823","$33,950",$16,"$-1,075","$-1,314",-,"$-1,863","$32,087"
2018-01-31,"$5,475","$4,396","$5,655",-,"$5,691","$21,217","$2,026",-,"$5,935","$6,067","$14,028","$35,245","$23,349","$6,340","$8,298","$14,638","$37,987",$16,"$-1,346","$-1,829",-,"$-2,742","$35,245"
2017-10-31,"$6,997","$4,414","$5,786",-,"$5,121","$22,318","$1,878",-,"$5,622","$3,095","$10,595","$32,913","$22,412","$6,747","$7,162","$13,909","$36,321",$16,"$-2,386","$-1,418",-,"$-3,408","$32,913"
2017-07-31,"$6,967","$4,233","$5,184",-,"$5,059","$21,443","$1,707",-,"$5,622","$3,162","$10,491","$31,934","$22,060","$6,744","$7,469","$14,213","$36,273",$17,"$-2,526","$-2,118",-,"$-4,339","$31,934"
2017-04-30,"$6,223","$3,771","$4,756",-,"$3,552","$18,302","$1,661",-,"$5,622","$3,101","$10,384","$28,686","$18,604","$6,710","$7,327","$14,037","$32,641",$17,"$-2,779","$-1,714",-,"$-3,955","$28,686"
2017-01-31,"$6,331","$3,478","$4,555",-,"$3,411","$17,775","$1,730",-,"$5,622","$3,065","$10,417","$28,192","$18,587","$6,688","$7,244","$13,932","$32,519",$17,"$-3,339","$-1,669",-,"$-4,327","$28,192"
2016-10-31,"$6,288","$4,114","$4,484",-,"$3,582","$18,468","$1,736",-,"$5,622","$3,161","$10,519","$28,987","$18,808","$6,735","$7,333","$14,068","$32,876",$17,"$-3,498","$-1,438",-,"$-3,889","$28,987"
2016-07-31,"$5,636","$4,008","$3,961",-,"$3,797","$17,402","$1,607",-,"$5,618","$2,597","$9,822","$27,224","$18,114","$6,760","$6,276","$13,036","$31,150",$17,"$-3,982",$-947,-,"$-3,926","$27,224"
2016-04-30,"$4,636","$3,884","$3,547",-,"$3,318","$15,385","$1,572",-,"$5,672","$2,894","$10,138","$25,523","$16,862","$6,708","$6,739","$13,447","$30,309",$17,"$-1,266","$-4,504",-,"$-4,786","$25,523"
2016-01-31,"$3,688","$4,114","$4,052",-,"$3,301","$15,155","$1,529",-,"$5,680","$3,153","$10,362","$25,517","$16,761","$6,683","$6,982","$13,665","$30,426",$17,"$-5,026","$-1,122",-,"$-4,909","$25,517"
2015-10-31,"$7,584","$4,825","$4,288",-,"$4,498","$51,787","$1,492",-,"$5,680","$1,592","$55,095","$106,882","$42,191","$6,677","$7,414","$36,540","$78,731",$18,"$32,089","$-6,302",-,"$28,151","$106,882"
2015-07-31,"$17,171","$15,557","$6,700",-,"$12,570","$51,998","$11,028",-,"$35,274",-,"$55,035","$107,033","$49,033","$14,468","$16,089","$30,557","$79,590",$18,"$30,764","$-5,848",-,"$27,443","$107,033"
2015-04-30,"$14,768","$15,162","$6,227",-,"$12,726","$48,883","$11,014",-,"$32,947",-,"$52,513","$101,396","$43,186","$15,464","$15,577","$31,041","$74,227",$18,"$30,565","$-6,002",-,"$27,169","$101,396"
2015-01-31,"$12,919","$15,202","$6,575",-,"$13,502","$48,198","$11,030",-,"$33,014",-,"$52,663","$100,861","$42,529","$15,552","$15,876","$31,428","$73,957",$18,"$29,626","$-5,675",-,"$26,904","$100,861"
2014-10-31,"$15,133","$16,778","$6,415",-,"$11,819","$50,145","$11,340",-,"$33,267",-,"$53,061","$103,206","$43,735","$16,039","$16,305","$32,344","$76,079",$18,"$29,164","$-5,881",-,"$27,127","$103,206"
2014-07-31,"$14,474","$17,328","$6,249",-,"$11,236","$49,287","$11,434",-,"$33,468",-,"$53,883","$103,170","$42,476","$17,128","$14,664","$31,792","$74,268",$19,"$27,984","$-3,610",-,"$28,902","$103,170"
