,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$14,275","$7,846","$1,839","$2,206",-,"$39,165","$10,040","$2,282","$73,413",-,"$116,807","$155,971","$39,869","$54,355","$14,897","$95,375","$135,244","$56,556","$162,717","$-29,337",-,"$20,727","$155,971"
2020-09-30,"$15,753","$7,022","$1,949","$2,188",-,"$39,845","$9,958","$1,944","$72,317",-,"$114,283","$154,128","$37,993","$55,129","$15,484","$94,800","$132,794","$56,366","$162,806","$-28,584",-,"$21,334","$154,128"
2020-06-30,"$14,251","$7,480","$1,869","$2,260",-,"$39,953","$9,709","$1,921","$72,103",-,"$114,246","$154,200","$38,442","$55,449","$15,666","$95,069","$133,512","$56,135","$162,559","$-28,757",-,"$20,688","$154,200"
2020-03-31,"$12,017","$8,543","$1,786","$2,509",-,"$38,931","$9,626","$1,911","$72,183",-,"$114,473","$153,403","$40,673","$52,685","$15,874","$92,601","$133,275","$56,092","$162,626","$-29,283",-,"$20,128","$153,403"
2019-12-31,"$9,009","$9,603","$1,619","$2,101",-,"$38,420","$10,010","$2,074","$73,457",-,"$113,768","$152,186","$37,701","$54,102","$14,526","$93,500","$131,202","$55,895","$162,954","$-28,597",-,"$20,985","$152,186"
2019-09-30,"$10,958","$8,629","$1,712","$2,515",-,"$38,121","$10,063","$2,221","$73,564",-,"$111,498","$149,620","$35,066","$57,797","$15,564","$96,458","$131,524","$55,808","$160,709","$-29,086",-,"$18,096","$149,620"
2019-06-30,"$46,408","$9,195","$1,745","$2,409",-,"$77,517","$10,202","$2,228","$38,012",-,"$77,136","$154,652","$42,351","$58,445","$12,190","$94,526","$136,876","$55,404","$160,467","$-28,841",-,"$17,776","$154,652"
2019-03-31,"$18,143","$7,658","$1,771","$2,478",-,"$52,705","$10,675","$2,403","$39,237",-,"$78,223","$130,926","$38,871","$39,727","$12,184","$75,449","$114,319","$55,287","$159,396","$-29,182",-,"$16,607","$130,926"
2018-12-31,"$12,222","$8,175","$1,682","$2,378",-,"$49,146","$10,792","$2,386","$39,352",-,"$74,236","$123,382","$38,227","$35,605","$12,174","$68,226","$106,452","$55,151","$159,206","$-29,490",-,"$16,929","$123,382"
2018-09-30,"$14,663","$7,838","$1,893","$2,388",-,"$48,257","$10,949","$2,272","$39,660",-,"$73,732","$121,990","$36,822","$35,989","$9,979","$65,249","$102,071","$54,987","$158,612","$-27,820",-,"$19,918","$121,990"
2018-06-30,"$11,926","$8,534","$1,742","$2,443",-,"$46,795","$11,024","$2,518","$39,826",-,"$74,828","$121,622","$35,442","$37,851","$10,000","$67,532","$102,974","$54,827","$157,349","$-28,290",-,"$18,648","$121,622"
2018-03-31,"$13,155","$8,984","$1,753","$2,573",-,"$49,122","$11,278","$2,942","$40,253",-,"$76,162","$125,285","$35,733","$40,410","$10,250","$71,262","$106,995","$54,712","$156,371","$-28,583",-,"$18,290","$125,285"
