,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,583","$1,230",-,$323,"$84,083","$87,219","$1,713",-,"$35,699","$1,569","$38,981","$126,200","$87,999","$14,126",$565,"$18,667","$106,666",$6,"$11,039",$-192,-,"$19,534","$126,200"
2020-09-30,"$1,603","$1,310",-,$324,"$85,900","$89,137","$1,693",-,"$35,750","$1,500","$38,943","$128,080","$89,686","$14,869",$497,"$19,342","$109,028",$6,"$10,682",$-273,-,"$19,052","$128,080"
2020-06-30,"$1,873","$1,279",-,$323,"$93,960","$97,435","$1,510",-,"$23,683","$1,432","$26,625","$124,060","$96,193","$7,703",$484,"$10,873","$107,066",$6,"$10,462",$-321,-,"$16,994","$124,060"
2020-03-31,"$1,582","$1,569",-,$239,"$108,863","$112,253","$1,503",$404,"$23,739","$1,002","$26,648","$138,901","$113,526","$5,252",$477,"$8,410","$121,936",$6,"$10,103",$-333,-,"$16,965","$138,901"
2019-12-31,"$1,784",$988,-,$220,"$64,987","$67,979","$1,536",-,"$23,600","$1,378","$26,514","$94,493","$68,816","$5,250",$468,"$8,391","$77,207",$6,"$9,629",$-243,-,"$17,286","$94,493"
2019-09-30,"$1,600","$1,056",-,$227,"$65,988","$68,871","$1,505",-,"$23,640","$1,323","$26,468","$95,339","$68,534","$6,496",$484,"$9,620","$78,154",$6,"$9,335",$-348,-,"$17,185","$95,339"
2019-06-30,"$1,717","$1,062",-,$240,"$61,353","$64,372","$1,525",-,"$23,754","$1,279","$26,558","$90,930","$64,131","$6,494",$493,"$9,653","$73,784",$6,"$8,961",$-309,-,"$17,146","$90,930"
2019-03-31,"$1,521","$1,181",-,$219,"$64,564","$67,485","$1,538",-,"$23,504","$1,330","$26,372","$93,857","$67,035","$6,492",$515,"$9,692","$76,727",$6,"$8,644",$-290,-,"$17,130","$93,857"
2018-12-31,"$1,542",$953,-,$242,"$63,955","$66,692","$1,241",-,"$23,547","$1,311","$26,099","$92,791","$66,108","$6,490",$554,"$9,452","$75,560",$6,"$8,317",$-315,-,"$17,231","$92,791"
2018-09-30,"$1,332","$1,020",-,$179,"$58,764","$61,295","$1,206",-,"$23,379","$1,362","$25,947","$87,242","$61,065","$6,488",$560,"$9,323","$70,388",$6,"$7,818",$-274,-,"$16,854","$87,242"
2018-06-30,"$1,349","$1,049",-,$171,"$54,991","$57,560","$1,220",-,"$22,707","$1,360","$25,287","$82,847","$58,894","$4,271",$558,"$7,113","$66,007",$6,"$7,498",$-265,-,"$16,840","$82,847"
2018-03-31,"$1,327","$1,167",-,$161,"$53,979","$56,634","$1,235",-,"$22,840","$1,353","$25,428","$82,062","$57,946","$4,269",$549,"$7,110","$65,056",$6,"$7,182",$-190,-,"$17,006","$82,062"
2017-12-31,"$1,304",$903,-,$133,"$51,222","$53,562","$1,246",-,"$22,485",$971,"$24,702","$78,264","$54,175","$4,267",$539,"$7,104","$61,279",$6,"$6,858",$-223,-,"$16,985","$78,264"
2017-09-30,"$1,197",$897,-,$744,"$52,401","$55,239","$1,192",-,"$22,072",$615,"$23,879","$79,118","$54,600","$4,865",$645,"$8,499","$63,099",$6,"$5,718",$-322,-,"$16,019","$79,118"
2017-06-30,"$1,184",$912,-,$767,"$53,585","$56,448","$1,161",-,"$22,104",$611,"$23,876","$80,324","$56,819","$3,874",$783,"$7,572","$64,391",$6,"$5,468",$-367,-,"$15,933","$80,324"
2017-03-31,"$1,124",$999,-,$596,"$52,354","$55,073","$1,132",-,"$22,658",$600,"$24,390","$79,463","$56,006","$3,872",$776,"$7,670","$63,676",$6,"$5,171",$-427,-,"$15,787","$79,463"
2016-12-31,"$1,109",$777,-,$97,"$55,150","$57,133","$1,129",$432,"$22,711",$598,"$24,870","$82,003","$58,617","$3,871",$767,"$7,632","$66,249",$6,"$4,789",$-344,-,"$15,754","$82,003"
2016-09-30,"$1,111",$789,-,$112,"$49,832","$51,844","$1,080",$416,"$22,368",$588,"$24,452","$76,296","$52,354","$4,720",$803,"$8,398","$60,752",$1,"$4,911",$-316,-,"$15,544","$76,296"
2016-06-30,"$1,136",$862,-,$131,"$48,501","$50,630","$1,048",$427,"$22,539",$580,"$24,594","$75,224","$51,438","$4,719",$801,"$8,456","$59,894",$1,"$4,669",$-258,-,"$15,330","$75,224"
2016-03-31,"$1,150",$941,-,$134,"$52,329","$54,554","$1,018",$352,"$22,734",$502,"$24,606","$79,160","$55,636","$4,718",$799,"$8,444","$64,080",$1,"$4,415",$-208,-,"$15,080","$79,160"
2015-12-31,"$1,313",$700,-,$131,"$51,169","$53,313","$1,037",$299,"$22,837",$501,"$24,674","$77,987","$54,743","$4,717",$815,"$8,404","$63,147",$6,"$4,148",$-188,-,"$14,840","$77,987"
