,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$656.836,$929.342,"$1,131.856",$341.765,-,"$3,059.799","$1,458.185",-,"$8,320.427",$717.26,"$10,495.87","$13,555.67","$1,903.726","$3,779.359",$532.135,"$5,328.91","$7,232.635",$16.066,"$4,156.168",$-412.63,$-284.911,"$6,323.035","$13,555.67"
2020-09-30,$482.681,$928.625,"$1,151.281",$383.618,-,"$2,946.205","$1,380.423",-,"$8,102.964",$655.782,"$10,139.17","$13,085.37","$1,616.259","$3,890.762",$517.296,"$5,378.8","$6,995.059",$16.066,"$4,170.894",$-939.419,-,"$6,090.315","$13,085.37"
2020-06-30,$507.534,$961.568,"$1,165.86",$377.623,-,"$3,012.585","$1,355.619",-,"$8,029.71",$591.216,"$9,976.545","$12,989.13","$1,344.172","$4,181.701",$494.401,"$5,644.042","$6,988.214",$16.066,"$4,168.378","$-1,017.466",-,"$6,000.916","$12,989.13"
2020-03-31,$442.945,$943.114,"$1,075.913",$356.322,-,"$2,818.294","$1,339.124",-,"$7,945.005",$586.653,"$9,870.782","$12,689.08","$1,426.995","$3,946.905",$494.193,"$5,421.407","$6,848.402",$16.066,"$4,162.347","$-1,164.208",-,"$5,840.674","$12,689.08"
2019-12-31,$623.945,$876.197,"$1,123.068",$319.334,-,"$2,942.544","$1,386.92",-,"$8,349.531",$608.416,"$10,344.87","$13,287.41","$1,552.19","$3,997.438",$502.366,"$5,505.673","$7,057.862",$16.066,"$4,117.804",$-343.851,$-373.043,"$6,229.548","$13,287.41"
2019-09-30,$504.054,$942.705,"$1,126.389",$325.41,-,"$2,898.558","$1,313.539",-,"$8,211.378",$561.249,"$10,086.17","$12,984.72","$1,412.449","$4,008.134",$530.974,"$5,505.288","$6,917.736",$16.066,"$4,114.299",$-867.552,-,"$6,066.988","$12,984.72"
2019-06-30,$454.82,"$1,046.028","$1,163.653",$325.525,-,"$2,990.026","$1,316.305",-,"$8,450.984",$590.767,"$10,358.06","$13,348.08","$1,149.533","$4,428.675",$514.802,"$5,988.562","$7,138.095",$16.066,"$4,069.211",$-668.359,-,"$6,209.987","$13,348.08"
2019-03-31,$497.129,"$1,003.965","$1,114.488",$310.243,-,"$2,925.825","$1,294.029",-,"$8,408.177",$583.389,"$10,285.59","$13,211.42","$1,144.134","$4,421.43",$492.029,"$5,912.808","$7,056.942",$16.066,"$4,011.326",$-657.354,-,"$6,154.478","$13,211.42"
2018-12-31,$648.522,$937.765,"$1,078.537",$277.036,-,"$2,941.86","$1,241.152",-,"$8,417.71",$288.673,"$9,947.535","$12,889.39","$1,128.311","$4,504.417",$248.436,"$5,717.71","$6,846.021",$16.066,"$3,956.221",$-305.231,$-396.996,"$6,043.374","$12,889.39"
2018-09-30,"$5,274.459",$701.111,$719.508,$251.749,-,"$6,946.827",$874.817,-,"$1,538.439",$167.978,"$2,668.715","$9,615.542",$758.456,"$4,331.242",$235.332,"$4,819.137","$5,577.593",$16.066,"$4,021.172",$-715.105,-,"$4,037.949","$9,615.542"
