,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,391.066",$264.321,$364.993,$127.697,-,"$2,148.077",$597.527,-,$103.48,$43.419,$787.623,"$2,935.7",$214.578,$34.157,-,$127.011,$341.589,$0.006,"$2,188.191",$-146.065,-,"$2,594.111","$2,935.7"
2020-09-30,"$1,301.616",$240.352,$370.344,$119.341,-,"$2,031.653",$576.398,-,$102.73,$45.535,$763.279,"$2,794.932",$201.445,$35.117,-,$122.413,$323.858,$0.006,"$2,138.852",$-193.827,-,"$2,471.074","$2,794.932"
2020-06-30,"$1,248.899",$203.568,$367.166,$130.893,-,"$1,950.526",$585.644,-,$149.906,$42.116,$808.21,"$2,758.736",$195.286,$36.071,-,$126.144,$321.43,$0.006,"$2,103.248",$-184.501,-,"$2,437.306","$2,758.736"
2020-03-31,"$1,195.143",$200.646,$363.383,$115.354,-,"$1,874.526",$580.98,-,$152.459,$39.368,$805.608,"$2,680.134",$195.432,$37.022,-,$128.772,$324.204,$0.006,"$2,065.022",$-220.081,-,"$2,355.93","$2,680.134"
2019-12-31,"$1,182.616",$238.479,$380.79,$94.749,-,"$1,896.634",$600.852,-,$156.363,$45.192,$833.802,"$2,730.436",$191.904,$37.968,-,$136.089,$327.993,$0.005,"$2,028.734",$-146.919,-,"$2,402.443","$2,730.436"
2019-09-30,"$1,078.837",$252.926,$417.163,$116.589,-,"$1,865.515",$596.138,-,$195.515,$50.321,$865.389,"$2,730.904",$205.563,$38.909,-,$144.681,$350.244,$0.005,"$2,033.184",$-174.311,-,"$2,380.66","$2,730.904"
2019-06-30,"$1,042.829",$273.697,$425.996,$120.56,-,"$1,863.082",$600.977,-,$200.774,$51.75,$874.334,"$2,737.416",$222.228,$39.846,-,$147.827,$370.055,$0.005,"$1,975.931",$-143.943,-,"$2,367.361","$2,737.416"
2019-03-31,"$1,030.077",$231.85,$417.817,$112.35,-,"$1,792.094",$570.756,-,$203.629,$44.819,$836.642,"$2,628.736",$209.816,$40.779,-,$150.632,$360.448,$0.005,"$1,903.659",$-157.751,-,"$2,268.288","$2,628.736"
2018-12-31,"$1,044.79",$255.509,$403.579,$101.546,-,"$1,805.424",$543.068,-,$187.861,$18.932,$769.026,"$2,574.45",$245.774,$41.707,-,$122.441,$368.215,$0.005,"$1,848.5",$-162.896,-,"$2,206.235","$2,574.45"
2018-09-30,"$1,122.028",$251.613,$397.409,$111.235,-,"$1,882.285",$529.163,-,$102.613,$28.043,$679.814,"$2,562.099",$217.985,$42.631,-,$137.306,$355.291,$0.005,"$1,772.941",$-144.409,-,"$2,206.808","$2,562.099"
