,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,$151.972,$791.859,-,$190.194,-,"$1,134.025","$4,459.067",-,"$5,778.928",$347.621,"$12,548.63","$13,682.66","$1,890.903","$8,618.856",$158.507,"$10,854.51","$12,745.41",$2.882,"$-3,018.144",$-383.178,-,$937.246,"$13,682.66"
2020-06-30,$907.18,$805.901,-,$184.292,-,"$1,897.373","$4,535.728",-,"$5,767.344",$219.443,"$12,470.18","$14,367.55","$2,383.271","$8,750.116",$159.8,"$10,959.95","$13,343.22",$2.881,"$-2,876.861",$-427.523,-,"$1,024.331","$14,367.55"
2020-03-31,$152.684,$831.507,-,$214.865,-,"$1,199.056","$4,521.092",-,"$5,736.446",$203.064,"$12,367.28","$13,566.34","$1,581.263","$8,708.016",$153.264,"$10,861.23","$12,442.5",$2.879,"$-2,690.433",$-493.248,-,"$1,123.841","$13,566.34"
2019-12-31,$193.555,$850.701,-,$192.083,-,"$1,236.339","$4,623.037",-,"$5,878.392",$209.947,"$12,580.48","$13,816.82","$1,949.509","$8,275.566",$143.018,"$10,403.08","$12,352.59",$2.873,"$-2,574.896",$-262.581,-,"$1,464.227","$13,816.82"
2019-09-30,$186.778,$821.926,-,$195.189,-,"$1,203.893","$4,556.719",-,"$5,837.282",$213.777,"$12,373.28","$13,577.17","$1,830.111","$8,220.347",$130.29,"$10,235.21","$12,065.32",$2.871,"$-2,433.802",$-346.203,-,"$1,511.849","$13,577.17"
2019-06-30,$161.996,$852.33,-,$200.777,-,"$1,215.103","$4,558.559",-,"$5,940.449",$213.064,"$12,505.88","$13,720.98","$1,616.787","$8,390.182",$131.909,"$10,445.21","$12,062",$2.87,"$-2,364.812",$-261.821,-,"$1,658.981","$13,720.98"
2019-03-31,$161.475,$837.521,-,$210.854,-,"$1,209.85","$4,525.583",-,"$5,960.716",$201.678,"$12,479.51","$13,689.36","$1,515.133","$8,365.737",$127.127,"$10,413.5","$11,928.63",$2.868,"$-2,257.485",$-250.96,-,"$1,760.734","$13,689.36"
2018-12-31,$165.485,$846.889,-,$195.74,-,"$1,208.114","$4,489.557",-,"$5,947.552",$211.995,"$10,649.1","$11,857.22","$1,490.775","$8,016.417",$111.331,"$8,503.98","$9,994.755",$2.863,"$-2,139.493",$-265.664,-,"$1,862.463","$11,857.22"
2018-09-30,$197.676,$847.452,-,$170.847,-,"$1,215.975","$4,424.693",-,"$5,995.608",$169.693,"$10,589.99","$11,805.97","$1,247.352","$8,109.179",$116.757,"$8,619.741","$9,867.093",$2.862,"$-2,098.403",$-228.26,-,"$1,938.876","$11,805.97"
2018-06-30,$188.192,$867.041,-,$189.101,-,"$1,244.334","$4,406.487",-,"$5,997.183",$164.53,"$10,568.2","$11,812.53","$1,273.103","$7,961.761",$119.095,"$8,481.984","$9,755.087",$2.861,"$-1,996.365",$-207.45,-,"$2,057.447","$11,812.53"
2018-03-31,$442.491,$859.106,-,$223.276,-,"$1,524.873","$4,365.471",-,"$5,917.966",$189.839,"$10,473.28","$11,998.15","$1,231.062","$8,020.873",$96.731,"$8,505.813","$9,736.874",$2.859,"$-1,919.787",$-74.082,-,"$2,261.275","$11,998.15"
2017-12-31,$925.699,$835.742,-,$188.874,-,"$1,950.315","$3,417.679",-,"$5,470.814",$133.594,"$9,022.087","$10,972.4","$1,330.173","$6,896.971",$73.039,"$7,343.387","$8,673.558",$2.831,"$-1,765.966",$-103.989,-,"$2,298.842","$10,972.4"
2017-09-30,$337.886,$784.884,-,$205.454,-,"$1,328.224","$3,344.475",-,"$5,455.804",$131.503,"$8,931.782","$10,260.01","$1,232.369","$6,700.094",$87.484,"$7,158.991","$8,391.36",$2.668,"$-1,621.538",$-115.343,-,"$1,868.646","$10,260.01"
2017-06-30,$291.019,$730.366,-,$184.491,-,"$1,205.876","$3,175.439",-,"$5,285.777",$147.601,"$8,608.816","$9,814.693","$1,474.606","$6,028.985",$85.948,"$6,482.79","$7,957.396",$2.644,"$-1,498.285",$-153.59,-,"$1,857.297","$9,814.693"
2017-03-31,$295.628,$721.03,-,$181.979,-,"$1,198.637","$3,111.74",-,"$5,233.987",$127.77,"$8,473.497","$9,672.134","$1,418.469","$5,922.748",$86.583,"$6,349.891","$7,768.36",$2.641,"$-1,430.613",$-161.239,-,"$1,903.774","$9,672.134"
2016-12-31,$236.484,$691.249,-,$184.374,-,"$1,112.107","$3,083.326",-,"$5,157.544",$133.823,"$8,374.693","$9,486.8","$1,046.557","$6,078.206",$99.54,"$6,503.572","$7,550.129",$2.636,"$-1,343.311",$-212.573,-,"$1,936.671","$9,486.8"
2016-09-30,$458.128,$700.238,-,$169.988,$127.912,"$1,467.341","$3,166.528",-,"$5,167.821",$103.226,"$8,437.575","$9,904.916","$1,024.027","$6,338.024",$88.794,"$6,730.635","$7,754.662",$2.634,"$-1,246.408",$-138.446,-,"$2,150.254","$9,904.916"
2016-06-30,$236.989,$710.526,-,$192.697,$143.968,"$1,289.37","$3,196.248",-,"$5,150.899",$104.537,"$8,451.684","$9,741.054",$982.029,"$6,103.058",$86.367,"$6,512.995","$7,495.024",$2.63,"$-1,124.924",$-149.289,-,"$2,246.03","$9,741.054"
2016-03-31,$117.945,$574.717,-,$116.973,-,$831.896,"$2,539.304",-,"$3,019.058",$32.051,"$5,590.413","$6,422.309",$748.493,"$4,931.296",$74.356,"$5,152.672","$5,901.165",$2.119,$-982.532,$-152.16,-,$521.144,"$6,422.309"
2015-12-31,$128.381,$564.401,-,$142.951,-,$857.912,"$2,497.158",-,"$2,964.292",$31.225,"$5,492.675","$6,350.587",$841.831,"$4,757.61",$71.844,"$4,980.149","$5,821.98",$2.113,$-942.218,$-174.917,-,$528.607,"$6,350.587"
2015-09-30,$492.899,$573.889,-,$139.157,-,"$1,228.298","$2,428.725",-,"$2,922.351",$24.58,"$5,441.524","$6,669.822",$910.777,"$4,920.568",$74.591,"$5,139.268","$6,050.045",$2.111,$-844.675,$-163.687,-,$619.777,"$6,669.822"
2015-06-30,$117.098,$596.252,-,$139.768,-,$874.727,"$2,493.013",-,"$2,984.165",$26.845,"$5,547.85","$6,422.577",$752.135,"$4,718.915",$79.124,"$4,948.217","$5,700.352",$2.108,$-766.849,$-129.75,-,$722.225,"$6,422.577"
2015-03-31,$139.605,$590.026,-,$136.79,-,$887.473,"$2,476.802",-,"$2,939.002",$23.116,"$5,483.981","$6,371.454",$720.331,"$4,667.359",$72.363,"$4,894.621","$5,614.952",$2.105,$-718.996,$-131.082,-,$756.502,"$6,371.454"
2014-12-31,$159.793,$604.265,-,$139.469,-,$917.719,"$2,550.727",-,"$3,031.62",$23.199,"$5,605.546","$6,523.265",$856.736,"$4,564.359",$73.506,"$4,796.574","$5,653.31",$2.098,$-659.553,$-75.031,-,$869.955,"$6,523.265"
2014-09-30,$217.848,$618.996,-,$128.906,-,$976.386,"$2,560.704",-,"$3,022.36",$25.927,"$5,659.953","$6,636.339","$1,598.308","$4,331.686",$72.354,"$4,570.369","$6,168.677",$1.937,$-516.361,$-47.232,-,$467.662,"$6,636.339"
2014-06-30,$179.203,$636.978,-,$145.017,-,$962.868,"$2,606.903",-,"$3,096.984",$25.999,"$5,772.256","$6,735.124",$901.708,"$4,297.942",$66.497,"$4,536.266","$5,437.974",$1.93,$276.348,$-2.335,-,"$1,297.15","$6,735.124"
2014-03-31,$203.766,$626.116,-,$131.772,-,$987.629,"$2,561.786",-,"$3,085.611",$27.652,"$5,718.987","$6,706.617",$867.85,"$4,288.605",$69.944,"$4,787.596","$5,655.446",$1.919,$63.297,$-6.983,-,"$1,051.171","$6,706.617"
2013-12-31,$154.386,$616.797,-,$144.801,-,$933.607,"$2,578.26",-,"$3,068.836",$26.695,"$5,719.397","$6,653.005",$969.101,"$4,119.139",$68.219,"$4,632.17","$5,601.271",$1.914,$67.82,$-8.66,-,"$1,051.734","$6,653.005"
2013-09-30,$205.644,$614.649,-,$106.357,-,$942.478,"$2,505.982",-,"$2,864.389",$20.914,"$5,438.301","$6,380.779",$828.5,"$3,973.799",$70.789,"$4,480.113","$5,308.613",$1.912,$78.862,$-4.497,-,"$1,072.166","$6,380.779"
2013-06-30,$292.479,$581.481,-,$156.104,-,"$1,045.982","$2,452.309",-,"$2,774.867",$20.738,"$5,288.836","$6,334.819","$1,072.925","$3,614.018",$66.552,"$4,168.355","$5,241.28",$1.911,$126.964,$-21.697,-,"$1,093.539","$6,334.819"
2013-03-31,$263.612,$571.402,-,$166.122,-,"$1,001.136","$2,478.111",-,"$2,755.009",$21.436,"$5,297.044","$6,298.18",$844.578,"$3,757.853",$66.397,"$4,325.525","$5,170.103",$1.906,$152.496,$5.352,-,"$1,128.077","$6,298.18"
2012-12-31,$277.027,$572.2,-,$164.713,-,"$1,024.092","$2,477.727",-,"$2,790.879",$21.791,"$5,334.247","$6,358.339",$904.953,"$3,732.116",$62.917,"$4,290.938","$5,195.891",$1.9,$185.558,$20.314,-,"$1,162.448","$6,358.339"
2012-09-30,$371.195,$576.5,-,$113.896,-,"$1,065.984","$2,410.124",-,"$2,779.517",$26.526,"$5,261.591","$6,327.575",$772.615,"$3,668.047",$55.043,"$4,255.835","$5,028.45",$1.721,$913.139,$18.27,-,"$1,299.125","$6,327.575"
2012-06-30,$206.842,$572.377,-,$97.489,-,$891.154,"$2,376.347",-,"$2,769.007",$17.797,"$5,196.058","$6,087.212",$780.726,"$3,430.157",$61.501,"$4,056.162","$4,836.888",$1.716,$906.811,$-1.285,-,"$1,250.324","$6,087.212"
2012-03-31,$213.405,$558.357,-,$110.654,-,$931.999,"$2,402.658",-,"$2,698.939",$18.591,"$5,154.623","$6,086.622",$778.14,"$3,390.447",$57.697,"$4,039.679","$4,817.819",$1.712,$915.126,$25.286,-,"$1,268.803","$6,086.622"
2011-12-31,$214.955,$543.467,-,$105.537,-,$914.45,"$2,407.083",-,"$2,664.417",$19.51,"$5,126.808","$6,041.258",$849.03,"$3,280.268",$53.169,"$3,937.972","$4,787.002",$1.721,$902.567,$-2.203,-,"$1,254.256","$6,041.258"
2011-09-30,$515.988,$548.422,-,$132.315,-,"$1,259.943","$2,395.967",-,"$2,676.912",$21.452,"$5,131.5","$6,391.443",$754.689,"$3,257.213",$52.695,"$3,923.053","$4,677.742",$1.866,$924.087,$5.552,-,"$1,713.701","$6,391.443"
2011-06-30,$306.532,$577.616,-,$120.67,-,"$1,069.646","$2,478.199",-,"$2,808.237",$22.514,"$5,341.053","$6,410.699",$798.392,"$2,866.92",$85.732,"$3,550.198","$4,348.59",$2.029,$933.626,$70.801,-,"$2,062.109","$6,410.699"
2011-03-31,$224.924,$610.149,-,$140.449,-,"$1,018.602","$2,526.664",-,"$2,856.019",$41.907,"$5,451.5","$6,470.102",$807.947,"$2,960.88",$85.742,"$3,634.169","$4,442.116",$2.003,$731.566,$52,-,"$2,027.986","$6,470.102"
2010-12-31,$293.798,$524.326,-,$136.905,-,"$1,212.462","$2,468.244",-,"$2,659.369",$27.686,"$5,203.931","$6,416.393",$874.703,"$2,912.126",$86.605,"$3,588.825","$4,463.528",$2.001,$685.31,$29.482,-,"$1,952.865","$6,416.393"
2010-09-30,$219.277,$590.23,-,$157.14,-,$994.61,"$2,498.87",-,"$2,756.879",$70.253,"$5,356.308","$6,350.918",$747.166,"$2,972.973",$89.747,"$3,636.54","$4,383.706",$2.005,$700.203,$22.317,-,"$1,967.212","$6,350.918"
2010-06-30,$375.582,$581.176,-,$142.717,-,"$1,125.234","$2,456.819",-,"$2,960.168",$72.296,"$5,521.862","$6,647.096",$731.65,"$3,129.153",$128.615,"$3,799.391","$4,531.041",$2.02,$866.511,$-23.963,-,"$2,116.055","$6,647.096"
2010-03-31,$360.524,$582.599,-,$115.952,-,"$1,090.323","$2,507.73",-,"$3,022.234",$84.379,"$5,648.356","$6,738.679",$725.909,"$3,183.349",$124.572,"$3,860.83","$4,586.739",$2.034,$837.86,$8.183,-,"$2,151.94","$6,738.679"
2009-12-31,$446.656,$585.376,-,$141.469,-,"$1,211.425","$2,568.2",-,"$2,973.525",$58.478,"$5,635.409","$6,846.834",$814.714,"$3,211.223",$105.856,"$3,874.649","$4,689.363",$2.035,$825.014,$27.661,-,"$2,157.471","$6,846.834"
2009-09-30,$449.263,$596.427,-,$126.727,-,"$1,197.667","$2,467.922",-,"$2,946.37",$58.13,"$5,508.558","$6,706.225",$721.497,"$3,275.935",$112.351,"$3,934.654","$4,656.151",$2.033,$751.535,$4.822,-,"$2,050.074","$6,706.225"
2009-06-30,$316.056,$589.156,-,$169.413,-,"$1,112.613","$2,387.316",-,"$2,881.9",$59.813,"$5,359.886","$6,472.499",$676.771,"$3,208.384",$114.012,"$3,844.162","$4,520.933",$2.027,$708.349,$-34.562,-,"$1,951.566","$6,472.499"
2009-03-31,$271.831,$562.656,-,$100.146,-,$973.938,"$2,336.353",-,"$2,840.388",$62.039,"$5,270.626","$6,244.564",$663.713,"$3,130.363",$114.459,"$3,762.813","$4,426.526",$2.022,$620.711,$-65.732,-,"$1,818.038","$6,244.564"
2008-12-31,$278.37,$552.83,-,$103.887,-,$976.392,"$2,386.754",-,"$2,896.033",$64.489,"$5,380.462","$6,356.854",$729.597,"$3,207.464",$113.136,"$3,820.929","$4,550.526",$2.019,$591.912,$-41.215,-,"$1,806.328","$6,356.854"
2008-09-30,$318.244,$610.472,-,$95.555,-,"$1,082.3","$2,391.113",-,"$3,060.857",$68.274,"$5,555.394","$6,637.694",$781.585,"$3,393.367",$97.94,"$3,958.643","$4,740.228",$2.016,$590.557,$64.275,-,"$1,897.466","$6,637.694"
2008-06-30,$203.197,$603.419,-,$90.76,-,$955.149,"$2,371.339",-,"$3,082.665",$63.088,"$5,553.461","$6,508.61",$755.608,"$3,318.95",$104.855,"$3,852.66","$4,608.268",$2.014,$579.243,$85.506,-,"$1,900.342","$6,508.61"
2008-03-31,$107.424,$586.458,-,$107.023,-,$860.257,"$2,334.331",-,"$3,037.614",$61.704,"$5,466.322","$6,326.579",$681.305,"$3,279.217",$93.147,"$3,810.733","$4,492.038",$2.01,$543.357,$71.65,-,"$1,834.541","$6,326.579"
2007-12-31,$125.607,$564.049,-,$91.275,-,$822.396,"$2,335.961",-,"$3,054.695",$60.839,"$5,485.525","$6,307.921",$765.677,"$3,232.848",$89.99,"$3,746.789","$4,512.466",$2.007,$509.875,$74.061,-,"$1,795.455","$6,307.921"
2007-09-30,$90.751,$560.085,-,$98.338,-,$751.397,"$2,198.336",-,"$2,870.614",$50.046,"$5,151.786","$5,903.183",$657.463,"$3,074.299",$105.768,"$3,526.924","$4,184.387",$2.003,$481.874,$60.618,-,"$1,718.796","$5,903.183"
