,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$18,020",-,-,-,-,"$125,974",$753,"$35,772","$2,852","$4,286","$44,362","$170,336","$138,646","$13,709",-,"$13,709","$152,355","$1,257","$12,751",$738,-,"$17,981","$170,336"
2020-09-30,"$15,837",-,-,-,-,"$125,996",$765,"$35,899","$2,867","$4,274","$44,544","$170,540","$140,133","$12,685",-,"$12,685","$152,818","$1,257","$12,375",$867,-,"$17,722","$170,540"
2020-06-30,"$15,740",-,-,-,-,"$129,174",$776,"$33,330","$2,882","$4,251","$42,018","$171,192","$139,916","$13,734",-,"$13,734","$153,650","$1,257","$12,154",$936,-,"$17,542","$171,192"
2020-03-31,"$5,733",-,-,-,-,"$116,319",$791,"$31,124","$2,900","$4,243","$39,878","$156,197","$125,054","$13,732",-,"$13,732","$138,786","$1,257","$12,174",$814,-,"$17,411","$156,197"
2019-12-31,"$3,044",-,-,-,-,"$103,618",$814,"$32,515","$2,917","$4,233","$41,370","$144,988","$115,502","$12,448",-,"$12,448","$127,950","$1,257","$12,469",$26,-,"$17,038","$144,988"
2019-09-30,"$4,950",-,-,-,-,"$104,296",$815,"$33,488","$2,936","$4,216","$42,395","$146,691","$115,105","$14,470",-,"$14,470","$129,575","$1,257","$12,209",$159,-,"$17,116","$146,691"
2019-06-30,"$4,055",-,-,-,-,"$102,525",$829,"$33,038","$2,962","$4,201","$42,020","$144,545","$113,262","$14,312",-,"$14,312","$127,574","$1,257","$12,005",$-2,-,"$16,971","$144,545"
2019-03-31,"$4,101",-,-,-,-,"$99,886",$849,"$32,734","$2,816","$4,184","$41,629","$141,515","$111,421","$14,168",-,"$14,168","$125,589","$1,257","$11,771",$-530,-,"$15,926","$141,515"
2018-12-31,"$4,089",-,-,-,-,"$99,015",$882,"$31,613","$2,832","$4,171","$40,598","$139,613","$110,285","$13,732",-,"$13,732","$124,017","$1,257","$11,556",$-818,-,"$15,596","$139,613"
2018-09-30,"$3,549",-,-,-,-,"$97,926",$891,"$30,891","$2,854","$5,086","$40,879","$138,805","$109,746","$13,849",-,"$13,849","$123,595","$1,257","$11,262","$-1,166",-,"$15,210","$138,805"
