,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,417","$2,063","$2,554",$351,"$2,437","$10,822","$6,876",-,"$79,756","$2,376","$89,008","$99,830","$8,061","$28,070","$1,751","$41,526","$49,587",$12,"$-2,694","$-1,967",-,"$50,243","$99,830"
2020-09-30,"$2,720","$1,979","$2,661",$382,"$2,323","$10,065","$6,558",-,"$79,279","$2,220","$88,057","$98,122","$7,694","$27,882","$1,496","$41,087","$48,781",$12,"$-3,739","$-2,258",-,"$49,341","$98,122"
2020-06-30,"$2,812","$2,045","$2,815",$471,$633,"$8,776","$6,777",-,"$80,512","$2,241","$89,530","$98,306","$8,050","$28,097","$1,370","$41,090","$49,140",$12,"$-4,336","$-2,296",-,"$49,166","$98,306"
2020-03-31,"$5,403","$2,321","$2,831",$485,$668,"$11,708","$6,813",-,"$83,321","$2,231","$92,365","$104,073","$7,934","$31,531","$1,395","$45,015","$52,949",$12,"$-2,686","$-2,426",-,"$51,124","$104,073"
2019-12-31,"$2,279","$1,973","$2,721",$384,$740,"$8,097","$7,055",-,"$84,198","$2,100","$93,353","$101,450","$7,875","$28,216","$1,459","$41,826","$49,701",$12,"$-3,060","$-1,886",-,"$51,749","$101,450"
2019-09-30,"$2,315","$2,078","$3,158",$415,"$1,159","$9,125","$6,926",-,"$84,540","$2,231","$93,697","$102,822","$9,112","$28,112","$1,467","$41,906","$51,018",$12,"$-3,241","$-2,126",-,"$51,804","$102,822"
2019-06-30,"$1,452","$2,154","$3,074",$395,"$2,093","$9,168","$7,023",-,"$84,932","$2,078","$94,033","$103,201","$7,797","$29,832","$1,459","$43,729","$51,526",$12,"$-4,140","$-1,807",-,"$51,675","$103,201"
2019-03-31,"$1,096","$2,095","$3,118",$384,"$2,142","$8,835","$7,031",-,"$85,644","$2,052","$94,727","$103,562","$7,972","$29,803","$1,483","$43,757","$51,729",$12,"$-4,586","$-1,684",-,"$51,833","$103,562"
2018-12-31,"$1,130","$2,281","$2,667",$400,"$2,597","$9,075","$7,078",-,"$85,971","$1,337","$94,386","$103,461","$7,503","$30,770",$902,"$44,183","$51,686",$12,"$-4,853","$-1,943",-,"$51,775","$103,461"
2018-09-30,"$1,366","$2,227","$3,287",-,$710,"$7,590","$7,216",-,"$103,035","$1,889","$112,140","$119,730","$7,581","$30,998",$964,"$46,577","$54,158",$12,"$8,576","$-1,732",-,"$65,572","$119,730"
2018-06-30,"$3,369","$2,164","$3,161",-,$807,"$9,501","$7,258",-,"$103,371","$1,766","$112,395","$121,896","$9,091","$31,380",$929,"$46,940","$56,031",$12,"$8,710","$-1,557",-,"$65,865","$121,896"
2018-03-31,"$1,794","$1,724","$3,144",-,$775,"$7,437","$7,267",-,"$104,443","$1,640","$113,350","$120,787","$10,329","$28,561",$949,"$44,003","$54,332",$12,"$8,718",$-975,-,"$66,455","$120,787"
2017-12-31,"$1,629","$1,812","$2,760",$345,$655,"$7,201","$7,061",-,"$104,257","$1,573","$112,891","$120,092","$10,154","$28,308","$1,088","$43,868","$54,022",$12,"$8,495","$-1,054",-,"$66,070","$120,092"
2017-09-30,"$1,441","$1,365","$3,188",-,"$1,234","$7,228","$6,934",-,"$104,358","$1,531","$112,823","$120,051","$9,387","$28,299",$688,"$51,693","$61,080",$12,"$1,360","$-1,085",-,"$58,971","$120,051"
2017-06-30,"$1,445","$1,434","$3,065",-,"$1,164","$7,108","$6,808",-,"$103,965","$1,535","$112,308","$119,416","$7,356","$29,979",$673,"$53,514","$60,870",$12,"$1,178","$-1,308",-,"$58,546","$119,416"
2017-03-31,"$3,242","$1,474","$3,151",-,"$1,008","$8,875","$6,693",-,"$103,630","$1,604","$111,927","$120,802","$9,383","$29,748",$801,"$53,475","$62,858",$12,$750,"$-1,449",-,"$57,944","$120,802"
