,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-09-30,"$21,128","$3,827","$3,264","$2,191",-,"$30,410","$10,667","$19,587","$27,920","$6,161","$66,774","$97,184","$26,891","$39,502","$8,530","$49,977","$76,868","$1,760","$66,863","$-15,446",-,"$20,316","$97,184"
2020-06-30,"$19,816","$3,849","$3,501","$2,205",-,"$29,371","$10,695","$18,935","$27,447","$5,875","$65,318","$94,689","$26,848","$37,729","$8,954","$48,652","$75,500","$1,760","$66,888","$-16,460",-,"$19,189","$94,689"
2020-03-31,"$17,666","$4,430","$3,558","$2,580",-,"$28,234","$10,993","$18,672","$27,838","$6,001","$65,779","$94,013","$32,397","$31,094","$8,832","$41,782","$74,179","$1,760","$66,870","$-15,696",-,"$19,834","$94,013"
2019-12-31,"$11,175","$3,971","$3,379","$1,886",-,"$20,411","$10,838","$19,879","$26,766","$6,075","$65,970","$86,381","$26,973","$27,516","$8,510","$38,310","$65,283","$1,760","$65,855","$-13,544",-,"$21,098","$86,381"
2019-09-30,"$12,988","$4,353","$3,266","$2,510",-,"$23,117","$10,217","$19,567","$26,330","$5,750","$64,316","$87,433","$25,100","$31,012","$8,057","$41,650","$66,750","$1,760","$65,481","$-13,706",-,"$20,683","$87,433"
2019-06-30,"$13,361","$4,888","$3,453","$2,658",-,"$24,360","$10,254","$20,312","$26,915","$5,596","$65,636","$89,996","$29,382","$29,296","$8,336","$40,319","$69,701","$1,760","$64,602","$-12,981",-,"$20,295","$89,996"
2019-03-31,"$11,948","$3,852","$3,178","$2,935",-,"$28,540","$8,866","$20,198","$22,744","$5,382","$59,807","$88,347","$27,943","$29,400","$8,598","$40,600","$68,543","$1,760","$63,704","$-12,325",-,"$19,804","$88,347"
2018-12-31,"$16,115","$3,685","$3,071","$2,059",-,"$24,930","$9,598","$20,279","$21,587","$4,148","$58,286","$83,216","$28,782","$25,376","$7,646","$35,376","$64,158","$1,760","$63,234","$-12,814",-,"$19,058","$83,216"
2018-09-30,"$18,847","$3,702","$2,627","$2,066",-,"$33,413","$7,404","$21,950","$16,855","$4,535","$53,464","$86,877","$31,430","$25,523","$7,246","$35,269","$66,699","$1,760","$64,028","$-12,070",-,"$20,178","$86,877"
2018-06-30,"$19,354","$4,565","$2,881","$2,543",-,"$36,024","$7,688","$21,619","$16,862","$4,401","$53,569","$89,593","$31,398","$28,063","$7,367","$38,019","$69,417","$1,760","$63,808","$-11,774",-,"$20,176","$89,593"
2018-03-31,"$21,373","$3,904","$2,937","$2,449",$213,"$38,042","$7,977","$22,517","$17,020","$4,428","$55,240","$93,282","$31,480","$29,792","$8,079","$40,185","$71,665","$1,760","$63,150","$-10,038",-,"$21,617","$93,282"
2017-12-31,"$20,675","$3,667","$2,655","$2,000",$219,"$36,545","$8,203","$21,952","$16,636","$4,230","$51,351","$87,896","$27,194","$31,182","$8,021","$41,725","$68,919","$1,760","$60,430","$-10,305",-,"$18,977","$87,896"
2017-09-30,"$27,357","$3,664","$2,608","$2,993","$1,782","$38,404","$8,306","$22,761","$16,564","$4,480","$52,111","$90,515","$27,633","$32,471","$3,946","$40,730","$68,363","$1,760","$64,759","$-9,843",-,"$22,152","$90,515"
2017-06-30,"$27,224","$4,024","$2,790","$2,866","$2,057","$38,961","$8,672","$22,003","$17,192","$4,318","$52,185","$91,146","$28,830","$31,805","$4,092","$40,227","$69,057","$1,760","$64,890","$-10,489",-,"$22,089","$91,146"
2017-03-31,"$25,205","$3,702","$2,885","$2,670","$5,789","$40,251","$9,746","$17,983","$18,767","$4,454","$50,950","$91,201","$28,656","$31,538","$4,041","$39,478","$68,134","$1,760","$65,099","$-10,206",-,"$23,067","$91,201"
2016-12-31,"$22,201","$3,856","$2,675","$2,481","$2,797","$34,010","$10,635","$17,249","$21,128","$4,248","$53,260","$87,270","$26,532","$29,684","$4,081","$37,518","$64,050","$1,760","$65,502","$-11,205",-,"$23,220","$87,270"
2016-09-30,"$25,569","$4,082","$2,751","$3,091","$2,463","$37,956","$11,172","$18,027","$22,246","$4,526","$55,971","$93,927","$27,792","$31,663","$3,984","$39,890","$67,682","$1,760","$66,457","$-10,209",-,"$26,245","$93,927"
2016-06-30,"$24,075","$4,768","$3,005","$3,332",$693,"$35,873","$12,663","$17,499","$23,689","$4,370","$58,221","$94,094","$29,544","$29,252","$3,963","$37,712","$67,256","$1,760","$66,921","$-10,153",-,"$26,838","$94,094"
2016-03-31,"$22,211","$4,147","$3,052","$3,314","$3,786","$36,510","$12,613","$13,796","$24,030","$4,314","$54,753","$91,263","$30,987","$26,990","$3,820","$35,147","$66,134","$1,760","$64,985","$-10,789",-,"$25,129","$91,263"
2015-12-31,"$19,900","$3,941","$2,902","$2,752","$3,900","$33,395","$12,571","$15,788","$24,132","$4,110","$56,601","$89,996","$26,929","$28,311","$4,301","$37,303","$64,232","$1,760","$65,018","$-10,174",-,"$25,764","$89,996"
2015-09-30,"$22,774","$4,028","$2,910","$3,029","$3,853","$36,594","$12,615","$14,934","$24,419","$4,446","$56,414","$93,008","$31,545","$25,949","$4,194","$35,196","$66,741","$1,760","$65,209","$-10,813",-,"$26,267","$93,008"
2015-06-30,"$20,947","$4,976","$3,224","$3,159",$497,"$32,803","$14,365","$15,773","$26,080","$4,517","$60,735","$93,538","$28,852","$25,977","$4,283","$36,045","$64,897","$1,760","$65,196","$-8,736",-,"$28,641","$93,538"
2015-03-31,"$20,049","$4,461","$3,219","$3,605",$785,"$32,119","$14,346","$13,895","$26,054","$4,602","$58,897","$91,016","$26,123","$26,087","$4,296","$35,815","$61,938","$1,760","$63,524","$-7,069",-,"$29,078","$91,016"
2014-12-31,"$21,675","$4,466","$3,100","$3,066",$679,"$32,986","$14,633","$13,625","$26,372","$4,407","$59,037","$92,023","$32,374","$19,063","$4,389","$29,088","$61,462","$1,760","$63,408","$-5,777",-,"$30,561","$92,023"
2014-09-30,"$23,714","$5,081","$3,277","$3,277",$103,"$35,452","$14,738","$14,319","$26,955","$4,850","$60,862","$96,314","$32,760","$20,111","$3,383","$29,885","$62,645","$1,760","$63,972","$-3,843",-,"$33,669","$96,314"
2014-06-30,"$21,609","$5,870","$3,536","$2,856",-,"$33,871","$14,918","$14,458","$27,437","$4,805","$61,618","$95,489","$32,629","$18,643","$3,447","$28,559","$61,188","$1,760","$63,194","$-2,986",-,"$34,301","$95,489"
2014-03-31,"$19,433","$5,233","$3,357","$3,029",-,"$31,052","$14,860","$13,127","$27,595","$4,655","$60,237","$91,289","$30,056","$18,640","$3,414","$28,311","$58,367","$1,760","$61,937","$-3,594",-,"$32,922","$91,289"
2013-12-31,"$20,268","$4,873","$3,277","$2,886",-,"$31,304","$14,967","$11,512","$27,611","$4,661","$58,751","$90,055","$27,811","$19,154","$3,498","$28,804","$56,615","$1,760","$61,660","$-3,432",-,"$33,440","$90,055"
2013-09-30,"$20,459","$5,116","$3,321","$2,680",-,"$31,576","$14,548","$11,535","$27,503","$4,270","$57,856","$89,432","$33,042","$14,173","$4,445","$23,925","$56,967","$1,760","$61,187","$-4,699",-,"$32,465","$89,432"
2013-06-30,"$19,213","$5,516","$3,643","$3,055","$1,145","$32,572","$14,549","$10,829","$27,706","$3,855","$56,939","$89,511","$32,469","$14,179","$4,934","$24,411","$56,880","$1,760","$59,978","$-4,083",-,"$32,631","$89,511"
2013-03-31,"$18,428","$5,007","$3,607","$3,294","$1,183","$31,519","$14,543","$11,077","$27,389","$3,922","$56,931","$88,450","$31,102","$14,291","$4,949","$24,454","$55,556","$1,760","$58,549","$-3,211",-,"$32,894","$88,450"
2012-12-31,"$16,551","$4,759","$3,264","$2,781","$2,973","$30,328","$14,476","$10,448","$27,337","$3,585","$55,846","$86,174","$27,821","$14,736","$5,468","$25,185","$53,006","$1,760","$58,045","$-3,385",-,"$33,168","$86,174"
2012-09-30,"$18,083","$5,083","$3,447","$3,099",-,"$29,712","$15,388","$10,150","$27,775","$3,629","$56,942","$86,654","$27,008","$16,181","$4,678","$26,056","$53,064","$1,760","$57,320","$-2,941",-,"$33,590","$86,654"
2012-06-30,"$16,966","$5,397","$3,587","$3,375",-,"$29,325","$15,174","$16,974","$20,013","$3,663","$55,824","$85,149","$26,482","$16,390","$4,658","$26,038","$52,520",$880,"$56,159","$-3,369",-,"$32,629","$85,149"
2012-03-31,"$15,779","$4,814","$3,442","$3,988",-,"$28,023","$15,300","$8,911","$27,893","$3,770","$55,874","$83,897","$24,846","$16,351","$4,663","$25,833","$50,679",$880,"$54,520","$-1,775",-,"$33,218","$83,897"
2011-12-31,"$14,035","$4,920","$3,092","$3,450",-,"$25,497","$14,939","$8,374","$27,669","$3,495","$54,477","$79,974","$24,283","$13,656","$5,420","$23,770","$48,053","$1,760","$53,621","$-2,774",-,"$31,921","$79,974"
2011-09-30,"$16,497","$5,131","$3,172","$3,391",-,"$28,191","$14,522","$8,337","$27,484","$3,219","$53,562","$81,753","$25,581","$13,708","$4,404","$22,673","$48,254",$880,"$52,965","$-1,174",-,"$33,499","$81,753"
2011-06-30,"$14,017","$5,630","$3,237","$3,655",-,"$26,539","$14,933","$16,056","$19,861","$2,701","$53,551","$80,090","$24,194","$11,373","$4,393","$20,472","$44,666",$880,"$51,816",$287,-,"$35,424","$80,090"
2011-03-31,"$12,277","$4,533","$3,033","$3,699",-,"$23,542","$14,834","$15,147","$19,795","$2,740","$52,516","$76,058","$21,923","$12,681","$4,437","$21,539","$43,462",$880,"$50,097",$-535,-,"$32,596","$76,058"
2010-12-31,"$11,337","$4,430","$2,650","$3,162",-,"$21,579","$14,727","$15,096",$2.365,"$2,121","$31,946.37","$72,921","$18,508",$3.122,"$4,794","$9,058.122","$41,604",$880,"$49,278",$-0.247,-,"$31,317","$72,921"
2010-09-30,"$13,265","$3,720","$2,259","$3,248",$613,"$23,105","$9,145","$7,480","$12,259","$2,100","$30,984","$54,089","$17,271","$4,456","$2,777","$8,617","$25,888",$880,"$44,541","$-1,381",-,"$28,201","$54,089"
2010-06-30,"$10,166","$4,001","$2,363","$2,044",-,"$18,574","$8,931","$6,738","$12,109","$2,092","$29,870","$48,444","$13,934","$4,427","$2,719","$8,702","$22,636",$880,"$43,490","$-2,298",-,"$25,808","$48,444"
2010-03-31,"$8,794","$3,705","$2,327","$2,382",-,"$17,208","$9,036","$6,749","$12,315","$2,095","$30,195","$47,403","$13,583","$4,419","$2,763","$8,663","$22,246",$880,"$42,136","$-1,445",-,"$25,157","$47,403"
2009-12-31,"$9,213","$3,758","$2,354","$2,226",-,"$17,551","$9,561","$8,708","$10,875","$1,976","$31,120","$48,671","$13,721","$5,059","$2,965","$9,604","$23,325",$880,"$41,537",$-757,-,"$25,346","$48,671"
2009-09-30,"$9,125","$3,465","$2,341","$2,061",-,"$16,992","$9,099","$6,481","$12,625","$1,910","$30,115","$47,107","$13,410","$5,028","$3,124","$9,275","$22,685",$880,"$40,944","$-1,753",-,"$24,422","$47,107"
2009-06-30,"$7,945","$3,746","$2,483","$2,198",-,"$16,372","$8,904","$6,292","$12,627","$1,859","$29,682","$46,054","$13,567","$5,017","$3,051","$8,970","$22,537",$880,"$39,999","$-1,740",-,"$23,517","$46,054"
