,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2021-02-28,"$2,439.289",$300.134,"$17,692.94",-,-,"$20,432.37",-,"$1,077.353","$3,442.359","$5,599.903","$10,119.62","$30,551.98","$1,708.501","$5,976.168","$3,849.86","$9,826.027","$11,534.53",$33.991,"$11,488.52",$-1.747,-,"$19,017.45","$30,551.98"
2020-11-30,"$2,719.197",$298.671,"$16,925.23",-,-,"$19,943.1",-,$953.177,"$3,442.359","$5,596.545","$9,992.081","$29,935.18","$1,744.029","$5,955.758","$4,135.989","$10,091.75","$11,835.78",$33.838,"$10,564.99",$-0.805,-,"$18,099.4","$29,935.18"
2020-08-31,"$1,978.755",$295.958,"$17,671.26",-,-,"$19,945.97",-,$940.695,"$3,442.359","$4,986.256","$9,369.31","$29,315.29","$1,464.885","$7,180.274","$3,389.781","$10,570.05","$12,034.94",$33.838,"$9,760.165",$-0.163,-,"$17,280.35","$29,315.29"
2020-05-31,"$1,414.2",$299.494,"$17,947.41",-,-,"$19,661.1",-,"$1,406.734","$3,442.359","$4,798.832","$9,647.925","$29,309.03","$1,383.802","$7,495.674","$3,796.925","$11,292.6","$12,676.4",$33.748,"$9,132.714",$-0.338,-,"$16,632.62","$29,309.03"
2020-02-29,$798.646,$311.817,"$18,643.48",-,-,"$19,753.94",-,"$1,406.297","$3,442.359","$4,571.1","$9,419.756","$29,173.7","$1,561.17","$8,115.498","$3,303.654","$11,419.15","$12,980.32",$33.746,"$8,654.213",$0.452,-,"$16,193.38","$29,173.7"
2019-11-30,"$1,213.845",$329.124,"$17,776.51",-,-,"$19,319.48",-,"$1,466.84","$3,442.359","$5,130.836","$10,040.04","$29,359.51","$1,344.623","$7,776.638","$4,204.42","$11,981.06","$13,325.68",$33.656,"$8,295.001",$0.498,-,"$16,033.83","$29,359.51"
2019-08-31,$814.98,$295.418,"$18,848.17",-,-,"$19,958.57",-,"$1,511.473","$3,442.359","$4,544.104","$9,500.879","$29,459.45","$1,406.563","$9,075.016","$3,511.921","$12,586.94","$13,993.5",$33.653,"$7,633.375",$0.407,-,"$15,465.95","$29,459.45"
2019-05-31,$829.108,$303.595,"$18,774.49",-,-,"$19,907.19",-,"$1,474.075","$3,442.359","$4,752.681","$9,675.873","$29,583.06","$1,429.449","$9,390.941","$3,516.139","$12,907.08","$14,336.53",$33.447,"$7,132.908",$0.227,-,"$15,246.54","$29,583.06"
2019-02-28,$882.244,$222.579,"$18,208.8",-,-,"$19,313.62",-,"$1,412.645","$3,442.359","$4,557.427","$9,436.305","$28,749.93","$1,307.676","$9,256.423","$3,292.132","$12,548.55","$13,856.23",$33.445,"$6,724.242",$-0.158,-,"$14,893.7","$28,749.93"
2018-11-30,"$1,381.715",$236.841,"$17,068.7",-,-,"$18,687.26",-,"$1,354.279","$3,442.359","$5,056.651","$9,878.921","$28,566.18","$1,344.86","$8,543.868","$3,994.496","$12,538.36","$13,883.22",$33.443,"$6,487.65",$-0.366,-,"$14,682.96","$28,566.18"
2018-08-31,$892.632,$170.658,"$17,569.07",-,-,"$18,632.36",-,"$1,503.05","$3,457.999","$4,643.34","$9,657.033","$28,289.39","$1,476.535","$9,407.987","$3,288.693","$12,696.68","$14,173.21",$33.442,"$5,704.676",$-0.615,-,"$14,116.18","$28,289.39"
