,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,681.3","$6,929","$3,980.3","$2,871.5",-,"$17,462.1","$8,681.9","$2,966.8","$11,216.5","$3,475.4","$29,171","$46,633.1","$12,481.6","$16,586.6","$5,545.3","$28,326.3","$40,807.9",$598.2,"$7,830.2","$-6,496.4","$-3,013.2","$5,825.2","$46,633.1"
2020-09-30,"$3,630.3","$5,844.8","$3,555.4","$3,209.4",-,"$16,239.9","$8,281.1","$2,476.2","$11,315","$3,078.5","$27,706.1","$43,946","$11,976.9","$16,334.6","$5,095.3","$26,973.1","$38,950",$598.1,"$7,154","$-6,555.1","$-3,013.2","$4,996","$43,946"
2020-06-30,"$2,387.9","$5,775.6","$3,313.9","$3,104.5",-,"$14,581.9","$7,981.1","$2,406.4","$11,435.7","$3,080.1","$27,385.1","$41,967","$11,988.5","$15,064.4","$5,204.3","$25,706.5","$37,695",$598.1,"$6,617.2","$-6,682.9","$-3,013.2","$4,272","$41,967"
2020-03-31,"$1,777.4","$6,352.5","$3,102.4","$2,761.9",-,"$13,994.2","$7,897.9","$2,148.7","$11,545.8","$3,044.6","$27,108.6","$41,102.8","$12,610.2","$13,982.3","$5,494.9","$25,295.4","$37,905.6",$598.1,"$5,879.4","$-6,885.9","$-3,013.2","$3,197.2","$41,102.8"
2019-12-31,"$2,438.5","$5,541.5","$3,190.7","$2,538.9",-,"$13,709.6","$7,872.9","$1,962.4","$10,297.4","$2,871.2","$25,576.5","$39,286.1","$11,775.2","$13,817.9","$5,108.2","$24,811.8","$36,587",$598.8,"$4,920.4","$-6,523.6","$-3,013.2","$2,699.1","$39,286.1"
2019-09-30,"$1,653","$5,537.9","$3,101.3","$2,369.6",-,"$12,661.8","$7,801.5","$1,825.3","$10,461.8","$2,194.2","$25,231.3","$37,893.1","$10,828.6","$13,662.2","$4,626.9","$23,602.2","$34,430.8",$600.4,"$4,981.9","$-5,734.5","$-3,013.2","$3,462.3","$37,893.1"
2019-06-30,"$2,367.9","$5,590","$3,181.1","$2,315.5",-,"$13,454.5","$7,847.5","$1,852.7","$10,406.7","$2,052.1","$25,211.9","$38,666.4","$11,855.4","$13,717.6","$4,628.5","$23,953.7","$35,809.1",$603.7,"$4,318.1","$-5,600.5","$-3,013.2","$2,857.3","$38,666.4"
2019-03-31,"$2,137.1","$5,178","$3,055.2","$2,227.2",-,"$12,597.5","$7,780","$2,111.4","$10,497.4","$1,963","$25,409.3","$38,006.8","$11,236.1","$13,610.2","$4,930.2","$24,205.7","$35,441.8",$607.1,"$4,879.4","$-5,687.5","$-3,013.2","$2,565","$38,006.8"
2018-12-31,"$7,408.9","$5,776.8","$3,098.1","$2,036.7",-,"$20,549.6","$7,996.1","$2,005.4","$2,434.6","$1,824.9","$23,358.8","$43,908.4","$11,888.1","$9,196.4","$5,057.6","$21,111.2","$32,999.3",$661,"$11,395.9","$-5,729.2","$-3,013.2","$10,909.1","$43,908.4"
2018-09-30,"$9,036.1","$5,652.6","$4,118","$1,879.2",-,"$20,685.9","$8,814.1","$2,005.8","$7,977.8","$2,009.2","$23,939.2","$44,625.1","$10,826.7","$11,674.7","$5,288.3","$19,647.5","$30,474.2",$667.1,"$14,408.7","$-5,439.5","$-3,013.2","$14,150.9","$44,625.1"
