,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,160","$1,978","$3,545",-,"$10,695","$19,378","$7,213",-,"$13,818","$6,826","$31,332","$50,710","$13,933","$11,669","$6,196","$30,739","$44,672",$279,"$21,636","$-16,121",-,"$6,038","$50,710"
2020-09-30,"$3,585","$2,480","$3,293",-,"$10,932","$20,290","$6,803",-,"$13,602","$6,880","$30,483","$50,773","$15,201","$11,675","$6,146","$30,586","$45,787",$278,"$19,844","$-15,259",-,"$4,986","$50,773"
2020-06-30,"$2,855","$2,835","$3,521",-,"$10,359","$19,570","$6,663",-,"$13,656","$6,587","$30,033","$49,603","$14,888","$12,174","$5,834","$30,929","$45,817",$278,"$18,876","$-15,403",-,"$3,786","$49,603"
2020-03-31,"$1,988","$2,892","$3,539",-,"$10,803","$19,222","$6,605",-,"$13,707","$6,550","$30,026","$49,248","$15,652","$11,439","$5,592","$30,109","$45,761",$279,"$18,708","$-15,541",-,"$3,487","$49,248"
2019-12-31,"$1,514","$2,337","$3,619",-,"$9,625","$17,095","$6,591",-,"$13,817","$6,706","$30,433","$47,528","$13,972","$11,404","$5,747","$30,385","$44,357",$280,"$18,401","$-15,554",-,"$3,171","$47,528"
2019-09-30,"$2,539","$2,384","$3,474",-,"$11,406","$19,803","$6,240",-,"$14,040","$6,280","$29,472","$49,275","$15,515","$12,652","$5,058","$29,823","$45,338",$281,"$17,265","$-13,653",-,"$3,937","$49,275"
2019-06-30,"$1,167","$2,546","$3,599",-,"$10,788","$18,100","$6,170",-,"$14,126","$6,281","$29,740","$47,840","$15,132","$12,637","$5,061","$29,812","$44,944",$281,"$16,408","$-13,839",-,"$2,896","$47,840"
2019-03-31,$991,"$2,833","$3,285",-,"$10,922","$18,031","$6,140",-,"$14,194","$6,150","$29,653","$47,684","$15,403","$12,621","$5,022","$29,759","$45,162",$281,"$16,278","$-14,094",-,"$2,522","$47,684"
2018-12-31,$772,"$2,444","$2,997",-,"$9,890","$16,103","$6,124",-,"$14,263","$5,178","$28,773","$44,876","$14,398","$12,604","$4,311","$29,029","$43,427",$281,"$15,434","$-14,321",-,"$1,449","$44,876"
2018-09-30,$897,"$2,416","$3,050",-,"$10,496","$16,859","$5,902",-,"$14,358","$5,340","$28,636","$45,495","$15,204","$13,486","$4,411","$29,289","$44,493",$283,"$14,737","$-14,077",-,"$1,002","$45,495"
2018-06-30,"$1,181","$2,482","$3,038",-,"$9,803","$16,504","$5,786",-,"$14,427","$5,357","$28,621","$45,125","$13,881","$13,479","$4,384","$30,765","$44,646",$283,"$14,528","$-14,395",-,$479,"$45,125"
2018-03-31,"$2,393","$2,373","$3,196",-,"$9,854","$17,816","$5,749",-,"$14,536","$5,449","$28,818","$46,634","$13,974","$13,473","$4,386","$32,771","$46,745",$284,"$14,123","$-14,589",-,$-111,"$46,634"
2017-12-31,"$2,861","$2,265","$2,878",-,"$9,501","$17,505","$5,775",-,"$14,604","$5,580","$29,115","$46,620","$12,913","$13,513","$4,548","$34,483","$47,396",$284,"$11,405","$-12,539",-,$-776,"$46,620"
2017-09-30,"$2,941","$9,021","$4,803",-,$443,"$17,208","$5,511",-,"$14,689","$5,568","$31,738","$48,946","$13,084","$14,268","$4,563","$33,687","$46,771",$285,"$13,173","$-11,360",-,"$2,175","$48,946"
2017-06-30,"$2,452","$8,762","$4,941",-,$411,"$16,566","$5,532",-,"$14,724","$5,557","$32,145","$48,711","$13,641","$14,283","$4,619","$33,721","$47,362",$286,"$12,616","$-11,637",-,"$1,349","$48,711"
2017-03-31,"$2,216","$8,869","$5,074",-,$427,"$16,586","$5,481",-,"$14,792","$5,488","$32,250","$48,836","$13,597","$14,276","$4,609","$33,654","$47,251",$288,"$13,087","$-11,892",-,"$1,585","$48,836"
2016-12-31,"$1,837","$8,202","$4,670",-,$399,"$15,108","$5,549",-,"$14,857","$5,667","$32,698","$47,806","$12,542","$14,282","$4,659","$33,658","$46,200",$289,"$13,324","$-12,102",-,"$1,606","$47,806"
2016-09-30,"$2,895","$8,955","$4,852",-,$408,"$17,110","$5,369",-,"$14,996","$5,414","$31,629","$48,739","$14,425","$14,304","$4,638","$31,884","$46,309",$291,"$13,023","$-10,991",-,"$2,430","$48,739"
2016-06-30,"$1,269","$9,275","$5,136",-,$393,"$16,073","$5,438",-,"$17,672","$5,395","$34,335","$50,408","$15,595","$14,307","$4,620","$31,816","$47,411",$301,"$13,800","$-11,104",-,"$2,997","$50,408"
2016-03-31,"$1,452","$8,620","$5,223",-,$472,"$15,767","$5,417",-,"$17,704","$5,377","$34,391","$50,158","$14,912","$14,320","$4,877","$32,069","$46,981",$303,"$14,128","$-11,254",-,"$3,177","$50,158"
2015-12-31,"$1,090","$7,254","$4,819",-,$441,"$14,573","$5,389",-,"$14,717","$5,396","$34,731","$49,304","$13,918","$14,305","$4,902","$32,289","$46,207",$303,"$14,238","$-11,444",-,"$3,097","$49,304"
2015-09-30,"$3,300","$6,740","$3,237",-,$515,"$15,055","$4,677",-,"$10,832","$4,957","$24,562","$39,617","$12,980","$7,460","$3,908","$23,824","$36,804",$306,"$13,828","$-11,321",-,"$2,813","$39,617"
2015-06-30,"$3,202","$7,064","$3,032",-,$520,"$15,287","$4,640",-,"$10,867","$5,019","$24,561","$39,848","$12,624","$7,950","$3,815","$24,242","$36,866",$309,"$14,129","$-11,456",-,"$2,982","$39,848"
2015-03-31,"$3,486","$6,545","$3,087",-,$632,"$15,218","$4,654",-,"$10,841","$5,015","$24,534","$39,752","$11,567","$8,404","$3,763","$24,665","$36,232",$313,"$14,922","$-11,715",-,"$3,520","$39,752"
2014-12-31,"$1,446","$5,877","$2,804",-,$744,"$12,322","$4,751",-,"$11,186","$4,774","$24,724","$37,046","$11,112","$6,142","$3,877","$22,534","$33,646",$314,"$14,956","$-11,870",-,"$3,400","$37,046"
