,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$54,$412,$217,-,$204,$887,"$14,336",$485,-,"$1,929","$16,823","$17,710","$1,297","$6,769","$1,431","$10,525","$11,822",$2,"$2,994",$-1,-,"$5,888","$17,710"
2020-09-30,$189,$399,$223,$30,$192,"$1,033","$14,199",$478,-,"$1,762","$16,507","$17,540","$1,295","$6,574","$1,536","$10,336","$11,631",$2,"$3,026",$-1,-,"$5,909","$17,540"
2020-06-30,$208.1,$386.5,$221.8,-,$227.9,"$1,044.3","$13,936.4",$473.2,-,"$1,748.5","$16,225.4","$17,269.7","$1,220.9","$6,572.4","$1,516.6","$10,300.5","$11,521.4",$2.5,"$2,873.5",$-0.6,-,"$5,748.3","$17,269.7"
2020-03-31,$55.2,$396.4,$220.6,-,$240,$912.2,"$13,685",$469.5,-,"$1,752.4","$15,966.8","$16,879","$1,650.2","$5,833.9","$1,503.8","$9,526.4","$11,176.6",$2.5,"$2,833.7",$2,-,"$5,702.4","$16,879"
2019-12-31,$16,$402,$227,-,$231,$876,"$13,527",$468,-,"$1,758","$15,825","$16,701","$2,054","$5,533","$1,511","$9,242","$11,296",$2,"$2,766",$1,-,"$5,405","$16,701"
2019-09-30,$193.7,$451.5,$224.1,$30.3,$213.4,"$1,113","$13,131.1",$453,-,"$1,763.7","$15,420.4","$16,533.4","$2,082.1","$5,535.1","$1,567.7","$9,282.1","$11,364.2",$2.4,"$2,739.1",$1,-,"$5,169.2","$16,533.4"
2019-06-30,$170.2,$421.5,$205.8,-,$229.8,"$1,027.3","$12,854",$443.3,-,"$1,728.2","$15,094.3","$16,121.6","$1,949","$5,438.1","$1,689.6","$9,273","$11,222",$2.4,"$2,597.8",$1,-,"$4,899.6","$16,121.6"
2019-03-31,$10.1,$417.9,$168,-,$219.2,$815.2,"$12,665.2",$433.6,-,"$1,726.6","$14,898.2","$15,713.4","$1,587.7","$5,362.2","$1,745.5","$9,243.301","$10,831",$2.4,"$2,587.3",$2.4,-,"$4,882.4","$15,713.4"
2018-12-31,$20.9,$350.4,$211.8,$42.2,$159.8,$785.1,"$12,462.4",$431.3,-,"$1,657.5","$14,640.9","$15,426","$1,644.1","$5,246.3","$1,637.7","$8,996.2","$10,640.3",$2.4,"$2,545.9",$1.7,-,"$4,785.7","$15,426"
2018-09-30,$239.7,$465.3,$211.1,-,$208.7,"$1,124.8","$12,005.2",$424,-,"$1,612.5","$14,145","$15,269.8","$1,548.3","$5,248.2","$1,640.7","$8,951.1","$10,499.4",$2.4,"$2,539.5",$-0.2,-,"$4,770.4","$15,269.8"
2018-06-30,$5,$415,$200.1,-,$185.8,$805.9,"$11,695.7",$420.5,-,"$1,606.5","$13,809.1","$14,615","$1,257.4","$5,127.5","$1,683.5","$8,806.9","$10,064.3",$2.3,"$2,412.5",$0.1,-,"$4,550.7","$14,615"
2018-03-31,$19.1,$343.2,$202.8,-,$160.8,$725.9,"$11,439.6",$414.7,-,"$1,589.2","$13,515.9","$14,241.8","$2,073.5","$4,056.8","$1,679.5","$7,736.8","$9,810.3",$2.3,"$2,389.4",$-0.5,-,"$4,431.5","$14,241.8"
2017-12-31,$27.9,$482.8,$222.4,$41.3,$130.7,$905.1,"$11,234.5",$396.1,-,"$1,582.4","$13,282.7","$14,187.8","$2,149","$4,010.6","$1,663.6","$7,656.6","$9,805.6",$2.3,"$2,346",$-0.5,-,"$4,382.2","$14,187.8"
2017-09-30,$9.2,$336.1,$220.6,-,$185.6,$751.5,"$10,931.1",$458.6,-,"$1,952.3","$13,363.4","$14,114.9","$1,470.1","$4,255.1",$779.5,"$8,290.6","$9,760.7",$2.3,"$2,324.8",$-0.4,-,"$4,354.2","$14,114.9"
