,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,137",$338,$32,$137,-,"$2,644","$15,109",-,$25,$455,"$18,163","$20,807","$2,309","$13,931",$497,"$14,960","$17,269",$1,$813,$29,-,"$3,538","$20,807"
2020-09-30,"$2,398",$382,$34,$144,-,"$2,958","$14,992",-,$28,$467,"$18,024","$20,982","$2,255","$13,840",$518,"$14,887","$17,142",$1,"$1,112",$-38,-,"$3,840","$20,982"
2020-06-30,"$3,032",$567,$37,$136,-,"$3,772","$14,911",-,$32,$480,"$17,923","$21,695","$2,375","$13,767",$513,"$14,795","$17,170",$1,"$1,677",$-74,-,"$4,525","$21,695"
2020-03-31,"$2,618",$653,$36,$186,-,"$3,493","$14,706",-,$36,$484,"$17,674","$21,167","$2,419","$12,253",$521,"$13,291","$15,710",$1,"$2,497",$-119,-,"$5,457","$21,167"
2019-12-31,"$4,242",$844,$37,$182,-,"$5,305","$14,844",-,$42,$454,"$17,894","$23,199","$3,224","$12,422",$513,"$13,468","$16,692",$1,"$3,101",$-3,-,"$6,507","$23,199"
2019-09-30,"$3,832",$757,$33,$186,-,"$4,808","$14,590",-,$45,$457,"$17,619","$22,427","$3,004","$11,877",$496,"$12,908","$15,912",$1,"$3,059",$-74,-,"$6,515","$22,427"
2019-06-30,"$4,031",$767,$33,$126,-,"$4,957","$14,591",-,$51,$406,"$17,637","$22,594","$3,031","$11,909",$494,"$12,981","$16,012",$1,"$3,118",$-19,-,"$6,582","$22,594"
2019-03-31,"$4,148",$737,$35,$135,-,"$5,055","$15,099",-,$69,$398,"$17,258","$22,313","$2,917","$11,888",$485,"$12,956","$15,873",$1,"$2,757",$-32,-,"$6,440","$22,313"
2018-12-31,"$4,661",$726,$35,$144,-,"$5,566","$15,154",-,$72,$189,"$16,981","$22,547","$3,157","$11,874",$179,"$12,645","$15,802",$1,"$2,770",$-40,-,"$6,745","$22,547"
2018-09-30,"$4,785",$650,$42,$137,-,"$5,614","$15,186",-,$76,$135,"$17,725","$23,339","$2,906","$11,869",$175,"$12,635","$15,541",$1,"$3,521",$-36,-,"$7,798","$23,339"
2018-06-30,"$4,362",$555,$44,$114,-,"$5,075","$15,217",-,$81,$140,"$17,780","$22,855","$2,992","$11,139",$165,"$11,901","$14,893",$1,"$3,538",$-44,-,"$7,962","$22,855"
2018-03-31,"$2,640",$587,$46,$121,-,"$3,394","$15,485",-,$85,$144,"$18,110","$21,504","$2,874","$9,508",$155,"$10,273","$13,147",$1,"$3,572",$47,-,"$8,357","$21,504"
2017-12-31,"$2,430",$615,$37,$115,-,"$3,197","$15,516",-,$89,$155,"$17,490","$20,687","$2,956","$9,344",$147,"$10,104","$13,060",$1,"$2,709",$14,-,"$7,627","$20,687"
2017-09-30,"$2,012",$637,$45,$142,-,"$2,836","$15,498",-,$93,$147,"$16,972","$19,808","$2,661","$9,483",$136,"$10,256","$12,917",$1,"$2,082",$-13,-,"$6,891","$19,808"
2017-06-30,"$2,317",$623,$47,$113,-,"$3,100","$15,566",-,$96,$150,"$17,042","$20,142","$2,559","$10,014",$138,"$10,778","$13,337",$1,"$2,089",$-46,-,"$6,805","$20,142"
2017-03-31,"$1,966",$683,$47,$124,-,"$2,820","$15,741",-,$100,$153,"$17,222","$20,042","$2,512","$9,671",$134,"$10,424","$12,936",$1,"$2,121",$-61,-,"$7,106","$20,042"
2016-12-31,"$2,138",$776,$46,$138,-,"$3,098","$15,903",-,$103,$155,"$17,371","$20,469","$2,806","$9,428",$126,"$10,167","$12,973",$1,"$2,222",$-119,-,"$7,496","$20,469"
2016-09-30,"$1,799.48",$868.09,$43.764,$127.349,-,"$2,838.683","$16,304.7",-,$108.784,$160.95,"$17,841.98","$20,680.66","$2,773.953","$9,593.099",$125.601,"$10,340.08","$13,114.03",$0.83,"$2,285.163",$-3.252,-,"$7,566.627","$20,680.66"
2016-06-30,"$2,233.946",$925.971,$42.358,$106.995,-,"$3,309.27","$16,107.14",-,$113.304,$156.785,"$17,671.26","$20,980.53","$2,619.773","$10,061.88",$119.05,"$10,800.96","$13,420.73",$0.83,"$2,344.018",$22.015,-,"$7,559.8","$20,980.53"
