,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,546.439",$486.734,-,$577.13,$39.465,"$3,649.768","$1,101.414",-,"$3,353.861","$1,060.037","$6,939.535","$10,589.3","$3,796.569","$4,855.096",$182.508,"$6,926.486","$10,723.05",$2.145,"$-2,676.833",$-177.009,-,$-133.752,"$10,589.3"
2020-09-30,"$2,633.491",$564.873,-,$605.167,$56.326,"$3,859.857","$1,106.688",-,"$3,315.873","$1,141.571","$7,025.574","$10,885.43","$3,582.877","$4,849.274",$274.271,"$7,055.53","$10,638.41",$2.138,"$-2,233.501",$-222.217,-,$247.024,"$10,885.43"
2020-06-30,"$3,300.365",$618.58,-,$446.062,$68.187,"$4,433.194","$1,121.665",-,"$3,318.24","$1,328.552","$7,189.106","$11,622.3","$3,492.296","$4,831.088",$691.219,"$7,446.474","$10,938.77",$2.125,"$-1,704.599",$-243.805,-,$683.53,"$11,622.3"
2020-03-31,"$3,281.711",$759.432,-,$736.369,$73.513,"$4,851.025","$1,128.169",-,"$3,274.656","$1,202.576","$7,010.419","$11,861.44","$4,730.056","$3,651.019",$247.204,"$5,900.556","$10,630.61",$2.118,"$-1,137.082",$-259.326,-,"$1,230.832","$11,861.44"
2019-12-31,"$2,474.242",$994.606,-,$667.044,$57.007,"$4,192.899","$1,117.932",-,"$3,237.593","$1,025.172","$6,782.716","$10,975.62","$4,107.599","$3,271.262",$130.648,"$5,404.062","$9,511.661",$2.113,$-949.334,$-145.713,-,"$1,463.954","$10,975.62"
2019-09-30,"$1,808.794","$1,215.465",-,$772.196,$53.268,"$3,849.723","$1,048.139",-,"$2,962.761",$961.023,"$6,117.41","$9,967.133","$3,959.372","$2,694.934",$112.336,"$4,484.929","$8,444.301",$2.111,$-789.387,$-181.047,-,"$1,522.832","$9,967.133"
2019-06-30,"$2,284.979","$1,096.754",-,$858.469,$44.685,"$4,284.887","$1,025.468",-,"$3,048.061",$984.062,"$6,244.5","$10,529.39","$4,605.723","$2,708.642",$113.06,"$4,515.908","$9,121.631",$2.101,$-968.312,$-148.791,-,"$1,407.756","$10,529.39"
2019-03-31,"$2,684.192",$920.035,-,$772.296,$48.351,"$4,424.874",$943.03,-,"$2,864.968",$954.729,"$5,877.659","$10,302.53","$4,688.882","$2,715.966",$100.177,"$4,373.257","$9,062.139",$2.099,"$-1,071.667",$-148.12,-,"$1,240.394","$10,302.53"
2018-12-31,"$2,378.203",$829.32,-,$597.866,$42.685,"$3,848.074",$946.593,-,"$2,853.248",$848.971,"$4,648.812","$8,496.886","$3,749.866","$2,732.878",$204.977,"$3,404.277","$7,154.143",$2.091,"$-1,019.223",$-145.231,-,"$1,342.743","$8,496.886"
2018-09-30,"$1,909.798","$1,252.585",-,$668.9,$49.764,"$3,881.047",$913.357,-,"$2,873.841",$843.454,"$4,630.652","$8,511.699","$3,608.798","$2,731.985",$180.626,"$3,351.972","$6,960.77",$2.083,$-871.336,$-134.918,-,"$1,550.929","$8,511.699"
