,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$877,"$1,768",-,$172,$8,"$2,825","$1,514",$422,"$18,164",$616,"$21,876","$24,701","$5,752","$9,203","$6,868","$18,519","$24,271",$5,"$9,206",$-135,-,$430,"$24,701"
2020-09-30,"$1,577","$1,791",-,$164,$8,"$3,540","$1,790",$517,"$17,589",$599,"$21,608","$25,148","$6,006","$9,679","$6,656","$18,913","$24,919",$5,"$9,370",$-446,-,$229,"$25,148"
2020-06-30,"$2,283","$1,621",-,$201,$8,"$4,113","$1,818",$534,"$17,474",$650,"$21,567","$25,680","$6,118","$10,133","$6,892","$19,641","$25,759",$5,"$9,270",$-608,-,$-79,"$25,680"
2020-03-31,"$1,760","$2,068",-,$213,$8,"$4,049","$1,854",$562,"$17,387",$616,"$21,500","$25,549","$6,516","$10,569","$6,564","$19,053","$25,569",$5,"$9,504",$-739,-,$-20,"$25,549"
2019-12-31,$225,"$2,395",-,$252,$255,"$3,127","$1,904",$577,"$17,689",$595,"$21,924","$25,051","$6,677","$9,963","$5,696","$17,671","$24,348",$5,"$9,644",$-361,-,$703,"$25,051"
2019-09-30,$276,"$2,394",-,$230,-,"$2,900","$1,960",$580,"$17,540",$599,"$21,912","$24,812","$5,738","$10,552","$5,726","$18,236","$23,974",$5,"$9,522",$-504,-,$838,"$24,812"
2019-06-30,$284,"$2,328",-,$257,-,"$2,869","$1,945",$580,"$17,681",$573,"$22,024","$24,893","$5,624","$10,185","$5,824","$18,029","$23,653",$5,"$9,292",$-326,-,"$1,240","$24,893"
2019-03-31,$258,"$2,218",-,$259,-,"$2,735","$1,961",$584,"$17,655",$537,"$22,011","$24,746","$5,848","$10,025","$5,197","$17,295","$23,143",$5,"$9,219",$-360,-,"$1,603","$24,746"
2018-12-31,$316,"$2,133",-,$249,$8,"$2,706","$1,956",$732,"$17,419",$587,"$20,990","$23,696","$6,437","$8,514","$5,304","$15,034","$21,471",$5,"$8,982",$-391,-,"$2,225","$23,696"
2018-09-30,$373,"$2,175",-,$242,$13,"$2,803","$1,967",$689,"$17,470",$611,"$21,030","$23,833","$6,051","$8,710","$5,565","$15,458","$21,509",$5,"$8,705",$-309,-,"$2,324","$23,833"
2018-06-30,$366,"$2,174",-,$264,$13,"$2,817","$1,958",$638,"$17,543",$596,"$21,027","$23,844","$5,904","$8,375","$5,512","$15,099","$21,003",$5,"$8,363",$-244,-,"$2,841","$23,844"
2018-03-31,$701,"$2,098",-,$232,$121,"$3,152","$1,791",$754,"$17,864",$604,"$21,332","$24,484","$6,469","$7,858","$5,312","$14,449","$20,918",$5,"$7,898",$141,-,"$3,566","$24,484"
2017-12-31,$383,"$1,973",-,$235,$149,"$2,740","$1,793",$734,"$17,751",$593,"$21,106","$23,846","$5,807","$7,840","$5,429","$14,457","$20,264",$5,"$7,242",$-17,-,"$3,582","$23,846"
2017-09-30,$508,"$1,914",-,$225,$297,"$2,944","$1,894",$720,"$17,940",$400,"$21,292","$24,236","$5,608","$8,271","$4,918","$14,116","$19,724",$5,"$7,310",$-49,-,"$4,512","$24,236"
2017-06-30,$498,"$1,804",-,$243,$285,"$2,830","$2,102",$762,"$17,351",$442,"$21,051","$23,881","$5,363","$7,911","$4,712","$13,617","$18,980",$5,"$7,040",$-156,-,"$4,901","$23,881"
2017-03-31,$738,"$1,752",-,$231,$400,"$3,121","$2,109",$745,"$17,125",$439,"$20,804","$23,925","$5,223","$8,161","$4,482","$13,534","$18,757",$5,"$6,750",$-312,-,"$5,168","$23,925"
2016-12-31,$858,"$1,695",-,$230,$588,"$3,371","$2,335",$728,"$16,868",$477,"$20,769","$24,140","$5,147","$8,197","$4,419","$13,636","$18,783",$5,"$6,501",$-497,-,"$5,357","$24,140"
2016-09-30,"$1,078","$1,705",-,$168,$836,"$3,787","$2,411",$830,"$17,223",$419,"$21,215","$25,002","$5,229","$8,506","$4,118","$13,932","$19,161",$5,"$6,375",$-169,-,"$5,841","$25,002"
