,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,449.1","$2,110.3",$51.1,$632.7,-,"$6,243.2","$24,958.2","$1,297.2","$2,773.1","$3,527.4","$46,383.6","$52,626.8","$6,181.2","$35,196.8","$3,024.8","$54,270.5","$60,451.7",$16.6,"$53,908.1","$-2,586.8",-,"$-7,824.9","$52,626.8"
2020-09-30,"$3,683.8","$2,391.8",$44.2,$616.3,-,"$6,736.1","$24,218.3","$1,283.3","$2,715.8","$2,469.6","$43,963.2","$50,699.3","$6,280.2","$35,143.4","$2,908.8","$52,891.2","$59,171.4",$16.6,"$53,492.5","$-2,758.8",-,"$-8,472.1","$50,699.3"
2020-06-30,"$3,255.7","$2,852.6",$42.6,$458.5,-,"$6,609.4","$23,830","$1,278.1","$2,671.9","$2,547.2","$43,329.5","$49,938.9","$7,246.1","$34,675.6","$2,788","$52,155.9","$59,402",$16.6,"$52,660.8","$-2,806.3",-,"$-9,463.1","$49,938.9"
2020-03-31,"$5,379.8","$1,695.3",$39.1,$442.7,-,"$7,556.9","$23,595.9","$1,276.8","$2,627.4","$2,481.4","$43,011.1","$50,568","$3,987.8","$38,046.6","$3,052","$55,873.6","$59,861.4",$16.6,"$53,106.7","$-2,996.4",-,"$-9,293.4","$50,568"
2019-12-31,$898.5,"$2,224.2",$50.2,$385,-,"$3,557.9","$24,160","$1,270.3","$2,677.4","$2,584","$43,952.9","$47,510.8","$3,621","$34,118.1","$3,245.5","$52,100.11","$55,721.1",$16.6,"$52,930.5","$-2,482.7",-,"$-8,210.3","$47,510.8"
2019-09-30,"$1,177.3","$2,005.3",$42.6,$379.7,-,"$3,604.9","$23,325.3","$1,245.4","$2,541.8","$2,622","$42,200.1","$45,805","$4,275.6","$32,850.1","$3,196.1","$50,128.61","$54,404.2",$16.6,"$51,359.5","$-2,663.1",-,"$-8,599.2","$45,805"
2019-06-30,"$1,134.5","$2,055",$44.2,$681.7,-,"$3,915.4","$23,504.2","$1,227.3","$2,580.5","$2,449.601","$42,284.4","$46,199.8","$3,240","$32,654.3","$3,221","$49,768.6","$53,008.6",$16.6,"$51,562.5","$-2,496.6",-,"$-6,808.8","$46,199.8"
2019-03-31,"$2,289.1","$1,992.7",$40.8,$641.8,-,"$4,964.4","$23,283.5","$1,190.2","$2,317.8","$2,385.5","$41,502.2","$46,466.6","$3,379.6","$32,892","$3,155.6","$49,637.9","$53,017.5",$16.6,"$50,928.6","$-2,520.1",-,"$-6,550.9","$46,466.6"
2018-12-31,$866,"$2,441.5",$51.1,$694.6,-,"$4,053.2","$22,842.7","$1,202.8","$2,331.5","$2,381","$28,758","$32,811.2","$2,973.5","$31,075.3","$3,177.5","$36,096.1","$39,069.6",$16.6,"$50,487","$-2,609.5",-,"$-6,258.4","$32,811.2"
2018-09-30,"$2,574.5","$2,266.8",$41.9,$669.9,-,"$5,553.1","$22,613.6","$1,135.5","$2,345","$2,406.5","$28,500.6","$34,053.7","$3,626.7","$31,895.2","$3,505.6","$37,219.6","$40,846.3",$16.6,"$49,076.2","$-2,508.3",-,"$-6,792.6","$34,053.7"
2018-06-30,"$1,623.5","$2,217.2",$49.6,$465.3,-,"$4,355.6","$22,361.2","$1,127.6","$2,347.2","$2,516.8","$28,352.8","$32,708.4","$2,970.3","$30,687.7","$3,121.6","$35,589.1","$38,559.4",$16.6,"$49,106.7","$-2,435",-,"$-5,851","$32,708.4"
2018-03-31,"$2,468","$1,951.6",$53.8,$435.9,-,"$4,909.3","$22,704","$1,147.4","$2,404.8","$2,557.4","$28,813.6","$33,722.9","$2,821.4","$30,869.5","$3,163.5","$35,620.3","$38,441.7",$16.6,"$48,396.5","$-2,146.5",-,"$-4,718.8","$33,722.9"
2017-12-31,"$2,463.8","$1,976.2",$58.8,$828.4,-,"$5,327.2","$22,448.3","$1,085.7","$2,379.7","$2,562.8","$28,476.5","$33,803.7","$2,890.6","$29,536.4","$3,525.3","$34,181.1","$37,071.7",$16.6,"$48,325.8","$-2,178.4",-,"$-3,268","$33,803.7"
2017-09-30,"$2,671.2","$1,569",$54.2,$495.9,-,"$4,790.3","$21,978.6",$999.8,"$2,373.3","$2,417.6","$27,769.3","$32,559.6","$3,740.2","$28,402.6","$2,292.3","$32,297","$36,037.2",$16.6,"$47,631.5","$-2,236.7",-,"$-3,477.6","$32,559.6"
