,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$3,577","$18,877","$19,211",$688,$15,"$42,368","$2,518",-,"$12,491","$2,513","$19,477","$61,845","$41,930","$14,534","$1,846","$20,192","$62,122",$2,"$7,595","$-1,503",-,$-277,"$61,845"
2020-09-30,"$3,091","$19,285","$18,435",$701,$833,"$42,345","$2,471",-,"$12,444","$2,403","$19,213","$61,558","$42,724","$5,848","$1,669","$12,744","$55,468",$2,"$13,890","$-1,597",-,"$6,090","$61,558"
2020-06-30,"$2,613","$17,768","$16,607",$850,$844,"$38,682","$2,392",-,"$12,509","$2,226","$18,984","$57,666","$38,600","$6,395","$1,703","$13,413","$52,013",$2,"$13,384","$-1,735",-,"$5,653","$57,666"
2020-03-31,"$4,015","$19,950","$16,734",$617,$906,"$42,222","$2,365",-,"$12,516","$2,258","$19,025","$61,247","$42,624","$6,335","$1,662","$13,314","$55,938",$2,"$13,022","$-1,703",-,"$5,309","$61,247"
2019-12-31,"$2,065","$18,831","$17,020",$618,$856,"$39,390","$2,408","$2,143","$12,820","$2,099","$21,483","$60,873","$40,055","$6,734","$1,836","$14,433","$54,488",$3,"$12,075","$-1,663",$-2,"$6,385","$60,873"
2019-09-30,"$1,356","$18,984","$16,356",$657,-,"$37,353","$2,493","$2,167","$12,897","$2,082","$21,641","$58,994","$37,145","$7,342","$1,950","$15,157","$52,302",$3,"$11,965","$-1,704",$-2,"$6,692","$58,994"
2019-06-30,"$1,947","$19,287","$16,604",$590,-,"$38,428","$2,466","$3,617","$13,041","$2,097","$23,252","$61,680","$37,952","$7,382","$2,016","$15,660","$53,612",$3,"$12,770","$-1,778",$-1,"$8,068","$61,680"
2019-03-31,"$2,981","$18,246","$16,709",$529,-,"$38,465","$2,548","$3,513","$13,047","$2,099","$21,207","$59,672","$37,626","$7,265","$2,103","$13,759","$51,385",$3,"$12,409","$-1,849",$-2,"$8,287","$59,672"
2018-12-31,"$1,849","$18,932","$16,951",$587,-,"$38,319","$2,503","$3,566","$14,439","$2,184","$22,692","$61,011","$37,424","$7,616","$2,195","$14,198","$51,622",$3,"$13,276","$-1,826",$-2,"$9,389","$61,011"
2018-09-30,"$2,118","$19,213","$16,671",$542,-,"$38,544","$2,488","$3,609","$14,755","$2,025","$22,877","$61,421","$38,863","$6,568","$2,197","$13,024","$51,887",$3,"$13,354","$-1,762",$-2,"$9,534","$61,421"
2018-06-30,"$2,199","$19,093","$16,364",$558,-,"$38,214","$2,483","$3,672","$14,843","$2,070","$23,068","$61,282","$38,348","$6,592","$2,448","$13,287","$51,635",$3,"$12,932","$-1,801",$-1,"$9,647","$61,282"
2018-03-31,"$2,672","$17,711","$16,310",$443,-,"$37,136","$2,464","$3,728","$15,026","$2,027","$23,245","$60,381","$36,685","$6,751","$2,625","$13,639","$50,324",$3,"$12,986","$-1,717",$-1,"$10,057","$60,381"
2017-12-31,"$2,619","$20,015","$17,103",$458,-,"$40,195","$2,401","$3,704","$15,922","$1,991","$24,018","$64,213","$37,652","$7,514","$2,807","$14,589","$52,241",$3,"$14,202","$-1,726",$-1,"$11,972","$64,213"
2017-09-30,"$2,563","$19,627","$16,885",$719,-,"$39,794","$2,348","$3,795","$15,938","$1,971","$24,052","$63,846","$37,765","$7,490","$2,082","$14,719","$52,484",$3,"$13,370","$-1,710",$-3,"$11,362","$63,846"
2017-06-30,"$2,339","$19,132","$15,498",$728,-,"$37,697","$2,349","$3,855","$15,988","$1,927","$24,119","$61,816","$35,799","$7,424","$1,938","$14,504","$50,303",$3,"$13,442","$-1,936",$-4,"$11,513","$61,816"
2017-03-31,"$2,783","$18,215","$15,278",$672,-,"$36,948","$2,292","$4,063","$14,251","$3,415","$24,021","$60,969","$35,612","$7,305","$1,774","$14,084","$49,696",$3,"$13,189","$-2,141",$-2,"$11,273","$60,969"
2016-12-31,"$2,434","$18,198","$16,121",$513,"$2,002","$39,268","$2,411",-,"$14,195","$2,000","$18,606","$57,874","$38,174","$5,969","$1,684","$11,848","$50,022",$3,"$9,663","$-2,228",$-3,"$7,852","$57,874"
2016-09-30,"$5,464","$18,308","$15,273",$526,"$1,767","$41,338","$2,300",-,"$12,754","$1,923","$16,977","$58,315","$37,051","$5,941","$1,727","$11,641","$48,692",$3,"$9,088","$-1,854",$-3,"$9,623","$58,315"
2016-06-30,"$4,659","$18,334","$15,500",$545,-,"$39,038","$2,430",-,"$14,270","$2,166","$18,866","$57,904","$36,574","$5,942","$1,768","$11,839","$48,413",$3,"$8,843","$-1,739",$-3,"$9,491","$57,904"
2016-03-31,"$4,048","$17,980","$15,335","$1,072",-,"$38,435","$2,278",-,"$12,807","$3,003","$18,088","$56,523","$35,069","$6,497","$1,809","$12,446","$47,515",$3,"$8,360","$-1,561",$-2,"$9,008","$56,523"
2015-12-31,"$3,406","$17,402","$16,411","$1,042",-,"$38,261","$2,112",-,"$12,804","$1,910","$16,826","$55,087","$34,479","$7,715","$2,555","$11,648","$46,127",$3,"$7,995","$-1,845",$-2,"$8,960","$55,087"
2015-09-30,"$5,359","$16,798","$15,587","$1,005",-,"$38,749","$2,108",-,"$13,065","$1,897","$17,070","$55,819","$34,775","$8,136","$2,625","$12,171","$46,946",$4,"$13,780","$-1,644",$-3,"$8,873","$55,819"
2015-06-30,"$5,635","$16,684","$14,932","$1,320",-,"$38,571","$2,100",-,"$13,375","$1,879","$17,354","$55,925","$34,673","$8,142","$2,741","$12,313","$46,986",$4,"$13,227","$-1,434",$-4,"$8,939","$55,925"
2015-03-31,"$5,341","$15,914","$14,296","$1,119",-,"$36,670","$2,045",-,"$13,258","$1,897","$17,200","$53,870","$33,497","$8,180","$1,863","$12,288","$45,785",$4,"$12,705","$-1,713",$-7,"$8,085","$53,870"
2014-12-31,"$4,587","$16,581","$15,378",$595,-,"$37,141","$2,156",-,"$13,820","$1,993","$17,969","$55,110","$32,778","$8,981","$2,734","$13,176","$45,954",$4,"$12,628",$-804,$-7,"$9,156","$55,110"
2014-09-30,"$3,804","$15,391","$14,063",$621,-,"$33,879","$2,174",-,"$14,194","$1,985","$18,353","$52,232","$29,337","$9,620","$2,749","$12,369","$41,706",$4,"$12,211",$-425,$-7,"$10,526","$52,232"
2014-06-30,"$4,105","$14,920","$14,124",$824,-,"$33,973","$2,209",-,"$14,821","$2,003","$19,033","$53,006","$29,245","$10,141","$2,855","$12,996","$42,241",$4,"$11,800",$107,$-7,"$10,765","$53,006"
2014-03-31,"$4,193","$13,780","$12,986","$1,877",-,"$32,836","$2,196",-,"$14,798","$1,929","$18,923","$51,759","$29,615","$8,929","$2,897","$11,826","$41,441",$4,"$11,453",$-3,$23,"$10,318","$51,759"
2013-12-31,"$2,431","$10,750","$11,462",$591,-,"$25,234","$1,359",-,"$8,366","$1,520","$11,245","$36,479","$21,904","$4,521","$2,027","$6,548","$28,452",$4,"$11,138",$-68,$16,"$8,027","$36,479"
2013-09-30,"$2,960","$10,321","$10,484",$780,-,"$24,545","$1,348",-,"$8,473","$1,581","$11,402","$35,947","$21,379","$4,521","$2,058","$6,579","$27,958",$4,"$11,130",$-16,$19,"$7,989","$35,947"
2013-06-30,"$2,905","$10,013","$10,332",$817,-,"$24,067","$1,333",-,"$8,458","$1,633","$11,424","$35,491","$21,481","$4,522","$2,080","$6,602","$28,083",$4,"$10,780",$-118,$17,"$7,408","$35,491"
2013-03-31,"$2,456","$9,975","$10,335",$404,-,"$23,170","$1,321",-,"$8,675","$1,620","$11,616","$34,786","$21,357","$4,521","$1,838","$6,359","$27,716",$4,"$10,402",$-65,$14,"$7,070","$34,786"
2012-12-31,"$2,726","$9,962","$10,390",$361,-,"$23,439","$1,247",-,"$7,109","$1,638","$9,994","$33,433","$20,208","$3,973","$1,603","$5,576","$25,784",$4,"$10,384",$35,$14,"$7,649","$33,433"
2012-09-30,"$2,831","$9,823","$10,070",$367,-,"$23,091","$1,223",-,"$6,827","$1,827","$9,877","$32,968","$20,750","$3,073","$1,430","$4,503","$25,253",$4,"$10,135",$46,$15,"$7,715","$32,968"
2012-06-30,"$2,013","$9,564","$10,059",$418,-,"$22,054","$1,221",-,"$6,703","$1,770","$9,694","$31,748","$20,097","$3,072","$1,376","$4,448","$24,545",$4,"$9,783",$-30,$12,"$7,203","$31,748"
2012-03-31,"$3,149","$9,977","$10,073",$404,-,"$23,603","$1,043",-,"$6,782","$1,665","$9,490","$33,093","$21,686","$3,072","$1,504","$4,576","$26,262",$4,"$9,451",$5,$4,"$6,831","$33,093"
2011-12-31,"$4,191","$9,673","$10,376",$329,-,"$24,569","$1,015",-,"$5,838","$1,735","$8,588","$33,157","$20,715","$3,578","$1,408","$4,986","$25,701",$4,"$8,981",$2,$6,"$7,456","$33,157"
2011-09-30,"$3,943","$9,525","$9,426",$368,-,"$23,262","$1,006",-,"$5,870","$1,769","$8,645","$31,907","$19,845","$3,578","$1,368","$4,946","$24,791",$4,"$8,731",$-21,$7,"$7,116","$31,907"
