,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$5,101.637",$559.917,$88.323,$200.782,-,"$5,950.659","$14,632.09","$1,447.043","$5,735.026",$443.421,"$30,544.28","$36,494.93","$1,856.583","$12,376.68",$472.084,"$23,458.44","$25,315.03",$4.943,"$3,091.007",$-30.677,-,"$11,179.91","$36,494.93"
2020-09-30,"$4,593.872","$1,249.79",$97.316,$245.303,-,"$6,186.281","$14,792.38","$1,473.955","$5,789.318",$432.313,"$30,818.5","$37,004.77","$2,766.784","$11,414.73",$518.057,"$22,535.33","$25,302.11",$4.933,"$3,539.848",$-39.37,-,"$11,702.66","$37,004.77"
2020-06-30,"$4,835.505","$1,204.572",$106.791,$223.9,-,"$6,370.768","$14,977.41","$1,468.495","$5,838.431",$436.575,"$31,100.52","$37,471.29","$2,575.128","$11,339.56",$529.542,"$22,547.38","$25,122.51",$4.933,"$4,075.812",$-39.03,-,"$12,348.78","$37,471.29"
2020-03-31,"$6,016.417","$1,234.285",$106.327,$240.9,-,"$7,597.929","$15,172.96","$1,596.17","$5,887.445",$438.749,"$31,520.98","$39,118.91","$2,626.247","$11,743.35",$564.608,"$23,160.65","$25,786.9",$4.932,"$4,934.302",$-39.774,-,"$13,332","$39,118.91"
2019-12-31,"$2,329.604","$1,374.884",$102.888,$200.317,-,"$4,007.693","$18,285.96",$822.366,"$5,911.068",$456.793,"$29,868.66","$33,876.36","$3,191.423","$11,168.9",$363.588,"$18,022.01","$21,213.44",$5.031,"$4,201.337",$-10.202,-,"$12,662.92","$33,876.36"
2019-09-30,"$1,233.569","$1,309.222",$104.206,$233.749,-,"$2,880.746","$20,603.98",$758.992,"$5,942.967",$331.198,"$28,288.13","$31,168.87","$3,293.244","$14,943.87",$250.368,"$17,355.01","$20,648.26",$5.139,"$2,255.885",$-46.841,-,"$10,520.62","$31,168.87"
2019-06-30,"$1,160.591",$583.766,$106.707,$188.97,-,"$2,040.034","$21,054.34",$746.733,"$6,003.588",$304.206,"$28,773.68","$30,813.71","$2,786.539","$14,661.7",$228.451,"$17,072.46","$19,858.99",$5.263,"$2,359.966",$-26.33,-,"$10,954.72","$30,813.71"
2019-03-31,"$1,223.404",$621.138,$111.302,$251.291,-,"$2,207.135","$21,196.44",$730.996,"$6,048.402",$322.038,"$28,939.79","$31,146.92","$2,812.678","$14,730.83",$208.329,"$17,116.38","$19,929.06",$5.372,"$2,384.977",$-24.608,-,"$11,217.87","$31,146.92"
2018-12-31,"$1,526.762",$685.637,$110.831,$203.548,-,"$2,526.778","$20,729.89",$732.867,"$5,765.855",$455.318,"$27,683.93","$30,210.71","$2,948.882","$15,088",$259.24,"$16,792.03","$19,740.91",$5.275,"$2,423.479",$-8.556,-,"$10,469.79","$30,210.71"
2018-09-30,"$1,302.677",$566.198,$104.438,$234.711,-,"$2,208.024","$20,733.38",$666.21,"$5,813.972",$551.928,"$27,765.49","$29,973.52","$2,977.59","$14,663.97",$251.399,"$16,249.75","$19,227.34",$5.319,"$2,510.103",$6.234,-,"$10,746.18","$29,973.52"
2018-06-30,"$1,272.872",$520.474,$109.13,$180.64,-,"$2,083.116","$19,863.08",$882.94,"$5,577.804",$570.222,"$26,894.04","$28,977.16","$3,064.793","$13,513.34",$245.72,"$15,072.43","$18,137.22",$5.379,"$2,431.186",$-3.237,-,"$10,839.94","$28,977.16"
2018-03-31,"$1,525.402",$547.244,$107.309,$212.758,-,"$2,392.713","$19,711.83","$1,050.795","$5,619.955",$522.978,"$26,905.56","$29,298.27","$3,586.888","$12,742.86",$282.879,"$14,311.01","$17,897.9",$5.568,"$2,372.744",$-7.48,-,"$11,400.37","$29,298.27"
2017-12-31,"$1,499.995",$584.824,$102.292,$189.244,-,"$2,376.355","$19,635.46","$1,033.297","$5,684.491",$430.44,"$26,783.69","$29,160.04","$3,138.297","$12,751.05",$284.416,"$14,410.62","$17,548.92",$5.663,"$2,217.299",$-3.61,-,"$11,611.12","$29,160.04"
2017-09-30,"$1,986.688",$515.423,$101.242,$191.183,-,"$2,794.536","$19,134.75","$1,007.584","$5,731.575",$433.447,"$26,307.35","$29,101.89","$2,735.76","$13,026.93",$286.262,"$16,041.39","$18,777.15",$5.655,$922.657,$-9.84,-,"$10,324.74","$29,101.89"
2017-06-30,"$1,757.062",$476.488,$103.119,$148.462,-,"$2,485.131","$18,896.91",$980.885,"$5,779.818",$400.185,"$26,057.8","$28,542.93","$2,679.568","$12,725.27",$289.63,"$15,632.37","$18,311.93",$5.75,$836.84,$-9.148,-,"$10,231","$28,542.93"
2017-03-31,"$1,395.444",$493.765,$100.502,$183.007,-,"$2,172.718","$18,619.67","$1,252.432","$5,847.784",$410.492,"$26,130.38","$28,303.09","$2,124.764","$13,099.19",$340.906,"$16,037.61","$18,162.37",$5.745,$689.476,$7.217,-,"$10,140.72","$28,303.09"
2016-12-31,"$1,446.581",$542.924,$97.733,$142.349,-,"$2,229.587","$18,425.02","$1,220.443","$5,904.825",$393.423,"$25,943.72","$28,173.3","$2,293.421","$12,979.22",$325.981,"$15,910.57","$18,203.99",$5.741,$545.811,$15.053,-,"$9,969.312","$28,173.3"
2016-09-30,"$1,446.158",$492.904,$97.4,$177.886,-,"$2,214.348","$17,948.04","$1,196.543","$5,952.684",$393.666,"$25,490.94","$27,705.29","$2,130.635","$12,786.42",$320.707,"$15,657.19","$17,787.83",$5.728,$521.142,$12.801,-,"$9,917.459","$27,705.29"
2016-06-30,"$2,503.255",$455.097,$97.8,$137.635,-,"$3,193.787","$16,102.86","$1,364.163","$5,501.596",$386.653,"$23,355.27","$26,549.05","$1,917.779","$12,364.92",$141.906,"$15,104.39","$17,022.17",$5.656,$-14.477,$10.809,-,"$9,526.883","$26,549.05"
2016-03-31,"$1,664.905",$461.899,$97.584,$177.256,-,"$2,401.644","$15,692.73","$1,478.501","$5,546.451",$377.963,"$23,095.65","$25,497.29","$2,088.311","$12,686.38",$163.392,"$15,543.97","$17,632.28",$5.651,$-488.83,$11.622,-,"$7,865.01","$25,497.29"
2015-12-31,"$1,670.312",$496.552,$104.2,$137.685,-,"$2,408.749","$15,371.79","$1,491.497","$5,595.548",$347.589,"$22,806.43","$25,215.18","$2,237.951","$12,368.31",$157.663,"$15,212.8","$17,450.75",$5.648,$-555.629,$14.022,-,"$7,764.427","$25,215.18"
2015-09-30,"$1,807.795",$486.896,$100.533,$187.05,-,"$2,582.274","$15,014.64","$1,536.531","$7,111.656",$435.163,"$24,097.99","$26,680.27","$1,952.855","$12,821.04",$165.358,"$15,487.69","$17,440.54",$5.632,$225.825,$14.447,-,"$9,239.722","$26,680.27"
2015-06-30,"$2,542.545",$480.907,$106.914,$136.656,-,"$3,267.022","$14,791.56","$1,491.052","$7,154.792",$445.163,"$23,882.56","$27,149.59","$2,790.795","$12,495.21",$156.117,"$15,181.96","$17,972.76",$5.631,$159.4,$13.891,-,"$9,176.83","$27,149.59"
2015-03-31,"$2,195.535",$469.476,$103.286,$188.31,-,"$2,956.607","$14,561.95","$1,661.444","$7,207.333",$411.112,"$23,841.84","$26,798.45","$1,895.761","$14,551.81",$150.691,"$17,249.65","$19,145.41",$4.913,$61.941,$13.58,-,"$7,653.035","$26,798.45"
2014-12-31,"$2,283.715",$488.02,$104.011,$151.414,-,"$3,027.16","$14,441.54","$1,559.034","$7,261.966",$304.212,"$23,566.76","$26,593.91","$3,407.925","$12,805.29",$130.57,"$15,557.72","$18,965.64",$4.913,$-107.909,$12.991,-,"$7,628.274","$26,593.91"
2014-09-30,"$1,313.427",$433.853,$99.274,$144.503,-,"$1,991.057","$14,253.7","$1,555.353","$7,225.235",$423.138,"$23,457.43","$25,448.49","$3,369.314","$11,723.66",$117.71,"$14,180.54","$17,549.85",$4.909,$234.354,$8.388,-,"$7,898.636","$25,448.49"
2014-06-30,"$1,365.137",$473.922,$102.524,$224.732,-,"$2,166.315","$14,113.72","$1,420.924","$7,295.297",$576.045,"$23,405.99","$25,572.3","$2,560.316","$12,606.52",$106.941,"$15,070.46","$17,630.78",$4.907,$270.796,$15.235,-,"$7,941.528","$25,572.3"
2014-03-31,"$1,114.736",$492.535,$101.553,$261.806,-,"$1,970.63","$14,034.08","$1,416.664","$7,348.038",$581.302,"$23,380.08","$25,350.71","$2,159.564","$12,930.73",$132.249,"$15,368.3","$17,527.86",$4.906,$165.252,$12.236,-,"$7,822.846","$25,350.71"
2013-12-31,"$1,803.669",$488.217,$107.907,$238.657,-,"$2,719.439","$14,055.21","$1,469.261","$7,409.303",$431.395,"$23,365.17","$26,084.61","$2,215.328","$13,447.23",$141.59,"$16,008.79","$18,224.12",$4.904,$41.964,$12.503,-,"$7,860.495","$26,084.61"
2013-09-30,"$1,375.403",$411.077,$98.33,$272.809,-,"$2,284.015","$13,969.29","$1,416.462","$7,449.173",$539.892,"$23,374.82","$25,658.84","$2,161.47","$13,034.52",$157.613,"$15,670.19","$17,831.67",$4.898,$95.427,$11.619,-,"$7,827.171","$25,658.84"
2013-06-30,"$1,278.673",$440.326,$101.11,$248.615,-,"$2,210.24","$14,042.31","$1,408.139","$7,509.631",$551.818,"$23,511.9","$25,722.14","$2,098.146","$13,111.96",$149.864,"$15,766.83","$17,864.97",$4.896,$127.286,$11.308,-,"$7,857.166","$25,722.14"
2013-03-31,"$1,480.637",$475.581,$105.047,$258.784,-,"$2,439.245","$14,117.78","$1,435.136","$7,564.746",$500.969,"$23,618.63","$26,057.87","$1,870.988","$13,690.7",$140.75,"$16,307.83","$18,178.82",$4.894,$220.244,$7.982,-,"$7,879.053","$26,057.87"
2012-12-31,"$1,543.509",$443.677,$107.577,$232.898,-,"$2,507.092","$14,194.65","$1,444.547","$7,640.68",$497.767,"$23,777.65","$26,284.74","$1,925.671","$13,589.28",$179.879,"$16,243.05","$18,168.72",$4.892,$213.698,$14.303,-,"$8,116.016","$26,284.74"
2012-09-30,"$2,443.159",$412.39,$107.772,$243.665,-,"$3,347.817","$14,765.35","$1,488.662","$7,714.456",$515.077,"$24,483.54","$27,831.36","$2,025.854","$13,825.45",$186.725,"$16,540","$18,565.86",$4.89,"$1,437.525",$12.533,-,"$9,265.503","$27,831.36"
2012-06-30,"$1,731.921",$478.588,$113.316,$231.458,-,"$2,677.417","$14,783.18","$1,498.864","$7,789.548",$514.002,"$24,585.59","$27,263.01","$1,929.384","$13,225.32",$182.258,"$15,921.42","$17,850.8",$4.889,"$1,618.684",$11.046,-,"$9,412.207","$27,263.01"
2012-03-31,"$1,634.892",$477.484,$110.674,$270.692,-,"$2,593.677","$14,786.82","$1,589.915","$7,862.636",$557.98,"$24,797.35","$27,391.03","$1,892.387","$13,359.95",$176.028,"$16,007.41","$17,899.79",$4.889,"$1,764.136",$6.837,-,"$9,491.235","$27,391.03"
2011-12-31,"$1,865.913",$491.73,$112.735,$251.282,-,"$2,812.72","$14,866.64","$1,635.572","$7,944.726",$506.614,"$24,953.55","$27,766.28","$1,744.764","$13,470.17",$167.027,"$16,139.29","$17,884.05",$4.888,"$1,981.389",$5.978,-,"$9,882.222","$27,766.28"
2011-09-30,"$1,815.125",$463.407,$104.279,$259.538,-,"$2,721.807","$14,868.39","$1,659.719","$8,026.04",$577.063,"$25,131.21","$27,853.02","$2,015.347","$13,099.07",$193.578,"$15,896.07","$17,911.42",$4.886,"$2,161.463",$-3.276,-,"$9,941.606","$27,853.02"
2011-06-30,$921.553,$370.075,$105.318,$245.29,-,"$1,793.28","$15,017.91","$1,690.136","$8,116.621",$598.248,"$25,422.91","$27,216.19","$1,585.025","$12,630.29",$219.484,"$15,585.89","$17,170.92",$4.886,"$2,285.249",$-1.52,-,"$10,045.27","$27,216.19"
2011-03-31,$431.275,$491.425,$95.097,$264.047,-,"$1,366.411","$14,426.62","$1,941.786",$428.979,$596.551,"$17,393.94","$18,760.35","$1,172.44","$12,081.11",$215.764,"$14,668.75","$15,841.19",$4.886,"$-1,156.736",$2.261,-,"$2,919.162","$18,760.35"
2010-12-31,$498.964,$497.876,$96.392,$252.321,-,"$1,455.645","$14,554.35","$1,923.155",$419.96,$598.738,"$17,496.2","$18,951.85","$1,246.221","$12,047.7",$199.248,"$14,773.46","$16,019.69",$4.885,"$-1,133.248",$-0.301,-,"$2,932.162","$18,951.85"
2010-09-30,$552.757,$504.387,$93.479,$115.497,-,"$1,288.801","$14,697.19","$2,115.76",$429.348,$605.271,"$17,847.57","$19,136.37","$1,318.957","$12,623.85",$252.209,"$15,277.04","$16,596",$4.413,$-927.676,$-1.619,-,"$2,540.371","$19,136.37"
2010-06-30,"$1,013.208",$557.505,$96.805,$89.537,-,"$1,791.956","$14,814.59","$2,118.498",$429.545,$832.954,"$18,195.59","$19,987.55","$1,194.987","$13,046.64",$243.293,"$15,943.4","$17,138.39",$4.413,$-609.685,$-2.77,-,"$2,849.158","$19,987.55"
