,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$5,038","$4,705","$4,239",$675,$325,"$14,982","$9,421",-,"$19,637","$2,440","$32,362","$47,344","$7,948","$17,989","$3,462","$26,465","$34,413",$9,"$43,761","$-7,661",-,"$12,931","$47,344"
2020-09-30,"$4,561","$4,623","$3,984",$516,$426,"$14,110","$9,216",-,"$19,461","$1,759","$31,280","$45,390","$7,410","$18,429","$3,324","$26,037","$33,447",$9,"$43,285","$-7,960",-,"$11,943","$45,390"
2020-06-30,"$4,466","$4,459","$4,168",$567,$446,"$14,106","$9,089",-,"$19,393","$1,651","$30,973","$45,079","$7,282","$19,276","$3,275","$26,882","$34,164",$9,"$42,759","$-8,286",-,"$10,915","$45,079"
2020-03-31,"$4,477","$4,821","$4,217",$604,$971,"$15,090","$9,165",-,"$19,503","$1,605","$31,122","$46,212","$9,134","$19,247","$3,225","$26,869","$36,003",$9,"$42,345","$-8,414",-,"$10,209","$46,212"
2019-12-31,"$2,451","$4,791","$4,134",$704,$891,"$12,971","$9,333",-,"$19,823","$1,674","$31,688","$44,659","$9,222","$17,518","$3,275","$25,311","$34,533",$9,"$42,135","$-8,139",-,"$10,126","$44,659"
2019-09-30,"$7,761","$5,020","$4,007",$717,$515,"$18,020","$8,891",-,"$13,257","$1,548","$24,530","$42,550","$7,821","$17,479","$3,235","$23,965","$31,786",$9,"$42,085","$-7,388",-,"$10,764","$42,550"
2019-06-30,"$2,988","$5,374","$4,300",$949,$440,"$14,051","$8,998",-,"$13,538","$1,503","$24,918","$38,969","$7,265","$14,914","$3,268","$21,562","$28,827",$9,"$41,362","$-7,272",-,"$10,142","$38,969"
2019-03-31,"$3,477","$5,173","$4,538",$713,$473,"$14,374","$8,829",-,"$13,658","$1,482","$24,766","$39,140","$7,125","$15,580","$3,228","$22,258","$29,383",$9,"$41,159","$-7,552",-,"$9,757","$39,140"
2018-12-31,"$3,233","$5,020","$4,366",$741,$349,"$13,709","$8,738",-,"$12,708","$1,345","$22,791","$36,500","$7,244","$13,411","$3,010","$19,408","$26,652",$9,"$40,636","$-6,866",-,"$9,848","$36,500"
2018-09-30,"$3,523","$5,329","$4,437",$745,$385,"$14,419","$8,630",-,"$12,849","$1,377","$22,856","$37,275","$7,336","$13,539","$2,906","$19,628","$26,964",$9,"$40,120","$-6,968",-,"$10,311","$37,275"
2018-06-30,"$3,186","$5,383","$4,238",$713,$370,"$13,890","$8,645",-,"$12,894","$1,349","$22,888","$36,778","$8,902","$11,294","$2,900","$17,448","$26,350",$9,"$39,442","$-7,019",-,"$10,428","$36,778"
2018-03-31,"$4,095","$5,252","$4,295",$832,$344,"$14,818","$8,864",-,"$13,455","$1,438","$23,757","$38,575","$8,959","$12,211","$2,985","$18,577","$27,536",$9,"$38,453","$-6,803",-,"$11,039","$38,575"
