,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$2,061.767",$666.012,$333.085,$55.358,-,"$3,140.955",$314.656,$44.291,"$2,390.689",$70.475,"$3,061.761","$6,202.716",$749.988,-,$27.432,$291.868,"$1,041.856",$3.193,"$6,432.074",$3.034,-,"$5,160.86","$6,202.716"
2020-09-30,"$1,674.056",$740.813,$318.956,$75.958,-,"$2,825.847",$304.687,$20.571,"$2,391.18",$70.621,"$2,871.836","$5,697.683",$773.763,-,$26.318,$294.599,"$1,068.362",$3.192,"$5,960.338",$-32.529,-,"$4,629.321","$5,697.683"
2020-06-30,"$1,172.079",$760.433,$340.536,$78.425,-,"$2,371.45",$301.946,$2.077,"$2,387.187",$46.376,"$2,822.363","$5,193.813",$674.865,-,$24.482,$297.408,$972.273,$3.19,"$5,612.684",$-53.438,-,"$4,221.54","$5,193.813"
2020-03-31,$935.349,$670.57,$352.305,$71.865,-,"$2,048.722",$295.57,$13.922,"$2,384.75",$53.756,"$2,832.775","$4,881.497",$701.541,-,$30.617,$309.01,"$1,010.551",$3.186,"$5,301.315",$-62.682,-,"$3,870.946","$4,881.497"
2019-12-31,"$1,331.02",$540.33,$360.731,$54.868,-,"$2,316.309",$298.64,$12.905,"$2,383.748",$53.973,"$2,834.043","$5,150.352",$661.097,-,$30.505,$317.974,$979.071,$3.182,"$5,022.48",$-32.387,-,"$4,171.281","$5,150.352"
2019-09-30,"$1,304.973",$647.983,$317.745,$58.39,-,"$2,360.76",$251.76,$14.37,"$2,379.116",$46.212,"$2,776.606","$5,137.366",$714.216,-,$23.071,$315.172,"$1,029.388",$3.181,"$4,767.526",$-43.083,-,"$4,107.978","$5,137.366"
2019-06-30,"$1,246.235",$688.197,$299.529,$58.477,-,"$2,326.768",$240.165,$7.006,"$2,377.453",$47.792,"$2,757.564","$5,084.332",$705.5,-,$22.871,$321.246,"$1,026.746",$3.18,"$4,468.603",$-28.756,-,"$4,057.586","$5,084.332"
2019-03-31,$882.041,$596.661,$300.78,$63.685,-,"$1,907.3",$241.232,-,"$2,374.482",$47.622,"$2,748.551","$4,655.851",$630.972,-,$22.818,$326.059,$957.031,$3.174,"$4,176.13",$-34.125,-,"$3,698.82","$4,655.851"
2018-12-31,$958.163,$484.562,$277.705,$44.909,-,"$1,804.17",$243.051,-,"$2,377.521",$16.462,"$2,722.721","$4,526.891",$601.145,-,$2.621,$314.845,$915.99,$3.155,"$3,914.645",$-32.864,-,"$3,610.901","$4,526.891"
2018-09-30,"$1,171.612",$620.162,$262.084,$57.599,-,"$2,152.671",$242.854,$1.61,"$2,373.891",$15.08,"$2,718.688","$4,871.359",$656.362,-,$2.723,$321.73,$978.092,$3.154,"$3,675.538",$-29.777,-,"$3,893.267","$4,871.359"
