,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$742,$747,$76,-,$47,"$1,612","$15,638",$447,-,$259,"$16,344","$17,956","$1,213","$5,404",$241,"$6,182","$7,395",$937,"$6,466",$73,-,"$10,561","$17,956"
2020-09-30,"$1,119",$643,$77,-,$83,"$1,922","$16,029",$467,-,$245,"$16,741","$18,663","$1,566","$5,405",$236,"$6,205","$7,771",$937,"$6,828",$57,-,"$10,892","$18,663"
2020-06-30,$522,$620,$77,-,$186,"$1,405","$16,424",$476,-,$262,"$17,162","$18,567","$1,065","$5,503",$242,"$6,327","$7,392",$937,"$7,145",$37,-,"$11,175","$18,567"
2020-03-31,$817,$703,$78,-,$311,"$1,909","$16,903",$628,-,$275,"$17,806","$19,715","$1,442","$5,502",$236,"$6,315","$7,757",$937,"$7,895",$83,-,"$11,958","$19,715"
2019-12-31,$858,"$1,122",$72,-,$83,"$2,135","$17,000",$663,$95,$352,"$18,110","$20,245","$1,745","$5,501",$243,"$6,347","$8,092",$937,"$7,993",$105,-,"$12,153","$20,245"
2019-09-30,"$1,165","$1,148",$71,-,$136,"$2,520","$16,717",$667,$95,$374,"$17,853","$20,373","$2,379","$4,903",$198,"$5,723","$8,102",$937,"$8,053",$112,-,"$12,271","$20,373"
2019-06-30,$961,"$1,144",$72,-,$511,"$2,688","$16,730",$684,$95,"$1,085","$18,594","$21,282","$2,471","$4,902","$1,153","$6,710","$9,181",$937,"$7,928",$50,-,"$12,101","$21,282"
2019-03-31,"$1,019","$1,086",$83,-,$588,"$2,776","$16,714",$719,$97,"$1,104","$18,634","$21,410","$1,858","$5,501","$1,155","$7,344","$9,202",$937,"$7,808",$59,-,"$12,208","$21,410"
2018-12-31,"$1,462","$1,079",$96,-,$284,"$2,921","$16,804",$745,$97,$754,"$18,400","$21,321","$1,832","$5,499","$1,189","$7,361","$9,193",$937,"$7,706",$63,-,"$12,128","$21,321"
2018-09-30,"$1,564","$1,335",$110,-,$56,"$3,065","$16,899",$757,$97,$960,"$18,713","$21,778","$2,142","$5,498","$1,253","$7,592","$9,734",$937,"$7,357",$-21,-,"$12,044","$21,778"
