,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$131,968","$27,312","$1,924",-,"$12,769","$173,973","$51,737","$3,794","$50,774","$13,561","$130,164","$304,137","$67,486","$55,136","$39,245","$106,415","$173,901","$81,896","$44,973","$3,367",-,"$130,236","$304,137"
2020-09-30,"$137,977","$22,851","$2,705",-,"$13,544","$177,077","$47,927","$3,103","$50,813","$13,034","$123,924","$301,001","$70,056","$57,055","$39,729","$107,553","$177,609","$81,089","$39,193","$3,110",-,"$123,392","$301,001"
2020-06-30,"$136,527","$32,011","$1,895",-,"$11,482","$181,915","$44,151","$2,965","$50,389","$13,138","$119,396","$301,311","$72,310","$59,578","$40,064","$110,697","$183,007","$80,552","$34,566","$3,186",-,"$118,304","$301,311"
2020-03-31,"$137,626","$22,699","$1,644",-,"$8,536","$170,505","$41,221","$2,660","$48,919","$13,696","$114,944","$285,449","$58,707","$62,862","$38,561","$112,241","$170,948","$79,813","$32,012","$2,676",-,"$114,501","$285,449"
2019-12-31,"$134,253","$23,525","$1,823",-,"$7,473","$167,074","$40,522","$2,755","$49,374","$14,630","$115,720","$282,794","$59,640","$63,361","$38,412","$113,045","$172,685","$79,625","$30,739",$-255,-,"$110,109","$282,794"
2019-09-30,"$136,636","$19,087","$2,622",-,"$7,551","$165,896","$38,409","$2,684","$49,621","$14,455","$113,059","$278,955","$58,118","$66,478","$37,283","$114,776","$172,894","$78,882","$27,240",$-61,-,"$106,061","$278,955"
2019-06-30,"$133,819","$29,524","$2,063",-,"$10,146","$175,552","$36,477","$2,649","$49,776","$14,723","$111,004","$286,556","$69,420","$66,662","$37,193","$114,806","$184,226","$78,520","$24,150",$-340,-,"$102,330","$286,556"
2019-03-31,"$131,618","$19,269","$1,951",-,"$7,049","$159,887","$33,648","$2,403","$49,964","$10,258","$103,394","$263,281","$53,861","$66,585","$36,277","$114,556","$168,417","$77,791","$18,338","$-1,265",-,"$94,864","$263,281"
2018-12-31,"$127,662","$19,680","$1,961",-,"$7,571","$156,874","$32,717","$2,274","$50,059","$10,129","$101,985","$258,859","$50,318","$69,653","$35,216","$116,413","$166,731","$77,556","$16,585","$-2,013",-,"$92,128","$258,859"
2018-09-30,"$135,880","$17,390","$3,614",-,"$7,311","$164,195","$31,430","$2,034","$43,434","$9,792","$93,424","$257,619","$56,277","$69,733","$34,475","$115,375","$171,652","$71,303","$17,279","$-2,615",-,"$85,967","$257,619"
2018-06-30,"$133,768","$26,481","$2,662",-,"$6,751","$169,662","$29,460","$1,862","$43,736","$7,442","$89,186","$258,848","$58,488","$72,242","$35,476","$117,642","$176,130","$71,223","$13,682","$-2,187",-,"$82,718","$258,848"
2018-03-31,"$132,270","$17,208","$2,084",-,"$5,097","$156,659","$27,929","$2,818","$44,126","$7,106","$88,838","$245,497","$46,133","$73,480","$35,892","$120,125","$166,258","$70,418","$9,974","$-1,153",-,"$79,239","$245,497"
2017-12-31,"$142,780","$18,428","$2,003",-,"$4,422","$167,633","$26,304","$3,961","$44,389","$6,967","$88,370","$256,003","$58,099","$73,348","$34,870","$119,544","$177,643","$70,192","$8,567",$-399,-,"$78,360","$256,003"
2017-09-30,"$138,471","$14,561","$3,211",-,"$4,788","$161,031","$24,809","$5,343","$44,987","$6,083","$88,066","$249,097","$51,615","$76,255","$18,173","$107,835","$159,450","$69,419","$19,702",$526,-,"$89,647","$249,097"
2017-06-30,"$132,981","$22,431","$2,181",-,"$5,103","$162,696","$23,734","$6,023","$45,228","$6,076","$87,616","$250,312","$55,745","$76,073","$17,034","$106,856","$162,601","$69,315","$17,769",$627,-,"$87,711","$250,312"
2017-03-31,"$126,018","$12,882","$1,979",-,"$5,434","$146,313","$21,962","$7,381","$45,215","$4,146","$78,704","$225,017","$52,005","$76,222","$17,381","$103,283","$155,288","$68,554",$531,$644,-,"$69,729","$225,017"
2016-12-31,"$122,781","$14,343","$1,961",-,"$5,864","$144,949","$21,379","$8,912","$45,525","$3,845","$79,661","$224,610","$70,787","$59,306","$15,980","$85,014","$155,801","$68,177",$120,$512,-,"$68,809","$224,610"
2016-09-30,"$136,932","$11,129","$3,122",-,"$6,726","$157,909","$19,224","$10,486","$21,429","$3,476","$54,615","$212,524","$58,810","$60,154","$14,340","$83,342","$142,152","$67,747",$944,"$1,681",-,"$70,372","$212,524"
2016-06-30,"$113,240","$18,277","$2,251",-,"$5,892","$139,660","$18,356","$10,431","$21,605","$3,416","$53,808","$193,468","$59,357","$40,557","$13,640","$62,114","$121,471","$68,178","$2,282","$1,537",-,"$71,997","$193,468"
