,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,805.84",$485.773,$261.476,-,$36.004,"$2,589.093",$541.013,-,$638.706,$114.058,"$1,293.777","$3,882.87",$456.397,$994.741,$505.671,"$1,500.412","$1,956.809",$43.231,"$1,897.098",$-14.268,-,"$1,926.061","$3,882.87"
2020-09-30,"$1,612.111",$449.376,$265.664,-,$29.816,"$2,356.967",$542.421,-,$645.219,$108.92,"$1,296.56","$3,653.527",$446.32,$994.381,$501.807,"$1,496.188","$1,942.508",$12.461,"$1,713.153",$-14.595,-,"$1,711.019","$3,653.527"
2020-06-30,"$1,614.206",$404.778,$259.626,-,$39.219,"$2,317.829",$550.406,-,$650.499,$110.569,"$1,311.474","$3,629.303",$453.334,$994.022,$524.49,"$1,518.512","$1,971.846",$0.266,"$1,671.786",$-14.595,-,"$1,657.457","$3,629.303"
2020-03-31,"$1,685.776",$378.273,$220.686,-,$25.288,"$2,310.023",$564.636,-,$576.893,$97.383,"$1,238.912","$3,548.935",$387.926,$993.663,$547.403,"$1,541.066","$1,928.992",$0.267,"$1,632.325",$-12.649,-,"$1,619.943","$3,548.935"
2019-12-31,"$1,783.2",$348.342,$223.958,-,$23.797,"$2,379.297",$571.359,-,$580.76,$95.413,"$1,247.532","$3,626.829",$360.471,$993.303,$546.546,"$1,539.849","$1,900.32",$0.27,"$1,737.528",$-11.289,-,"$1,726.509","$3,626.829"
2019-09-30,"$1,793.367",$370.316,$235.959,-,$24.982,"$2,424.624",$574.097,-,$584.627,$97.439,"$1,256.163","$3,680.787",$342.516,$992.944,$564.041,"$1,556.985","$1,899.501",$0.271,"$1,793.012",$-11.997,-,"$1,781.286","$3,680.787"
2019-06-30,"$1,898.332",$360.016,$246.512,-,$34.64,"$2,539.5",$577.722,-,$588.493,$38.267,"$1,204.482","$3,743.982",$371.167,$992.584,$534.955,"$1,527.539","$1,898.706",$0.272,"$1,856.358",$-11.354,-,"$1,845.276","$3,743.982"
2019-03-31,"$1,898.427",$381.152,$272.832,-,$24.358,"$2,576.769",$571.955,-,$593.287,$61.843,"$1,227.085","$3,803.854",$398.997,$992.225,$749.885,"$1,742.11","$2,141.107",$0.279,"$1,672.938",$-10.47,-,"$1,662.747","$3,803.854"
2018-12-31,"$1,960.641",$391.419,$278.925,-,$26.933,"$2,657.918",$571.983,-,$599.412,$59.614,"$1,231.009","$3,888.927",$406.48,$991.866,$735.167,"$1,727.033","$2,133.513",$0.279,"$1,766.471",$-11.336,-,"$1,755.414","$3,888.927"
2018-09-30,"$2,563.415",$439.407,$275.374,-,$33.329,"$3,311.525",$573.014,-,$607.036,$56.977,"$1,237.027","$4,548.552",$928.277,$991.506,$716.446,"$1,707.952","$2,636.229",$0.279,"$1,924.764",$-12.72,-,"$1,912.323","$4,548.552"
2018-06-30,"$2,626.399",$280.072,$282.39,-,$21.548,"$3,210.409",$579.364,-,$610.497,$51.291,"$1,241.152","$4,451.561",$797.395,$991.147,$732.079,"$1,723.226","$2,520.621",$0.279,"$1,945.646",$-14.985,-,"$1,930.94","$4,451.561"
2018-03-31,"$2,724.394",$320.553,$273.616,-,$22.275,"$3,340.838",$589.177,-,$623.752,$69.428,"$1,282.357","$4,623.195",$803.951,$990.787,$877.466,"$1,868.253","$2,672.204",$0.283,"$1,963.912",$-13.204,-,"$1,950.991","$4,623.195"
2017-12-31,"$2,823.275",$235.695,$259.597,-,$24.153,"$3,342.72",$597.818,-,$558.731,$65.243,"$1,221.792","$4,564.512",$745.39,$990.428,$842.996,"$1,833.424","$2,578.814",$0.283,"$1,997.207",$-11.792,-,"$1,985.698","$4,564.512"
2017-09-30,"$2,773.987",$233.215,$245.347,-,$55.033,"$3,307.582",$595.622,-,$570.865,$61.937,"$1,228.424","$4,536.006",$233.912,"$1,488.406",$614.508,"$2,104.35","$2,338.262",$0.283,"$2,207.052",$-9.591,-,"$2,197.744","$4,536.006"
2017-06-30,"$2,744.839",$256.454,$247.242,-,$57.059,"$3,305.594",$606.581,-,$581.882,$76.176,"$1,264.639","$4,570.233",$278.997,"$1,487.678",$600.864,"$2,088.542","$2,367.539",$0.283,"$2,212.301",$-9.89,-,"$2,202.694","$4,570.233"
2017-03-31,"$2,155.881",$257.592,$241.439,-,$60.195,"$2,715.107",$636.835,-,$594.996,$70.845,"$1,302.676","$4,017.783",$294.11,$991.877,$571.487,"$1,563.364","$1,857.474",$0.284,"$2,169.76",$-9.735,-,"$2,160.309","$4,017.783"
2016-12-31,"$2,086.896",$224.342,$236.04,-,$75.284,"$2,622.562",$660.66,-,$608.408,$56.344,"$1,325.412","$3,947.974",$260.673,$991.281,$551.829,"$1,543.11","$1,803.783",$0.284,"$2,155.698",$-11.791,-,"$2,144.191","$3,947.974"
2016-09-30,"$2,267.514",$253.518,$223.484,-,$89.398,"$2,833.914",$678.447,-,$622.511,$57.744,"$1,358.702","$4,192.616",$531.967,$990.685,$534.728,"$1,525.413","$2,057.38",$0.284,"$2,141.326",$-6.374,-,"$2,135.236","$4,192.616"
2016-06-30,"$2,230.668",$256.531,$227.929,-,$91.92,"$2,807.048",$692.551,-,$637.188,$97.829,"$1,427.568","$4,234.616",$609.403,$990.09,$526.553,"$1,517.399","$2,126.802",$0.284,"$2,121.749",$-14.219,-,"$2,107.814","$4,234.616"
2016-03-31,"$1,860.416",$278.502,$234.603,-,$88.389,"$2,461.91",$748.781,-,$679.158,$91.619,"$1,519.558","$3,981.468",$342.033,"$1,000",$500.029,"$1,500.672","$1,842.705",$0.28,"$2,154.767",$-16.284,-,"$2,138.763","$3,981.468"
2015-12-31,"$1,773.473",$231.18,$274.741,-,$47.235,"$2,326.629",$770.548,-,$693.525,$146.779,"$1,610.852","$3,937.481",$315.251,"$1,000",$472.755,"$1,473.406","$1,788.657",$63.014,"$2,103.339",$-17.529,-,"$2,148.824","$3,937.481"
2015-09-30,"$1,608.632",$282.471,$290.712,-,$46.627,"$2,279.046",$805.58,-,$753.07,$107.19,"$1,665.84","$3,944.886",$345.954,"$1,000",$473.529,"$1,484.131","$1,830.085",$10.819,"$2,121.582",$-17.6,-,"$2,114.801","$3,944.886"
2015-06-30,"$1,626.119",$278.844,$288.474,-,$48.66,"$2,319.403","$1,090.739",-,$773.299,$32.63,"$1,896.668","$4,216.071",$383.177,$987.687,$464.599,"$1,542.874","$1,926.051",$0.283,"$2,279.112",$-17.234,-,"$2,290.02","$4,216.071"
2015-03-31,"$1,467.339",$278.427,$297.27,-,$66.298,"$2,180.688","$1,155.589",-,$795.209,$36.231,"$1,987.029","$4,167.717",$355.334,"$1,000",$442.25,"$1,558.534","$1,913.868",$12.359,"$2,260.011",$-18.521,-,"$2,253.849","$4,167.717"
2014-12-31,"$1,380.882",$258.506,$306.564,-,$67.244,"$2,072.99","$1,195.323",-,$817.949,$38.265,"$2,051.537","$4,124.527",$334.239,"$1,000",$428.239,"$1,548.547","$1,882.786",$0.283,"$2,259.997",$-18.539,-,"$2,241.741","$4,124.527"
2014-09-30,"$1,318.977",$281.932,$305.108,-,$67.383,"$2,027.779","$1,303.861",-,$933.358,$40.127,"$2,277.346","$4,305.125",$335.13,"$1,001.026",$411.968,"$1,558.591","$1,893.721",$0.284,"$2,430.194",$-19.074,-,"$2,411.404","$4,305.125"
2014-06-30,"$1,372.425",$295.828,$289.292,-,$54.56,"$2,086.702","$1,331.519",-,$957.631,$29.766,"$2,318.916","$4,405.618",$398.635,"$1,001.026",$416.167,"$1,577.072","$1,975.707",$0.285,"$2,423.794",$-17.173,-,"$2,429.911","$4,405.618"
2014-03-31,"$1,231.248",$304.128,$290.518,-,$79.346,"$1,979.278","$1,355.268",-,$981.843,$38.176,"$2,375.287","$4,354.565",$391.388,"$1,000.871",$390.271,"$1,562.573","$1,953.961",$0.283,"$2,412.627",$-12.306,-,"$2,400.604","$4,354.565"
2013-12-31,"$1,149.909",$288.285,$297.234,-,$85.554,"$1,890.136","$1,372.393",-,"$1,001.55",$42.803,"$2,416.746","$4,306.882",$381.116,"$1,000.871",$366.396,"$1,569.702","$1,950.818",$0.283,"$2,368.35",$-12.569,-,"$2,356.064","$4,306.882"
2013-09-30,"$1,034.583",$297.888,$278.218,-,$116.225,"$1,781.768","$1,374.544",-,$567.622,$40.063,"$1,982.229","$3,763.997",$335.357,$500.955,$324.028,"$1,030.204","$1,365.561",$0.283,"$2,412.262",$-14.109,-,"$2,398.436","$3,763.997"
2013-06-30,"$1,200.046",$285.438,$275.64,-,$96.609,"$1,939.906","$1,373.124",-,$579.15,$43.73,"$1,996.004","$3,935.91",$404.893,$503.573,$312.591,"$1,023.019","$1,427.912",$0.288,"$2,523.457",$-15.747,-,"$2,507.998","$3,935.91"
2013-03-31,"$1,573.075",$300.046,$268.018,-,$113.01,"$2,335.958","$1,368.905",-,$587.595,$41.66,"$1,998.16","$4,334.118",$706.963,$503.573,$297.878,"$1,014.589","$1,721.552",$0.292,"$2,629.895",$-17.621,-,"$2,612.566","$4,334.118"
2012-12-31,"$1,030.299",$264.545,$257.69,-,$90.47,"$1,723.995","$1,359.014",-,$604.604,$50.94,"$2,014.558","$3,738.553",$673.819,$3.997,$287.091,$483.522,"$1,157.341",$7.04,"$2,589.619",$-15.447,-,"$2,581.212","$3,738.553"
2012-09-30,$925.133,$316.538,$258.689,-,$94.875,"$1,666.796","$1,359.882",-,$617.493,$60.403,"$2,037.778","$3,704.574",$682.397,$5.592,$252.255,$453.74,"$1,136.137",$0.292,"$2,583.06",$-14.915,-,"$2,568.437","$3,704.574"
2012-06-30,$956.386,$317.461,$242.162,-,$85.177,"$1,699.366","$1,353.606",-,$631.986,$52.988,"$2,038.58","$3,737.946",$755.389,$5.592,$240.186,$444.28,"$1,199.669",$0.293,"$2,553.418",$-15.434,-,"$2,538.277","$3,737.946"
2012-03-31,$935.956,$296.255,$220.153,-,$79.584,"$1,637.246","$1,361.3",-,$645.427,$26.264,"$2,032.991","$3,670.237",$437.627,$308.7,$214.985,$729.412,"$1,167.039",$9.125,"$2,507.298",$-13.225,-,"$2,503.198","$3,670.237"
2011-12-31,$816.535,$246.229,$233.404,-,$81.396,"$1,465.2","$1,365.815",-,$670.585,$19.055,"$2,055.455","$3,520.655",$379.659,$308.7,$129.991,$636.53,"$1,016.189",$0.292,"$2,517.166",$-12.992,-,"$2,504.466","$3,520.655"
2011-09-30,$760.34,$331.586,$253.159,-,$80.972,"$1,503.942","$1,328.832",-,$668.257,$20.552,"$2,017.641","$3,521.583",$386.667,$311.792,$120.805,$622.36,"$1,009.027",$0.293,"$2,526.598",$-14.335,-,"$2,512.556","$3,521.583"
2011-06-30,"$1,012.887",$297.632,$237.928,-,$65.978,"$1,727.852","$1,308.85",-,$469.388,$21.653,"$1,799.891","$3,527.743",$414.34,$300,$118.87,$602.585,"$1,016.925",$0.296,"$2,524.79",$-14.268,-,"$2,510.818","$3,527.743"
2011-03-31,$918.847,$305.007,$234.933,-,$89.435,"$1,676.593","$1,286.061",-,$463.965,$25.798,"$1,775.824","$3,452.417",$391.153,$300,$115.782,$596.224,$987.377,$5.865,"$2,473.271",$-14.096,-,"$2,465.04","$3,452.417"
2010-12-31,$798.344,$293.907,$217.578,-,$129.305,"$1,561.686","$1,298.155",-,$478.227,$27.625,"$1,804.007","$3,365.693",$335.35,$300,$183.947,$645.377,$980.727,$0.297,"$2,399.329",$-14.66,-,"$2,384.966","$3,365.693"
2010-09-30,$718.28,$371.925,$204.207,-,$46.235,"$1,461.681","$1,323.192",-,$490.262,$29.968,"$1,843.422","$3,305.103",$356.76,$300,$158.471,$606.423,$963.183,$0.297,"$2,355.323",$-13.7,-,"$2,341.92","$3,305.103"
2010-06-30,$826.512,$423.135,$206.04,-,$33.909,"$1,706.613","$1,324.436",-,$420.951,$30.325,"$1,775.712","$3,482.325",$532.517,$300,$160.326,$596.85,"$1,129.367",$0.301,"$2,364.598",$-11.941,-,"$2,352.958","$3,482.325"
2010-03-31,$858.861,$312.96,$190.589,-,$23.091,"$1,632.75","$1,325.348",-,-,$120.575,"$1,445.923","$3,078.673",$472.603,-,$124.775,$200.948,$673.551,$0.303,"$2,415.172",$-10.353,-,"$2,405.122","$3,078.673"
2009-12-31,$838.56,$281.554,$196.044,-,$26.535,"$1,531.56","$1,341.832",-,-,$125.06,"$1,466.892","$2,998.452",$257.392,-,$124.866,$195.927,$453.319,$0.305,"$2,553.889",$-9.061,-,"$2,545.133","$2,998.452"
2009-09-30,$937.58,$230.103,$192.277,-,$24.078,"$1,578.411","$1,352.857",-,-,$130.039,"$1,482.896","$3,061.307",$268.943,-,$152.265,$220.025,$488.968,$0.324,"$2,561.185",$-8.345,-,"$2,572.339","$3,061.307"
2009-06-30,$913.403,$220.879,$217.847,-,$20.943,"$1,584.951","$1,366.052",-,$103.005,$27.767,"$1,496.824","$3,081.775",$268.776,-,$151.261,$218.534,$487.31,$0.306,"$2,580.61",$-7.656,-,"$2,594.465","$3,081.775"
2009-03-31,$898.299,$230.122,$239.9,-,$22.59,"$1,607.999","$1,381.474",-,-,$140.455,"$1,521.929","$3,129.928",$276.571,-,$141.459,$221.43,$498.001,$0.304,"$2,633.638",$-2.015,-,"$2,631.927","$3,129.928"
2008-12-31,$925.459,$286.466,$251.661,-,$17.681,"$1,695.697","$1,404.233",-,-,$110.052,"$1,514.285","$3,209.982",$293.367,-,$140.732,$175.525,$468.892,$0.304,"$2,742.567",$-1.781,-,"$2,741.09","$3,209.982"
2008-09-30,"$1,256.456",$268.57,$263.244,-,$18.747,"$2,070.599","$1,461.769",-,-,$168.395,"$1,630.164","$3,700.763",$402.068,-,$142.105,$142.105,$544.173,$255.818,"$2,904.595",$-3.823,-,"$3,156.59","$3,700.763"
2008-06-30,"$1,218.198",$272.029,$272.421,-,$30.423,"$2,046.561","$1,485.2",-,-,$176.629,"$1,661.829","$3,708.39",$419.155,-,$141.424,$141.424,$560.579,$0.321,"$2,901.139",$-5.127,-,"$3,147.811","$3,708.39"
2008-03-31,"$1,189.051",$269.292,$264.075,-,$45.696,"$2,009.228","$1,497.461",-,-,$167.329,"$1,664.79","$3,674.018",$426.576,-,$133.372,$133.372,$559.948,$0.321,"$2,895.196",$-8.178,-,"$3,114.07","$3,674.018"
2007-12-31,"$1,154.801",$286.675,$255.165,-,$52.197,"$1,981.935","$1,500.819",-,-,$155.841,"$1,656.66","$3,638.595",$417.66,-,$133.917,$133.917,$551.577,$0.321,"$2,894.268",$-9.668,-,"$3,087.018","$3,638.595"
2007-09-30,"$1,348.965",$275.383,$261.018,-,$9.529,"$2,130.015","$1,469.744",-,-,$142.31,"$1,612.054","$3,742.069",$591.381,-,$134.405,$134.405,$725.786,$0.321,"$2,847.351",$-7.566,-,"$3,016.283","$3,742.069"
2007-06-30,"$1,299.354",$244.998,$262.713,-,$15.555,"$2,070.573","$1,431.273",-,-,$104.938,"$1,536.211","$3,606.784",$454.904,-,$19.946,$19.946,$474.85,$0.321,"$2,847.281",$-8.271,-,"$3,131.934","$3,606.784"
2007-03-31,"$1,324.25",$250.703,$249.078,-,$19.052,"$2,077.671","$1,349.185",-,-,$96.2,"$1,445.385","$3,523.056",$461.028,-,$17.7,$17.7,$478.728,$0.321,"$2,805.033",$-9.023,-,"$3,044.328","$3,523.056"
2006-12-31,"$1,315.737",$277.065,$246.861,-,$24.228,"$2,091.671","$1,304.004",-,-,$87.774,"$1,391.778","$3,483.449",$486.528,-,$15.423,$15.423,$501.951,$0.321,"$2,778.973",$-5.366,-,"$2,981.498","$3,483.449"
2006-09-30,"$1,393.472",$296.462,$223.835,-,$21.562,"$2,116.535","$1,254.493",-,-,$109.209,"$1,363.702","$3,480.237",$560.767,-,$16.085,$16.085,$576.852,$0.321,"$2,731.501",$-6.151,-,"$2,903.385","$3,480.237"
2006-06-30,"$1,342.65",$297.285,$210.895,-,$21.992,"$2,052.116","$1,164.484",-,-,$69.937,"$1,234.421","$3,286.537",$494.361,-,$16.687,$16.687,$511.048,$0.32,"$2,761.183",$-8.119,-,"$2,775.489","$3,286.537"
2006-03-31,"$1,336.101",$259.921,$204.598,-,$11.805,"$1,941.243","$1,060.854",-,-,$39.459,"$1,100.313","$3,041.556",$323.287,-,-,$110.259,$433.546,$0.321,"$2,517.406",$-8.907,-,"$2,608.01","$3,041.556"
2005-12-31,"$1,341.396",$221.029,$197.772,-,$16.081,"$1,909.793","$1,017.612",-,-,$29.628,"$1,047.24","$2,957.033",$322.791,-,-,$118.636,$441.427,$0.321,"$2,443.976",$-9.593,-,"$2,515.606","$2,957.033"
2005-09-30,"$1,585.113",$212.949,$183.243,-,$11.241,"$2,125.586",$999.788,-,-,$28.85,"$1,028.638","$3,154.224",$328.272,-,-,$128.196,$456.468,$0.328,"$2,528.293",$-8.58,-,"$2,697.756","$3,154.224"
2005-06-30,"$1,474.692",$199.591,$179.172,-,$15.054,"$2,007.739","$1,008.461",-,-,$43.739,"$1,052.2","$3,059.939",$354.749,-,$19.666,$19.685,$374.434,$0.327,"$2,526.482",$-6.53,-,"$2,685.505","$3,059.939"
2005-03-31,"$1,403.226",$193.78,$159.463,-,$9.799,"$1,912.674",$999.403,-,-,$27.624,"$1,027.027","$2,939.701",$291.729,-,$4,$144.107,$435.836,$0.328,"$2,362.317",$-11.605,-,"$2,503.865","$2,939.701"
