,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$1,105","$2,974","$1,552",-,"$1,751","$7,382","$91,803","$5,728","$4,254","$13,098","$120,302","$127,684","$15,558","$41,944","$17,233","$67,197","$82,755",$20,"$25,363",$-92,-,"$44,929","$127,684"
2020-09-30,"$1,961","$3,277","$1,414",-,"$2,374","$9,026","$88,855","$7,144","$4,214","$12,320","$117,356","$126,382","$15,712","$42,794","$17,412","$68,608","$84,320",$5,"$26,054",$-152,-,"$42,062","$126,382"
2020-06-30,"$1,009","$2,867","$1,367",-,"$2,338","$7,581","$86,326","$6,957","$4,213","$12,131","$114,380","$121,961","$12,365","$42,667","$16,994","$68,022","$80,387",$5,"$25,511",$-163,-,"$41,574","$121,961"
2020-03-31,"$3,335","$2,621","$1,371",-,"$2,398","$9,725","$83,873","$6,862","$4,201","$11,259","$110,912","$120,637","$13,722","$41,116","$16,604","$66,040","$79,762",$5,"$24,922",$-192,-,"$40,875","$120,637"
2019-12-31,$600,"$2,807","$1,328",-,"$2,673","$7,408","$82,010","$7,453","$4,204","$11,892","$110,283","$117,691","$13,853","$37,543","$16,087","$62,478","$76,331",$20,"$25,199",$-169,-,"$41,360","$117,691"
2019-09-30,"$1,131","$3,330","$1,451",-,"$1,767","$7,679","$78,995","$7,180","$4,129","$11,502","$106,543","$114,222","$13,314","$36,144","$16,415","$60,734","$74,048",$5,"$24,835",$-181,-,"$40,174","$114,222"
2019-06-30,"$1,019","$3,121","$1,427",-,"$1,904","$7,471","$76,136","$7,202","$3,496","$11,360","$103,081","$110,552","$14,412","$33,947","$15,613","$57,714","$72,126",$5,"$24,554",$-191,-,"$38,426","$110,552"
2019-03-31,$972,"$2,974","$1,410",-,"$2,866","$8,222","$74,794","$6,735","$3,488","$10,735","$100,807","$109,029","$17,926","$29,883","$15,259","$53,263","$71,189",$5,"$23,919",$-213,-,"$37,840","$109,029"
2018-12-31,$638,"$2,969","$1,223",-,"$1,563","$6,393","$70,334","$6,748",$891,"$14,762","$97,309","$103,702","$17,563","$26,782","$14,109","$48,726","$66,289",$5,"$23,837",$-188,-,"$37,413","$103,702"
2018-09-30,$497,"$3,119","$1,083",-,"$3,650","$8,349","$68,572","$6,493",-,"$11,284","$90,254","$98,603","$12,807","$27,048","$13,990","$48,458","$61,265",$5,"$23,935",$-158,-,"$37,338","$98,603"
2018-06-30,$478,"$2,891","$1,159",-,"$1,357","$5,885","$68,659","$6,217",-,"$10,736","$89,605","$95,490","$10,184","$28,356","$13,616","$49,134","$59,318",$5,"$23,453",$-173,-,"$36,172","$95,490"
2018-03-31,$550,"$2,389","$1,205",-,"$1,468","$5,612","$67,196","$6,774",-,"$10,646","$88,672","$94,284","$9,579","$28,062","$13,643","$48,712","$58,291",$5,"$23,181",$-178,-,"$35,993","$94,284"
2017-12-31,"$1,714","$2,737","$1,273",-,"$1,457","$7,181","$72,289","$2,321",-,"$12,276","$90,782","$97,963","$11,243","$31,410","$20,015","$57,189","$68,432",$5,"$19,020",$111,-,"$29,531","$97,963"
2017-09-30,"$1,381","$2,750","$1,352",-,"$1,544","$7,027","$71,088","$2,983",-,"$11,176","$89,754","$96,781","$11,604","$30,345","$14,948","$57,856","$69,460",$5,"$17,299",$48,-,"$27,321","$96,781"
2017-06-30,$642,"$2,480","$1,313",-,"$1,512","$5,947","$69,656","$2,950",-,"$10,924","$86,943","$92,890","$8,950","$30,392","$14,570","$57,064","$66,014",$5,"$16,914",$3,-,"$26,876","$92,890"
2017-03-31,$600,"$2,160","$1,303",-,"$1,764","$5,827","$68,400","$2,759",-,"$10,719","$85,378","$91,205","$9,761","$28,539","$14,709","$54,975","$64,736",$5,"$16,581",$-40,-,"$26,469","$91,205"
2016-12-31,"$1,292","$2,439","$1,289",-,"$2,389","$7,409","$66,912","$2,482",-,"$10,119","$82,584","$89,993","$10,919","$27,818","$14,824","$53,743","$64,662",$5,"$15,458",$-70,-,"$25,331","$89,993"
2016-09-30,$681,"$2,859","$1,309",-,"$1,898","$6,747","$65,617","$2,380",-,"$10,123","$81,117","$87,864","$10,456","$28,195","$13,762","$52,539","$62,995",$5,"$14,899",$-36,-,"$24,869","$87,864"
2016-06-30,$730,"$2,673","$1,254",-,"$1,855","$6,512","$64,157","$2,114",-,"$8,359","$78,908","$85,420","$11,336","$27,001","$13,080","$50,202","$61,538",$5,"$14,548",$-82,-,"$23,882","$85,420"
2016-03-31,$628,"$2,267","$1,287",-,"$2,914","$7,096","$62,894","$1,892",-,"$9,842","$77,541","$84,637","$10,587","$27,791","$12,647","$50,420","$61,007",$5,"$14,375",$-113,-,"$23,630","$84,637"
2015-12-31,$571,"$2,265","$1,259",-,"$2,700","$6,795","$61,386","$1,786",-,"$8,377","$75,684","$82,479","$10,107","$26,681","$12,752","$49,260","$59,367",$5,"$14,140",$-167,-,"$23,112","$82,479"
