,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$4,907","$6,641",$759,"$1,402","$1,635","$15,344","$7,071",-,"$18,301","$1,909","$29,125","$44,469","$9,580","$14,261","$2,208","$24,310","$33,890",$167,"$10,482",$-128,-,"$10,579","$44,469"
2020-09-30,"$4,995","$7,681",$853,"$1,023",-,"$14,552","$7,187",-,"$19,555","$1,811","$30,220","$44,772","$10,109","$14,260","$2,216","$24,196","$34,305",$167,"$10,394",$-121,-,"$10,467","$44,772"
2020-06-30,"$4,178","$7,449",$832,$720,-,"$13,179","$7,063",-,"$19,616","$1,743","$30,296","$43,475","$9,727","$14,259","$1,862","$24,036","$33,763",$167,"$9,652",$-117,-,"$9,712","$43,475"
2020-03-31,"$3,278","$8,054",$785,"$1,011",-,"$13,128","$6,956",-,"$19,672","$1,623","$30,075","$43,203","$10,177","$14,299","$1,606","$23,964","$34,141",$167,"$9,011",$-116,-,"$9,062","$43,203"
2019-12-31,"$2,245","$6,660",$783,$997,-,"$10,685","$6,912",-,"$19,748","$1,725","$30,404","$41,089","$9,434","$12,770","$1,779","$22,836","$32,270",$168,"$8,748",$-97,-,"$8,819","$41,089"
2019-09-30,"$1,127","$7,888",$810,"$1,011",-,"$10,836","$6,611",-,"$19,830","$1,682","$29,717","$40,553","$8,416","$13,826","$1,734","$22,406","$30,822",$169,"$9,649",$-87,-,"$9,731","$40,553"
2019-06-30,"$1,088","$7,489",$810,$772,-,"$10,159","$6,522",-,"$19,914","$1,626","$29,425","$39,584","$8,155","$13,838","$1,621","$22,215","$30,370",$169,"$9,120",$-75,-,"$9,214","$39,584"
2019-03-31,$755,"$7,951",$778,$959,-,"$10,443","$6,420",-,"$19,987","$1,534","$29,308","$39,751","$8,821","$13,863","$1,451","$22,191","$31,012",$170,"$8,628",$-59,-,"$8,739","$39,751"
2018-12-31,"$1,579","$6,474",$654,$973,-,"$9,680","$6,372",-,"$20,044","$1,463","$27,973","$37,653","$8,274","$13,883","$1,446","$21,192","$29,466",$171,"$8,068",$-52,-,"$8,187","$37,653"
2018-09-30,"$1,228","$7,302",$719,$883,-,"$10,132","$6,025",-,"$20,102","$1,615","$27,811","$37,943","$8,039","$13,889","$1,518","$20,801","$28,840",$174,"$14,464","$-5,535",-,"$9,103","$37,943"
2018-06-30,"$1,539","$7,087",$690,$406,-,"$9,722","$5,864",-,"$20,076","$1,537","$27,656","$37,378","$7,833","$14,387","$1,176","$21,318","$29,151",$174,"$13,669","$-5,616",-,"$8,227","$37,378"
2018-03-31,"$10,369","$5,110",$435,$243,-,"$16,157","$4,285",-,"$12,455","$1,424","$18,638","$34,795","$6,415","$14,392",$946,"$20,700","$27,115",$174,"$13,205","$-5,699",-,"$7,680","$34,795"
2017-12-31,"$11,225","$4,519",$398,$445,-,"$16,587","$4,225",-,"$12,507","$1,362","$18,541","$35,128","$7,092","$14,399",$994,"$20,904","$27,996",$174,"$6,913",$1,-,"$7,132","$35,128"
2017-09-30,"$1,878","$4,414","$1,007",$300,-,"$7,599","$3,925",-,"$12,456","$1,333","$18,914","$26,513","$6,300","$6,227",$914,"$13,720","$20,020",$174,"$11,546","$-5,243",-,"$6,493","$26,513"
2017-06-30,"$1,383","$4,280","$1,039",$162,-,"$6,864","$3,802",-,"$12,453","$1,309","$18,949","$25,813","$6,186","$6,219",$823,"$13,708","$19,894",$174,"$11,087","$-5,342",-,"$5,919","$25,813"
2017-03-31,"$1,403","$4,072",$933,$160,-,"$6,568","$3,656",-,"$12,454","$1,319","$18,845","$25,413","$5,168","$7,060",$881,"$14,687","$19,855",$175,"$10,824","$-5,441",-,"$5,558","$25,413"
2016-12-31,"$2,541","$3,299",$816,$200,-,"$6,856","$3,588",-,"$12,450","$1,258","$18,758","$25,614","$5,630","$7,058",$849,"$14,725","$20,355",$175,"$10,630","$-5,546",-,"$5,259","$25,614"
2016-09-30,"$1,103","$3,659",$797,$212,-,"$5,771","$3,334",-,"$12,464","$1,292","$18,329","$24,100","$5,106","$6,387",$831,"$13,227","$18,333",$177,"$10,628","$-5,038",-,"$5,767","$24,100"
2016-06-30,"$1,139","$3,483",$973,$186,-,"$5,781","$3,299",-,"$12,463","$1,163","$18,300","$24,081","$5,099","$6,387",$853,"$13,301","$18,400",$179,"$10,634","$-5,132",-,"$5,681","$24,081"
2016-03-31,"$1,277","$3,346",$898,$185,-,"$5,706","$3,230",-,"$12,462","$1,152","$18,227","$23,933","$4,955","$6,387",$853,"$13,357","$18,312",$181,"$10,664","$-5,224",-,"$5,621","$23,933"
2015-12-31,"$2,319","$2,841",$807,$367,-,"$6,334","$3,064",-,"$12,460","$1,157","$18,090","$24,424","$5,457","$6,386",$887,"$13,445","$18,902",$181,"$10,661","$-5,320",-,"$5,522","$24,424"
2015-09-30,"$1,292","$3,268",$856,$199,-,"$5,951","$3,005",-,"$12,458","$1,200","$18,015","$23,966","$5,133","$6,417",$941,"$13,136","$18,269",$183,"$10,613","$-5,099",-,"$5,697","$23,966"
2015-06-30,"$1,907","$3,151",$856,$160,-,"$6,460","$3,005",-,"$12,464","$1,240","$18,092","$24,552","$5,154","$6,417",$939,"$13,227","$18,381",$188,"$11,164","$-5,181",-,"$6,171","$24,552"
2015-03-31,"$2,646","$3,131",$818,$177,-,"$7,143","$2,989",-,"$12,464","$1,277","$18,123","$25,266","$5,284","$6,418",$854,"$13,234","$18,518",$195,"$11,843","$-5,290",-,"$6,748","$25,266"
2014-12-31,"$3,863","$2,806",$742,$369,-,"$7,780","$2,991",-,"$12,466","$1,309","$18,792","$26,572","$5,892","$5,925",$965,"$13,445","$19,337",$199,"$12,392","$-5,356",-,"$7,235","$26,572"
2014-09-30,"$3,402","$3,233",$671,$290,-,"$8,122","$2,845",-,"$12,463","$1,484","$16,921","$25,043","$5,511","$5,926",$938,"$9,639","$15,150",$203,"$12,568","$-2,878",-,"$9,893","$25,043"
2014-06-30,"$3,476","$3,280",$741,$339,-,"$8,390","$2,818",-,"$12,468","$1,495","$16,961","$25,351","$5,414","$5,927",$922,"$9,669","$15,083",$209,"$12,945","$-2,886",-,"$10,268","$25,351"
2014-03-31,"$3,885","$3,234",$781,$165,-,"$8,604","$2,793",-,"$12,468","$1,471","$16,931","$25,535","$5,271","$5,927",$894,"$9,695","$14,966",$215,"$12,983","$-2,921",-,"$10,569","$25,535"
2013-12-31,"$5,150","$2,685",$698,$350,-,"$9,488","$2,806",-,"$12,438","$1,440","$16,893","$26,381","$5,815","$5,928","$1,064","$9,946","$15,761",$218,"$12,538","$-2,984",-,"$10,620","$26,381"
