,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-11-30,"$38,593","$4,423",-,"$3,235",-,"$46,251","$6,627",-,"$46,938","$6,797","$63,763","$110,014","$21,347","$63,531","$16,520","$80,051","$101,398","$26,298","$-17,095","$-1,286",-,"$8,616","$110,014"
2020-08-31,"$42,279","$4,576",-,"$3,084",-,"$49,939","$6,401",-,"$47,272","$6,782","$63,607","$113,546","$18,748","$67,769","$16,889","$84,658","$103,406","$26,238","$-15,410","$-1,337",-,"$10,140","$113,546"
2020-05-31,"$43,057","$5,551",-,"$3,532",-,"$52,140","$6,244",-,"$47,507","$6,295","$63,298","$115,438","$17,200","$69,226","$16,295","$85,521","$102,721","$26,486","$-12,696","$-1,716",-,"$12,717","$115,438"
2020-02-29,"$25,858","$4,162",-,"$3,422",-,"$33,442","$6,248",-,"$47,869","$6,262","$63,262","$96,704","$15,740","$49,320","$16,763","$66,083","$81,823","$26,685","$-10,771","$-1,679",-,"$14,881","$96,704"
2019-11-30,"$27,444","$4,050",-,"$3,046",-,"$34,540","$6,270",-,"$48,302","$6,580","$63,903","$98,443","$14,592","$50,670","$16,996","$67,666","$82,258","$26,374","$-9,174","$-1,637",-,"$16,185","$98,443"
2019-08-31,"$35,704","$3,820",-,"$2,860",-,"$42,384","$6,264",-,"$48,594","$6,333","$63,845","$106,229","$18,875","$50,692","$17,643","$68,335","$87,210","$26,450","$-6,446","$-1,571",-,"$19,019","$106,229"
2019-05-31,"$37,827","$5,134",-,"$3,425",-,"$46,386","$6,252",-,"$49,058","$4,317","$62,323","$108,709","$18,630","$51,673","$16,043","$67,716","$86,346","$26,909","$-3,496","$-1,628",-,"$22,363","$108,709"
2019-02-28,"$40,030","$3,993",-,"$3,594",-,"$47,617","$6,197",-,"$49,454","$4,137","$61,821","$109,438","$17,986","$51,672","$15,542","$67,214","$85,200","$26,732","$-1,284","$-1,734",-,"$24,238","$109,438"
2018-11-30,"$49,391","$3,975",-,"$3,572",-,"$56,938","$6,003",-,"$49,881","$4,014","$61,380","$118,318","$20,315","$51,561","$15,387","$66,948","$87,263","$27,430","$5,107","$-1,965",-,"$31,055","$118,318"
2018-08-31,"$60,094","$3,729",-,"$3,186",-,"$67,009","$5,918",-,"$49,997","$4,001","$61,349","$128,358","$19,562","$54,386","$15,846","$70,232","$89,794","$27,811","$12,022","$-1,766",-,"$38,564","$128,358"
2018-05-31,"$67,261","$5,136",-,"$3,762",-,"$76,159","$5,897",-,"$50,425","$3,975","$61,692","$137,851","$19,124","$56,128","$15,726","$71,854","$90,978","$28,950","$19,111","$-1,689",-,"$46,873","$137,851"
