,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$4,968.6","$13,018.2","$1,221.9",-,$515.6,"$19,724.3","$3,270.4",-,-,"$5,265.3","$8,535.699","$28,260","$7,561.9","$7,508.9","$1,487.2","$10,308.1","$17,870",$346.6,"$11,005.2","$-1,050.3",-,"$10,390","$28,260"
2020-09-30,"$4,538.6","$12,689.2","$1,124.5",-,$541.5,"$18,893.8","$3,137.8",-,-,"$5,202.1","$8,339.899","$27,233.7","$6,015.2","$7,776.5","$1,384.1","$11,034.1","$17,049.3",$347,"$10,953.6","$-1,189",-,"$10,184.4","$27,233.7"
2020-06-30,"$4,275.2","$12,381.4","$1,136.4",-,$492.1,"$18,285.1","$3,025",-,-,"$5,096.3","$8,121.3","$26,406.4","$7,379.7","$7,416.8","$1,327.1","$9,249.899","$16,629.6",$346.5,"$10,679.1","$-1,289.9",-,"$9,776.8","$26,406.4"
2020-03-31,"$4,420.1","$12,976.8","$1,270.1",-,$529.9,"$19,196.9","$2,925.3",-,-,"$5,172.5","$8,097.8","$27,294.7","$7,715.5","$7,226","$1,392.8","$9,941.8","$17,657.3",$346.4,"$10,642.2","$-1,383.9",-,"$9,637.4","$27,294.7"
2019-12-31,"$5,337.2","$13,392.1","$1,153.2",-,$388,"$20,270.5","$2,883.8",-,-,"$5,206.8","$8,090.6","$28,361.1","$8,729.9","$7,112.5","$1,435.1","$9,925.1","$18,655",$346.3,"$10,398.5","$-1,100.1",-,"$9,706.1","$28,361.1"
2019-09-30,"$4,777.3","$13,400.7","$1,292.6",-,$387.3,"$19,857.9","$2,690.8",-,-,"$5,219","$7,909.8","$27,767.7","$8,317.3","$6,716","$1,372","$9,487.7","$17,805",$347.4,"$10,798.7","$-1,190",-,"$9,962.7","$27,767.7"
2019-06-30,"$4,336.7","$13,315.7","$1,336.6",-,$403.7,"$19,392.7","$2,624.4",-,-,"$5,151.1","$7,775.5","$27,168.2","$7,973.8","$6,732.1","$1,336.3","$9,559","$17,532.8",$347.2,"$10,301.8","$-1,062.2",-,"$9,635.4","$27,168.2"
2019-03-31,"$3,924.2","$13,091.9","$1,272.6",-,$401.7,"$18,690.4","$2,521.5",-,-,"$4,945.1","$7,466.6","$26,157","$7,502.5","$6,771.6","$1,272.2","$9,549.001","$17,051.5",$347,"$9,793.1","$-1,095.5",-,"$9,105.5","$26,157"
2018-12-31,"$4,456.3","$12,155.2","$1,184.7",-,$364.7,"$18,160.9","$2,480.9",-,-,"$4,840.6","$7,321.5","$25,482.4","$7,786.8","$6,409.7","$1,145.7","$9,102.7","$16,889.5",$346.6,"$9,275.4","$-1,098.5",-,"$8,592.9","$25,482.4"
2018-09-30,"$3,914.3","$12,187.6","$1,292",-,$376.8,"$17,770.7","$2,443.6",-,-,"$4,889.1","$7,332.7","$25,103.4","$6,766.4","$6,584.7","$1,053.3","$9,166","$15,932.4",$352.2,"$9,718.4",$-895,-,"$9,171","$25,103.4"
