,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$608.048,"$1,816.731","$1,870.948",$191.362,-,"$4,799.679","$2,302.142",$795.073,"$11,796.21",-,"$15,027.75","$19,827.43","$3,207.083","$6,602.309",$631.825,"$9,498.042","$12,705.13",$90.523,"$14,072.15","$-2,130.506",-,"$7,122.304","$19,827.43"
2020-09-30,$775.857,"$1,860.324","$1,795.779",$163.533,-,"$4,869.484","$2,292.88",$778.591,"$11,715.21",-,"$14,916.43","$19,785.92","$3,328.223","$7,057.723",$577.325,"$9,913.445","$13,241.67",$90.523,"$13,738.53","$-2,388.472",-,"$6,544.249","$19,785.92"
2020-06-30,$756.319,"$1,854.398","$1,814.631",$214.986,-,"$4,885.204","$2,292.735",$764.563,"$11,668.85",-,"$14,852.98","$19,738.19","$3,148.373","$7,652.256",$539.089,"$10,461.29","$13,609.66",$90.523,"$13,530.67","$-2,558.875",-,"$6,128.529","$19,738.19"
2020-03-31,$790.153,"$2,174.425","$2,011.367",$183.294,-,"$5,481.426","$2,296.99",$750.743,"$11,711.61",-,"$14,883.85","$20,365.28","$3,673.609","$8,097.922",$468.235,"$10,384.24","$14,057.85",$90.523,"$13,348.29","$-2,195.462",-,"$6,307.427","$20,365.28"
2019-12-31,"$1,093.475","$1,973.187","$2,014.26",$261.103,-,"$5,661.151","$2,335.94",$941.588,"$11,991.28",-,"$15,382.84","$21,043.99","$4,091.122","$8,141.22",$532.75,"$10,610.37","$14,701.49",$90.523,"$13,094.25","$-1,945.732",-,"$6,342.501","$21,043.99"
2019-09-30,"$3,909.495","$1,983.242","$1,790.044",$166.536,-,"$8,138.079","$1,880.157",$892.508,"$8,512.369",-,"$11,430.51","$19,568.59","$4,157.328","$7,366.912",$501.61,"$9,308.47","$13,465.8",$90.523,"$13,003.08","$-2,130.594",-,"$6,102.792","$19,568.59"
2019-06-30,"$3,370.698","$2,131.054","$1,678.132",$182.494,-,"$7,673.086","$1,768.287",$747.773,"$7,237.082",-,"$9,903.604","$17,576.69","$3,151.773","$6,520.831",$438.489,"$8,456.765","$11,608.54",$90.523,"$12,777.54","$-2,059.048",-,"$5,968.152","$17,576.69"
2019-03-31,"$1,168.919","$2,117.103","$1,755.991",$178.366,-,"$5,537.791","$1,779.892",$769.391,"$7,294.398",-,"$9,940.144","$15,477.93","$3,548.95","$4,284.235",$456.293,"$5,912.937","$9,461.887",$90.523,"$12,427.21","$-1,728.915",-,"$6,016.048","$15,477.93"
2018-12-31,"$1,078.341","$1,938.709","$1,804.564",$188.868,-,"$5,334.736","$1,793.805",$733.987,"$7,346.38",-,"$9,972.951","$15,307.69","$3,508.934","$4,303.331",$449.696,"$5,977.587","$9,486.521",$90.523,"$12,114.45","$-1,795.497",-,"$5,821.166","$15,307.69"
2018-09-30,$992.909,"$2,065.158","$1,762.64",$165.213,-,"$5,298.082","$1,828.034",$757.795,"$7,441.245",-,"$10,126.96","$15,425.04","$3,308.521","$4,313.221",$471.839,"$6,009.415","$9,317.936",$90.523,"$11,902.3","$-1,775.983",-,"$6,107.106","$15,425.04"
2018-06-30,$855.132,"$2,145.517","$1,621.304",$134.886,-,"$5,085.238","$1,856.237",$801.049,"$7,519.94",-,"$10,234.85","$15,320.09","$3,197.483","$4,318.559",$526.089,"$6,257.111","$9,454.594",$90.523,"$11,625.97","$-1,763.086",-,"$5,865.493","$15,320.09"
2018-03-31,"$1,190.735","$2,146.408","$1,732.759",$165.083,-,"$5,563.096","$1,941.799",$814.637,"$7,881.017",-,"$10,674.39","$16,237.48","$3,508.517","$4,818.57",$569.209,"$6,852.684","$10,361.2",$90.523,"$11,373.68","$-1,649.038",-,"$5,876.283","$16,237.48"
2017-12-31,"$1,132.746","$1,857.282","$1,780.262",$202.848,-,"$5,286.359","$1,937.074",$832.269,"$7,872.811",-,"$10,678.82","$15,965.18","$3,537.703","$4,798.371",$609.235,"$6,908.268","$10,445.97",$90.523,"$11,095.72","$-1,767.728",-,"$5,519.21","$15,965.18"
2017-09-30,$974.558,"$1,922.288","$1,707.001",$134.35,-,"$5,004.618","$1,962.846",$834.085,"$7,894.536",-,"$10,726.66","$15,731.28","$3,467.124","$4,788.147",$341.195,"$6,733.496","$10,200.62",$90.523,"$11,127.64","$-1,824.503",-,"$5,530.659","$15,731.28"
2017-06-30,$924.204,"$1,930.751","$1,549.494",$120.282,-,"$4,779.718","$1,937.292",$842.475,"$7,894.362",-,"$10,710.19","$15,489.9","$3,395.86","$4,861.895",$336.931,"$6,826.698","$10,222.56",$90.523,"$10,930.35","$-1,924.204",-,"$5,267.346","$15,489.9"
2017-03-31,$856.321,"$1,869.303","$1,538.644",$118.962,-,"$4,619.154","$1,945.739",-,"$7,847.076",$848.212,"$10,706.18","$15,325.33","$3,048.441","$5,255.156",$327.033,"$7,529.166","$10,577.61",$90.523,"$10,725.26","$-2,292.833",-,"$4,747.726","$15,325.33"
2016-12-31,"$2,205.035","$1,411.074","$1,241.593",$133.592,-,"$5,247.839","$1,506.201",-,"$3,662.93",$832.507,"$6,483.774","$11,731.61","$2,425.474","$2,653.56",$304.583,"$4,775.161","$7,200.635",$90.523,"$10,579.63","$-2,411.144",-,"$4,530.978","$11,731.61"
2016-09-30,"$2,140.558","$1,498.384","$1,247.972",$144.444,-,"$5,281.878","$1,562.933",-,"$3,812.704",$817.691,"$6,689.036","$11,970.91","$2,494.238","$2,653.008",$311.634,"$4,826.087","$7,320.325",$90.523,"$10,427.25","$-2,185.472",-,"$4,650.589","$11,970.91"
2016-06-30,"$2,103.995","$1,593.92","$1,173.329",$104.36,-,"$5,207.787","$1,568.1",$827.492,"$3,825.608",-,"$6,826.355","$12,034.14","$2,365.888","$2,652.457",$306.581,"$5,089.576","$7,455.464",$90.523,"$10,302.87","$-2,227.765",-,"$4,578.678","$12,034.14"
2016-03-31,"$2,104.629","$1,587.785","$1,248.213",$124.025,-,"$5,456.839","$1,598.758",-,"$3,909.49","$1,104.314","$6,612.562","$12,069.4","$2,500.619","$2,675",$302.706,"$4,541.799","$7,042.418",$90.523,"$10,148.04","$-1,725.538",-,"$5,026.983","$12,069.4"
2015-12-31,"$1,868.176","$1,419.934","$1,279.76",$141.03,-,"$5,151.011","$1,598.185",-,"$3,888.58","$1,116.315","$6,603.08","$11,754.09","$2,368.099","$2,724.86",$306.655,"$4,583.271","$6,951.37",$90.523,"$10,047.76","$-1,884.727",-,"$4,802.721","$11,754.09"
2015-09-30,"$1,789.751","$1,561.054","$1,320.204",$196.917,-,"$5,327.902","$1,632.803",-,"$3,951.341","$1,089.508","$6,673.652","$12,001.55","$2,550.041","$2,725.409",$312.868,"$4,596.762","$7,146.803",$90.523,"$9,950.458","$-1,821.805",-,"$4,854.751","$12,001.55"
2015-06-30,"$1,914.074","$1,620.194","$1,300.459",$241.684,-,"$5,440.945","$1,664.022",$811.93,"$3,956.118",-,"$6,838.337","$12,279.28","$2,349.12","$2,723.96",$336.214,"$4,822.593","$7,171.713",$90.523,"$9,841.885","$-1,738.618",-,"$5,107.569","$12,279.28"
2015-03-31,"$2,030.705","$1,701.017","$1,387.681",$188.855,-,"$5,784.997","$1,643.538",-,"$3,915.13",$993.55,"$6,552.218","$12,337.21","$2,767.324","$2,724.943",$323.567,"$4,414.952","$7,182.276",$90.523,"$9,753.934","$-1,638.224",-,"$5,154.939","$12,337.21"
2014-12-31,"$1,962.186","$1,572.864","$1,453.996",$160.335,-,"$5,727.772","$1,716.489",-,"$4,102.866","$1,021.272","$6,840.627","$12,568.4","$2,339.151","$2,725.51",$347.514,"$4,469.107","$6,808.258",$90.523,"$9,556.319","$-1,290.363",-,"$5,760.141","$12,568.4"
2014-09-30,"$2,037.568","$1,711.798","$1,441.439",$116.962,-,"$5,876.262","$1,755.254",-,"$4,198.732",$914.377,"$6,868.363","$12,744.63","$2,888.199","$1,482.492",$374.409,"$3,274.062","$6,162.261",$90.523,"$9,382.218","$-1,098.566",-,"$6,582.364","$12,744.63"
2014-06-30,"$2,187.256","$1,858.176","$1,371.681",$129.837,-,"$6,071.58","$1,824.294","$1,018.781","$4,359.707",-,"$7,202.782","$13,274.36","$3,252.796","$1,508.142",$409.573,"$3,358.758","$6,611.554",$90.523,"$9,174.189",$-823.498,-,"$6,662.808","$13,274.36"
2014-03-31,"$2,095.989","$2,098.063","$1,448.989",$183.119,-,"$5,949","$1,827.98",-,"$4,375.142",$950.236,"$7,153.358","$13,102.36","$3,367.181","$1,508.611",$354.158,"$3,280.944","$6,648.125",$90.523,"$8,945.602",$-847.077,-,"$6,454.233","$13,102.36"
2013-12-31,"$2,139.522","$1,861.849","$1,448.628",$169.262,-,"$5,744.873","$1,820.312",-,"$4,382.246",$916.505,"$7,119.063","$12,863.94","$3,303.103","$1,507.019",$339.44,"$3,262.547","$6,565.65",$90.523,"$8,779.454",$-873.154,-,"$6,298.286","$12,863.94"
2013-09-30,"$1,945.623","$1,968.49","$1,465.431",$176.245,-,"$5,679.179","$1,833.748",-,"$4,565.659",$709.778,"$7,109.185","$12,788.36","$3,455.009","$1,506.744",$319.859,"$3,243.584","$6,698.593",$90.523,"$8,596.456",$-922.906,-,"$6,089.771","$12,788.36"
2013-06-30,"$1,781.412","$1,840.82","$1,377.405",$182.669,-,"$5,531.186","$1,808.24",$687.458,"$4,514.014",-,"$7,009.712","$12,540.9","$3,520.203","$1,495.96",$307.897,"$3,279.214","$6,799.417",$90.523,"$8,421.27","$-1,107.833",-,"$5,741.481","$12,540.9"
2013-03-31,"$1,677.319","$2,017.126","$1,473.072",$136.268,-,"$5,438.509","$1,829.715",-,"$4,543.817",$859.731,"$7,233.263","$12,671.77","$3,648.549","$1,496.026",$294.582,"$3,610.815","$7,259.364",$90.523,"$8,229.106","$-1,275.837",-,"$5,412.408","$12,671.77"
2012-12-31,$497.635,"$1,802.405","$1,515.325",$152.477,-,"$4,095.747","$1,844.643",-,"$4,663.119",$857.852,"$7,365.614","$11,461.36","$2,488.26","$1,509.238",$301.633,"$3,644.112","$6,132.372",$90.523,"$8,052.796","$-1,187.14",-,"$5,328.989","$11,461.36"
2012-09-30,$436.131,"$1,982.59","$1,489.748",$161.123,-,"$4,200.082","$1,803.412",-,"$4,269.949",$861.135,"$6,934.496","$11,134.58","$2,366.465","$1,511.799",$287.477,"$3,616.099","$5,982.564",$90.523,"$7,949.519","$-1,281.719",-,"$5,152.014","$11,134.58"
2012-06-30,$838.317,"$1,992.284","$1,400.732",$137.429,-,"$4,498.114","$1,719.968",$931.126,"$4,021.074",-,"$6,672.168","$11,170.28","$2,486.013","$1,503.946",$276.747,"$3,778.539","$6,264.552",$90.523,"$7,787.175","$-1,415.9",-,"$4,905.73","$11,170.28"
2012-03-31,$773.459,"$2,061.501","$1,429.014",$100.336,-,"$4,497.301","$1,721.97",-,"$4,022.617",$647.236,"$6,391.823","$10,889.12","$2,489.3","$1,515.217",$308.151,"$2,813.356","$5,302.656",$90.523,"$7,551.26",$-599.16,-,"$5,586.468","$10,889.12"
2011-12-31,$487.984,"$1,828.117","$1,452.664",$129.439,-,"$4,043.023","$1,691.162",$613.21,"$3,980.189",-,"$6,284.561","$10,327.58","$2,120.109","$1,659.434",$306.371,"$2,951.572","$5,071.681",$90.523,"$7,311.219",$-765.35,-,"$5,255.903","$10,327.58"
2011-09-30,$424.354,"$1,881.303","$1,456.078",$93.597,-,"$3,999.334","$1,712.87",$589.285,"$4,020.101",-,"$6,322.256","$10,321.59","$2,235.709","$1,668.6",$309.195,"$2,972.393","$5,208.102",$90.523,"$7,128.179",$-723.525,-,"$5,113.488","$10,321.59"
2011-06-30,$657.466,"$1,977.856","$1,412.153",$111.934,-,"$4,305.256","$1,797.179",$597.532,"$4,186.838",-,"$6,581.549","$10,886.8","$2,391.043","$1,691.086",$293.367,"$3,007.426","$5,398.469",$90.523,"$6,891.407",$-450.99,-,"$5,488.336","$10,886.8"
2011-03-31,"$1,107.955","$1,950.98","$1,390.862",$89.692,-,"$4,691.329","$1,788.377",-,"$4,167.304",$729.852,"$6,685.533","$11,376.86","$2,340.42","$1,683.731",$267.285,"$3,452.713","$5,793.133",$90.523,"$6,664.687",$-737.407,-,"$5,583.729","$11,376.86"
2010-12-31,$808.736,"$1,636.905","$1,361.457",$106.416,-,"$4,043.94","$1,764.558",-,"$4,089.641",$720.705,"$6,574.904","$10,618.84","$1,940.868","$1,742.464",$241.957,"$3,463.383","$5,404.251",$90.523,"$6,449.601",$-881.688,-,"$5,214.593","$10,618.84"
2010-09-30,$923.836,"$1,694.313","$1,295.137",$104.216,-,"$4,147.596","$1,770.983",-,"$4,095.623",$695.519,"$6,562.125","$10,709.72","$2,282.104","$1,745.812",$212.332,"$3,435.04","$5,717.144",$90.523,"$6,284.148",$-910.884,-,"$4,992.577","$10,709.72"
2010-06-30,$575.526,"$1,599.941","$1,171.655",$111.545,-,"$3,588.796","$1,697.881",$687.32,"$3,936.385",-,"$6,321.586","$9,910.382","$2,204.891","$1,413.634",$196.208,"$3,246.091","$5,450.982",$90.523,"$6,086.545","$-1,208.561",-,"$4,459.4","$9,910.382"
2010-03-31,$380.561,"$1,563.15","$1,196.558",$90.153,-,"$3,354.328","$1,782.426",-,"$4,090.149",$631.345,"$6,503.92","$9,858.248","$2,071.975","$1,535.905",$226.266,"$3,090.729","$5,162.704",$90.523,"$5,917.136",$-780.185,-,"$4,695.544","$9,858.248"
