,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,"$92,190",-,-,-,-,"$330,354",-,"$94,851","$10,475","$30,999","$136,325","$466,679","$374,859","$37,195",$584,"$37,779","$412,638","$2,713","$46,848","$2,770",-,"$54,041","$466,679"
2020-09-30,"$77,588",-,-,-,-,"$322,903",-,"$96,123","$10,346","$32,445","$138,914","$461,817","$365,708","$42,110",$689,"$42,799","$408,507","$2,712","$45,947","$2,997",-,"$53,310","$461,817"
2020-06-30,"$56,571",-,-,-,-,"$310,322",-,"$103,436","$10,300","$34,920","$148,656","$458,978","$358,342","$47,026",$662,"$47,688","$406,030","$2,712","$44,986","$3,069",-,"$52,948","$458,978"
2020-03-31,"$27,479",-,-,-,-,"$289,871",-,"$103,751","$10,315","$41,556","$155,622","$445,493","$322,354","$73,399",$450,"$73,849","$396,203","$2,712","$41,885","$2,518",-,"$49,290","$445,493"
2019-12-31,"$28,474",-,-,-,-,"$266,658",-,"$92,000","$10,877","$40,760","$143,637","$410,295","$300,371","$60,263",$318,"$60,581","$360,952","$2,712","$42,215",$799,-,"$49,343","$410,295"
2019-09-30,"$24,707",-,-,-,-,"$261,218",-,"$101,208","$10,716","$35,774","$147,698","$408,916","$297,803","$54,522","$7,136","$61,658","$359,461","$2,711","$41,413",$837,-,"$49,455","$408,916"
2019-06-30,"$23,778",-,-,-,-,"$259,416",-,"$101,304","$10,848","$34,193","$146,345","$405,761","$287,064","$62,476","$6,840","$69,316","$356,380","$2,711","$40,616",$631,-,"$49,381","$405,761"
2019-03-31,"$20,323",-,-,-,-,"$250,610",-,"$96,436","$11,030","$34,761","$142,227","$392,837","$284,123","$59,860",$279,"$60,139","$344,262","$2,711","$39,742",$-5,-,"$48,575","$392,837"
2018-12-31,"$16,501",-,-,-,-,"$241,111",-,"$95,595","$11,201","$34,408","$141,204","$382,315","$276,841","$52,414","$5,290","$57,704","$334,545","$2,711","$38,919",$-725,-,"$47,770","$382,315"
2018-09-30,"$25,048",-,-,-,-,"$246,625",-,"$93,250","$11,354","$28,851","$133,455","$380,080","$274,735","$52,476","$5,767","$58,243","$332,978","$2,710","$38,080","$-1,260",-,"$47,102","$380,080"
2018-06-30,"$27,397",-,-,-,-,"$248,996",-,"$92,555","$11,263","$27,897","$131,715","$380,711","$274,225","$54,413","$5,098","$59,511","$333,736","$2,710","$37,201",$-940,-,"$46,975","$380,711"
2018-03-31,"$33,470",-,-,-,-,"$253,445",-,"$86,570","$11,197","$27,949","$125,716","$379,161","$273,797","$53,431","$4,898","$58,329","$332,126","$2,710","$36,266",$-699,-,"$47,035","$379,161"
2017-12-31,"$33,844",-,-,-,-,"$254,346",-,"$87,523","$11,005","$27,894","$126,422","$380,768","$273,798","$54,299","$5,086","$59,385","$333,183","$2,710","$35,481",$-148,-,"$47,585","$380,768"
2017-09-30,"$29,449",-,-,-,-,"$249,717",-,"$86,003","$11,017","$28,454","$125,474","$375,191","$270,882","$57,564",$293,"$57,857","$328,739","$2,710","$33,819",$-22,-,"$46,452","$375,191"
2017-06-30,"$27,521",-,-,-,-,"$245,024",-,"$87,250","$11,030","$28,886","$127,166","$372,190","$269,295","$56,406",$304,"$56,710","$326,005","$2,710","$33,133",$-98,-,"$46,185","$372,190"
2017-03-31,"$32,880",-,-,-,-,"$244,559",-,"$87,332","$10,970","$28,083","$126,385","$370,944","$269,674","$50,183","$5,184","$55,367","$325,041","$2,709","$32,372",$-279,-,"$45,903","$370,944"
2016-12-31,"$30,590",-,-,-,-,"$241,338",-,"$86,675","$10,861","$27,506","$125,042","$366,380","$266,519","$48,530","$4,477","$53,007","$319,526","$2,709","$31,670",$-265,-,"$46,854","$366,380"
2016-09-30,"$34,919",-,-,-,-,"$244,799",-,"$89,119","$10,700","$24,730","$124,549","$369,348","$266,356","$50,306","$5,841","$56,147","$322,503","$2,709","$30,958",$646,-,"$46,845","$369,348"
2016-06-30,"$34,428",-,-,-,-,"$243,095",-,"$82,270","$10,654","$25,316","$118,240","$361,335","$256,478","$52,951","$5,207","$58,158","$314,636","$2,709","$30,309",$736,-,"$46,699","$361,335"
