,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2020-12-31,$82.1,$367.5,$420,-,$105.5,$975.1,$301.2,-,"$2,718.1",$202.8,"$3,222.1","$4,197.2",$772.5,$839.6,$269.4,"$1,318.4","$2,090.9",$1.7,$631.2,$-207.3,-,"$2,106.3","$4,197.2"
2020-09-30,$82.6,$362.1,$401.7,-,$117.1,$963.5,$291.1,-,"$2,652.9",$196,"$3,140","$4,103.5",$818.9,$805.2,$223.1,"$1,234.8","$2,053.7",$1.7,$561.6,$-212.3,-,"$2,049.8","$4,103.5"
2020-06-30,$90.6,$401.8,$396.5,-,$112.8,"$1,001.7",$284.7,-,"$2,627.5",$202.2,"$3,114.4","$4,116.1",$750.6,"$1,013",$195.6,"$1,415.8","$2,166.4",$1.7,$482.5,$-214.8,-,"$1,949.7","$4,116.1"
2020-03-31,$169.3,$665,$392.4,-,$112.9,"$1,339.6",$280.7,-,"$2,583.3",$223.1,"$3,087.1","$4,426.7",$682.8,"$1,450.5",$190.7,"$1,851.4","$2,534.2",$1.7,$442.1,$-225.2,-,"$1,892.5","$4,426.7"
2019-12-31,$82.5,$502.9,$377.4,-,$99.1,"$1,061.9",$283.2,-,"$2,597.5",$196.9,"$3,077.6","$4,139.5",$749,"$1,029.1",$206.7,"$1,436.6","$2,185.6",$1.7,$401,$-226.5,-,"$1,953.9","$4,139.5"
2019-09-30,$113.2,$404,$390.3,-,$95.1,"$1,002.6",$277.9,-,"$2,602.4",$197.5,"$3,077.8","$4,080.4",$694.2,"$1,118.7",$199.2,"$1,517.4","$2,211.6",$1.7,$335.3,$-234.1,-,"$1,868.8","$4,080.4"
2019-06-30,$80.5,$459.6,$396.7,-,$104.7,"$1,041.5",$280.3,-,"$2,641.7",$206.5,"$3,128.5","$4,170",$710.2,"$1,215.1",$229.1,"$1,653.2","$2,363.4",$1.7,$273.4,$-230.2,-,"$1,806.6","$4,170"
2019-03-31,$78.9,$645.7,$421.8,-,$105.2,"$1,251.6",$279.1,-,"$2,644.5",$207,"$3,130.6","$4,382.2",$705.3,"$1,370.7",$221.4,"$1,806.5","$2,511.8",$1.7,$189.5,$-225.9,-,"$1,870.4","$4,382.2"
2018-12-31,$74.3,$488.2,$387.5,-,$89.4,"$1,039.4",$272.6,-,"$2,349",$145.5,"$2,767.1","$3,806.5",$818.7,$787.6,$168.2,"$1,151.7","$1,970.4",$1.7,$169.2,$-228.6,-,"$1,836.1","$3,806.5"
2018-09-30,$64.7,$402.4,$387.3,-,$135.2,$989.6,$274.2,-,"$2,386.4",$159.3,"$2,819.9","$3,809.5",$707.4,$798.8,$207,"$1,221.9","$1,929.3",$1.8,$107.5,$-221,-,"$1,880.2","$3,809.5"
2018-06-30,$78.7,$422.1,$366.6,-,$129.2,$996.6,$270.6,-,"$2,385.3",$153.5,"$2,809.4","$3,806",$709.4,$779.9,$201.5,"$1,207.7","$1,917.1",$1.8,$27.9,$-217.9,-,"$1,888.9","$3,806"
2018-03-31,$907.5,$985.2,$593.5,-,$232.8,"$2,719",$546.5,-,"$5,916.6",$186,"$6,649.1","$9,368.1","$1,027.5","$2,673.1",$286.8,"$3,620.9","$4,648.4",$1.8,"$2,308",$-244.8,-,"$4,719.7","$9,368.1"
2017-12-31,$86.3,$483.1,$356.9,-,$822.5,"$1,748.8",$279.8,-,"$2,434.6","$4,170.5","$6,884.9","$8,633.7","$1,199.4","$1,440.7",$750.8,"$2,396.5","$3,595.9",$1.8,"$2,481.7",$-243.4,-,"$5,037.8","$8,633.7"
2017-09-30,$108.5,$768.2,$579.2,-,$249.9,"$1,705.8",$547.1,-,"$5,950.9",$425,"$6,923","$8,628.8","$1,072.6","$1,503.4",$219.6,"$2,547.6","$3,620.2",$1.8,"$2,355.3",$-235.8,-,"$5,008.6","$8,628.8"
2017-06-30,$177.8,$764.5,$565.4,-,$247.1,"$1,754.8",$550.9,-,"$5,938.5",$424.9,"$6,914.3","$8,669.1","$1,048.4","$1,698.9",$203.4,"$2,717.2","$3,765.6",$1.8,"$2,292.7",$-267.3,-,"$4,903.5","$8,669.1"
2017-03-31,$238.1,$914.4,$546,-,"$1,142.6","$2,841.1",$551.9,-,"$5,917.8","$2,507.2","$8,976.899","$11,818","$1,397.6","$4,528.9",$655.9,"$6,045.6","$7,443.2",$1.9,"$2,091.9",$-659,-,"$4,374.8","$11,818"
2016-12-31,$238.5,$764,$524.2,-,"$1,145.3","$2,672",$538.6,-,"$5,849.2","$2,475","$8,862.801","$11,534.8","$1,471.2","$4,278.4",$667.9,"$5,809.2","$7,280.4",$1.8,"$2,068.1",$-736.3,-,"$4,254.4","$11,534.8"
2016-09-30,$170.9,$689.5,$556.2,-,"$1,330.4","$2,747",$547.3,-,"$5,934.7","$2,450","$8,932","$11,679","$1,288.1","$4,411.3",$739.4,"$6,035.6","$7,323.7",$1.8,"$2,060.9",$-616.5,-,"$4,355.3","$11,679"
2016-06-30,$173.3,"$1,086.2","$1,133.2",-,$400.1,"$2,792.8",$937.6,-,"$7,651.1",$362.3,"$8,951","$11,743.8","$1,415.9","$4,551.7",$512.7,"$6,161.601","$7,577.5",$1.8,"$1,920.2",$-646.6,-,"$4,166.3","$11,743.8"
2016-03-31,$158.1,"$1,268.7","$1,197.7",-,$381.4,"$3,005.9",$951.8,-,"$7,711",$361.5,"$9,024.3","$12,030.2","$1,467.6","$4,837.1",$526.7,"$6,478.4","$7,946",$1.8,"$1,839.3",$-631.7,-,"$4,084.2","$12,030.2"
2015-12-31,$126.3,$773.2,$564.7,-,"$1,313.4","$2,777.6",$539.8,-,"$6,006.4","$2,509.7","$9,055.899","$11,833.5","$1,486.5","$4,685.8",$737.6,"$6,338.2","$7,824.7",$1.8,"$1,791.7",$-645,-,"$4,008.8","$11,833.5"
2015-09-30,$144.9,"$1,136.5","$1,296.2",-,$386.6,"$2,964.2",$921.4,-,"$8,343",$442.3,"$9,706.7","$12,670.9","$1,496.2","$4,983.2",$526.1,"$6,638.8","$8,135",$1.8,"$2,305.2",$-620.3,-,"$4,535.9","$12,670.9"
2015-06-30,$147.3,"$1,170.6","$1,200.4",-,$384.6,"$2,902.9",$908.5,-,"$6,319.5",$433.8,"$7,661.8","$10,564.7","$1,460","$3,260.9",$521.5,"$4,552.6","$6,012.6",$2,"$2,247.6",$-533.8,-,"$4,552.1","$10,564.7"
2015-03-31,$131.1,"$1,247.5","$1,177",-,$421.3,"$2,976.9",$915.4,-,"$6,230.9",$446.2,"$7,592.5","$10,569.4","$1,431.1","$3,403.4",$494.4,"$4,715","$6,146.1",$2,"$2,157.9",$-554.6,-,"$4,423.3","$10,569.4"
2014-12-31,$110.4,"$1,205.9","$1,130.4",-,$447.4,"$2,894.1",$950,-,"$6,350",$461.1,"$7,761.1","$10,655.2","$1,639.5","$2,997.4",$504.2,"$4,351.9","$5,991.4",$2,"$2,044",$-380.3,-,"$4,663.8","$10,655.2"
2014-09-30,$156.6,"$1,180.9","$1,199.4",-,$515.5,"$3,052.4",$990.8,-,"$6,441.2",$442.5,"$7,874.5","$10,926.9","$1,668.7","$2,960.7",$492.6,"$4,290.8","$5,959.5",$2.1,"$1,923.2",$-232.7,-,"$4,967.4","$10,926.9"
2014-06-30,$174.4,"$1,302.2","$1,264.3",-,$425,"$3,165.9","$1,151.6",-,"$6,815.4",$483.9,"$8,450.9","$11,616.8","$1,777.1","$2,739",$481.9,"$4,120.9","$5,898",$2.1,"$2,109.2",$-54.7,-,"$5,718.8","$11,616.8"
2014-03-31,$211.1,"$1,410.7","$1,271.6",-,$411.9,"$3,305.3","$1,162",-,"$6,846.6",$452.6,"$8,461.199","$11,766.5","$1,528.1","$2,933.8",$450.2,"$4,302.1","$5,830.2",$113.5,"$1,947.7",$-71.3,-,"$5,936.3","$11,766.5"
2013-12-31,$256,"$1,285","$1,195.1",-,$496,"$3,232.1","$1,044.3",-,"$6,610.6",$856.3,"$8,511.2","$11,743.3","$1,610.2","$2,547.9",$490.3,"$3,915.4","$5,525.6",$113.5,"$1,829.1",$-43.6,-,"$6,217.7","$11,743.3"
2013-09-30,$237.7,"$1,299.2","$1,296.1",$108.9,$20.4,"$3,211.3","$1,171.9",-,"$6,939.2",$481.8,"$8,592.9","$11,804.2","$1,678.4","$2,570.7",$467.4,"$3,924.1","$5,602.5",$113.5,"$1,671.1",$-41.7,-,"$6,201.7","$11,804.2"
2013-06-30,$253.1,"$1,305.5","$1,318.3",$102.7,$21.3,"$3,216.5","$1,186.1",-,"$6,801.2",$462.8,"$8,450.101","$11,666.6","$1,686.8","$2,737.4",$427,"$4,036.9","$5,723.7",$113.5,"$1,498.3",$-129,-,"$5,942.9","$11,666.6"
2013-03-31,$215,"$1,542","$1,327",$100,$27,"$3,290","$1,222",-,"$6,726",$483,"$8,431","$11,721","$1,483","$2,592",$452,"$3,895","$5,378",$113,"$1,344",$-87,-,"$6,343","$11,721"
2012-12-31,$261.3,"$1,274.6","$1,333.9",-,$334.5,"$3,204.3","$1,188.2",-,"$7,037.9",$452.3,"$8,678.399","$11,882.7","$1,645.1","$2,454.3",$495.1,"$3,750.1","$5,395.2",$113.5,"$1,292.3",$-11.6,"$5,292.4","$6,487.5","$11,882.7"
2012-09-30,$642.57,"$1,319.561","$1,379.971",$266.813,-,"$3,740.446","$1,156.327",-,"$6,721.031",$354.531,"$8,231.89","$11,972.33","$2,131.949","$1,495.369",$867.632,"$2,874.145","$5,006.094",$113.454,"$1,676.199",$-160.134,-,"$6,966.241","$11,972.33"
2012-06-30,$60.598,$572.144,$460.039,$124.345,-,"$1,276.025",$381.063,-,"$2,825.637",$103.544,"$3,310.244","$4,586.269",$661.716,"$1,233.794",$105.469,"$1,806.681","$2,468.397",$16.534,"$1,667.794",$-192.097,-,"$2,117.872","$4,586.269"
2012-03-31,$55.438,$680.26,$475.403,$115.701,-,"$1,389.207",$393.335,-,"$2,892.104",$103.56,"$3,388.999","$4,778.206",$659.323,"$1,395.093",$103.245,"$1,975.276","$2,634.599",$16.507,"$1,617.999",$-110.06,-,"$2,143.607","$4,778.206"
2011-12-31,$50.077,$569.204,$449.863,-,$168.691,"$1,237.835",$387.525,-,"$2,866.203",$94.75,"$3,348.478","$4,586.313",$641.841,"$1,304.225",$123.509,"$1,897.08","$2,538.921",$47.526,"$1,465.78",$-37.731,-,"$2,047.392","$4,586.313"
2011-09-30,$52.665,$556.688,$459.916,$147.568,-,"$1,278.248",$394.922,-,"$3,135.954",$73.319,"$3,604.195","$4,882.443",$717.602,"$1,317.454",$332.117,"$1,866.725","$2,584.327",$47.496,"$1,733.281",$-48.039,-,"$2,298.116","$4,882.443"
2011-06-30,$68.972,$595.407,$484.795,$124.632,-,"$1,334.639",$410.547,-,"$3,228.338",$78.788,"$3,717.673","$5,052.312",$711.402,"$1,384.167",$109.492,"$1,974.056","$2,685.458",$16.46,"$1,702.119",$41.902,-,"$2,366.854","$5,052.312"
2011-03-31,$57.134,$625.856,$411.767,$57.95,-,"$1,209.077",$338.61,-,"$2,558.672",$56.328,"$2,953.61","$4,162.687",$546.361,$802.321,$109.633,"$1,333.882","$1,880.243",$16.403,"$1,655.302",$18.525,-,"$2,282.444","$4,162.687"
2010-12-31,$46.056,$516.905,$405.356,$44.631,-,"$1,069.297",$329.435,-,"$2,519.614",$55.187,"$2,904.236","$3,973.533",$546.796,$702.521,$109.802,"$1,221.705","$1,768.501",$16.401,"$1,624.605",$-22.342,-,"$2,205.032","$3,973.533"
2010-09-30,$56.995,$490.221,$410.072,$48.555,-,"$1,056.834",$327.602,-,"$2,532.289",$56.033,"$2,915.924","$3,972.758",$572.544,$673.265,$117.538,"$1,186.544","$1,759.088",$16.493,"$1,597.11",$-4.955,-,"$2,213.67","$3,972.758"
2010-06-30,$38.58,$475.679,$389.428,$42.878,-,$995.623,$318.124,-,"$2,484.87",$54.083,"$2,857.077","$3,852.7",$525.728,$734.472,$117.747,"$1,235.157","$1,760.885",$16.449,"$1,560.944",$-77.013,-,"$2,091.815","$3,852.7"
