,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2021-01-31,"$1,651.4",$666.6,"$1,417.1",$158.2,$50.4,"$3,943.7",$942.7,-,"$6,472.5",$369.8,"$9,349.8","$13,293.5","$2,582.4","$3,513.7","$1,039.8","$5,980.8","$8,563.2",$86.3,"$3,613.2",$-519.1,-,"$4,730.3","$13,293.5"
2020-10-31,"$1,460",$818.7,"$1,483.5",$136.4,$69.3,"$3,967.9",$953.2,-,"$6,345",$377.4,"$9,289.301","$13,257.2","$2,567.9","$3,464.1","$1,097.4","$6,013.1","$8,581",$86.2,"$3,670.9",$-614.3,-,"$4,676.2","$13,257.2"
2020-07-31,"$1,394.3",$596.2,"$1,642.2",$158.6,$55.5,"$3,846.8",$979.1,-,"$6,369.2",$364.9,"$9,405.701","$13,252.5","$2,526.1","$3,498.3","$1,115.2","$6,142.9","$8,669",$86.2,"$3,601.1",$-622.6,-,"$4,583.5","$13,252.5"
2020-04-30,$800.7,$566.9,"$1,561.2",$160.1,$99.4,"$3,188.3",$976.5,-,"$6,144.4",$347,"$9,105.9","$12,294.2","$2,321.6","$2,854.2","$1,114.2","$5,459.2","$7,780.8",$86.1,"$3,652.5",$-733.4,-,"$4,513.4","$12,294.2"
2020-01-31,$503.4,$765.1,"$1,615.7",$159.9,$350.1,"$3,394.2","$1,026.8",-,"$7,158.3",$375.9,"$10,236.8","$13,631","$2,361.1","$2,693.9","$1,234.5","$5,458.4","$7,819.5",$85.9,"$4,753",$-640.1,-,"$5,811.5","$13,631"
2019-10-31,$555.2,$998.8,"$1,768.1",$161.3,$98.7,"$3,582.1",$994.7,-,"$7,458.1",$336.2,"$10,437.1","$14,019.2","$2,552.7","$2,738.4","$1,226.4","$5,481.4","$8,034.1",$85.9,"$4,820.4",$-622.6,-,"$5,985.1","$14,019.2"
2019-07-31,$433.5,$808.9,"$1,862.1",$183.3,$110.8,"$3,398.6",$973.4,-,"$7,461.1",$327.1,"$10,422.3","$13,820.9","$2,427.7","$2,743","$1,243.6","$5,521.5","$7,949.2",$85.9,"$4,614",$-611.4,-,"$5,871.7","$13,820.9"
2019-04-30,$494.3,$876,"$1,608.4",$173.4,$101.3,"$3,253.4",$962.3,-,"$7,149.7",$383.6,"$10,101.6","$13,355","$2,206.6","$2,759.4","$1,128.3","$5,386.9","$7,593.5",$85.8,"$4,423.3",$-583.7,-,"$5,761.5","$13,355"
2019-01-31,$452,$803.8,"$1,732.4",$168.7,$81.7,"$3,238.6",$984.5,-,"$7,239.7",$400.9,"$8,625.101","$11,863.7","$1,893.9","$2,819.4","$1,322.4","$4,142","$6,035.9",$85.4,"$4,350.1",$-507.9,-,"$5,827.8","$11,863.7"
2018-10-31,$398.5,$965.6,"$1,686.9",$173.4,$83.4,"$3,307.8",$923.7,-,"$7,230.2",$369.2,"$8,523.101","$11,830.9","$1,898.6","$2,878.3","$1,372.3","$4,251.1","$6,149.7",$85.4,"$4,191.4",$-534.3,-,"$5,681.2","$11,830.9"
2018-07-31,$431.1,$731.6,"$1,731",$193,$79.3,"$3,166",$881.3,-,"$7,284.6",$365.8,"$8,531.7","$11,697.7","$1,835.7","$2,893.5","$1,402.1","$4,296.6","$6,132.3",$85.4,"$3,951.1",$-504.7,-,"$5,565.4","$11,697.7"
2018-04-30,$434.5,$812.3,"$1,524.9",$201.6,$68.3,"$3,041.6",$873.5,-,"$7,434.9",$364.6,"$8,673","$11,714.6","$1,727.1","$3,013.2","$1,408.2","$4,422.9","$6,150",$85.3,"$3,788.8",$-406.6,-,"$5,564.6","$11,714.6"
2018-01-31,$493.9,$696.4,"$1,591.3",$184.5,$64.7,"$3,030.8",$899.8,-,"$7,561.3",$393.8,"$8,854.899","$11,885.7","$1,871.6","$3,061.3","$1,414.4","$4,477.7","$6,349.3",$84.9,"$3,625.2",$-321.5,-,"$5,536.4","$11,885.7"
2017-10-31,$612.3,$857.1,"$1,466.2",$168.4,$40.1,"$3,144.1",$821.2,-,"$7,336",$356.9,"$8,514.101","$11,658.2","$1,726.3","$3,182.7","$1,496.8","$4,682.1","$6,408.4",$84.3,"$3,514.7",$-525.5,-,"$5,249.8","$11,658.2"
2017-07-31,$559.4,$672.6,"$1,498.6",$171.8,$33.1,"$2,935.5",$805.8,-,"$7,348.7",$363.9,"$8,518.4","$11,453.9","$1,633.2","$3,185.7","$1,536.7","$4,725.5","$6,358.7",$84.3,"$3,278.4",$-496.6,-,"$5,095.2","$11,453.9"
2017-04-30,$490.9,$712.5,"$1,253.8",$150.1,$47.9,"$2,655.2",$751.6,-,"$7,163.4",$342.1,"$8,257.1","$10,912.3","$1,378.2","$3,157.1","$1,498.6","$4,659.1","$6,037.3",$84.1,"$3,161.7",$-651.4,-,"$4,875","$10,912.3"
2017-01-31,$730.1,$641.4,"$1,317.9",$133.2,$57,"$2,879.6",$759.9,-,"$7,079.9",$348.5,"$8,188.3","$11,067.9","$1,564.8","$3,197.3","$1,499.3","$4,698.6","$6,263.4",$83.9,"$3,098",$-710.8,-,"$4,804.5","$11,067.9"
2016-10-31,$662.4,$788.4,"$1,258.3",$140.2,$98.8,"$2,948.1",$730.2,-,"$7,154.8",$235.5,"$8,120.5","$11,068.6","$1,356.4","$3,303.1","$1,613.6","$4,917.9","$6,274.3",$83.9,"$2,997.3",$-699.7,-,"$4,794.3","$11,068.6"
2016-07-31,$741.7,$594.3,"$1,412.1",$156,$34.9,"$2,939",$736,-,"$7,288.1",$216.7,"$8,240.8","$11,179.8","$1,388.2","$3,358.2","$1,629.8","$4,988.1","$6,376.3",$83.9,"$2,874.1",$-652.7,-,"$4,803.5","$11,179.8"
2016-04-30,$365.1,$684.3,"$1,281.4",$154.5,$42.9,"$2,528.2",$749.9,-,"$7,381",$226,"$8,356.9","$10,885.1","$1,394.9","$2,991.6","$1,636.3","$4,627.9","$6,022.8",$83.6,"$2,786.6",$-574.9,-,"$4,862.3","$10,885.1"
2016-01-31,$556.4,$685.9,"$1,322.3",$150.4,$89.5,"$2,804.5",$744.6,-,"$6,865.7",$259,"$7,869.3","$10,673.8","$1,527.2","$3,031.7","$1,562.6","$4,594.3","$6,121.5",$83.5,"$2,561.2",$-704.2,-,"$4,552.3","$10,673.8"
2015-10-31,$369.9,$866.2,"$1,332",$130.6,$66.2,"$2,764.9",$731.8,-,"$6,921.9",$285.9,"$7,939.6","$10,704.5","$1,366.4","$3,191.3","$1,601.2","$4,792.5","$6,158.9",$83.5,"$2,427",$-615.2,-,"$4,545.6","$10,704.5"
2015-07-31,$466.7,$617.8,"$1,402.6",$147.1,$81.5,"$2,715.7",$708.9,-,"$6,920.8",$286.7,"$7,916.4","$10,632.1","$1,369","$3,236.8","$1,616.5","$4,853.3","$6,222.3",$83.5,"$2,208.2",$-579.9,-,"$4,409.8","$10,632.1"
2015-04-30,$419.3,$765.4,"$1,173.3",$162.6,$102.7,"$2,623.3",$720.9,-,"$7,018.6",$286.9,"$8,026.4","$10,649.7","$1,226.9","$3,362.8","$1,615.5","$4,978.3","$6,205.2",$83.4,"$2,109.2",$-448.8,-,"$4,444.5","$10,649.7"
2015-01-31,$479.3,$743.2,"$1,257.3",$141.1,$164.9,"$2,785.8",$725.7,-,"$7,040.7",$272.7,"$8,039.101","$10,824.9","$1,428.1","$3,438.7","$1,593.8","$5,032.5","$6,460.6",$83.1,"$2,001.3",$-416.5,-,"$4,364.3","$10,824.9"
2014-10-31,$365.1,$910.7,"$1,239.9",$177.9,$173.1,"$2,866.7",$707.6,-,"$7,361.4",$330,"$8,399","$11,265.7","$1,378.7","$3,618.7","$1,684.5","$5,303.2","$6,681.9",$83,"$1,949.8",$-129.6,-,"$4,583.8","$11,265.7"
2014-07-31,$461.1,$767.3,"$1,365.4",$185.7,$215,"$2,994.5",$703.6,-,"$7,558.8",$328.4,"$8,590.8","$11,585.3","$1,604.1","$3,642.9","$1,808","$5,450.9","$7,055",$83,"$1,727.2",$59.7,-,"$4,530.3","$11,585.3"
2014-04-30,$513,$855.2,"$1,177.8",$174.2,$207.1,"$2,927.3",$708.5,-,"$7,663",$330.2,"$8,701.7","$11,629","$1,466.4","$3,862","$1,821.1","$5,683.1","$7,149.5",$82.9,"$1,607",$143.6,-,"$4,479.5","$11,629"
2014-01-31,$593.2,$761.2,"$1,281",$151.9,$211.3,"$2,998.6",$712.1,-,"$7,559",$305.9,"$8,577","$11,575.6","$1,552.4","$3,878.2","$1,804.2","$5,688","$7,240.4",$82.7,"$1,574.8",$42.3,-,"$4,335.2","$11,575.6"
2013-10-31,$542.5,$915.9,"$1,164.1",$227.4,$212.2,"$3,062.1",$689.3,-,"$7,562.9",$339.2,"$8,591.4","$11,653.5","$1,300.2","$4,174.6","$1,814.4","$5,994.6","$7,294.8",$82.1,"$1,612.5",$77.9,-,"$4,358.7","$11,653.5"
2013-07-31,$628.9,$753.4,"$1,338.8",$233.3,$114.1,"$3,068.5",$685.8,-,"$7,480",$300.2,"$8,466","$11,534.5","$1,428.9","$4,195.2","$1,836.2","$6,037","$7,465.9",$82.1,"$1,419.1",$0.6,-,"$4,068.6","$11,534.5"
2013-04-30,$746.3,$819.6,"$1,135.8",$225,$129.7,"$3,056.4",$680.1,-,"$7,543.6",$312.6,"$8,536.3","$11,592.7","$1,290","$4,362.3","$1,813.7","$6,181.7","$7,471.7",$81.2,"$1,429.3",$35.9,-,"$4,121","$11,592.7"
2013-01-31,$892.209,$441.324,$878.415,$157.802,$67.256,"$2,437.006",$561.335,-,"$4,539.892",$193.454,"$5,294.681","$7,731.687","$1,162.447","$2,211.642","$1,105.029","$3,316.671","$4,479.118",$73.324,"$1,445.673",$139.882,-,"$3,252.569","$7,731.687"
2012-10-31,$276.63,$607.465,$855.359,$80.925,$91.74,"$1,912.119",$519.863,-,"$4,383.52",$170.469,"$5,073.852","$6,985.971","$1,139.966","$1,647.596","$1,152.342","$2,799.938","$3,939.904",$71.037,"$1,367.673",$31.459,-,"$3,046.067","$6,985.971"
2012-07-31,$261.986,$425.665,$909.447,$117.826,$105.014,"$1,819.938",$484.443,-,"$4,261.467",$165.64,"$4,911.55","$6,731.488","$1,109.393","$1,715.464","$1,125.803","$2,841.267","$3,950.66",$70.952,"$1,202.722",$-57.524,-,"$2,780.828","$6,731.488"
